"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P40","Buena",0.168,0,0.308
"P40","Ni buena ni mala",0.056,0,0.143
"P40","Mala",0.06,0,0.22
"P40","Muy mala",0.208,0,0.213
"P40","No sabe",0.011,0,0
"P41","Muy buena",0.425,0,0.131
"P41","Buena",0.251,0,0.275
"P41","Ni buena ni mala",0.072,0,0.121
"P41","Mala",0.068,0,0.107
"P41","Muy mala",0.184,0,0.366
"P41","No sabe",0,0,0
"P42","Muy buena",0.511,0,0.209
"P42","Buena",0.168,0,0.257
"P42","Ni buena ni mala",0.109,0,0.174
"P42","Mala",0.041,0,0.094
"P42","Muy mala",0.169,0,0.245
"P42","No sabe",0.002,0,0.021
"P43","Muy buena",0.124,0,0.159
"P43","Buena",0.213,0,0.26
"P43","Ni buena ni mala",0.413,0,0.414
"P43","Mala",0.134,0,0.07
"P43","Muy mala",0.092,0,0.046
"P43","No sabe",0.024,0,0.051
