"var","categoria","El estado nacional","El estado provincial","Ambos de forma coordinada","No sabe"
"P37","Mala",0.181,0,0.245,0.215
"P37","Muy mala",0.179,0,0.222,0.273
"P37","No sabe",0.034,0,0.003,0.032
"P38","Muy buena",0.16,0,0.045,0.099
"P38","Buena",0.043,0,0.102,0.069
"P38","Ni buena ni mala",0.094,0,0.183,0.065
"P38","Mala",0.215,0,0.197,0.343
"P38","Muy mala",0.478,0,0.465,0.392
"P38","No sabe",0.01,0,0.008,0.032
"P39","Muy buena",0.161,0,0.115,0.146
"P39","Buena",0.071,0,0.073,0.049
"P39","Ni buena ni mala",0.096,0,0.14,0.113
"P39","Mala",0.216,0,0.193,0.262
"P39","Muy mala",0.455,0,0.47,0.379
"P39","No sabe",0.001,0,0.009,0.051
"P40","Muy buena",0.5,0,0.318,0.304
"P40","Buena",0.153,0,0.187,0.138
"P40","Ni buena ni mala",0.069,0,0.138,0.159
"P40","Mala",0.129,0,0.118,0.069
"P40","Muy mala",0.139,0,0.217,0.298
"P40","No sabe",0.01,0,0.022,0.032
"P41","Muy buena",0.496,0,0.292,0.212
"P41","Buena",0.229,0,0.235,0.22
"P41","Ni buena ni mala",0.031,0,0.12,0.147
"P41","Mala",0.106,0,0.142,0.169
"P41","Muy mala",0.138,0,0.193,0.22
"P41","No sabe",0,0,0.018,0.032
"P42","Muy buena",0.529,0,0.356,0.252
"P42","Buena",0.184,0,0.147,0.173
"P42","Ni buena ni mala",0.068,0,0.213,0.248
"P42","Mala",0.086,0,0.107,0.064
"P42","Muy mala",0.124,0,0.172,0.212
"P42","No sabe",0.009,0,0.005,0.051
"P43","Muy buena",0.198,0,0.077,0.055
"P43","Buena",0.243,0,0.219,0.101
"P43","Ni buena ni mala",0.344,0,0.42,0.457
"P43","Mala",0.137,0,0.125,0.212
"P43","Muy mala",0.065,0,0.111,0.095
"P43","No sabe",0.013,0,0.048,0.08
