"var","categoria","Peor","Igual","Mejor","No sabe"
"P41","Muy mala",0.382,0,0.246,0.269
"P41","No sabe",0.01,0,0,0.038
"P42","Muy buena",0.281,0,0.211,0.187
"P42","Buena",0.097,0,0.148,0.169
"P42","Ni buena ni mala",0.134,0,0.222,0.252
"P42","Mala",0.144,0,0.186,0.161
"P42","Muy mala",0.331,0,0.233,0.184
"P42","No sabe",0.013,0,0,0.047
"P43","Muy buena",0.072,0,0.159,0.062
"P43","Buena",0.15,0,0.111,0.141
"P43","Ni buena ni mala",0.409,0,0.517,0.385
"P43","Mala",0.15,0,0.139,0.228
"P43","Muy mala",0.196,0,0.074,0.101
"P43","No sabe",0.023,0,0,0.083
