"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P15","No sabe",0.235,0.374,0.213,0.535,0.585
"P16","Lo votaria",0.076,0.037,0.014,0.022,0.023
"P16","Puede que lo vote",0.198,0.121,0.02,0.032,0.034
"P16","Nunca lo votaría",0.422,0.411,0.673,0.339,0.313
"P16","No sabe",0.304,0.431,0.293,0.607,0.63
"P17","Lo votaria",0.09,0.053,0.003,0.021,0.019
"P17","Puede que lo vote",0.187,0.102,0.028,0.035,0.034
"P17","Nunca lo votaría",0.432,0.466,0.73,0.281,0.307
"P17","No sabe",0.291,0.379,0.239,0.663,0.64
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.073,0.224,0.452,0.243,0.318
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.078,0.039,0.044,0.057,0.062
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.18,0.171,0.11,0.176,0.117
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.533,0.234,0.067,0.203,0.151
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.018,0.045,0.022,0.06,0.04
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.058,0.097,0.094,0.078,0.047
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.056,0.161,0.117,0.118,0.139
"P18","Al candidato del Frente de Izquierda",0,0.001,0.046,0.004,0.015
"P18","No sabe",0.004,0.028,0.048,0.061,0.111
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.082,0.245,0.476,0.219,0.204
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.072,0.035,0.092,0.083,0.088
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.175,0.157,0.032,0.111,0.09
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.506,0.211,0.041,0.191,0.158
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.115,0.26,0.131,0.235,0.205
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.014,0.054,0.032,0.034
"P19","No sabe",0.05,0.078,0.174,0.129,0.221
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.136,0.26,0.571,0.301,0.36
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.516,0.291,0.063,0.293,0.252
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.169,0.252,0.158,0.235,0.166
"P20","Al candidato del Frente de Izquierda",0.098,0.031,0.056,0.043,0.027
"P20","No sabe",0.081,0.166,0.152,0.128,0.195
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.102,0.292,0.614,0.32,0.371
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.728,0.312,0.062,0.3,0.232
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.13,0.3,0.139,0.203,0.193
"P21","Al candidato del Frente de Izquierda",0.022,0.011,0.047,0.028,0.019
"P21","No sabe",0.018,0.085,0.138,0.149,0.185
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.134,0.249,0.513,0.255,0.282
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.518,0.212,0.072,0.222,0.193
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.199,0.34,0.163,0.258,0.253
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.033,0.024,0.06,0.039,0.043
"P22","No sabe",0.116,0.175,0.192,0.226,0.229
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.097,0.235,0.502,0.243,0.32
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.685,0.296,0.051,0.242,0.24
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.138,0.335,0.162,0.289,0.222
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.029,0.017,0.06,0.021,0.032
"P23","No sabe",0.051,0.117,0.225,0.205,0.186
"P24","Positiva",0.37,0.315,0.494,0.325,0.355
"P24","Neutra",0.133,0.327,0.134,0.199,0.178
"P24","Negativa",0.477,0.315,0.351,0.345,0.281
"P24","No sabe",0.004,0.014,0,0.097,0.059
"P24","No lo conozco",0.016,0.029,0.021,0.034,0.127
"P25","Positiva",0.226,0.089,0.148,0.045,0.067
"P25","Neutra",0.234,0.591,0.285,0.262,0.096
"P25","Negativa",0.424,0.232,0.471,0.165,0.134
"P25","No sabe",0.071,0.056,0.037,0.406,0.243
"P25","No lo conozco",0.045,0.032,0.059,0.122,0.46
"P26","Positiva",0.598,0.198,0.042,0.265,0.146
"P26","Neutra",0.198,0.51,0.064,0.201,0.19
"P26","Negativa",0.181,0.259,0.872,0.333,0.337
"P26","No sabe",0.015,0.03,0.011,0.136,0.067
"P26","No lo conozco",0.008,0.003,0.011,0.065,0.26
"P28","Positiva",0.39,0.047,0.025,0.012,0.008
"P28","Neutra",0.285,0.644,0.137,0.026,0.02
"P28","Negativa",0.061,0.112,0.62,0.022,0.004
"P28","No sabe",0.118,0.117,0.113,0.706,0.043
"P28","No lo conozco",0.146,0.08,0.105,0.234,0.925
"P29","Positiva",0.289,0.136,0.059,0.071,0.035
"P29","Neutra",0.294,0.508,0.105,0.08,0.098
"P29","Negativa",0.192,0.164,0.654,0.063,0.075
"P29","No sabe",0.073,0.099,0.076,0.553,0.062
"P29","No lo conozco",0.152,0.093,0.106,0.233,0.73
"P30","Positiva",0.214,0.261,0.474,0.282,0.324
"P30","Neutra",0.167,0.296,0.099,0.178,0.158
"P30","Negativa",0.583,0.426,0.42,0.444,0.381
"P30","No sabe",0.036,0.017,0.007,0.096,0.137
"P31","Que continúe el intendente Lucas Gui",0.083,0.147,0.324,0.167,0.099
"P31","Que continúe Lucas Gui pero con mejoras",0.198,0.185,0.286,0.212,0.311
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.071,0.166,0.067,0.087,0.118
"P31","Que cambie el intendente Lucas Gui",0.648,0.502,0.323,0.534,0.472
"P32","La seguridad",0.143,0.028,0.096,0.114,0.055
"P32","El tránsito",0.069,0.056,0.057,0.017,0.065
"P32","El arreglo de las calles",0.079,0.131,0.172,0.097,0.056
"P32","Los parques y espacios públicos",0.157,0.18,0.189,0.122,0.135
"P32","El sistema de salud",0.011,0.045,0.103,0.099,0.038
"P32","La limpieza de las calles",0.093,0.076,0.035,0.067,0.068
"P32","El deporte y la cultura",0.023,0.092,0.113,0.12,0.133
"P32","La luminaria",0.069,0.066,0.032,0.086,0.063
"P32","No sabe",0.356,0.326,0.203,0.278,0.387
"P33","La seguridad",0.532,0.469,0.318,0.552,0.502
"P33","El tránsito",0.079,0.04,0.08,0.027,0.068
"P33","El arreglo de las calles",0.154,0.244,0.228,0.133,0.135
"P33","Los parques y espacios públicos",0.011,0.036,0.088,0.009,0.008
"P33","El sistema de salud",0.024,0.035,0.058,0.055,0.08
"P33","La limpieza de las calles",0.076,0.028,0.043,0.006,0.031
"P33","El deporte y la cultura",0.008,0.044,0.012,0.02,0.028
"P33","La luminaria",0.011,0.014,0.025,0.04,0.006
"P33","No sabe",0.105,0.09,0.148,0.158,0.142
"P34","Agua corriente y cloacas",0.304,0.28,0.185,0.232,0.281
"P34","Energía eléctrica",0.212,0.123,0.121,0.181,0.135
"P34","Red de gas natural",0.074,0.09,0.049,0.051,0.059
"P34","Recolección de residuos",0.244,0.242,0.272,0.237,0.209
"P34","Ninguno",0.166,0.265,0.373,0.299,0.316
"P35","Los robos",0.471,0.455,0.459,0.452,0.399
"P35","El narcotráfico",0.183,0.12,0.077,0.09,0.091
"P35","La ausencia de patrulleros y personal policial",0.2,0.236,0.158,0.309,0.275
"P35","Otro",0.081,0.139,0.185,0.095,0.157
"P35","Ninguno",0.065,0.05,0.121,0.054,0.078
"P36","Positiva",0.345,0.238,0.325,0.223,0.181
"P36","Neutra",0.262,0.356,0.284,0.267,0.213
"P36","Negativa",0.308,0.306,0.234,0.28,0.26
"P36","No sabe",0.085,0.1,0.157,0.23,0.346
"P37","Lo votaria",0.153,0.099,0.103,0.069,0.082
"P37","Puede que lo vote",0.066,0.131,0.268,0.155,0.17
"P37","Nunca lo votaría",0.715,0.691,0.446,0.703,0.654
"P37","No sabe",0.066,0.079,0.183,0.073,0.094
"P38","Lo votaria",0.14,0.102,0.114,0.116,0.059
"P38","Puede que lo vote",0.072,0.159,0.331,0.143,0.207
"P38","Nunca lo votaría",0.759,0.679,0.415,0.61,0.585
"P38","No sabe",0.029,0.06,0.14,0.131,0.149
"P39","Lo votaria",0.127,0.109,0.152,0.093,0.059
"P39","Puede que lo vote",0.066,0.152,0.337,0.134,0.222
"P39","Nunca lo votaría",0.758,0.687,0.382,0.681,0.612
"P39","No sabe",0.049,0.052,0.129,0.092,0.107
"P40","Lo votaria",0.224,0.12,0.065,0.109,0.094
"P40","Puede que lo vote",0.446,0.272,0.086,0.28,0.214
"P40","Nunca lo votaría",0.287,0.538,0.751,0.557,0.605
"P40","No sabe",0.043,0.07,0.098,0.054,0.087
"P41","Lo votaria",0.675,0.305,0.058,0.258,0.23
"P41","Puede que lo vote",0.205,0.191,0.058,0.212,0.248
"P41","Nunca lo votaría",0.102,0.449,0.811,0.499,0.444
"P41","No sabe",0.018,0.055,0.073,0.031,0.078
"P42","Lo votaria",0.186,0.11,0.049,0.093,0.058
"P42","Puede que lo vote",0.325,0.259,0.067,0.252,0.256
"P42","Nunca lo votaría",0.412,0.506,0.763,0.487,0.532
"P42","No sabe",0.077,0.125,0.121,0.168,0.154
"P43","Lo votaria",0.166,0.079,0.04,0.059,0.042
"P43","Puede que lo vote",0.284,0.242,0.056,0.151,0.163
"P43","Nunca lo votaría",0.448,0.553,0.8,0.633,0.595
"P43","No sabe",0.102,0.126,0.104,0.157,0.2
"P44","Lo votaria",0.37,0.257,0.133,0.303,0.257
"P44","Puede que lo vote",0.251,0.196,0.037,0.181,0.169
"P44","Nunca lo votaría",0.355,0.489,0.769,0.428,0.5
"P44","No sabe",0.024,0.058,0.061,0.088,0.074
"P45","Lo votaria",0.266,0.145,0.032,0.106,0.196
"P45","Puede que lo vote",0.418,0.248,0.071,0.232,0.192
"P45","Nunca lo votaría",0.235,0.511,0.825,0.581,0.518
"P45","No sabe",0.081,0.096,0.072,0.081,0.094
"P46","Positiva",0.273,0.168,0.235,0.104,0.147
"P46","Neutra",0.06,0.148,0.325,0.203,0.194
"P46","Negativa",0.667,0.684,0.436,0.693,0.643
"P46","No sabe",0,0,0.004,0,0.016
"P47","Positiva",0.712,0.35,0.119,0.256,0.287
"P47","Neutra",0.136,0.163,0.088,0.148,0.136
"P47","Negativa",0.152,0.484,0.78,0.582,0.56
"P47","No sabe",0,0.003,0.013,0.014,0.017
"P48","Positiva",0.254,0.299,0.601,0.274,0.307
"P48","Neutra",0.026,0.035,0.055,0.031,0.027
"P48","Negativa",0.714,0.666,0.34,0.667,0.648
"P48","No sabe",0.006,0,0.004,0.028,0.018
"P49","Positiva",0.563,0.282,0.19,0.276,0.17
"P49","Neutra",0.153,0.3,0.116,0.253,0.247
"P49","Negativa",0.278,0.402,0.693,0.425,0.546
"P49","No sabe",0.006,0.016,0.001,0.046,0.037
"P50","Positiva",0.267,0.185,0.327,0.145,0.169
"P50","Neutra",0.06,0.199,0.25,0.212,0.218
"P50","Negativa",0.67,0.616,0.423,0.596,0.582
"P50","No sabe",0.003,0,0,0.047,0.031
"P51","Positiva",0.827,0.43,0.136,0.311,0.4
"P51","Neutra",0.03,0.169,0.099,0.119,0.181
"P51","Negativa",0.14,0.401,0.765,0.524,0.384
"P51","No sabe",0.003,0,0,0.046,0.035
"P52","Positiva",0.548,0.384,0.144,0.414,0.336
"P52","Neutra",0.215,0.211,0.057,0.164,0.223
"P52","Negativa",0.234,0.388,0.799,0.372,0.377
"P52","No sabe",0.003,0.017,0,0.05,0.064
