"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.648,0.41,0.172,0.295,0.355
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.155,0.215,0.326,0.312,0.24
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.068,0.215,0.243,0.162,0.201
"P20","Al candidato del Frente de Izquierda",0.037,0.026,0.1,0.02,0.024
"P20","No sabe",0.092,0.134,0.159,0.211,0.18
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.65,0.446,0.181,0.316,0.368
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.188,0.228,0.405,0.332,0.24
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.083,0.228,0.239,0.146,0.237
"P21","Al candidato del Frente de Izquierda",0.04,0.009,0.051,0.011,0.011
"P21","No sabe",0.039,0.089,0.124,0.195,0.144
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.618,0.39,0.111,0.247,0.328
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.141,0.15,0.301,0.258,0.232
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.093,0.266,0.311,0.183,0.287
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.039,0.032,0.064,0.025,0.027
"P22","No sabe",0.109,0.162,0.213,0.287,0.126
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.589,0.367,0.115,0.269,0.322
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.187,0.207,0.373,0.328,0.242
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.072,0.28,0.266,0.166,0.271
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.047,0.017,0.054,0.017,0.03
"P23","No sabe",0.105,0.129,0.192,0.22,0.135
"P24","Positiva",0.815,0.452,0.193,0.269,0.332
"P24","Neutra",0.059,0.366,0.091,0.245,0.161
"P24","Negativa",0.11,0.16,0.7,0.343,0.204
"P24","No sabe",0.003,0.007,0.004,0.133,0.062
"P24","No lo conozco",0.013,0.015,0.012,0.01,0.241
"P26","Positiva",0.335,0.167,0.223,0.231,0.191
"P26","Neutra",0.125,0.421,0.198,0.125,0.158
"P26","Negativa",0.518,0.369,0.57,0.357,0.247
"P26","No sabe",0.015,0.025,0.008,0.202,0.053
"P26","No lo conozco",0.007,0.018,0.001,0.085,0.351
"P27","Positiva",0.296,0.109,0.214,0.077,0.05
"P27","Neutra",0.207,0.491,0.209,0.109,0.063
"P27","Negativa",0.335,0.231,0.415,0.072,0.115
"P27","No sabe",0.054,0.113,0.077,0.41,0.127
"P27","No lo conozco",0.108,0.056,0.085,0.332,0.645
"P28","Positiva",0.21,0.053,0.118,0.019,0.016
"P28","Neutra",0.29,0.473,0.182,0.079,0.022
"P28","Negativa",0.206,0.184,0.378,0.012,0.07
"P28","No sabe",0.138,0.161,0.132,0.469,0.104
"P28","No lo conozco",0.156,0.129,0.19,0.421,0.788
"P29","Positiva",0.228,0.113,0.12,0.054,0.041
"P29","Neutra",0.177,0.413,0.2,0.069,0.081
"P29","Negativa",0.321,0.23,0.434,0.073,0.131
"P29","No sabe",0.111,0.119,0.093,0.435,0.059
"P29","No lo conozco",0.163,0.125,0.153,0.369,0.688
"P30","Positiva",0.693,0.414,0.151,0.243,0.263
"P30","Neutra",0.103,0.273,0.11,0.21,0.164
"P30","Negativa",0.167,0.274,0.736,0.459,0.415
"P30","No sabe",0.037,0.039,0.003,0.088,0.158
"P31","Que continúe el intendente Lucas Gui",0.372,0.215,0.108,0.127,0.129
"P31","Que continúe Lucas Gui pero con mejoras",0.434,0.288,0.119,0.24,0.243
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.083,0.169,0.05,0.126,0.074
"P31","Que cambie el intendente Lucas Gui",0.111,0.328,0.723,0.507,0.554
"P32","La seguridad",0.192,0.035,0.062,0.174,0.039
"P32","El tránsito",0.087,0.077,0.042,0.009,0.047
"P32","El arreglo de las calles",0.124,0.175,0.053,0.068,0.141
"P32","Los parques y espacios públicos",0.154,0.181,0.183,0.086,0.156
"P32","El sistema de salud",0.05,0.088,0.055,0.031,0.055
"P32","La limpieza de las calles",0.104,0.041,0.066,0.038,0.116
"P32","El deporte y la cultura",0.055,0.129,0.058,0.156,0.09
"P32","La luminaria",0.046,0.047,0.058,0.116,0.047
"P32","No sabe",0.188,0.227,0.423,0.322,0.309
"P33","La seguridad",0.235,0.414,0.518,0.548,0.524
"P33","El tránsito",0.123,0.054,0.06,0.022,0.06
"P33","El arreglo de las calles",0.2,0.261,0.175,0.139,0.089
"P33","Los parques y espacios públicos",0.073,0.034,0.052,0.013,0.005
"P33","El sistema de salud",0.034,0.064,0.042,0.03,0.075
"P33","La limpieza de las calles",0.119,0.035,0.029,0.012,0.013
"P33","El deporte y la cultura",0.014,0.037,0.014,0.03,0.013
"P33","La luminaria",0.028,0.009,0.016,0.039,0.017
"P33","No sabe",0.174,0.092,0.094,0.167,0.204
"P34","Agua corriente y cloacas",0.265,0.242,0.277,0.165,0.301
"P34","Energía eléctrica",0.136,0.124,0.136,0.22,0.156
"P34","Red de gas natural",0.059,0.095,0.07,0.031,0.023
"P34","Recolección de residuos",0.237,0.214,0.283,0.239,0.239
"P34","Ninguno",0.303,0.325,0.234,0.345,0.281
"P35","Los robos",0.394,0.486,0.449,0.462,0.379
"P35","El narcotráfico",0.082,0.12,0.086,0.126,0.132
"P35","La ausencia de patrulleros y personal policial",0.195,0.239,0.215,0.254,0.225
"P35","Otro",0.153,0.096,0.195,0.097,0.16
"P35","Ninguno",0.176,0.059,0.055,0.061,0.104
"P36","Positiva",0.588,0.262,0.201,0.212,0.17
"P36","Neutra",0.197,0.404,0.247,0.129,0.277
"P36","Negativa",0.135,0.203,0.466,0.293,0.158
"P36","No sabe",0.08,0.131,0.086,0.366,0.395
"P37","Lo votaria",0.222,0.092,0.066,0.067,0.127
"P37","Puede que lo vote",0.345,0.233,0.058,0.183,0.061
"P37","Nunca lo votaría",0.312,0.562,0.799,0.639,0.68
"P37","No sabe",0.121,0.113,0.077,0.111,0.132
"P38","Lo votaria",0.271,0.101,0.054,0.103,0.078
"P38","Puede que lo vote",0.364,0.258,0.072,0.171,0.2
"P38","Nunca lo votaría",0.271,0.543,0.805,0.579,0.566
"P38","No sabe",0.094,0.098,0.069,0.147,0.156
"P39","Lo votaria",0.31,0.105,0.051,0.108,0.082
"P39","Puede que lo vote",0.371,0.27,0.094,0.138,0.159
"P39","Nunca lo votaría",0.274,0.539,0.782,0.627,0.631
"P39","No sabe",0.045,0.086,0.073,0.127,0.128
"P40","Lo votaria",0.232,0.086,0.133,0.089,0.077
"P40","Puede que lo vote",0.169,0.205,0.297,0.353,0.153
"P40","Nunca lo votaría",0.553,0.623,0.527,0.454,0.666
"P40","No sabe",0.046,0.086,0.043,0.104,0.104
"P41","Lo votaria",0.209,0.217,0.415,0.265,0.21
"P41","Puede que lo vote",0.12,0.132,0.185,0.245,0.217
"P41","Nunca lo votaría",0.643,0.596,0.359,0.428,0.473
"P41","No sabe",0.028,0.055,0.041,0.062,0.1
"P42","Lo votaria",0.108,0.059,0.137,0.081,0.083
"P42","Puede que lo vote",0.111,0.22,0.231,0.248,0.242
"P42","Nunca lo votaría",0.677,0.58,0.547,0.509,0.497
"P42","No sabe",0.104,0.141,0.085,0.162,0.178
"P43","Lo votaria",0.096,0.058,0.109,0.039,0.045
"P43","Puede que lo vote",0.15,0.187,0.168,0.185,0.142
"P43","Nunca lo votaría",0.686,0.631,0.611,0.556,0.628
"P43","No sabe",0.068,0.124,0.112,0.22,0.185
"P44","Lo votaria",0.208,0.24,0.304,0.152,0.289
"P44","Puede que lo vote",0.109,0.118,0.194,0.244,0.112
"P44","Nunca lo votaría",0.672,0.576,0.454,0.511,0.512
"P44","No sabe",0.011,0.066,0.048,0.093,0.087
"P45","Lo votaria",0.08,0.135,0.202,0.089,0.116
"P45","Puede que lo vote",0.132,0.193,0.266,0.197,0.245
"P45","Nunca lo votaría",0.722,0.593,0.439,0.607,0.562
"P45","No sabe",0.066,0.079,0.093,0.107,0.077
"P46","Positiva",0.441,0.186,0.119,0.126,0.197
"P46","Neutra",0.303,0.27,0.099,0.209,0.137
"P46","Negativa",0.256,0.544,0.777,0.665,0.646
"P46","No sabe",0,0,0.005,0,0.02
"P47","Positiva",0.304,0.263,0.399,0.298,0.326
"P47","Neutra",0.126,0.16,0.124,0.097,0.12
"P47","Negativa",0.57,0.564,0.477,0.59,0.529
"P47","No sabe",0,0.013,0,0.015,0.025
"P48","Positiva",0.63,0.439,0.226,0.277,0.389
"P48","Neutra",0.034,0.051,0.027,0.023,0.039
"P48","Negativa",0.336,0.505,0.74,0.679,0.549
"P48","No sabe",0,0.005,0.007,0.021,0.023
"P49","Positiva",0.373,0.26,0.295,0.285,0.199
"P49","Neutra",0.07,0.235,0.19,0.25,0.277
"P49","Negativa",0.546,0.496,0.498,0.429,0.488
"P49","No sabe",0.011,0.009,0.017,0.036,0.036
"P50","Positiva",0.53,0.232,0.135,0.171,0.214
"P50","Neutra",0.221,0.26,0.091,0.219,0.225
"P50","Negativa",0.237,0.505,0.767,0.585,0.518
"P50","No sabe",0.012,0.003,0.007,0.025,0.043
"P51","Positiva",0.333,0.326,0.472,0.421,0.391
"P51","Neutra",0.146,0.133,0.122,0.091,0.125
"P51","Negativa",0.51,0.541,0.401,0.458,0.43
"P51","No sabe",0.011,0,0.005,0.03,0.054
"P52","Positiva",0.256,0.321,0.4,0.247,0.428
"P52","Neutra",0.093,0.145,0.18,0.264,0.152
"P52","Negativa",0.636,0.518,0.411,0.432,0.368
"P52","No sabe",0.015,0.016,0.009,0.057,0.052
