"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.171,0.036,0.084,0.074,0.052
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.236,0.132,0.053,0.102,0.091
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.303,0.21,0.09,0.239,0.218
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.146,0.27,0.181,0.181,0.163
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.023,0.052,0.019,0.035
"P19","No sabe",0.041,0.073,0.145,0.14,0.208
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.167,0.301,0.476,0.304,0.358
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.416,0.262,0.122,0.305,0.287
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.189,0.265,0.203,0.199,0.139
"P20","Al candidato del Frente de Izquierda",0.179,0.044,0.067,0.021,0.027
"P20","No sabe",0.049,0.128,0.132,0.171,0.189
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.102,0.334,0.525,0.322,0.365
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.637,0.277,0.135,0.334,0.312
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.167,0.3,0.186,0.175,0.152
"P21","Al candidato del Frente de Izquierda",0.045,0.012,0.059,0.022,0.015
"P21","No sabe",0.049,0.077,0.095,0.147,0.156
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.201,0.279,0.422,0.267,0.288
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.466,0.194,0.121,0.23,0.248
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.173,0.362,0.191,0.257,0.203
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.065,0.019,0.09,0.025,0.032
"P22","No sabe",0.095,0.146,0.176,0.221,0.229
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.12,0.275,0.416,0.256,0.312
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.541,0.27,0.126,0.28,0.308
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.201,0.31,0.205,0.273,0.173
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.065,0.025,0.065,0.02,0.022
"P23","No sabe",0.073,0.12,0.188,0.171,0.185
"P24","Positiva",0.474,0.425,0.389,0.297,0.372
"P24","Neutra",0.137,0.256,0.188,0.217,0.158
"P24","Negativa",0.389,0.274,0.419,0.391,0.324
"P24","No sabe",0,0.02,0.003,0.069,0.037
"P24","No lo conozco",0,0.025,0.001,0.026,0.109
"P25","Positiva",0.296,0.131,0.114,0.085,0.064
"P25","Neutra",0.21,0.6,0.286,0.279,0.149
"P25","Negativa",0.435,0.215,0.548,0.212,0.205
"P25","No sabe",0.032,0.043,0.008,0.351,0.211
"P25","No lo conozco",0.027,0.011,0.044,0.073,0.371
"P26","Positiva",0.532,0.21,0.099,0.237,0.213
"P26","Neutra",0.17,0.431,0.117,0.233,0.176
"P26","Negativa",0.225,0.316,0.774,0.42,0.37
"P26","No sabe",0.059,0.04,0.007,0.07,0.046
"P26","No lo conozco",0.014,0.003,0.003,0.04,0.195
"P27","Positiva",0.731,0.171,0.045,0.096,0.08
"P27","Neutra",0.149,0.656,0.141,0.163,0.074
"P27","Negativa",0.081,0.144,0.795,0.162,0.101
"P27","No sabe",0.02,0.014,0.015,0.535,0.118
"P27","No lo conozco",0.019,0.015,0.004,0.044,0.627
"P29","Positiva",0.475,0.117,0.097,0.081,0.029
"P29","Neutra",0.225,0.66,0.033,0.079,0.091
"P29","Negativa",0.209,0.143,0.838,0.09,0.093
"P29","No sabe",0.051,0.033,0.016,0.606,0.065
"P29","No lo conozco",0.04,0.047,0.016,0.144,0.722
"P30","Positiva",0.281,0.318,0.365,0.283,0.343
"P30","Neutra",0.193,0.264,0.129,0.157,0.159
"P30","Negativa",0.508,0.378,0.506,0.478,0.411
"P30","No sabe",0.018,0.04,0,0.082,0.087
"P31","Que continúe el intendente Lucas Gui",0.169,0.174,0.284,0.148,0.126
"P31","Que continúe Lucas Gui pero con mejoras",0.253,0.236,0.196,0.212,0.296
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.057,0.17,0.069,0.094,0.095
"P31","Que cambie el intendente Lucas Gui",0.521,0.42,0.451,0.546,0.483
"P32","La seguridad",0.198,0.056,0.07,0.125,0.047
"P32","El tránsito",0.107,0.068,0.059,0.02,0.048
"P32","El arreglo de las calles",0.082,0.147,0.133,0.115,0.081
"P32","Los parques y espacios públicos",0.239,0.21,0.162,0.119,0.126
"P32","El sistema de salud",0.004,0.053,0.105,0.057,0.058
"P32","La limpieza de las calles",0.042,0.097,0.025,0.071,0.066
"P32","El deporte y la cultura",0.029,0.044,0.13,0.104,0.143
"P32","La luminaria",0.026,0.063,0.028,0.092,0.067
"P32","No sabe",0.273,0.262,0.288,0.297,0.364
"P33","La seguridad",0.49,0.493,0.329,0.499,0.477
"P33","El tránsito",0.128,0.043,0.087,0.042,0.048
"P33","El arreglo de las calles",0.21,0.237,0.244,0.119,0.15
"P33","Los parques y espacios públicos",0.031,0.032,0.089,0.032,0.009
"P33","El sistema de salud",0.025,0.033,0.051,0.055,0.072
"P33","La limpieza de las calles",0.014,0.042,0.03,0.025,0.05
"P33","El deporte y la cultura",0.01,0.011,0.027,0.028,0.033
"P33","La luminaria",0.01,0.019,0.017,0.024,0.018
"P33","No sabe",0.082,0.09,0.126,0.176,0.143
"P34","Agua corriente y cloacas",0.259,0.296,0.197,0.251,0.248
"P34","Energía eléctrica",0.294,0.157,0.123,0.134,0.121
"P34","Red de gas natural",0.137,0.078,0.039,0.078,0.042
"P34","Recolección de residuos",0.151,0.237,0.266,0.279,0.236
"P34","Ninguno",0.159,0.232,0.375,0.258,0.353
"P35","Los robos",0.448,0.496,0.443,0.492,0.378
"P35","El narcotráfico",0.197,0.144,0.063,0.096,0.09
"P35","La ausencia de patrulleros y personal policial",0.166,0.226,0.161,0.235,0.285
"P35","Otro",0.074,0.093,0.218,0.114,0.164
"P35","Ninguno",0.115,0.041,0.115,0.063,0.083
"P36","Positiva",0.41,0.293,0.3,0.236,0.192
"P36","Neutra",0.294,0.365,0.251,0.267,0.235
"P36","Negativa",0.251,0.247,0.326,0.287,0.266
"P36","No sabe",0.045,0.095,0.123,0.21,0.307
"P37","Lo votaria",0.302,0.095,0.083,0.085,0.073
"P37","Puede que lo vote",0.044,0.188,0.207,0.142,0.174
"P37","Nunca lo votaría",0.629,0.64,0.557,0.663,0.631
"P37","No sabe",0.025,0.077,0.153,0.11,0.122
"P38","Lo votaria",0.241,0.118,0.101,0.077,0.075
"P38","Puede que lo vote",0.086,0.192,0.276,0.178,0.196
"P38","Nunca lo votaría",0.664,0.622,0.508,0.629,0.583
"P38","No sabe",0.009,0.068,0.115,0.116,0.146
"P39","Lo votaria",0.209,0.14,0.116,0.084,0.073
"P39","Puede que lo vote",0.072,0.178,0.282,0.176,0.211
"P39","Nunca lo votaría",0.674,0.638,0.489,0.665,0.583
"P39","No sabe",0.045,0.044,0.113,0.075,0.133
"P40","Lo votaria",0.363,0.119,0.07,0.076,0.099
"P40","Puede que lo vote",0.268,0.258,0.142,0.283,0.255
"P40","Nunca lo votaría",0.322,0.584,0.696,0.54,0.565
"P40","No sabe",0.047,0.039,0.092,0.101,0.081
"P41","Lo votaria",0.554,0.327,0.113,0.289,0.26
"P41","Puede que lo vote",0.203,0.174,0.07,0.166,0.236
"P41","Nunca lo votaría",0.231,0.47,0.753,0.462,0.44
"P41","No sabe",0.012,0.029,0.064,0.083,0.064
"P42","Lo votaria",0.314,0.076,0.064,0.095,0.061
"P42","Puede que lo vote",0.286,0.277,0.092,0.214,0.234
"P42","Nunca lo votaría",0.388,0.533,0.732,0.534,0.539
"P42","No sabe",0.012,0.114,0.112,0.157,0.166
"P43","Lo votaria",0.293,0.049,0.051,0.066,0.047
"P43","Puede que lo vote",0.231,0.223,0.091,0.174,0.161
"P43","Nunca lo votaría",0.442,0.585,0.771,0.603,0.616
"P43","No sabe",0.034,0.143,0.087,0.157,0.176
"P44","Lo votaria",0.362,0.3,0.179,0.279,0.199
"P44","Puede que lo vote",0.262,0.125,0.08,0.18,0.185
"P44","Nunca lo votaría",0.37,0.529,0.678,0.468,0.536
"P44","No sabe",0.006,0.046,0.063,0.073,0.08
"P45","Lo votaria",0.315,0.147,0.044,0.137,0.145
"P45","Puede que lo vote",0.325,0.21,0.144,0.204,0.241
"P45","Nunca lo votaría",0.338,0.528,0.733,0.582,0.526
"P45","No sabe",0.022,0.115,0.079,0.077,0.088
"P46","Positiva",0.414,0.23,0.174,0.116,0.147
"P46","Neutra",0.104,0.136,0.301,0.223,0.192
"P46","Negativa",0.476,0.634,0.52,0.661,0.652
"P46","No sabe",0.006,0,0.005,0,0.009
"P47","Positiva",0.702,0.352,0.146,0.341,0.284
"P47","Neutra",0.053,0.167,0.121,0.125,0.136
"P47","Negativa",0.245,0.461,0.733,0.532,0.565
"P47","No sabe",0,0.02,0,0.002,0.015
"P48","Positiva",0.331,0.336,0.525,0.312,0.343
"P48","Neutra",0.032,0.04,0.07,0.026,0.022
"P48","Negativa",0.631,0.615,0.405,0.65,0.619
"P48","No sabe",0.006,0.009,0,0.012,0.016
"P49","Positiva",0.734,0.262,0.172,0.327,0.197
"P49","Neutra",0.138,0.224,0.183,0.248,0.214
"P49","Negativa",0.122,0.502,0.645,0.4,0.552
"P49","No sabe",0.006,0.012,0,0.025,0.037
"P50","Positiva",0.41,0.224,0.263,0.176,0.184
"P50","Neutra",0.065,0.184,0.236,0.213,0.206
"P50","Negativa",0.519,0.583,0.501,0.587,0.588
"P50","No sabe",0.006,0.009,0,0.024,0.022
"P51","Positiva",0.735,0.41,0.188,0.423,0.389
"P51","Neutra",0.008,0.136,0.121,0.117,0.155
"P51","Negativa",0.251,0.446,0.691,0.437,0.431
"P51","No sabe",0.006,0.008,0,0.023,0.025
"P52","Positiva",0.607,0.384,0.188,0.383,0.301
"P52","Neutra",0.184,0.173,0.109,0.151,0.204
"P52","Negativa",0.198,0.425,0.703,0.442,0.444
"P52","No sabe",0.011,0.018,0,0.024,0.051
