"var","categoria","Precio","Calidad","Ambas","Compra sin ningún tipo de consideración"
"P20","Todos los días",0.133,0.156,0.116,0.21
"P20","Entre 4 y 6 días a la semana",0.091,0.139,0.108,0.123
"P20","Entre 1 y 3 días a la semana",0.148,0.172,0.174,0.129
"P20","Raramente",0.382,0.328,0.358,0.363
"P20","Nunca",0.246,0.205,0.244,0.175
"P21","Todos los días",0.714,0.833,0.804,0.772
"P21","Entre 4 y 6 días a la semana",0.099,0.062,0.088,0.042
"P21","Entre 1 y 3 días a la semana",0.054,0.041,0.033,0.076
"P21","Raramente",0.086,0.051,0.04,0.063
"P21","Nunca",0.047,0.013,0.035,0.047
"P22","Asado",0.432,0.417,0.424,0.389
"P22","Pizza",0.081,0.082,0.068,0.068
"P22","Milanesa",0.135,0.142,0.182,0.146
"P22","Pastas",0.098,0.088,0.091,0.064
"P22","Empanadas",0.047,0.036,0.032,0.064
"P22","Hamburguesa",0.018,0.017,0.015,0.011
"P22","Ensaladas (de cualquier tipo)",0.05,0.09,0.082,0.085
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.077,0.082,0.065,0.106
"P22","Polenta o similares (de cualquier tipo)",0.034,0.034,0.012,0.028
"P22","Ninguno de los anteriores",0.028,0.012,0.029,0.039
"P23","Asado",0.134,0.138,0.084,0.171
"P23","Pizza",0.061,0.098,0.074,0.052
"P23","Milanesa",0.154,0.236,0.26,0.199
"P23","Pastas",0.204,0.116,0.142,0.159
"P23","Empanadas",0.037,0.051,0.049,0.054
"P23","Hamburguesa",0.008,0.036,0.023,0.006
"P23","Ensaladas (de cualquier tipo)",0.069,0.117,0.149,0.114
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.125,0.116,0.107,0.095
"P23","Polenta o similares (de cualquier tipo)",0.142,0.057,0.038,0.071
"P23","Ninguno de los anteriores",0.066,0.035,0.074,0.079
"P24","Helado",0.276,0.342,0.31,0.293
"P24","Tortas, tartas dulces y masas",0.134,0.116,0.161,0.112
"P24","Ensalada de frutas",0.175,0.18,0.182,0.141
"P24","Flan, budín de pan y similares",0.114,0.104,0.094,0.11
"P24","Dulce de batata, membrillo o similares",0.066,0.05,0.07,0.042
"P24","Facturas de todo tipo",0.046,0.045,0.036,0.041
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.017,0.043,0.031,0.083
"P24","Gelatina",0.04,0.034,0.028,0.038
"P24","Panqueques, wafles y similares",0.028,0.016,0.02,0.016
"P24","Ninguno de los anteriores",0.104,0.07,0.068,0.124
"P25","Helado",0.119,0.176,0.15,0.176
"P25","Tortas, tartas dulces y masas",0.106,0.142,0.152,0.172
"P25","Ensalada de frutas",0.071,0.145,0.105,0.123
"P25","Flan, budín de pan y similares",0.054,0.072,0.044,0.054
"P25","Dulce de batata, membrillo o similares",0.081,0.098,0.127,0.07
"P25","Facturas de todo tipo",0.068,0.065,0.082,0.089
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.013,0.04,0.03,0.038
"P25","Gelatina",0.061,0.053,0.035,0.019
"P25","Panqueques, wafles y similares",0.013,0.016,0.018,0.005
"P25","Ninguno de los anteriores",0.414,0.193,0.257,0.254
"P26","Vegetariano",0.059,0.089,0.047,0.082
"P26","Vegano",0.029,0.063,0.027,0.091
"P26","Dieta baja en carnes rojas",0.1,0.188,0.145,0.149
"P26","Dieta baja en carbohidratos",0.06,0.101,0.1,0.104
"P26","Dieta baja en azúcares",0.07,0.16,0.126,0.132
"P26","Kosher o Alal",0.014,0.015,0.011,0.02
"P26","Ninguna restricción alimentaria",0.668,0.384,0.544,0.422
"P27","Bajo peso",0.115,0.084,0.046,0.117
"P27","Sobrepeso",0.247,0.249,0.272,0.278
"P27","Obesidad",0.075,0.054,0.067,0.043
"P27","Normal",0.427,0.5,0.53,0.501
"P27","No sabe",0.136,0.113,0.085,0.061
"P28","Diabetes",0.137,0.125,0.068,0.114
"P28","Hipertensión",0.146,0.198,0.198,0.201
"P28","Enfermedades cardiovasculares",0.045,0.07,0.032,0.016
"P28","Celiaquía",0.067,0.063,0.068,0.132
"P28","Ninguna",0.475,0.483,0.571,0.46
"P28","No sabe",0.13,0.061,0.063,0.077
"P29","Todos los días",0.058,0.044,0.028,0.126
"P29","Entre 4 y 6 días a la semana",0.03,0.074,0.043,0.045
"P29","Entre 1 y 3 días a la semana",0.036,0.175,0.162,0.132
"P29","Raramente",0.195,0.278,0.365,0.327
"P29","Nunca",0.681,0.429,0.402,0.37
"P30","Todos los días",0.04,0.041,0.016,0.119
"P30","Entre 4 y 6 días a la semana",0.004,0.053,0.02,0.035
"P30","Entre 1 y 3 días a la semana",0.05,0.158,0.137,0.131
"P30","Raramente",0.248,0.331,0.389,0.301
"P30","Nunca",0.658,0.417,0.438,0.414
"P31","Todos los días",0.723,0.55,0.595,0.441
"P31","Entre 4 y 6 días a la semana",0.104,0.253,0.206,0.176
"P31","Entre 1 y 3 días a la semana",0.049,0.06,0.079,0.131
"P31","Raramente",0.04,0.093,0.066,0.117
"P31","Nunca",0.084,0.044,0.054,0.135
"P32","Menos de 1 comida al día",0.324,0.084,0.091,0.197
"P32","1 comida",0.344,0.474,0.26,0.218
"P32","2 comidas",0.182,0.203,0.303,0.178
"P32","3 comidas",0.081,0.127,0.169,0.24
"P32","4 comidas",0.055,0.09,0.145,0.098
"P32","Más de 4 comidas",0.014,0.022,0.032,0.069
"P34","Menos de 1 vez a la semana",0.378,0.146,0.128,0.182
"P34","1 vez a la semana",0.26,0.358,0.27,0.234
"P34","Entre 1 a 4 veces a la semana",0.137,0.304,0.411,0.237
"P34","Más de 4 veces a la semana",0.135,0.121,0.127,0.205
"P34","No sabe",0.09,0.071,0.064,0.142
"P35","Hipermercado/Supermercado",0.498,0.448,0.488,0.371
"P35","Almacenes",0.272,0.271,0.235,0.225
"P35","Productores locales/mercados de cercanía/Ferias",0.141,0.21,0.214,0.181
"P35","Vía pública",0.033,0.013,0.02,0.097
"P35","No sabe",0.056,0.058,0.043,0.126
