"var","categoria","Bajo peso","Sobrepeso","Obesidad","Normal","No sabe"
"P09","Nunca",0.28,0.21,0.245,0.244,0.348
"P10","Todos los días",0.189,0.11,0.083,0.079,0.06
"P10","Entre 4 y 6 días a la semana",0.184,0.165,0.18,0.136,0.096
"P10","Entre 1 y 3 días a la semana",0.159,0.269,0.281,0.292,0.2
"P10","Raramente",0.306,0.361,0.38,0.39,0.361
"P10","Nunca",0.162,0.095,0.076,0.103,0.283
"P11","Todos los días",0.216,0.172,0.163,0.21,0.13
"P11","Entre 4 y 6 días a la semana",0.107,0.184,0.169,0.197,0.091
"P11","Entre 1 y 3 días a la semana",0.184,0.267,0.245,0.274,0.243
"P11","Raramente",0.292,0.301,0.341,0.253,0.358
"P11","Nunca",0.201,0.076,0.082,0.066,0.178
"P12","Todos los días",0.274,0.271,0.196,0.316,0.212
"P12","Entre 4 y 6 días a la semana",0.147,0.209,0.21,0.193,0.109
"P12","Entre 1 y 3 días a la semana",0.186,0.251,0.321,0.235,0.21
"P12","Raramente",0.234,0.202,0.199,0.212,0.347
"P12","Nunca",0.159,0.067,0.074,0.044,0.122
"P13","Todos los días",0.199,0.055,0.039,0.074,0.064
"P13","Entre 4 y 6 días a la semana",0.087,0.094,0.106,0.117,0.042
"P13","Entre 1 y 3 días a la semana",0.204,0.288,0.316,0.316,0.264
"P13","Raramente",0.329,0.43,0.411,0.377,0.384
"P13","Nunca",0.181,0.133,0.128,0.116,0.246
"P14","Todos los días",0.288,0.281,0.255,0.268,0.222
"P14","Entre 4 y 6 días a la semana",0.213,0.282,0.218,0.249,0.157
"P14","Entre 1 y 3 días a la semana",0.212,0.247,0.33,0.27,0.285
"P14","Raramente",0.173,0.165,0.173,0.162,0.266
"P14","Nunca",0.114,0.025,0.024,0.051,0.07
"P15","Todos los días",0.251,0.116,0.101,0.113,0.107
"P15","Entre 4 y 6 días a la semana",0.168,0.198,0.215,0.221,0.139
"P15","Entre 1 y 3 días a la semana",0.283,0.404,0.449,0.418,0.371
"P15","Raramente",0.234,0.221,0.195,0.206,0.282
"P15","Nunca",0.064,0.061,0.04,0.042,0.101
"P16","Menos de un vaso al día",0.223,0.056,0.085,0.083,0.05
"P16","De 1 a 4 vasos al día",0.208,0.341,0.285,0.319,0.345
"P16","Más de 4 vasos al día",0.458,0.539,0.566,0.56,0.514
"P16","No consume agua",0.111,0.064,0.064,0.038,0.091
"P17","Agua embotellada/mineral",0.301,0.165,0.105,0.173,0.09
"P17","Agua de la canilla filtrada",0.198,0.334,0.327,0.306,0.238
"P17","Agua de la canilla directamente",0.338,0.38,0.434,0.359,0.461
"P17","Agua de bidón",0.119,0.111,0.134,0.158,0.179
"P17","No consume agua",0.044,0.01,0,0.004,0.032
"P18","Todos los días",0.18,0.053,0.063,0.055,0.041
"P18","Entre 4 y 6 días a la semana",0.064,0.099,0.052,0.067,0.05
"P18","Entre 1 y 3 días a la semana",0.149,0.219,0.161,0.201,0.192
"P18","Raramente",0.23,0.356,0.405,0.34,0.256
"P18","Nunca",0.377,0.273,0.319,0.337,0.461
"P19","Vino",0.264,0.296,0.259,0.25,0.166
"P19","Cerveza",0.114,0.229,0.129,0.189,0.142
"P19","Destilados (whisky, vodka, ron, etc.)",0.111,0.048,0.051,0.042,0.064
"P19","Espumantes",0.021,0.041,0.067,0.042,0.047
"P19","Otros",0.094,0.112,0.126,0.098,0.123
"P19","No consume bebidas alcohólicas",0.396,0.274,0.368,0.379,0.458
"P20","Todos los días",0.245,0.153,0.126,0.107,0.12
"P20","Entre 4 y 6 días a la semana",0.092,0.141,0.067,0.104,0.098
"P20","Entre 1 y 3 días a la semana",0.153,0.191,0.175,0.153,0.103
"P20","Raramente",0.265,0.348,0.394,0.379,0.376
"P20","Nunca",0.245,0.167,0.238,0.257,0.303
"P21","Todos los días",0.7,0.809,0.769,0.786,0.706
"P21","Entre 4 y 6 días a la semana",0.101,0.076,0.068,0.084,0.08
"P21","Entre 1 y 3 días a la semana",0.05,0.042,0.093,0.038,0.069
"P21","Raramente",0.064,0.052,0.047,0.054,0.092
"P21","Nunca",0.085,0.021,0.023,0.038,0.053
"P22","Asado",0.494,0.414,0.426,0.419,0.417
"P22","Pizza",0.092,0.111,0.097,0.06,0.039
"P22","Milanesa",0.136,0.17,0.217,0.162,0.11
"P22","Pastas",0.063,0.088,0.06,0.097,0.083
"P22","Empanadas",0.05,0.041,0.033,0.032,0.052
"P22","Hamburguesa",0.009,0.022,0.003,0.017,0.009
"P22","Ensaladas (de cualquier tipo)",0.044,0.061,0.068,0.089,0.06
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.024,0.063,0.058,0.079,0.119
"P22","Polenta o similares (de cualquier tipo)",0.067,0.012,0.027,0.016,0.05
"P22","Ninguno de los anteriores",0.021,0.018,0.011,0.029,0.061
"P23","Asado",0.229,0.112,0.143,0.103,0.078
"P23","Pizza",0.124,0.09,0.065,0.055,0.083
"P23","Milanesa",0.132,0.272,0.26,0.22,0.169
"P23","Pastas",0.106,0.154,0.152,0.167,0.138
"P23","Empanadas",0.064,0.051,0.048,0.047,0.02
"P23","Hamburguesa",0.028,0.014,0.017,0.02,0.026
"P23","Ensaladas (de cualquier tipo)",0.041,0.105,0.101,0.137,0.1
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.062,0.097,0.103,0.122,0.133
"P23","Polenta o similares (de cualquier tipo)",0.18,0.055,0.057,0.062,0.126
"P23","Ninguno de los anteriores",0.034,0.05,0.054,0.067,0.127
"P24","Helado",0.378,0.351,0.29,0.292,0.225
"P24","Tortas, tartas dulces y masas",0.153,0.149,0.139,0.14,0.14
"P24","Ensalada de frutas",0.148,0.165,0.23,0.174,0.191
"P24","Flan, budín de pan y similares",0.085,0.119,0.061,0.108,0.079
"P24","Dulce de batata, membrillo o similares",0.064,0.047,0.064,0.074,0.055
"P24","Facturas de todo tipo",0.033,0.037,0.071,0.037,0.061
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.017,0.028,0.036,0.039,0.015
"P24","Gelatina",0.009,0.03,0.028,0.031,0.063
"P24","Panqueques, wafles y similares",0.006,0.02,0.017,0.021,0.036
"P24","Ninguno de los anteriores",0.107,0.054,0.064,0.084,0.135
"P25","Helado",0.228,0.174,0.158,0.136,0.075
"P25","Tortas, tartas dulces y masas",0.212,0.166,0.079,0.136,0.106
"P25","Ensalada de frutas",0.077,0.084,0.143,0.112,0.09
"P25","Flan, budín de pan y similares",0.064,0.047,0.041,0.06,0.025
"P25","Dulce de batata, membrillo o similares",0.08,0.084,0.089,0.132,0.064
"P25","Facturas de todo tipo",0.043,0.098,0.08,0.067,0.089
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.005,0.023,0.038,0.031,0.009
"P25","Gelatina",0.032,0.062,0.051,0.034,0.06
"P25","Panqueques, wafles y similares",0.004,0.013,0.012,0.02,0.003
"P25","Ninguno de los anteriores",0.255,0.249,0.309,0.272,0.479
"P26","Vegetariano",0.261,0.051,0.037,0.056,0.021
"P26","Vegano",0.114,0.07,0.008,0.019,0.012
"P26","Dieta baja en carnes rojas",0.095,0.125,0.376,0.135,0.082
"P26","Dieta baja en carbohidratos",0.068,0.09,0.064,0.105,0.026
"P26","Dieta baja en azúcares",0.081,0.121,0.106,0.107,0.154
"P26","Kosher o Alal",0.003,0.016,0.032,0.009,0.02
"P26","Ninguna restricción alimentaria",0.378,0.527,0.377,0.569,0.685
"P28","Diabetes",0.244,0.141,0.235,0.038,0.073
"P28","Hipertensión",0.155,0.316,0.196,0.135,0.083
"P28","Enfermedades cardiovasculares",0.033,0.026,0.184,0.036,0.027
"P28","Celiaquía",0.043,0.014,0.029,0.128,0.018
"P28","Ninguna",0.368,0.432,0.268,0.615,0.55
"P28","No sabe",0.157,0.071,0.088,0.048,0.249
"P29","Todos los días",0.227,0.041,0.07,0.017,0.047
"P29","Entre 4 y 6 días a la semana",0.064,0.071,0.04,0.035,0.028
"P29","Entre 1 y 3 días a la semana",0.032,0.147,0.123,0.136,0.055
"P29","Raramente",0.149,0.344,0.271,0.311,0.266
"P29","Nunca",0.528,0.397,0.496,0.501,0.604
"P30","Todos los días",0.21,0.029,0.032,0.013,0.029
"P30","Entre 4 y 6 días a la semana",0.075,0.032,0.014,0.018,0.003
"P30","Entre 1 y 3 días a la semana",0.073,0.146,0.116,0.109,0.057
"P30","Raramente",0.173,0.344,0.338,0.362,0.249
"P30","Nunca",0.469,0.449,0.5,0.498,0.662
"P31","Todos los días",0.628,0.599,0.63,0.625,0.599
"P31","Entre 4 y 6 días a la semana",0.119,0.198,0.19,0.18,0.138
"P31","Entre 1 y 3 días a la semana",0.054,0.089,0.072,0.069,0.058
"P31","Raramente",0.069,0.063,0.037,0.065,0.085
"P31","Nunca",0.13,0.051,0.071,0.061,0.12
"P32","Menos de 1 comida al día",0.305,0.137,0.218,0.134,0.286
"P32","1 comida",0.419,0.304,0.262,0.303,0.323
"P32","2 comidas",0.129,0.265,0.251,0.259,0.177
"P32","3 comidas",0.056,0.148,0.128,0.171,0.063
"P32","4 comidas",0.028,0.122,0.112,0.115,0.105
"P32","Más de 4 comidas",0.063,0.024,0.029,0.018,0.046
"P33","Precio",0.449,0.29,0.352,0.267,0.405
"P33","Calidad",0.164,0.146,0.127,0.155,0.167
"P33","Ambas",0.276,0.485,0.472,0.502,0.383
"P33","Compra sin ningún tipo de consideración",0.111,0.079,0.049,0.076,0.045
"P34","Menos de 1 vez a la semana",0.325,0.204,0.311,0.162,0.312
"P34","1 vez a la semana",0.331,0.252,0.235,0.301,0.219
"P34","Entre 1 a 4 veces a la semana",0.168,0.326,0.259,0.334,0.176
"P34","Más de 4 veces a la semana",0.061,0.148,0.123,0.134,0.164
"P34","No sabe",0.115,0.07,0.072,0.069,0.129
"P35","Hipermercado/Supermercado",0.422,0.485,0.487,0.492,0.41
"P35","Almacenes",0.268,0.238,0.22,0.263,0.234
"P35","Productores locales/mercados de cercanía/Ferias",0.197,0.201,0.189,0.185,0.171
"P35","Vía pública",0.017,0.013,0.06,0.03,0.048
"P35","No sabe",0.096,0.063,0.044,0.03,0.137
