"var","categoria","Diabetes","Hipertensión","Enfermedades cardiovasculares","Celiaquía","Ninguna","No sabe"
"P18","Entre 4 y 6 días a la semana",0.06,0.1,0.051,0.074,0.073,0.046
"P18","Entre 1 y 3 días a la semana",0.128,0.155,0.191,0.247,0.237,0.106
"P18","Raramente",0.316,0.335,0.298,0.333,0.342,0.284
"P18","Nunca",0.337,0.364,0.388,0.28,0.302,0.468
"P19","Vino",0.327,0.278,0.261,0.219,0.258,0.152
"P19","Cerveza",0.136,0.147,0.101,0.149,0.216,0.187
"P19","Destilados (whisky, vodka, ron, etc.)",0.043,0.053,0.066,0.055,0.05,0.072
"P19","Espumantes",0.041,0.043,0.044,0.101,0.036,0.03
"P19","Otros",0.107,0.107,0.09,0.089,0.111,0.073
"P19","No consume bebidas alcohólicas",0.346,0.372,0.438,0.387,0.329,0.486
"P20","Todos los días",0.22,0.135,0.107,0.102,0.123,0.112
"P20","Entre 4 y 6 días a la semana",0.109,0.126,0.056,0.112,0.111,0.092
"P20","Entre 1 y 3 días a la semana",0.111,0.139,0.154,0.102,0.178,0.202
"P20","Raramente",0.299,0.371,0.47,0.411,0.36,0.327
"P20","Nunca",0.261,0.229,0.213,0.273,0.228,0.267
"P21","Todos los días",0.761,0.775,0.785,0.62,0.8,0.754
"P21","Entre 4 y 6 días a la semana",0.046,0.096,0.046,0.095,0.084,0.095
"P21","Entre 1 y 3 días a la semana",0.048,0.049,0.1,0.062,0.039,0.049
"P21","Raramente",0.084,0.046,0.039,0.151,0.044,0.068
"P21","Nunca",0.061,0.034,0.03,0.072,0.033,0.034
"P22","Asado",0.487,0.42,0.417,0.518,0.407,0.395
"P22","Pizza",0.076,0.086,0.085,0.031,0.071,0.084
"P22","Milanesa",0.152,0.17,0.167,0.139,0.169,0.114
"P22","Pastas",0.048,0.069,0.053,0.074,0.108,0.093
"P22","Empanadas",0.047,0.054,0.069,0.04,0.027,0.043
"P22","Hamburguesa",0.004,0.013,0,0.009,0.02,0.021
"P22","Ensaladas (de cualquier tipo)",0.067,0.079,0.084,0.059,0.079,0.041
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.061,0.07,0.043,0.085,0.074,0.105
"P22","Polenta o similares (de cualquier tipo)",0.029,0.013,0.058,0.026,0.019,0.051
"P22","Ninguno de los anteriores",0.029,0.026,0.024,0.019,0.026,0.053
"P23","Asado",0.235,0.083,0.111,0.183,0.099,0.09
"P23","Pizza",0.097,0.08,0.058,0.023,0.076,0.052
"P23","Milanesa",0.208,0.243,0.244,0.178,0.235,0.166
"P23","Pastas",0.096,0.161,0.137,0.164,0.161,0.164
"P23","Empanadas",0.05,0.053,0.068,0.045,0.045,0.024
"P23","Hamburguesa",0.012,0.009,0.017,0.017,0.024,0.031
"P23","Ensaladas (de cualquier tipo)",0.1,0.109,0.134,0.089,0.135,0.054
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.087,0.137,0.048,0.138,0.102,0.137
"P23","Polenta o similares (de cualquier tipo)",0.069,0.069,0.118,0.088,0.058,0.174
"P23","Ninguno de los anteriores",0.046,0.056,0.065,0.075,0.065,0.108
"P24","Helado",0.282,0.301,0.256,0.205,0.34,0.249
"P24","Tortas, tartas dulces y masas",0.158,0.151,0.095,0.147,0.145,0.136
"P24","Ensalada de frutas",0.199,0.187,0.208,0.16,0.169,0.157
"P24","Flan, budín de pan y similares",0.082,0.098,0.092,0.155,0.104,0.069
"P24","Dulce de batata, membrillo o similares",0.086,0.065,0.068,0.056,0.058,0.068
"P24","Facturas de todo tipo",0.03,0.029,0.053,0.041,0.042,0.082
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.02,0.039,0.045,0.055,0.029,0.022
"P24","Gelatina",0.041,0.041,0.012,0.056,0.024,0.032
"P24","Panqueques, wafles y similares",0.023,0.026,0.014,0.037,0.019,0.017
"P24","Ninguno de los anteriores",0.079,0.063,0.157,0.088,0.07,0.168
"P25","Helado",0.157,0.157,0.096,0.11,0.159,0.106
"P25","Tortas, tartas dulces y masas",0.128,0.146,0.125,0.119,0.158,0.087
"P25","Ensalada de frutas",0.156,0.127,0.141,0.106,0.086,0.065
"P25","Flan, budín de pan y similares",0.015,0.064,0.076,0.121,0.044,0.042
"P25","Dulce de batata, membrillo o similares",0.109,0.12,0.09,0.11,0.103,0.075
"P25","Facturas de todo tipo",0.064,0.049,0.047,0.072,0.081,0.127
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.025,0.029,0.014,0.036,0.026,0.011
"P25","Gelatina",0.091,0.041,0.049,0.033,0.041,0.027
"P25","Panqueques, wafles y similares",0.008,0.011,0.003,0.022,0.018,0.014
"P25","Ninguno de los anteriores",0.247,0.256,0.359,0.271,0.284,0.446
"P26","Vegetariano",0.127,0.048,0.088,0.072,0.062,0.047
"P26","Vegano",0.088,0.057,0.036,0.052,0.022,0.031
"P26","Dieta baja en carnes rojas",0.122,0.17,0.364,0.119,0.131,0.055
"P26","Dieta baja en carbohidratos",0.101,0.071,0.057,0.138,0.097,0.018
"P26","Dieta baja en azúcares",0.34,0.128,0.104,0.107,0.066,0.097
"P26","Kosher o Alal",0.036,0.008,0.012,0.022,0.009,0.018
"P26","Ninguna restricción alimentaria",0.186,0.518,0.339,0.49,0.613,0.734
"P27","Bajo peso",0.201,0.069,0.064,0.047,0.058,0.146
"P27","Sobrepeso",0.367,0.444,0.157,0.05,0.212,0.208
"P27","Obesidad",0.159,0.072,0.289,0.025,0.034,0.067
"P27","Normal",0.194,0.366,0.422,0.853,0.584,0.275
"P27","No sabe",0.079,0.049,0.068,0.025,0.112,0.304
"P29","Todos los días",0.302,0.022,0.007,0.018,0.018,0.033
"P29","Entre 4 y 6 días a la semana",0.026,0.132,0.036,0.037,0.027,0.01
"P29","Entre 1 y 3 días a la semana",0.055,0.1,0.215,0.101,0.141,0.087
"P29","Raramente",0.231,0.297,0.249,0.368,0.323,0.203
"P29","Nunca",0.386,0.449,0.493,0.476,0.491,0.667
"P30","Todos los días",0.17,0.018,0.011,0.024,0.021,0.033
"P30","Entre 4 y 6 días a la semana",0.04,0.036,0.013,0.03,0.02,0.003
"P30","Entre 1 y 3 días a la semana",0.047,0.084,0.144,0.082,0.139,0.072
"P30","Raramente",0.282,0.297,0.327,0.346,0.35,0.31
"P30","Nunca",0.461,0.565,0.505,0.518,0.47,0.582
"P31","Todos los días",0.677,0.613,0.7,0.604,0.595,0.647
"P31","Entre 4 y 6 días a la semana",0.137,0.168,0.133,0.158,0.199,0.137
"P31","Entre 1 y 3 días a la semana",0.066,0.068,0.059,0.059,0.079,0.059
"P31","Raramente",0.065,0.074,0.077,0.118,0.056,0.053
"P31","Nunca",0.055,0.077,0.031,0.061,0.071,0.104
"P32","Menos de 1 comida al día",0.228,0.162,0.166,0.297,0.134,0.232
"P32","1 comida",0.353,0.375,0.37,0.28,0.272,0.367
"P32","2 comidas",0.233,0.258,0.265,0.194,0.246,0.216
"P32","3 comidas",0.071,0.109,0.091,0.126,0.18,0.099
"P32","4 comidas",0.078,0.081,0.105,0.077,0.139,0.046
"P32","Más de 4 comidas",0.037,0.015,0.003,0.026,0.029,0.04
"P33","Precio",0.416,0.246,0.339,0.288,0.28,0.472
"P33","Calidad",0.189,0.166,0.263,0.135,0.142,0.11
"P33","Ambas",0.311,0.506,0.368,0.439,0.512,0.35
"P33","Compra sin ningún tipo de consideración",0.084,0.082,0.03,0.138,0.066,0.068
"P34","Menos de 1 vez a la semana",0.313,0.166,0.223,0.171,0.202,0.269
"P34","1 vez a la semana",0.246,0.281,0.258,0.307,0.284,0.259
"P34","Entre 1 a 4 veces a la semana",0.224,0.326,0.34,0.296,0.323,0.154
"P34","Más de 4 veces a la semana",0.122,0.133,0.127,0.131,0.132,0.174
"P34","No sabe",0.095,0.094,0.052,0.095,0.059,0.144
"P35","Hipermercado/Supermercado",0.542,0.439,0.571,0.434,0.486,0.406
"P35","Almacenes",0.238,0.252,0.188,0.274,0.253,0.263
"P35","Productores locales/mercados de cercanía/Ferias",0.17,0.218,0.188,0.165,0.194,0.136
"P35","Vía pública",0.024,0.028,0.039,0.071,0.018,0.059
"P35","No sabe",0.026,0.063,0.014,0.056,0.049,0.136
