"var","categoria","Vino","Cerveza","Destilados (whisky, vodka, ron, etc.)","Espumantes","Otros","No consume bebidas alcohólicas"
"P23","Hamburguesa",0.011,0.028,0.023,0.009,0.023,0.019
"P23","Ensaladas (de cualquier tipo)",0.14,0.093,0.065,0.093,0.133,0.11
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.091,0.089,0.055,0.076,0.09,0.152
"P23","Polenta o similares (de cualquier tipo)",0.043,0.023,0.053,0.087,0.071,0.133
"P23","Ninguno de los anteriores",0.072,0.041,0.072,0.064,0.042,0.085
"P24","Helado",0.355,0.359,0.364,0.247,0.245,0.244
"P24","Tortas, tartas dulces y masas",0.129,0.163,0.18,0.151,0.148,0.139
"P24","Ensalada de frutas",0.157,0.168,0.162,0.197,0.216,0.187
"P24","Flan, budín de pan y similares",0.102,0.096,0.043,0.148,0.128,0.11
"P24","Dulce de batata, membrillo o similares",0.083,0.064,0.088,0.033,0.071,0.051
"P24","Facturas de todo tipo",0.027,0.052,0.034,0.072,0.027,0.048
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.03,0.048,0.014,0.031,0.034
"P24","Gelatina",0.021,0.013,0.007,0.034,0.03,0.052
"P24","Panqueques, wafles y similares",0.018,0.016,0.037,0.041,0.027,0.018
"P24","Ninguno de los anteriores",0.081,0.039,0.037,0.063,0.077,0.117
"P25","Helado",0.179,0.172,0.288,0.175,0.134,0.092
"P25","Tortas, tartas dulces y masas",0.155,0.166,0.159,0.115,0.147,0.116
"P25","Ensalada de frutas",0.114,0.1,0.126,0.085,0.1,0.091
"P25","Flan, budín de pan y similares",0.036,0.045,0.021,0.131,0.059,0.062
"P25","Dulce de batata, membrillo o similares",0.14,0.106,0.084,0.069,0.08,0.101
"P25","Facturas de todo tipo",0.06,0.123,0.046,0.077,0.062,0.067
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.022,0.019,0.031,0.015,0.03,0.028
"P25","Gelatina",0.043,0.02,0.01,0.03,0.05,0.064
"P25","Panqueques, wafles y similares",0.019,0.014,0.015,0.008,0.017,0.012
"P25","Ninguno de los anteriores",0.232,0.235,0.22,0.295,0.321,0.367
"P26","Vegetariano",0.081,0.063,0.118,0.062,0.051,0.052
"P26","Vegano",0.045,0.033,0.111,0.009,0.014,0.035
"P26","Dieta baja en carnes rojas",0.174,0.097,0.107,0.159,0.133,0.14
"P26","Dieta baja en carbohidratos",0.103,0.077,0.062,0.205,0.073,0.072
"P26","Dieta baja en azúcares",0.124,0.109,0.035,0.061,0.137,0.117
"P26","Kosher o Alal",0.01,0.018,0.033,0,0.013,0.011
"P26","Ninguna restricción alimentaria",0.463,0.603,0.534,0.504,0.579,0.573
"P27","Bajo peso",0.084,0.05,0.173,0.04,0.072,0.089
"P27","Sobrepeso",0.295,0.317,0.233,0.247,0.27,0.192
"P27","Obesidad",0.068,0.046,0.065,0.105,0.079,0.068
"P27","Normal",0.482,0.503,0.396,0.486,0.452,0.513
"P27","No sabe",0.071,0.084,0.133,0.122,0.127,0.138
"P28","Diabetes",0.125,0.073,0.079,0.094,0.101,0.094
"P28","Hipertensión",0.196,0.145,0.181,0.181,0.187,0.186
"P28","Enfermedades cardiovasculares",0.043,0.023,0.052,0.044,0.037,0.051
"P28","Celiaquía",0.063,0.06,0.077,0.176,0.063,0.08
"P28","Ninguna",0.522,0.611,0.492,0.443,0.552,0.473
"P28","No sabe",0.051,0.088,0.119,0.062,0.06,0.116
"P29","Todos los días",0.075,0.041,0.112,0.045,0.024,0.027
"P29","Entre 4 y 6 días a la semana",0.049,0.071,0.111,0.046,0.034,0.025
"P29","Entre 1 y 3 días a la semana",0.145,0.123,0.223,0.17,0.142,0.076
"P29","Raramente",0.366,0.405,0.261,0.36,0.266,0.204
"P29","Nunca",0.365,0.36,0.293,0.379,0.534,0.668
"P30","Todos los días",0.061,0.019,0.13,0.016,0.01,0.023
"P30","Entre 4 y 6 días a la semana",0.031,0.026,0.065,0.019,0.028,0.011
"P30","Entre 1 y 3 días a la semana",0.134,0.148,0.211,0.08,0.097,0.067
"P30","Raramente",0.342,0.443,0.348,0.47,0.325,0.242
"P30","Nunca",0.432,0.364,0.246,0.415,0.54,0.657
"P31","Todos los días",0.635,0.585,0.467,0.49,0.605,0.658
"P31","Entre 4 y 6 días a la semana",0.202,0.211,0.261,0.292,0.134,0.126
"P31","Entre 1 y 3 días a la semana",0.07,0.078,0.144,0.041,0.071,0.064
"P31","Raramente",0.055,0.087,0.044,0.082,0.081,0.057
"P31","Nunca",0.038,0.039,0.084,0.095,0.109,0.095
"P32","Menos de 1 comida al día",0.153,0.121,0.183,0.124,0.209,0.199
"P32","1 comida",0.285,0.281,0.243,0.3,0.302,0.36
"P32","2 comidas",0.272,0.239,0.261,0.243,0.197,0.231
"P32","3 comidas",0.142,0.197,0.095,0.265,0.14,0.105
"P32","4 comidas",0.126,0.128,0.147,0.047,0.124,0.084
"P32","Más de 4 comidas",0.022,0.034,0.071,0.021,0.028,0.021
"P33","Precio",0.198,0.269,0.225,0.358,0.329,0.404
"P33","Calidad",0.189,0.128,0.193,0.169,0.162,0.129
"P33","Ambas",0.527,0.544,0.418,0.37,0.438,0.407
"P33","Compra sin ningún tipo de consideración",0.086,0.059,0.164,0.103,0.071,0.06
"P34","Menos de 1 vez a la semana",0.165,0.217,0.247,0.176,0.21,0.239
"P34","1 vez a la semana",0.28,0.293,0.187,0.293,0.304,0.273
"P34","Entre 1 a 4 veces a la semana",0.387,0.307,0.318,0.293,0.257,0.24
"P34","Más de 4 veces a la semana",0.115,0.148,0.134,0.182,0.171,0.126
"P34","No sabe",0.053,0.035,0.114,0.056,0.058,0.122
"P35","Hipermercado/Supermercado",0.498,0.518,0.461,0.423,0.431,0.459
"P35","Almacenes",0.242,0.264,0.273,0.195,0.249,0.254
"P35","Productores locales/mercados de cercanía/Ferias",0.189,0.157,0.154,0.175,0.224,0.202
"P35","Vía pública",0.032,0.011,0.029,0.066,0.032,0.03
"P35","No sabe",0.039,0.05,0.083,0.141,0.064,0.055
