"var","categoria","El gobierno nacional","El gobierno provincial","No sabe"
"P24","Buena",0.3,0.125,0.338
"P24","Ni buena ni mala",0.31,0.413,0.405
"P24","Mala",0.173,0.296,0.122
"P24","Muy mala",0.025,0.107,0.025
"P24","No sabe",0.001,0.005,0.016
"P25","El gobierno nacional",0.707,0.163,0.233
"P25","El gobierno provincial",0.138,0.651,0.225
"P25","No sabe",0.155,0.186,0.542
"P27","Muy buena",0.718,0.112,0.422
"P27","Buena",0.154,0.342,0.177
"P27","Ni buena ni mala",0.065,0.284,0.348
"P27","Mala",0.056,0.181,0.026
"P27","Muy mala",0.007,0.072,0.009
"P27","No sabe",0,0.009,0.018
"P28","Muy buena",0.245,0.034,0.061
"P28","Buena",0.128,0.143,0.136
"P28","Ni buena ni mala",0.368,0.46,0.435
"P28","Mala",0.223,0.224,0.235
"P28","Muy mala",0.036,0.085,0.048
"P28","No sabe",0,0.054,0.085
"P29","Muy buena",0.13,0.053,0.042
"P29","Buena",0.127,0.143,0.137
"P29","Ni buena ni mala",0.455,0.418,0.519
"P29","Mala",0.258,0.237,0.145
"P29","Muy mala",0.022,0.061,0.04
"P29","No sabe",0.008,0.088,0.117
"P30","Muy buena",0.08,0.044,0.016
"P30","Buena",0.113,0.124,0.062
"P30","Ni buena ni mala",0.477,0.409,0.528
"P30","Mala",0.283,0.247,0.152
"P30","Muy mala",0.027,0.08,0.071
"P30","No sabe",0.02,0.096,0.171
"P31","Muy buena",0.11,0.058,0.038
"P31","Buena",0.094,0.13,0.064
"P31","Ni buena ni mala",0.45,0.424,0.506
"P31","Mala",0.281,0.205,0.149
"P31","Muy mala",0.026,0.071,0.049
"P31","No sabe",0.039,0.112,0.194
"P32","Muy buena",0.109,0.074,0.044
"P32","Buena",0.119,0.063,0.054
"P32","Ni buena ni mala",0.428,0.492,0.478
"P32","Mala",0.284,0.185,0.154
"P32","Muy mala",0.008,0.062,0.044
"P32","No sabe",0.052,0.124,0.226
"P33","Muy buena",0.204,0.039,0.102
"P33","Buena",0.161,0.11,0.198
"P33","Ni buena ni mala",0.442,0.425,0.393
"P33","Mala",0.169,0.256,0.129
"P33","Muy mala",0.015,0.098,0.034
"P33","No sabe",0.009,0.072,0.144
"P34","Muy buena",0.308,0.134,0.217
"P34","Buena",0.172,0.141,0.198
"P34","Ni buena ni mala",0.322,0.331,0.339
"P34","Mala",0.168,0.278,0.111
"P34","Muy mala",0.03,0.101,0.052
"P34","No sabe",0,0.015,0.083
"P35","Muy buena",0.14,0.089,0.067
"P35","Buena",0.104,0.109,0.139
"P35","Ni buena ni mala",0.474,0.432,0.488
"P35","Mala",0.18,0.209,0.092
"P35","Muy mala",0.033,0.066,0.037
"P35","No sabe",0.069,0.095,0.177
"P36","Muy buena",0.313,0.243,0.104
"P36","Buena",0.074,0.108,0.102
"P36","Ni buena ni mala",0.208,0.175,0.261
"P36","Mala",0.224,0.242,0.234
"P36","Muy mala",0.174,0.209,0.215
"P36","No sabe",0.007,0.023,0.084
"P37","Muy buena",0.144,0.127,0.175
"P37","Buena",0.233,0.163,0.237
"P37","Ni buena ni mala",0.271,0.232,0.26
"P37","Mala",0.218,0.274,0.172
"P37","Muy mala",0.134,0.183,0.095
"P37","No sabe",0,0.021,0.061
"P38","Muy buena",0.19,0.168,0.125
"P38","Buena",0.191,0.13,0.114
"P38","Ni buena ni mala",0.158,0.157,0.19
"P38","Mala",0.232,0.274,0.268
"P38","Muy mala",0.229,0.258,0.26
"P38","No sabe",0,0.013,0.043
"P39","Muy buena",0.27,0.241,0.292
"P39","Buena",0.155,0.164,0.189
"P39","Ni buena ni mala",0.198,0.162,0.257
"P39","Mala",0.217,0.196,0.13
"P39","Muy mala",0.16,0.228,0.104
"P39","No sabe",0,0.009,0.028
"P40","Muy buena",0.353,0.228,0.345
"P40","Buena",0.169,0.221,0.236
"P40","Ni buena ni mala",0.153,0.155,0.212
"P40","Mala",0.195,0.159,0.111
"P40","Muy mala",0.13,0.226,0.061
"P40","No sabe",0,0.011,0.035
