"var","categoria","Sergio Massa","Javier Milei"
"P34","Muy buena",0.09,0.06
"P34","Buena",0.285,0.174
"P34","Ni buena ni mala",0.455,0.437
"P34","Mala",0.127,0.242
"P34","Muy mala",0.024,0.069
"P34","No sabe",0.019,0.018
"P35","Mejor",0.169,0.076
"P35","Igual",0.429,0.097
"P35","Peor",0.373,0.793
"P35","No sabe",0.029,0.034
"P36","Mejor",0.26,0.12
"P36","Igual",0.302,0.201
"P36","Peor",0.256,0.482
"P36","No sabe",0.182,0.197
"P37","Muy buena",0.068,0.07
"P37","Buena",0.114,0.041
"P37","Ni buena ni mala",0.265,0.057
"P37","Mala",0.386,0.3
"P37","Muy mala",0.153,0.522
"P37","No sabe",0.014,0.01
"P38","Mejor",0.189,0.032
"P38","Igual",0.323,0.028
"P38","Peor",0.421,0.906
"P38","No sabe",0.067,0.034
"P39","Mejor",0.333,0.108
"P39","Igual",0.215,0.143
"P39","Peor",0.268,0.606
"P39","No sabe",0.184,0.143
"P40","Muy buena",0.097,0.051
"P40","Buena",0.154,0.012
"P40","Ni buena ni mala",0.302,0.044
"P40","Mala",0.29,0.237
"P40","Muy mala",0.148,0.65
"P40","No sabe",0.009,0.006
"P42","Muy buena",0.075,0.023
"P42","Buena",0.204,0.014
"P42","Ni buena ni mala",0.325,0.045
"P42","Mala",0.245,0.229
"P42","Muy mala",0.129,0.683
"P42","No sabe",0.022,0.006
"P43","Muy buena",0.176,0.024
"P43","Buena",0.352,0.017
"P43","Ni buena ni mala",0.252,0.071
"P43","Mala",0.137,0.285
"P43","Muy mala",0.076,0.596
"P43","No sabe",0.007,0.007
"P44","Muy buena",0.093,0.022
"P44","Buena",0.213,0.01
"P44","Ni buena ni mala",0.33,0.032
"P44","Mala",0.224,0.226
"P44","Muy mala",0.123,0.707
"P44","No sabe",0.017,0.003
"P45","Muy buena",0.086,0.027
"P45","Buena",0.11,0.018
"P45","Ni buena ni mala",0.287,0.034
"P45","Mala",0.328,0.208
"P45","Muy mala",0.185,0.711
"P45","No sabe",0.004,0.002
"P46","Muy buena",0.417,0.024
"P46","Buena",0.157,0.019
"P46","Ni buena ni mala",0.159,0.035
"P46","Mala",0.109,0.174
"P46","Muy mala",0.156,0.741
"P46","No sabe",0.002,0.007
"P47","Muy buena",0.046,0.319
"P47","Buena",0.061,0.273
"P47","Ni buena ni mala",0.15,0.198
"P47","Mala",0.283,0.108
"P47","Muy mala",0.454,0.1
"P47","No sabe",0.006,0.002
"P48","Muy buena",0.113,0.112
"P48","Buena",0.144,0.195
"P48","Ni buena ni mala",0.249,0.265
"P48","Mala",0.307,0.191
"P48","Muy mala",0.181,0.231
"P48","No sabe",0.006,0.006
"P49","Muy buena",0.293,0.022
"P49","Buena",0.267,0.022
"P49","Ni buena ni mala",0.222,0.05
"P49","Mala",0.111,0.219
"P49","Muy mala",0.1,0.681
"P49","No sabe",0.007,0.006
"P50","Muy buena",0.065,0.184
"P50","Buena",0.075,0.23
"P50","Ni buena ni mala",0.155,0.309
"P50","Mala",0.356,0.128
"P50","Muy mala",0.336,0.137
"P50","No sabe",0.013,0.012
"P51","Muy buena",0.451,0.025
"P51","Buena",0.164,0.018
"P51","Ni buena ni mala",0.138,0.072
"P51","Mala",0.113,0.183
"P51","Muy mala",0.121,0.688
"P51","No sabe",0.013,0.014
"P53","Muy buena",0.066,0.327
"P53","Buena",0.054,0.28
"P53","Ni buena ni mala",0.146,0.247
"P53","Mala",0.229,0.047
"P53","Muy mala",0.496,0.092
"P53","No sabe",0.009,0.007
"P54","Muy buena",0.064,0.384
"P54","Buena",0.072,0.339
"P54","Ni buena ni mala",0.121,0.177
"P54","Mala",0.256,0.058
"P54","Muy mala",0.478,0.039
"P54","No sabe",0.009,0.003
"P55","Muy buena",0.288,0.059
"P55","Buena",0.188,0.053
"P55","Ni buena ni mala",0.281,0.17
"P55","Mala",0.108,0.188
"P55","Muy mala",0.103,0.471
"P55","No sabe",0.032,0.059
"P56","Muy buena",0.116,0.015
"P56","Buena",0.211,0.025
"P56","Ni buena ni mala",0.387,0.132
"P56","Mala",0.141,0.182
"P56","Muy mala",0.1,0.595
"P56","No sabe",0.045,0.051
"P57","Muy buena",0.06,0.062
"P57","Buena",0.154,0.116
"P57","Ni buena ni mala",0.387,0.243
"P57","Mala",0.274,0.215
"P57","Muy mala",0.105,0.332
"P57","No sabe",0.02,0.032
"P58","Muy buena",0.375,0.026
"P58","Buena",0.247,0.077
"P58","Ni buena ni mala",0.203,0.282
"P58","Mala",0.09,0.203
"P58","Muy mala",0.055,0.383
"P58","No sabe",0.03,0.029
"P59","Radio",0.246,0.167
"P59","Televisión",0.31,0.367
"P59","Diario",0.055,0.062
"P59","Medio digital",0.213,0.161
"P59","Redes Sociales",0.118,0.154
"P59","Ninguno en particular",0.058,0.087
"P59","No sabe",0,0.002
"P60","Muy buena",0.138,0.024
"P60","Buena",0.258,0.071
"P60","Ni buena ni mala",0.3,0.188
"P60","Mala",0.222,0.357
"P60","Muy mala",0.07,0.337
"P60","No sabe",0.012,0.023
"P61","Muy buena",0.043,0.025
"P61","Buena",0.113,0.118
"P61","Ni buena ni mala",0.232,0.279
"P61","Mala",0.322,0.254
"P61","Muy mala",0.283,0.311
"P61","No sabe",0.007,0.013
