"var","categoria","Sinopharm","Sputnik","Aztra-Zeneca","Moderna","Pfizer","No sabe"
"P16","Tres dosis",0.135,0.141,0.103,0.117,0.087,0.059
"P16","Cuatros o mas dosis",0.48,0.706,0.834,0.817,0.792,0.796
"P17","Porque ya no hay casos de COVID",0.182,0.098,0.024,0.055,0.062,0.038
"P17","Porque ha disminuido de forma significativa el contagio",0.273,0.348,0.37,0.253,0.34,0.095
"P17","Por los efectos secundarios",0.258,0.343,0.44,0.344,0.37,0.596
"P17","No sabe",0.287,0.211,0.166,0.348,0.228,0.271
"P18","Si",0.601,0.364,0.414,0.419,0.412,0.241
"P18","No",0.357,0.511,0.44,0.477,0.49,0.497
"P18","No sabe",0.042,0.125,0.146,0.104,0.098,0.262
"P19","Si",0.588,0.511,0.59,0.532,0.505,0.255
"P19","No",0.385,0.442,0.368,0.388,0.427,0.627
"P19","No sabe",0.027,0.047,0.042,0.08,0.068,0.118
"P20","Si",0.792,0.638,0.664,0.719,0.728,0.371
"P20","No",0.19,0.337,0.264,0.258,0.214,0.458
"P20","No sabe",0.018,0.025,0.072,0.023,0.058,0.171
"P21","Si",0.702,0.526,0.444,0.541,0.465,0.229
"P21","No",0.281,0.409,0.365,0.401,0.407,0.614
"P21","No sabe",0.017,0.065,0.191,0.058,0.128,0.157
"P23","Si",0.793,0.618,0.645,0.618,0.753,0.387
"P23","No",0.178,0.338,0.181,0.294,0.157,0.528
"P23","A veces",0.029,0.044,0.174,0.088,0.09,0.085
"P24","Si",0.69,0.653,0.708,0.729,0.672,0.405
"P24","No",0.283,0.299,0.259,0.195,0.233,0.521
"P24","No sabe",0.027,0.048,0.033,0.076,0.095,0.074
"P25","Si",0.68,0.627,0.678,0.689,0.743,0.393
"P25","No",0.28,0.297,0.254,0.207,0.183,0.518
"P25","No sabe",0.04,0.076,0.068,0.104,0.074,0.089
"P26","Si",0.692,0.62,0.539,0.369,0.416,0.367
"P26","No",0.293,0.346,0.4,0.599,0.556,0.552
"P26","No sabe",0.015,0.034,0.061,0.032,0.028,0.081
"P27","Si",0.627,0.593,0.551,0.484,0.589,0.442
"P27","No",0.309,0.378,0.401,0.493,0.364,0.485
"P27","No sabe",0.064,0.029,0.048,0.023,0.047,0.073
"P28","Si",0.667,0.456,0.448,0.479,0.389,0.268
"P28","No",0.279,0.465,0.389,0.372,0.478,0.46
"P28","No sabe",0.054,0.079,0.163,0.149,0.133,0.272
"P29","Si",0.768,0.726,0.628,0.743,0.78,0.549
"P29","No",0.209,0.254,0.29,0.2,0.171,0.386
"P29","No sabe",0.023,0.02,0.082,0.057,0.049,0.065
"P30","No tengo información suficiente",0.305,0.251,0.358,0.596,0.385,0.205
"P30","No tengo tiempo en la consulta",0.174,0.416,0.317,0.056,0.233,0.22
"P30","No es un tema importante en la consulta médica",0.26,0.2,0.096,0.136,0.154,0.281
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.068,0.024,0,0.042,0.051,0.17
"P30","No sabe",0.193,0.109,0.229,0.17,0.177,0.124
"P31","Nunca",0.412,0.204,0.169,0.196,0.172,0.324
"P31","Pocas veces",0.334,0.527,0.495,0.536,0.45,0.411
"P31","Muchas veces",0.201,0.209,0.269,0.259,0.323,0.206
"P31","Siempre",0.025,0.041,0.008,0.009,0.037,0.046
"P31","No sabe",0.028,0.019,0.059,0,0.018,0.013
"P32","adultos mayores sanos",0.623,0.436,0.413,0.553,0.53,0.295
"P32","Adultos jóvenes sanos",0.136,0.318,0.307,0.15,0.188,0.213
"P32","Madres de niños pequeños",0.185,0.142,0.247,0.164,0.163,0.186
"P32","No sabe",0.056,0.104,0.033,0.133,0.119,0.306
