"var","categoria","No tengo información suficiente","No tengo tiempo en la consulta","No es un tema importante en la consulta médica","El COVID no es una enfermedad prevalente o importante actualmente en Argentina","No sabe"
"P19","Si",0.311,0.291,0.307,0.073,0.375
"P19","No",0.598,0.659,0.614,0.908,0.552
"P19","No sabe",0.091,0.05,0.079,0.019,0.073
"P20","Si",0.585,0.372,0.506,0.254,0.759
"P20","No",0.316,0.582,0.387,0.582,0.211
"P20","No sabe",0.099,0.046,0.107,0.164,0.03
"P21","Si",0.368,0.347,0.333,0.1,0.637
"P21","No",0.539,0.571,0.608,0.9,0.192
"P21","No sabe",0.093,0.082,0.059,0,0.171
"P22","Sinopharm",0.09,0.055,0.114,0.091,0.116
"P22","Sputnik",0.284,0.502,0.336,0.122,0.254
"P22","Aztra-Zeneca",0.125,0.118,0.05,0,0.163
"P22","Moderna",0.151,0.015,0.051,0.049,0.088
"P22","Pfizer",0.183,0.119,0.109,0.111,0.172
"P22","No sabe",0.167,0.191,0.34,0.627,0.207
"P23","Si",0.472,0.356,0.302,0.1,0.435
"P23","No",0.406,0.59,0.665,0.87,0.456
"P23","A veces",0.122,0.054,0.033,0.03,0.109
"P24","Si",0.571,0.411,0.306,0.082,0.694
"P24","No",0.352,0.575,0.604,0.918,0.219
"P24","No sabe",0.077,0.014,0.09,0,0.087
"P25","Si",0.541,0.338,0.363,0.122,0.815
"P25","No",0.431,0.618,0.58,0.782,0.165
"P25","No sabe",0.028,0.044,0.057,0.096,0.02
"P26","Si",0.285,0.298,0.299,0.32,0.428
"P26","No",0.71,0.686,0.661,0.585,0.48
"P26","No sabe",0.005,0.016,0.04,0.095,0.092
"P27","Si",0.197,0.322,0.392,0.399,0.518
"P27","No",0.764,0.662,0.483,0.537,0.46
"P27","No sabe",0.039,0.016,0.125,0.064,0.022
"P28","Si",0.408,0.307,0.341,0.329,0.237
"P28","No",0.409,0.635,0.426,0.46,0.572
"P28","No sabe",0.183,0.058,0.233,0.211,0.191
"P31","Nunca",0.384,0.309,0.454,0.613,0.166
"P31","Pocas veces",0.48,0.581,0.302,0.127,0.334
"P31","Muchas veces",0.129,0.097,0.188,0.061,0.024
"P31","Siempre",0,0.013,0.056,0.199,0
"P31","No sabe",0.007,0,0,0,0.476
"P32","adultos mayores sanos",0.391,0.342,0.278,0.346,0.242
"P32","Adultos jóvenes sanos",0.198,0.429,0.156,0.134,0.261
"P32","Madres de niños pequeños",0.178,0.115,0.206,0.071,0.176
"P32","No sabe",0.233,0.114,0.36,0.449,0.321
