"var","categoria","Para protegerse de la enfermedad","Porque soy personal de riesgo","Porque colegas se vacunaron","Me lo recomendó la institución donde trabajo","No sabe"
"P15","Si, a todos sus pacientes",0.619,0.455,0.46,0.274,0.213
"P15","Depende el caso del paciente",0.347,0.476,0.268,0.436,0.468
"P15","No la recomiendo",0.034,0.069,0.272,0.29,0.319
"P16","Dos dosis",0.182,0.121,0.106,0,0.398
"P16","Tres dosis",0.085,0.171,0.079,0.246,0.123
"P16","Cuatros o mas dosis",0.733,0.708,0.815,0.754,0.479
"P17","Porque ya no hay casos de COVID",0.108,0.078,0,0,0.195
"P17","Porque ha disminuido de forma significativa el contagio",0.281,0.421,0.156,0.142,0.053
"P17","Por los efectos secundarios",0.3,0.298,0.651,0.626,0.471
"P17","No sabe",0.311,0.203,0.193,0.232,0.281
"P18","Si",0.452,0.391,0.554,0.446,0.65
"P18","No",0.468,0.485,0.351,0.323,0.209
"P18","No sabe",0.08,0.124,0.095,0.231,0.141
"P19","Si",0.621,0.525,0.466,0.254,0.097
"P19","No",0.325,0.404,0.448,0.601,0.798
"P19","No sabe",0.054,0.071,0.086,0.145,0.105
"P20","Si",0.729,0.691,0.303,0.59,0.293
"P20","No",0.237,0.252,0.484,0.327,0.414
"P20","No sabe",0.034,0.057,0.213,0.083,0.293
"P21","Si",0.618,0.477,0.358,0.291,0.26
"P21","No",0.292,0.393,0.618,0.553,0.518
"P21","No sabe",0.09,0.13,0.024,0.156,0.222
"P22","Sinopharm",0.151,0.05,0.178,0.088,0.088
"P22","Sputnik",0.354,0.383,0.443,0.222,0.212
"P22","Aztra-Zeneca",0.104,0.094,0.086,0.083,0.092
"P22","Moderna",0.079,0.112,0.02,0.1,0.044
"P22","Pfizer",0.221,0.244,0.182,0.35,0.202
"P22","No sabe",0.091,0.117,0.091,0.157,0.362
"P23","Si",0.794,0.659,0.545,0.448,0.441
"P23","No",0.153,0.257,0.401,0.432,0.471
"P23","A veces",0.053,0.084,0.054,0.12,0.088
"P24","Si",0.791,0.701,0.311,0.295,0.196
"P24","No",0.162,0.229,0.642,0.549,0.622
"P24","No sabe",0.047,0.07,0.047,0.156,0.182
"P25","Si",0.768,0.666,0.459,0.463,0.532
"P25","No",0.163,0.228,0.519,0.418,0.468
"P25","No sabe",0.069,0.106,0.022,0.119,0
"P26","Si",0.597,0.532,0.485,0.299,0.301
"P26","No",0.357,0.435,0.494,0.663,0.699
"P26","No sabe",0.046,0.033,0.021,0.038,0
"P27","Si",0.64,0.548,0.541,0.462,0.249
"P27","No",0.325,0.404,0.459,0.412,0.688
"P27","No sabe",0.035,0.048,0,0.126,0.063
"P28","Si",0.474,0.445,0.487,0.387,0.463
"P28","No",0.43,0.423,0.366,0.415,0.316
"P28","No sabe",0.096,0.132,0.147,0.198,0.221
"P29","Si",0.818,0.719,0.591,0.729,0.596
"P29","No",0.156,0.222,0.342,0.222,0.342
"P29","No sabe",0.026,0.059,0.067,0.049,0.062
"P30","No tengo información suficiente",0.27,0.313,0.199,0.339,0.492
"P30","No tengo tiempo en la consulta",0.38,0.193,0.123,0.112,0.036
"P30","No es un tema importante en la consulta médica",0.213,0.218,0.318,0.213,0.331
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.004,0.012,0.36,0.336,0.141
"P30","No sabe",0.133,0.264,0,0,0
"P31","Nunca",0.218,0.191,0.203,0.229,0.34
"P31","Pocas veces",0.489,0.488,0.567,0.437,0.409
"P31","Muchas veces",0.248,0.269,0.207,0.296,0.22
"P31","Siempre",0.033,0.014,0.023,0.016,0.031
"P31","No sabe",0.012,0.038,0,0.022,0
"P32","adultos mayores sanos",0.536,0.435,0.626,0.439,0.382
"P32","Adultos jóvenes sanos",0.227,0.246,0.202,0.215,0.341
"P32","Madres de niños pequeños",0.159,0.188,0.057,0.159,0.036
"P32","No sabe",0.078,0.131,0.115,0.187,0.241
