"var","categoria","Las montañas","El campo","El agua","El aire","Los bosques","Los humedales","No sabe"
"P11","El municipio",0.095,0.137,0.12,0.163,0.14,0.041,0.092
"P11","No sabe",0.079,0.065,0.063,0.041,0.078,0.046,0.201
"P12","Si",0.199,0.201,0.203,0.295,0.423,0.183,0.115
"P12","No",0.801,0.799,0.797,0.705,0.577,0.817,0.885
"P13","Si",0.114,0.121,0.183,0.061,0.021,0.062,0.063
"P13","No",0.713,0.728,0.595,0.816,0.871,0.848,0.692
"P13","No sabe",0.173,0.151,0.222,0.123,0.108,0.09,0.245
"P14","La falta de gestión de los residuos",0.214,0.173,0.216,0.176,0.217,0.406,0.138
"P14","La contaminación del agua",0.281,0.357,0.243,0.254,0.073,0.185,0.263
"P14","Los incendios descontrolados",0.255,0.18,0.189,0.224,0.28,0.266,0.201
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.194,0.225,0.247,0.27,0.321,0.106,0.258
"P14","No sabe",0.056,0.065,0.105,0.076,0.109,0.037,0.14
"P15","Si",0.563,0.694,0.493,0.657,0.632,0.63,0.654
"P15","No",0.313,0.203,0.267,0.27,0.232,0.248,0.153
"P15","No sabe",0.124,0.103,0.24,0.073,0.136,0.122,0.193
"P16","Estaría de acuerdo con esta medida",0.253,0.301,0.248,0.12,0.46,0.223,0.185
"P16","No estaría de acuerdo con esta medida",0.674,0.618,0.491,0.772,0.329,0.706,0.577
"P16","No sabe",0.073,0.081,0.261,0.108,0.211,0.071,0.238
"P17","Si",0.665,0.47,0.451,0.39,0.273,0.483,0.276
"P17","No",0.263,0.408,0.367,0.515,0.42,0.425,0.466
"P17","No sabe",0.072,0.122,0.182,0.095,0.307,0.092,0.258
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.406,0.234,0.337,0.142,0.148,0.199,0.098
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.527,0.649,0.481,0.756,0.716,0.741,0.74
"P18","No sabe",0.067,0.117,0.182,0.102,0.136,0.06,0.162
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.528,0.24,0.184,0.15,0.197,0.326,0.141
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.418,0.687,0.387,0.74,0.645,0.615,0.653
"P19","No sabe",0.054,0.073,0.429,0.11,0.158,0.059,0.206
"P21","El desempleo",0.081,0.035,0.101,0.132,0.048,0,0.06
"P21","La corrupción",0.356,0.38,0.248,0.448,0.572,0.235,0.316
"P21","La inseguridad",0.127,0.121,0.077,0.056,0.037,0.02,0.112
"P21","La inflación",0.284,0.29,0.264,0.261,0.084,0.593,0.215
"P21","El precio del dólar",0.013,0.03,0.035,0.024,0.086,0,0.02
"P21","La pobreza",0.078,0.056,0.029,0.015,0.061,0.08,0.052
"P21","El narcotráfico",0.015,0.032,0.069,0.031,0.012,0.033,0.135
"P21","Las tarifas",0.02,0.017,0.022,0.015,0,0,0.013
"P21","Otro",0.021,0.034,0.07,0.018,0.076,0.027,0.066
"P21","No sabe",0.005,0.005,0.085,0,0.024,0.012,0.011
"P24","Si",0.651,0.717,0.557,0.875,0.435,0.458,0.727
"P24","No",0.216,0.128,0.243,0.055,0.428,0.408,0.072
"P24","No sabe",0.133,0.155,0.2,0.07,0.137,0.134,0.201
"P25","Mucho",0.641,0.728,0.615,0.88,0.687,0.429,0.752
"P25","Algo",0.236,0.199,0.187,0.083,0.143,0.119,0.14
"P25","Poco",0.082,0.065,0.151,0.009,0.109,0.164,0.042
"P25","Nada",0.041,0.008,0.047,0.028,0.061,0.288,0.066
