"var","categoria","El desempleo","La corrupción","La inseguridad","La inflación","El precio del dólar","La pobreza","El narcotráfico","Las tarifas","Otro","No sabe"
"P10","La nación",0.371,0.47,0.361,0.331,0.434,0.188,0.444,0.459,0.334,0.111
"P10","La provincia",0.268,0.287,0.35,0.391,0.31,0.615,0.264,0.125,0.368,0.257
"P10","El municipio",0.305,0.162,0.164,0.141,0.198,0.121,0.197,0.34,0.131,0.311
"P10","No sabe",0.056,0.081,0.125,0.137,0.058,0.076,0.095,0.076,0.167,0.321
"P11","La nación",0.393,0.494,0.379,0.424,0.429,0.372,0.451,0.614,0.433,0.152
"P11","La provincia",0.399,0.314,0.364,0.355,0.376,0.462,0.287,0.147,0.287,0.343
"P11","El municipio",0.144,0.123,0.093,0.099,0.125,0.057,0.149,0.229,0.114,0.257
"P11","No sabe",0.064,0.069,0.164,0.122,0.07,0.109,0.113,0.01,0.166,0.248
"P12","Si",0.148,0.184,0.156,0.173,0.188,0.259,0.237,0.311,0.214,0.111
"P12","No",0.852,0.816,0.844,0.827,0.812,0.741,0.763,0.689,0.786,0.889
"P13","Si",0.181,0.053,0.153,0.128,0.14,0.136,0.109,0.024,0.065,0.111
"P13","No",0.761,0.808,0.693,0.643,0.586,0.696,0.682,0.557,0.737,0.362
"P13","No sabe",0.058,0.139,0.154,0.229,0.274,0.168,0.209,0.419,0.198,0.527
"P14","La falta de gestión de los residuos",0.224,0.193,0.177,0.198,0.145,0.115,0.117,0.064,0.189,0.059
"P14","La contaminación del agua",0.389,0.315,0.394,0.254,0.232,0.219,0.286,0.486,0.135,0
"P14","Los incendios descontrolados",0.225,0.184,0.162,0.231,0.19,0.26,0.273,0.213,0.185,0.241
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.117,0.225,0.187,0.226,0.358,0.325,0.21,0.2,0.323,0.513
"P14","No sabe",0.045,0.083,0.08,0.091,0.075,0.081,0.114,0.037,0.168,0.187
"P15","Si",0.625,0.616,0.646,0.659,0.764,0.698,0.568,0.651,0.737,0.412
"P15","No",0.279,0.243,0.214,0.218,0.034,0.158,0.2,0.295,0.224,0.019
"P15","No sabe",0.096,0.141,0.14,0.123,0.202,0.144,0.232,0.054,0.039,0.569
"P16","Estaría de acuerdo con esta medida",0.316,0.202,0.303,0.236,0.175,0.359,0.272,0.145,0.287,0.285
"P16","No estaría de acuerdo con esta medida",0.614,0.663,0.553,0.65,0.658,0.503,0.43,0.824,0.608,0.232
"P16","No sabe",0.07,0.135,0.144,0.114,0.167,0.138,0.298,0.031,0.105,0.483
"P17","Si",0.475,0.447,0.365,0.521,0.479,0.529,0.32,0.343,0.384,0.132
"P17","No",0.469,0.424,0.439,0.349,0.39,0.227,0.438,0.473,0.442,0.354
"P17","No sabe",0.056,0.129,0.196,0.13,0.131,0.244,0.242,0.184,0.174,0.514
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.244,0.214,0.232,0.25,0.188,0.324,0.213,0.394,0.138,0.043
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.692,0.684,0.608,0.624,0.691,0.533,0.649,0.564,0.748,0.47
"P18","No sabe",0.064,0.102,0.16,0.126,0.121,0.143,0.138,0.042,0.114,0.487
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.227,0.291,0.272,0.273,0.322,0.278,0.156,0.218,0.177,0.148
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.699,0.621,0.603,0.575,0.599,0.576,0.619,0.561,0.645,0.128
"P19","No sabe",0.074,0.088,0.125,0.152,0.079,0.146,0.225,0.221,0.178,0.724
"P20","Las montañas",0.277,0.211,0.242,0.222,0.113,0.292,0.055,0.259,0.105,0.084
"P20","El campo",0.204,0.383,0.392,0.385,0.441,0.357,0.193,0.382,0.286,0.142
"P20","El agua",0.114,0.048,0.049,0.068,0.1,0.037,0.082,0.091,0.116,0.482
"P20","El aire",0.128,0.076,0.03,0.058,0.058,0.016,0.031,0.055,0.026,0
"P20","Los bosques",0.013,0.026,0.006,0.005,0.059,0.018,0.003,0,0.03,0.032
"P20","Los humedales",0,0.013,0.004,0.044,0,0.028,0.011,0,0.012,0.019
"P20","No sabe",0.264,0.243,0.277,0.218,0.229,0.252,0.625,0.213,0.425,0.241
"P24","Si",0.88,0.696,0.717,0.669,0.638,0.713,0.645,0.639,0.667,0.523
"P24","No",0.022,0.168,0.126,0.163,0.023,0.119,0.142,0.07,0.16,0.275
"P24","No sabe",0.098,0.136,0.157,0.168,0.339,0.168,0.213,0.291,0.173,0.202
"P25","Mucho",0.835,0.737,0.624,0.678,0.807,0.562,0.792,0.812,0.801,0.465
"P25","Algo",0.104,0.19,0.263,0.156,0.085,0.322,0.154,0.135,0.111,0.065
"P25","Poco",0.035,0.049,0.089,0.102,0.09,0.045,0.034,0.053,0.047,0.13
"P25","Nada",0.026,0.024,0.024,0.064,0.018,0.071,0.02,0,0.041,0.34
