"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P34","Buena",0.126,0.069,0.065,0.165,0.121
"P34","Ni buena ni mala",0.129,0.203,0.23,0.099,0.191
"P34","Mala",0.133,0.176,0.038,0.144,0.089
"P34","Muy mala",0.482,0.542,0.595,0.507,0.377
"P34","No sabe",0.008,0,0.035,0,0.038
"P35","Muy buena",0.171,0.088,0.182,0.222,0.163
"P35","Buena",0.158,0.3,0.041,0.087,0.165
"P35","Ni buena ni mala",0.221,0.131,0.082,0.159,0.109
"P35","Mala",0.17,0.231,0.23,0.188,0.16
"P35","Muy mala",0.278,0.216,0.43,0.344,0.395
"P35","No sabe",0.002,0.034,0.035,0,0.008
"P36","Muy buena",0.168,0.178,0.233,0.224,0.265
"P36","Buena",0.075,0.08,0.033,0.024,0.122
"P36","Ni buena ni mala",0.081,0.085,0.042,0.087,0.032
"P36","Mala",0.064,0.078,0.195,0.079,0.078
"P36","Muy mala",0.612,0.51,0.462,0.539,0.483
"P36","No sabe",0,0.069,0.035,0.047,0.02
"P37","Muy buena",0.173,0.168,0.018,0.106,0.114
"P37","Buena",0.256,0.235,0.096,0.212,0.196
"P37","Ni buena ni mala",0.249,0.186,0.149,0.093,0.189
"P37","Mala",0.106,0.233,0.305,0.235,0.144
"P37","Muy mala",0.184,0.144,0.377,0.339,0.322
"P37","No sabe",0.032,0.034,0.055,0.015,0.035
"P38","Muy buena",0.063,0.114,0.094,0.071,0.058
"P38","Buena",0.168,0.125,0.111,0.083,0.235
"P38","Ni buena ni mala",0.163,0.189,0.264,0.128,0.142
"P38","Mala",0.16,0.18,0.138,0.224,0.212
"P38","Muy mala",0.421,0.358,0.324,0.494,0.341
"P38","No sabe",0.025,0.034,0.069,0,0.012
"P39","Muy buena",0.296,0.272,0.281,0.294,0.186
"P39","Buena",0.233,0.282,0.136,0.213,0.125
"P39","Ni buena ni mala",0.115,0.057,0.098,0.043,0.141
"P39","Mala",0.104,0.116,0.15,0.085,0.128
"P39","Muy mala",0.204,0.239,0.285,0.36,0.38
"P39","No sabe",0.048,0.034,0.05,0.005,0.04
"P40","Muy buena",0.218,0.137,0.184,0.208,0.121
"P40","Buena",0.167,0.17,0.057,0.17,0.151
"P40","Ni buena ni mala",0.265,0.285,0.18,0.232,0.179
"P40","Mala",0.124,0.024,0.193,0.072,0.121
"P40","Muy mala",0.178,0.35,0.247,0.318,0.398
"P40","No sabe",0.048,0.034,0.139,0,0.03
