"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P16","Buena",0.203,0.246,0.071,0.129,0.304
"P16","Ni buena ni mala",0.27,0.238,0.272,0.171,0.086
"P16","Mala",0.132,0.277,0.291,0.193,0.09
"P16","Muy mala",0.087,0.111,0.247,0.309,0.02
"P16","No sabe",0.023,0.005,0.015,0.061,0.428
"P17","Muy buena",0.319,0.057,0.04,0.089,0.086
"P17","Buena",0.268,0.207,0.042,0.118,0.221
"P17","Ni buena ni mala",0.223,0.17,0.117,0.062,0.246
"P17","Mala",0.086,0.291,0.283,0.19,0.113
"P17","Muy mala",0.091,0.269,0.516,0.511,0.187
"P17","No sabe",0.013,0.006,0.002,0.03,0.147
"P18","Muy buena",0.208,0.228,0.569,0.449,0.282
"P18","Buena",0.117,0.353,0.134,0.2,0.187
"P18","Ni buena ni mala",0.134,0.166,0.121,0.119,0.048
"P18","Mala",0.208,0.163,0.073,0.084,0.092
"P18","Muy mala",0.311,0.09,0.098,0.118,0.211
"P18","No sabe",0.022,0,0.005,0.03,0.18
"P20","Muy buena",0.199,0.075,0.052,0.099,0.07
"P20","Buena",0.191,0.249,0.093,0.139,0.218
"P20","Ni buena ni mala",0.304,0.413,0.281,0.251,0.14
"P20","Mala",0.146,0.146,0.241,0.128,0.095
"P20","Muy mala",0.124,0.081,0.303,0.317,0.071
"P20","No sabe",0.036,0.036,0.03,0.066,0.406
"P21","Si",0.638,0.439,0.317,0.322,0.391
"P21","No",0.205,0.395,0.475,0.539,0.233
"P21","No sabe",0.157,0.166,0.208,0.139,0.376
"P23","Gobierno nacional",0.536,0.151,0.091,0.158,0.113
"P23","Gobierno provincial",0.36,0.708,0.807,0.794,0.314
"P23","No sabe",0.104,0.141,0.102,0.048,0.573
"P24","El gobierno anterior de Omar Gutierrez",0.358,0.362,0.565,0.466,0.018
"P24","El actual gobierno de Rolo Figueroa",0.211,0.278,0.201,0.279,0.398
"P24","No sabe",0.431,0.36,0.234,0.255,0.584
"P25","El gobierno anterior de Alberto Fernández",0.303,0.691,0.969,0.933,0
"P25","El actual gobierno de Javier Milei",0.613,0.21,0.017,0.007,0.252
"P25","No sabe",0.084,0.099,0.014,0.06,0.748
"P26","Si",0.853,0.842,0.884,0.836,0.602
"P26","No",0.147,0.158,0.116,0.164,0.398
"P27","Si",0.626,0.151,0.092,0.117,0.143
"P27","No estoy seguro",0.241,0.598,0.446,0.534,0.397
"P27","No",0.054,0.163,0.364,0.293,0.074
"P27","No sabe",0.079,0.088,0.098,0.056,0.386
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.274,0.209,0.285,0.316,0.123
"P28","Investigaciones científicas no declaradas con fines secretos",0.185,0.421,0.285,0.211,0.258
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.112,0.134,0.236,0.24,0.023
"P28","Otro",0.126,0.076,0.084,0.091,0.088
"P28","No sabe",0.303,0.16,0.11,0.142,0.508
"P29","Es imposible",0.343,0.243,0.239,0.47,0.075
"P29","Es muy difícil",0.16,0.447,0.464,0.271,0.112
"P29","Es bastante factible",0.169,0.124,0.12,0.071,0.016
"P29","Es posible",0.254,0.11,0.092,0.126,0.311
"P29","No sabe",0.074,0.076,0.085,0.062,0.486
"P30","Si",0.309,0.356,0.718,0.657,0.091
"P30","Es probable",0.143,0.352,0.197,0.214,0.245
"P30","No",0.435,0.206,0.039,0.045,0.205
"P30","No sabe",0.113,0.086,0.046,0.084,0.459
"P31","De acuerdo",0.355,0.606,0.847,0.773,0.254
"P31","Ni de acuerdo ni en desacuerdo",0.246,0.253,0.06,0.107,0.384
"P31","En desacuerdo",0.367,0.108,0.074,0.068,0.057
"P31","No sabe",0.032,0.033,0.019,0.052,0.305
"P32","Si",0.701,0.67,0.741,0.695,0.423
"P32","No",0.187,0.236,0.132,0.16,0.162
"P32","No sabe",0.112,0.094,0.127,0.145,0.415
"P33","Muy de acuerdo",0.183,0.097,0.292,0.431,0.142
"P33","De acuerdo",0.129,0.293,0.314,0.269,0.111
"P33","Ni de acuerdo ni en desacuerdo",0.059,0.249,0.259,0.138,0.197
"P33","En desacuerdo",0.516,0.318,0.133,0.085,0.246
"P33","Muy en desacuerdo",0.11,0.035,0.001,0.042,0.134
"P33","No sabe",0.003,0.008,0.001,0.035,0.17
"P34","Si",0.727,0.611,0.79,0.764,0.301
"P34","No",0.273,0.389,0.21,0.236,0.699
"P35","Muy de acuerdo",0.207,0.197,0.38,0.362,0.003
"P35","De acuerdo",0.131,0.29,0.286,0.257,0.224
"P35","Ni de acuerdo ni en desacuerdo",0.088,0.24,0.182,0.118,0.231
"P35","En desacuerdo",0.436,0.181,0.098,0.157,0.131
"P35","Muy en desacuerdo",0.136,0.092,0.048,0.094,0.308
"P35","No sabe",0.002,0,0.006,0.012,0.103
"P36","1-Excelente",0.296,0.146,0.181,0.126,0.126
"P36","2",0.097,0.206,0.047,0.111,0.285
"P36","3",0.049,0.078,0.1,0.054,0
"P36","4",0.059,0.029,0.045,0.062,0.068
"P36","5",0.181,0.186,0.136,0.146,0.065
"P36","6",0.035,0.058,0.034,0.001,0.006
"P36","7",0.055,0.027,0.028,0.018,0
"P36","8",0.027,0.03,0.055,0.028,0
"P36","9-Pésimo",0.152,0.195,0.223,0.351,0.086
"P36","No sabe",0.049,0.045,0.151,0.103,0.364
"P37","1-Excelente",0.257,0.081,0.16,0.083,0.011
"P37","2",0.12,0.241,0.052,0.079,0.174
"P37","3",0.051,0.076,0.068,0.042,0.066
"P37","4",0.069,0.051,0.093,0.121,0.117
"P37","5",0.17,0.194,0.136,0.203,0.132
"P37","6",0.066,0.08,0.063,0.023,0.201
"P37","7",0.055,0.026,0.079,0.018,0
"P37","8",0.04,0.028,0.049,0.045,0
"P37","9-Pésimo",0.137,0.181,0.225,0.343,0.037
"P37","No sabe",0.035,0.042,0.075,0.043,0.262
"P38","1-Excelente",0.279,0.12,0.167,0.096,0.031
"P38","2",0.098,0.23,0.051,0.089,0.173
"P38","3",0.073,0.084,0.057,0.043,0.152
"P38","4",0.075,0.04,0.068,0.168,0.124
"P38","5",0.144,0.135,0.15,0.086,0.115
"P38","6",0.051,0.078,0.102,0.042,0.099
"P38","7",0.055,0.034,0.056,0.09,0
"P38","8",0.04,0.053,0.028,0.038,0
"P38","9-Pésimo",0.136,0.158,0.215,0.298,0.037
"P38","No sabe",0.049,0.068,0.106,0.05,0.269
"P39","1-Excelente",0.273,0.068,0.122,0.095,0.199
"P39","2",0.121,0.243,0.054,0.097,0.03
"P39","3",0.064,0.118,0.079,0.085,0.098
"P39","4",0.076,0.054,0.092,0.073,0.065
"P39","5",0.13,0.216,0.138,0.197,0.134
"P39","6",0.061,0.041,0.052,0.051,0.132
"P39","7",0.058,0.025,0.075,0.023,0
"P39","8",0.022,0.06,0.031,0.026,0.063
"P39","9-Pésimo",0.149,0.141,0.22,0.3,0.037
"P39","No sabe",0.046,0.034,0.137,0.053,0.242
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.745,0.073,0.071,0.018,0.124
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.191,0.482,0.018,0.005,0.007
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.047,0.402,0.702,0.309,0.131
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.009,0.015,0.206,0.647,0.128
"P41","No sabe",0.008,0.028,0.003,0.021,0.61
"P42","Oponerse totalmente",0.711,0.122,0.01,0.019,0.138
"P42","Oponerse parcialmente",0.168,0.277,0.044,0.012,0.275
"P42","Apoyar parcialmente",0.079,0.535,0.426,0.255,0.007
"P42","Apoyar totalmente",0.024,0.06,0.471,0.691,0.138
"P42","No sabe",0.018,0.006,0.049,0.023,0.442
"P43","Inseguridad y narcotráfico",0.328,0.292,0.401,0.378,0.109
"P43","Altos impuestos y tarifas",0.163,0.364,0.264,0.247,0.337
"P43","Educación y estado de las escuelas",0.204,0.157,0.188,0.107,0.171
"P43","Inflación",0.211,0.119,0.051,0.097,0.221
"P43","Estado de la salud",0.075,0.043,0.047,0.042,0.162
"P43","Corrupción",0.004,0.017,0.033,0.054,0
"P43","Pobreza",0.008,0.003,0.003,0.021,0
"P43","Medio ambiente, incendios y contaminación",0,0,0.013,0,0
"P43","Falta de trabajo",0.002,0,0,0.04,0
"P43","No sabe",0.005,0.005,0,0.014,0
"P47","Muy buena",0.242,0.037,0.029,0,0
"P47","Buena",0.275,0.303,0.303,0.268,0.148
"P47","Ni buena ni mala",0.236,0.532,0.352,0.229,0.366
"P47","Mala",0.202,0.106,0.206,0.252,0.204
"P47","Muy mala",0.041,0.017,0.059,0.236,0.058
"P47","No sabe",0.004,0.005,0.051,0.015,0.224
"P48","Peor",0.525,0.307,0.28,0.361,0.062
"P48","Igual",0.344,0.486,0.444,0.507,0.534
"P48","Mejor",0.094,0.174,0.186,0.081,0.105
"P48","No sabe",0.037,0.033,0.09,0.051,0.299
"P49","Peor",0.533,0.177,0.259,0.246,0.137
"P49","Igual",0.25,0.47,0.291,0.403,0.359
"P49","Mejor",0.164,0.314,0.315,0.284,0.149
"P49","No sabe",0.053,0.039,0.135,0.067,0.355
"P50","El gobierno de Javier Milei",0.676,0.134,0.022,0.043,0.475
"P50","El gobierno de Alberto Fernández",0.197,0.759,0.867,0.876,0.258
"P50","Ambos",0.116,0.104,0.092,0.046,0.131
"P50","No sabe",0.011,0.003,0.019,0.035,0.136
"P51","Javier Milei",0.285,0.473,0.8,0.899,0.31
"P51","Los gobernadores",0.666,0.348,0.143,0.061,0.234
"P51","No sabe",0.049,0.179,0.057,0.04,0.456
"P52","Muy buena",0.4,0.088,0.081,0.015,0.189
"P52","Buena",0.235,0.118,0.021,0.031,0
"P52","Ni buena ni mala",0.137,0.094,0.011,0.078,0.252
"P52","Mala",0.124,0.225,0.12,0.075,0.173
"P52","Muy mala",0.104,0.471,0.767,0.801,0.253
"P52","No sabe",0,0.004,0,0,0.133
"P53","Muy buena",0.194,0.083,0.144,0.085,0.111
"P53","Buena",0.091,0.245,0.134,0.274,0.085
"P53","Ni buena ni mala",0.07,0.276,0.349,0.424,0.165
"P53","Mala",0.275,0.245,0.193,0.113,0.404
"P53","Muy mala",0.363,0.151,0.163,0.104,0.019
"P53","No sabe",0.007,0,0.017,0,0.216
"P54","Muy buena",0.2,0.251,0.421,0.438,0.128
"P54","Buena",0.092,0.402,0.366,0.316,0.13
"P54","Ni buena ni mala",0.051,0.187,0.157,0.197,0.314
"P54","Mala",0.251,0.086,0.022,0.029,0.211
"P54","Muy mala",0.404,0.074,0.017,0.02,0.019
"P54","No sabe",0.002,0,0.017,0,0.198
"P55","Muy buena",0.212,0.151,0.308,0.27,0.112
"P55","Buena",0.046,0.235,0.34,0.267,0.089
"P55","Ni buena ni mala",0.093,0.371,0.285,0.356,0.346
"P55","Mala",0.217,0.099,0.039,0.023,0.087
"P55","Muy mala",0.393,0.094,0.028,0.053,0.055
"P55","No sabe",0.039,0.05,0,0.031,0.311
"P56","Muy buena",0.219,0.357,0.673,0.638,0.242
"P56","Buena",0.081,0.27,0.172,0.218,0.232
"P56","Ni buena ni mala",0.103,0.244,0.075,0.104,0.073
"P56","Mala",0.189,0.075,0.013,0.03,0.073
"P56","Muy mala",0.38,0.053,0.02,0.006,0.046
"P56","No sabe",0.028,0.001,0.047,0.004,0.334
"P57","Muy buena",0.176,0.138,0.076,0.081,0.105
"P57","Buena",0.125,0.279,0.283,0.251,0.16
"P57","Ni buena ni mala",0.264,0.413,0.468,0.445,0.359
"P57","Mala",0.201,0.117,0.1,0.09,0.094
"P57","Muy mala",0.207,0.02,0.042,0.13,0.036
"P57","No sabe",0.027,0.033,0.031,0.003,0.246
"P58","Muy buena",0.187,0.159,0.293,0.465,0.111
"P58","Buena",0.063,0.335,0.396,0.248,0.033
"P58","Ni buena ni mala",0.136,0.322,0.21,0.233,0.323
"P58","Mala",0.186,0.083,0.022,0.049,0.126
"P58","Muy mala",0.413,0.074,0.026,0,0.054
"P58","No sabe",0.015,0.027,0.053,0.005,0.353
"P59","Muy buena",0.155,0.132,0.281,0.396,0.11
"P59","Buena",0.048,0.318,0.254,0.247,0.092
"P59","Ni buena ni mala",0.196,0.373,0.309,0.279,0.378
"P59","Mala",0.24,0.074,0.021,0.021,0
"P59","Muy mala",0.317,0.047,0.043,0.021,0.044
"P59","No sabe",0.044,0.056,0.092,0.036,0.376
