"var","categoria","El gobierno de Javier Milei","El gobierno de Alberto Fernández","Ambos","No sabe"
"P29","Es imposible",0.328,0.334,0.18,0.046
"P29","Es muy difícil",0.139,0.389,0.274,0.208
"P29","Es bastante factible",0.149,0.103,0.172,0.095
"P29","Es posible",0.259,0.118,0.262,0.242
"P29","No sabe",0.125,0.056,0.112,0.409
"P30","Si",0.259,0.595,0.274,0.046
"P30","Es probable",0.152,0.251,0.212,0.241
"P30","No",0.463,0.088,0.357,0.22
"P30","No sabe",0.126,0.066,0.157,0.493
"P31","De acuerdo",0.305,0.755,0.386,0.073
"P31","Ni de acuerdo ni en desacuerdo",0.261,0.144,0.319,0.224
"P31","En desacuerdo",0.367,0.081,0.264,0.145
"P31","No sabe",0.067,0.02,0.031,0.558
"P32","Si",0.68,0.708,0.723,0.138
"P32","No",0.183,0.176,0.177,0.282
"P32","No sabe",0.137,0.116,0.1,0.58
"P33","Muy de acuerdo",0.194,0.278,0.08,0.101
"P33","De acuerdo",0.109,0.312,0.09,0.161
"P33","Ni de acuerdo ni en desacuerdo",0.03,0.209,0.221,0.165
"P33","En desacuerdo",0.55,0.153,0.494,0.201
"P33","Muy en desacuerdo",0.109,0.029,0.115,0.085
"P33","No sabe",0.008,0.019,0,0.287
"P34","Si",0.711,0.736,0.664,0.138
"P34","No",0.289,0.264,0.336,0.862
"P35","Muy de acuerdo",0.212,0.304,0.141,0.086
"P35","De acuerdo",0.095,0.289,0.195,0.192
"P35","Ni de acuerdo ni en desacuerdo",0.081,0.194,0.23,0.02
"P35","En desacuerdo",0.454,0.134,0.345,0.145
"P35","Muy en desacuerdo",0.154,0.075,0.082,0.269
"P35","No sabe",0.004,0.004,0.007,0.288
"P36","1-Excelente",0.272,0.193,0.107,0
"P36","2",0.135,0.121,0.093,0.109
"P36","3",0.04,0.077,0.034,0.024
"P36","4",0.052,0.053,0.034,0.121
"P36","5",0.157,0.145,0.258,0.134
"P36","6",0.048,0.029,0.031,0
"P36","7",0.053,0.018,0.105,0
"P36","8",0.028,0.026,0.063,0.024
"P36","9-Pésimo",0.177,0.234,0.151,0.047
"P36","No sabe",0.038,0.104,0.124,0.541
"P37","1-Excelente",0.224,0.128,0.13,0
"P37","2",0.148,0.135,0.079,0.024
"P37","3",0.058,0.053,0.116,0.024
"P37","4",0.055,0.083,0.082,0.206
"P37","5",0.152,0.181,0.165,0.181
"P37","6",0.086,0.066,0.097,0
"P37","7",0.052,0.043,0.059,0
"P37","8",0.032,0.038,0.062,0.024
"P37","9-Pésimo",0.159,0.221,0.16,0.028
"P37","No sabe",0.034,0.052,0.05,0.513
"P38","1-Excelente",0.234,0.168,0.108,0
"P38","2",0.124,0.118,0.111,0
"P38","3",0.102,0.063,0.064,0.024
"P38","4",0.073,0.085,0.111,0.279
"P38","5",0.13,0.121,0.216,0.028
"P38","6",0.054,0.072,0.06,0.085
"P38","7",0.037,0.059,0.072,0
"P38","8",0.034,0.036,0.057,0.051
"P38","9-Pésimo",0.16,0.202,0.156,0.02
"P38","No sabe",0.052,0.076,0.045,0.513
"P39","1-Excelente",0.28,0.127,0.115,0
"P39","2",0.102,0.141,0.09,0.024
"P39","3",0.058,0.09,0.157,0.145
"P39","4",0.08,0.072,0.062,0.121
"P39","5",0.152,0.166,0.171,0.028
"P39","6",0.067,0.059,0.049,0.085
"P39","7",0.051,0.039,0.106,0
"P39","8",0.012,0.038,0.03,0.065
"P39","9-Pésimo",0.161,0.2,0.158,0.019
"P39","No sabe",0.037,0.068,0.062,0.513
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.812,0.15,0.477,0.198
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.075,0.27,0.199,0.028
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.012,0.308,0.176,0.165
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.019,0.244,0.07,0.237
"P40","No sabe",0.082,0.028,0.078,0.372
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.75,0.082,0.35,0.193
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.119,0.206,0.254,0
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.025,0.445,0.322,0.193
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.011,0.256,0.059,0.218
"P41","No sabe",0.095,0.011,0.015,0.396
"P42","Oponerse totalmente",0.724,0.071,0.406,0.18
"P42","Oponerse parcialmente",0.174,0.128,0.196,0.024
"P42","Apoyar parcialmente",0.036,0.408,0.223,0
"P42","Apoyar totalmente",0.02,0.364,0.147,0.27
"P42","No sabe",0.046,0.029,0.028,0.526
"P43","Inseguridad y narcotráfico",0.306,0.373,0.162,0.198
"P43","Altos impuestos y tarifas",0.177,0.297,0.257,0.07
"P43","Educación y estado de las escuelas",0.194,0.147,0.298,0.101
"P43","Inflación",0.212,0.088,0.109,0.606
"P43","Estado de la salud",0.086,0.044,0.106,0.025
"P43","Corrupción",0.003,0.031,0.025,0
"P43","Pobreza",0.007,0.007,0.015,0
"P43","Medio ambiente, incendios y contaminación",0,0,0.028,0
"P43","Falta de trabajo",0.002,0.011,0,0
"P43","No sabe",0.013,0.002,0,0
"P47","Muy buena",0.242,0.037,0.06,0.141
"P47","Buena",0.245,0.304,0.284,0.077
"P47","Ni buena ni mala",0.259,0.38,0.277,0.071
"P47","Mala",0.21,0.176,0.199,0.303
"P47","Muy mala",0.038,0.084,0.082,0.121
"P47","No sabe",0.006,0.019,0.098,0.287
"P48","Peor",0.526,0.312,0.368,0.043
"P48","Igual",0.353,0.495,0.313,0.388
"P48","Mejor",0.065,0.14,0.278,0.024
"P48","No sabe",0.056,0.053,0.041,0.545
"P49","Peor",0.601,0.209,0.289,0.019
"P49","Igual",0.235,0.405,0.258,0.254
"P49","Mejor",0.086,0.316,0.388,0.037
"P49","No sabe",0.078,0.07,0.065,0.69
"P51","Javier Milei",0.263,0.717,0.307,0.336
"P51","Los gobernadores",0.696,0.189,0.454,0.221
"P51","No sabe",0.041,0.094,0.239,0.443
"P52","Muy buena",0.502,0.047,0.09,0.163
"P52","Buena",0.214,0.066,0.147,0.203
"P52","Ni buena ni mala",0.184,0.038,0.184,0.024
"P52","Mala",0.072,0.173,0.18,0.126
"P52","Muy mala",0.024,0.676,0.388,0.189
"P52","No sabe",0.004,0,0.011,0.295
"P53","Muy buena",0.21,0.119,0.062,0.02
"P53","Buena",0.032,0.255,0.05,0.152
"P53","Ni buena ni mala",0.063,0.322,0.263,0.025
"P53","Mala",0.296,0.184,0.36,0.041
"P53","Muy mala",0.382,0.12,0.25,0.235
"P53","No sabe",0.017,0,0.015,0.527
"P54","Muy buena",0.204,0.36,0.199,0.02
"P54","Buena",0.022,0.411,0.075,0.198
"P54","Ni buena ni mala",0.071,0.163,0.228,0.025
"P54","Mala",0.269,0.033,0.289,0.065
"P54","Muy mala",0.422,0.033,0.209,0.151
"P54","No sabe",0.012,0,0,0.541
"P55","Muy buena",0.229,0.258,0.027,0.095
"P55","Buena",0.001,0.304,0.105,0
"P55","Ni buena ni mala",0.062,0.317,0.375,0.365
"P55","Mala",0.23,0.046,0.195,0.024
"P55","Muy mala",0.428,0.04,0.256,0.123
"P55","No sabe",0.05,0.035,0.042,0.393
"P56","Muy buena",0.198,0.569,0.178,0.219
"P56","Buena",0.056,0.237,0.168,0.029
"P56","Ni buena ni mala",0.076,0.132,0.23,0.148
"P56","Mala",0.206,0.026,0.151,0.172
"P56","Muy mala",0.418,0.011,0.245,0
"P56","No sabe",0.046,0.025,0.028,0.432
"P57","Muy buena",0.224,0.092,0.053,0.02
"P57","Buena",0.081,0.302,0.156,0
"P57","Ni buena ni mala",0.24,0.435,0.395,0.401
"P57","Mala",0.221,0.093,0.171,0.024
"P57","Muy mala",0.203,0.057,0.152,0.124
"P57","No sabe",0.031,0.021,0.073,0.431
"P58","Muy buena",0.197,0.312,0.007,0.097
"P58","Buena",0.022,0.333,0.183,0.026
"P58","Ni buena ni mala",0.078,0.278,0.285,0.299
"P58","Mala",0.229,0.031,0.16,0.024
"P58","Muy mala",0.435,0.019,0.3,0.123
"P58","No sabe",0.039,0.027,0.065,0.431
"P59","Muy buena",0.199,0.25,0.047,0.049
"P59","Buena",0.034,0.276,0.11,0
"P59","Ni buena ni mala",0.125,0.365,0.308,0.226
"P59","Mala",0.228,0.037,0.213,0.025
"P59","Muy mala",0.341,0.022,0.219,0.122
"P59","No sabe",0.073,0.05,0.103,0.578
