"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P37","3",0.033,0.081,0.108
"P37","4",0.083,0.064,0.083
"P37","5",0.166,0.19,0.115
"P37","6",0.05,0.075,0.198
"P37","7",0.037,0.07,0.003
"P37","8",0.035,0.046,0.028
"P37","9-Pésimo",0.212,0.173,0.132
"P37","No sabe",0.046,0.053,0.124
"P38","1-Excelente",0.247,0.096,0.179
"P38","2",0.093,0.142,0.143
"P38","3",0.051,0.089,0.137
"P38","4",0.089,0.086,0.089
"P38","5",0.107,0.176,0.084
"P38","6",0.055,0.073,0.088
"P38","7",0.051,0.065,0.006
"P38","8",0.037,0.041,0.029
"P38","9-Pésimo",0.201,0.164,0.117
"P38","No sabe",0.069,0.068,0.128
"P39","1-Excelente",0.219,0.105,0.228
"P39","2",0.101,0.158,0.073
"P39","3",0.07,0.085,0.183
"P39","4",0.071,0.085,0.041
"P39","5",0.156,0.175,0.119
"P39","6",0.055,0.075,0.041
"P39","7",0.029,0.082,0.02
"P39","8",0.031,0.023,0.044
"P39","9-Pésimo",0.202,0.16,0.123
"P39","No sabe",0.066,0.052,0.128
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.227,0.699,0.205
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.177,0.171,0.349
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.297,0.07,0.111
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.263,0.024,0.06
"P40","No sabe",0.036,0.036,0.275
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.199,0.567,0.158
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.115,0.221,0.325
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.391,0.129,0.343
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.264,0.037,0.027
"P41","No sabe",0.031,0.046,0.147
"P42","Oponerse totalmente",0.201,0.543,0.159
"P42","Oponerse parcialmente",0.068,0.217,0.282
"P42","Apoyar parcialmente",0.32,0.141,0.364
"P42","Apoyar totalmente",0.381,0.058,0.054
"P42","No sabe",0.03,0.041,0.141
"P43","Inseguridad y narcotráfico",0.464,0.192,0.186
"P43","Altos impuestos y tarifas",0.233,0.258,0.288
"P43","Educación y estado de las escuelas",0.127,0.24,0.152
"P43","Inflación",0.073,0.202,0.26
"P43","Estado de la salud",0.046,0.088,0.05
"P43","Corrupción",0.035,0.005,0.006
"P43","Pobreza",0.008,0.008,0.002
"P43","Medio ambiente, incendios y contaminación",0,0,0.026
"P43","Falta de trabajo",0.013,0.002,0
"P43","No sabe",0.001,0.005,0.03
"P47","Muy buena",0.166,0.069,0
"P47","Buena",0.236,0.364,0.156
"P47","Ni buena ni mala",0.313,0.297,0.465
"P47","Mala",0.184,0.208,0.177
"P47","Muy mala",0.082,0.05,0.065
"P47","No sabe",0.019,0.012,0.137
"P48","Peor",0.434,0.374,0.164
"P48","Igual",0.409,0.456,0.407
"P48","Mejor",0.097,0.12,0.286
"P48","No sabe",0.06,0.05,0.143
"P49","Peor",0.348,0.358,0.273
"P49","Igual",0.322,0.332,0.361
"P49","Mejor",0.26,0.211,0.247
"P49","No sabe",0.07,0.099,0.119
"P50","El gobierno de Javier Milei",0.176,0.611,0.142
"P50","El gobierno de Alberto Fernández",0.75,0.261,0.517
"P50","Ambos",0.06,0.116,0.243
"P50","No sabe",0.014,0.012,0.098
"P52","Muy buena",0.188,0.289,0.007
"P52","Buena",0.039,0.266,0.035
"P52","Ni buena ni mala",0.044,0.163,0.17
"P52","Mala",0.162,0.105,0.147
"P52","Muy mala",0.567,0.172,0.572
"P52","No sabe",0,0.005,0.069
"P53","Muy buena",0.224,0.031,0.16
"P53","Buena",0.187,0.12,0.138
"P53","Ni buena ni mala",0.312,0.106,0.217
"P53","Mala",0.16,0.328,0.274
"P53","Muy mala",0.105,0.405,0.123
"P53","No sabe",0.012,0.01,0.088
"P54","Muy buena",0.453,0.075,0.238
"P54","Buena",0.299,0.159,0.256
"P54","Ni buena ni mala",0.157,0.093,0.19
"P54","Mala",0.03,0.286,0.127
"P54","Muy mala",0.049,0.385,0.102
"P54","No sabe",0.012,0.002,0.087
"P55","Muy buena",0.374,0.06,0.074
"P55","Buena",0.219,0.132,0.113
"P55","Ni buena ni mala",0.264,0.15,0.449
"P55","Mala",0.047,0.237,0.063
"P55","Muy mala",0.054,0.396,0.124
"P55","No sabe",0.042,0.025,0.177
"P56","Muy buena",0.651,0.09,0.3
"P56","Buena",0.158,0.17,0.172
"P56","Ni buena ni mala",0.11,0.121,0.202
"P56","Mala",0.024,0.216,0.057
"P56","Muy mala",0.024,0.378,0.118
"P56","No sabe",0.033,0.025,0.151
"P57","Muy buena",0.207,0.054,0.048
"P57","Buena",0.227,0.167,0.248
"P57","Ni buena ni mala",0.369,0.33,0.476
"P57","Mala",0.105,0.205,0.091
"P57","Muy mala",0.065,0.204,0.041
"P57","No sabe",0.027,0.04,0.096
"P58","Muy buena",0.426,0.048,0.022
"P58","Buena",0.278,0.124,0.159
"P58","Ni buena ni mala",0.191,0.172,0.472
"P58","Mala",0.04,0.212,0.074
"P58","Muy mala",0.028,0.421,0.113
"P58","No sabe",0.037,0.023,0.16
"P59","Muy buena",0.368,0.03,0.079
"P59","Buena",0.188,0.157,0.141
"P59","Ni buena ni mala",0.305,0.203,0.409
"P59","Mala",0.044,0.228,0.072
"P59","Muy mala",0.039,0.309,0.115
"P59","No sabe",0.056,0.073,0.184
