"var","categoria","Peor","Igual","Mejor","No sabe"
"P31","De acuerdo",0.484,0.545,0.678,0.481
"P31","Ni de acuerdo ni en desacuerdo",0.174,0.268,0.16,0.193
"P31","En desacuerdo",0.312,0.149,0.13,0.114
"P31","No sabe",0.03,0.038,0.032,0.212
"P32","Si",0.651,0.677,0.812,0.529
"P32","No",0.206,0.187,0.151,0.133
"P32","No sabe",0.143,0.136,0.037,0.338
"P33","Muy de acuerdo",0.312,0.164,0.209,0.163
"P33","De acuerdo",0.129,0.34,0.187,0.189
"P33","Ni de acuerdo ni en desacuerdo",0.095,0.169,0.197,0.144
"P33","En desacuerdo",0.382,0.282,0.299,0.316
"P33","Muy en desacuerdo",0.077,0.044,0.08,0.065
"P33","No sabe",0.005,0.001,0.028,0.123
"P34","Si",0.759,0.69,0.704,0.572
"P34","No",0.241,0.31,0.296,0.428
"P35","Muy de acuerdo",0.365,0.151,0.254,0.172
"P35","De acuerdo",0.101,0.317,0.209,0.261
"P35","Ni de acuerdo ni en desacuerdo",0.076,0.229,0.189,0.097
"P35","En desacuerdo",0.301,0.227,0.251,0.292
"P35","Muy en desacuerdo",0.155,0.072,0.088,0.097
"P35","No sabe",0.002,0.004,0.009,0.081
"P36","1-Excelente",0.304,0.12,0.214,0.123
"P36","2",0.098,0.166,0.135,0.025
"P36","3",0.025,0.068,0.103,0.037
"P36","4",0.034,0.065,0.056,0.065
"P36","5",0.128,0.171,0.201,0.14
"P36","6",0.017,0.06,0.032,0.014
"P36","7",0.025,0.042,0.05,0.043
"P36","8",0.012,0.032,0.065,0.006
"P36","9-Pésimo",0.323,0.139,0.105,0.234
"P36","No sabe",0.034,0.137,0.039,0.313
"P37","1-Excelente",0.266,0.089,0.116,0.109
"P37","2",0.095,0.163,0.156,0.084
"P37","3",0.038,0.064,0.087,0.063
"P37","4",0.025,0.106,0.108,0.074
"P37","5",0.127,0.178,0.248,0.088
"P37","6",0.061,0.093,0.088,0.02
"P37","7",0.032,0.063,0.049,0.037
"P37","8",0.047,0.041,0.022,0.037
"P37","9-Pésimo",0.281,0.145,0.095,0.257
"P37","No sabe",0.028,0.058,0.031,0.231
"P38","1-Excelente",0.268,0.127,0.158,0.103
"P38","2",0.087,0.143,0.142,0.067
"P38","3",0.065,0.099,0.059,0.073
"P38","4",0.032,0.139,0.09,0.107
"P38","5",0.102,0.153,0.17,0.057
"P38","6",0.034,0.054,0.134,0.038
"P38","7",0.031,0.039,0.095,0.065
"P38","8",0.044,0.041,0.031,0.013
"P38","9-Pésimo",0.287,0.137,0.089,0.159
"P38","No sabe",0.05,0.068,0.032,0.318
"P39","1-Excelente",0.299,0.103,0.112,0.134
"P39","2",0.1,0.135,0.161,0.029
"P39","3",0.027,0.143,0.103,0.066
"P39","4",0.034,0.103,0.083,0.108
"P39","5",0.11,0.173,0.245,0.066
"P39","6",0.043,0.079,0.067,0.045
"P39","7",0.045,0.037,0.065,0.069
"P39","8",0.017,0.029,0.05,0.016
"P39","9-Pésimo",0.29,0.143,0.072,0.163
"P39","No sabe",0.035,0.055,0.042,0.304
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.63,0.311,0.282,0.252
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.097,0.273,0.251,0.087
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.143,0.169,0.252,0.3
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.106,0.183,0.178,0.116
"P40","No sabe",0.024,0.064,0.037,0.245
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.606,0.241,0.15,0.162
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.123,0.221,0.222,0.092
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.151,0.334,0.46,0.147
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.104,0.161,0.153,0.311
"P41","No sabe",0.016,0.043,0.015,0.288
"P42","Oponerse totalmente",0.579,0.211,0.176,0.2
"P42","Oponerse parcialmente",0.094,0.261,0.091,0.093
"P42","Apoyar parcialmente",0.141,0.304,0.41,0.084
"P42","Apoyar totalmente",0.177,0.191,0.276,0.39
"P42","No sabe",0.009,0.033,0.047,0.233
"P43","Inseguridad y narcotráfico",0.398,0.321,0.28,0.234
"P43","Altos impuestos y tarifas",0.182,0.284,0.311,0.182
"P43","Educación y estado de las escuelas",0.168,0.16,0.181,0.241
"P43","Inflación",0.153,0.121,0.124,0.237
"P43","Estado de la salud",0.046,0.064,0.073,0.09
"P43","Corrupción",0.028,0.018,0.015,0.016
"P43","Pobreza",0.008,0.004,0.015,0
"P43","Medio ambiente, incendios y contaminación",0.008,0,0,0
"P43","Falta de trabajo",0.003,0.019,0,0
"P43","No sabe",0.006,0.009,0.001,0
"P47","Muy buena",0.231,0.051,0.061,0
"P47","Buena",0.128,0.342,0.423,0.224
"P47","Ni buena ni mala",0.238,0.359,0.379,0.363
"P47","Mala",0.268,0.17,0.077,0.293
"P47","Muy mala",0.115,0.045,0.049,0.031
"P47","No sabe",0.02,0.033,0.011,0.089
"P48","Peor",0.797,0.224,0.129,0.046
"P48","Igual",0.152,0.671,0.442,0.549
"P48","Mejor",0.023,0.078,0.375,0.028
"P48","No sabe",0.028,0.027,0.054,0.377
"P50","El gobierno de Javier Milei",0.592,0.243,0.123,0.312
"P50","El gobierno de Alberto Fernández",0.324,0.662,0.712,0.439
"P50","Ambos",0.083,0.078,0.162,0.075
"P50","No sabe",0.001,0.017,0.003,0.174
"P51","Javier Milei",0.518,0.501,0.556,0.417
"P51","Los gobernadores",0.404,0.392,0.343,0.447
"P51","No sabe",0.078,0.107,0.101,0.136
"P52","Muy buena",0.363,0.142,0.086,0.198
"P52","Buena",0.167,0.151,0.046,0.103
"P52","Ni buena ni mala",0.105,0.086,0.117,0.116
"P52","Mala",0.083,0.183,0.181,0.068
"P52","Muy mala",0.278,0.435,0.57,0.441
"P52","No sabe",0.004,0.003,0,0.074
"P53","Muy buena",0.224,0.139,0.061,0.053
"P53","Buena",0.101,0.187,0.204,0.122
"P53","Ni buena ni mala",0.164,0.241,0.284,0.201
"P53","Mala",0.19,0.254,0.27,0.268
"P53","Muy mala",0.32,0.16,0.179,0.221
"P53","No sabe",0.001,0.019,0.002,0.135
"P54","Muy buena",0.302,0.299,0.297,0.109
"P54","Buena",0.143,0.253,0.35,0.27
"P54","Ni buena ni mala",0.091,0.163,0.139,0.192
"P54","Mala",0.172,0.124,0.125,0.119
"P54","Muy mala",0.289,0.146,0.088,0.201
"P54","No sabe",0.003,0.015,0.001,0.109
"P55","Muy buena",0.287,0.171,0.199,0.214
"P55","Buena",0.064,0.222,0.261,0.192
"P55","Ni buena ni mala",0.132,0.31,0.318,0.148
"P55","Mala",0.136,0.135,0.083,0.142
"P55","Muy mala",0.345,0.119,0.1,0.157
"P55","No sabe",0.036,0.043,0.039,0.147
"P56","Muy buena",0.398,0.373,0.455,0.307
"P56","Buena",0.063,0.226,0.226,0.16
"P56","Ni buena ni mala",0.092,0.174,0.104,0.109
"P56","Mala",0.126,0.088,0.074,0.143
"P56","Muy mala",0.301,0.119,0.077,0.135
"P56","No sabe",0.02,0.02,0.064,0.146
"P57","Muy buena",0.201,0.132,0.069,0.019
"P57","Buena",0.097,0.24,0.284,0.295
"P57","Ni buena ni mala",0.297,0.373,0.469,0.312
"P57","Mala",0.173,0.158,0.095,0.095
"P57","Muy mala",0.221,0.06,0.043,0.125
"P57","No sabe",0.011,0.037,0.04,0.154
"P58","Muy buena",0.325,0.194,0.217,0.112
"P58","Buena",0.114,0.266,0.259,0.193
"P58","Ni buena ni mala",0.106,0.266,0.276,0.244
"P58","Mala",0.128,0.11,0.079,0.129
"P58","Muy mala",0.307,0.135,0.106,0.178
"P58","No sabe",0.02,0.029,0.063,0.144
"P59","Muy buena",0.255,0.16,0.21,0.191
"P59","Buena",0.111,0.225,0.222,0.065
"P59","Ni buena ni mala",0.192,0.304,0.307,0.41
"P59","Mala",0.131,0.14,0.098,0.05
"P59","Muy mala",0.269,0.084,0.081,0.146
"P59","No sabe",0.042,0.087,0.082,0.138
