"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P20","Ni buena ni mala",0.267,0.297,0.423
"P20","Mala",0.102,0.218,0.067
"P20","Muy mala",0.107,0.23,0.033
"P20","No sabe",0.086,0.032,0.213
"P21","Si",0.692,0.343,0.335
"P21","No",0.144,0.454,0.166
"P21","No sabe",0.164,0.203,0.499
"P26","Si",0.847,0.824,0.618
"P26","No",0.153,0.176,0.382
"P27","Si",0.504,0.203,0.215
"P27","No estoy seguro",0.301,0.477,0.4
"P27","No",0.086,0.214,0.162
"P27","No sabe",0.109,0.106,0.223
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.181,0.299,0.208
"P28","Investigaciones científicas no declaradas con fines secretos",0.253,0.294,0.167
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.088,0.194,0.094
"P28","Otro",0.156,0.077,0.145
"P28","No sabe",0.322,0.136,0.386
"P29","Es imposible",0.361,0.309,0.151
"P29","Es muy difícil",0.174,0.373,0.186
"P29","Es bastante factible",0.166,0.102,0.111
"P29","Es posible",0.207,0.14,0.193
"P29","No sabe",0.092,0.076,0.359
"P30","Si",0.384,0.502,0.224
"P30","Es probable",0.177,0.218,0.238
"P30","No",0.326,0.182,0.255
"P30","No sabe",0.113,0.098,0.283
"P31","De acuerdo",0.501,0.621,0.326
"P31","Ni de acuerdo ni en desacuerdo",0.171,0.185,0.254
"P31","En desacuerdo",0.275,0.155,0.159
"P31","No sabe",0.053,0.039,0.261
"P32","Si",0.792,0.646,0.522
"P32","No",0.108,0.217,0.106
"P32","No sabe",0.1,0.137,0.372
"P33","Muy de acuerdo",0.233,0.265,0.066
"P33","De acuerdo",0.074,0.286,0.133
"P33","Ni de acuerdo ni en desacuerdo",0.081,0.167,0.27
"P33","En desacuerdo",0.535,0.21,0.34
"P33","Muy en desacuerdo",0.064,0.058,0.117
"P33","No sabe",0.013,0.014,0.074
"P34","Si",0.716,0.712,0.436
"P34","No",0.284,0.288,0.564
"P35","Muy de acuerdo",0.299,0.242,0.091
"P35","De acuerdo",0.095,0.281,0.229
"P35","Ni de acuerdo ni en desacuerdo",0.123,0.185,0.115
"P35","En desacuerdo",0.362,0.202,0.247
"P35","Muy en desacuerdo",0.111,0.087,0.272
"P35","No sabe",0.01,0.003,0.046
"P36","1-Excelente",0.342,0.184,0.205
"P36","2",0.105,0.123,0.161
"P36","3",0.04,0.08,0.021
"P36","4",0.033,0.061,0.046
"P36","5",0.157,0.161,0.164
"P36","6",0.042,0.023,0.033
"P36","7",0.053,0.025,0.032
"P36","8",0.047,0.021,0.013
"P36","9-Pésimo",0.122,0.237,0.116
"P36","No sabe",0.059,0.085,0.209
"P37","1-Excelente",0.286,0.145,0.084
"P37","2",0.118,0.13,0.176
"P37","3",0.087,0.043,0.06
"P37","4",0.053,0.089,0.084
"P37","5",0.156,0.159,0.201
"P37","6",0.068,0.062,0.133
"P37","7",0.07,0.036,0.014
"P37","8",0.028,0.042,0.021
"P37","9-Pésimo",0.103,0.231,0.105
"P37","No sabe",0.031,0.063,0.122
"P38","1-Excelente",0.265,0.17,0.11
"P38","2",0.115,0.117,0.14
"P38","3",0.098,0.043,0.121
"P38","4",0.09,0.076,0.096
"P38","5",0.177,0.122,0.096
"P38","6",0.039,0.073,0.085
"P38","7",0.056,0.061,0.031
"P38","8",0.011,0.04,0.066
"P38","9-Pésimo",0.098,0.219,0.091
"P38","No sabe",0.051,0.079,0.164
"P39","1-Excelente",0.292,0.146,0.09
"P39","2",0.093,0.122,0.186
"P39","3",0.105,0.063,0.1
"P39","4",0.1,0.067,0.074
"P39","5",0.113,0.176,0.147
"P39","6",0.053,0.064,0.023
"P39","7",0.078,0.03,0.038
"P39","8",0.015,0.041,0.064
"P39","9-Pésimo",0.117,0.214,0.097
"P39","No sabe",0.034,0.077,0.181
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.74,0.256,0.322
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.098,0.236,0.203
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.059,0.271,0.149
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.079,0.203,0.053
"P40","No sabe",0.024,0.034,0.273
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.658,0.2,0.256
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.139,0.189,0.192
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.123,0.356,0.334
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.055,0.223,0.041
"P41","No sabe",0.025,0.032,0.177
"P42","Oponerse totalmente",0.601,0.185,0.331
"P42","Oponerse parcialmente",0.162,0.143,0.143
"P42","Apoyar parcialmente",0.178,0.294,0.251
"P42","Apoyar totalmente",0.023,0.346,0.13
"P42","No sabe",0.036,0.032,0.145
"P43","Inseguridad y narcotráfico",0.352,0.339,0.236
"P43","Altos impuestos y tarifas",0.201,0.273,0.234
"P43","Educación y estado de las escuelas",0.179,0.18,0.139
"P43","Inflación",0.181,0.103,0.24
"P43","Estado de la salud",0.067,0.045,0.132
"P43","Corrupción",0.003,0.032,0.005
"P43","Pobreza",0.009,0.009,0
"P43","Medio ambiente, incendios y contaminación",0,0.005,0
"P43","Falta de trabajo",0,0.012,0
"P43","No sabe",0.008,0.002,0.014
"P47","Muy buena",0.254,0.053,0.048
"P47","Buena",0.281,0.271,0.293
"P47","Ni buena ni mala",0.239,0.358,0.343
"P47","Mala",0.199,0.204,0.128
"P47","Muy mala",0.024,0.1,0.044
"P47","No sabe",0.003,0.014,0.144
"P48","Peor",0.523,0.344,0.257
"P48","Igual",0.354,0.476,0.37
"P48","Mejor",0.095,0.12,0.214
"P48","No sabe",0.028,0.06,0.159
"P49","Peor",0.477,0.302,0.246
"P49","Igual",0.264,0.363,0.328
"P49","Mejor",0.216,0.245,0.264
"P49","No sabe",0.043,0.09,0.162
"P50","El gobierno de Javier Milei",0.692,0.172,0.293
"P50","El gobierno de Alberto Fernández",0.204,0.731,0.442
"P50","Ambos",0.101,0.087,0.151
"P50","No sabe",0.003,0.01,0.114
"P51","Javier Milei",0.343,0.636,0.357
"P51","Los gobernadores",0.609,0.276,0.388
"P51","No sabe",0.048,0.088,0.255
"P52","Muy buena",0.367,0.135,0.184
"P52","Buena",0.204,0.088,0.127
"P52","Ni buena ni mala",0.157,0.054,0.189
"P52","Mala",0.128,0.151,0.104
"P52","Muy mala",0.144,0.571,0.337
"P52","No sabe",0,0.001,0.059
"P53","Muy buena",0.217,0.133,0.014
"P53","Buena",0.049,0.199,0.213
"P53","Ni buena ni mala",0.137,0.261,0.241
"P53","Mala",0.281,0.225,0.188
"P53","Muy mala",0.316,0.181,0.208
"P53","No sabe",0,0.001,0.136
"P54","Muy buena",0.287,0.314,0.148
"P54","Buena",0.063,0.34,0.21
"P54","Ni buena ni mala",0.114,0.128,0.214
"P54","Mala",0.21,0.112,0.1
"P54","Muy mala",0.324,0.106,0.217
"P54","No sabe",0.002,0,0.111
"P55","Muy buena",0.197,0.253,0.143
"P55","Buena",0.072,0.237,0.138
"P55","Ni buena ni mala",0.171,0.267,0.259
"P55","Mala",0.202,0.083,0.119
"P55","Muy mala",0.353,0.12,0.161
"P55","No sabe",0.005,0.04,0.18
"P56","Muy buena",0.261,0.485,0.317
"P56","Buena",0.098,0.21,0.119
"P56","Ni buena ni mala",0.098,0.135,0.13
"P56","Mala",0.171,0.069,0.093
"P56","Muy mala",0.339,0.09,0.152
"P56","No sabe",0.033,0.011,0.189
"P57","Muy buena",0.223,0.104,0.043
"P57","Buena",0.092,0.279,0.15
"P57","Ni buena ni mala",0.331,0.363,0.448
"P57","Mala",0.151,0.137,0.147
"P57","Muy mala",0.182,0.092,0.079
"P57","No sabe",0.021,0.025,0.133
"P58","Muy buena",0.198,0.284,0.13
"P58","Buena",0.066,0.299,0.116
"P58","Ni buena ni mala",0.184,0.202,0.314
"P58","Mala",0.166,0.083,0.103
"P58","Muy mala",0.353,0.112,0.167
"P58","No sabe",0.033,0.02,0.17
"P59","Muy buena",0.205,0.234,0.102
"P59","Buena",0.086,0.227,0.123
"P59","Ni buena ni mala",0.209,0.29,0.356
"P59","Mala",0.172,0.111,0.036
"P59","Muy mala",0.268,0.091,0.155
"P59","No sabe",0.06,0.047,0.228
