"var","categoria","Si","Es probable","No","No sabe"
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.269,0.052,0.035,0.111
"P41","No sabe",0.015,0.058,0.014,0.249
"P42","Oponerse totalmente",0.22,0.247,0.61,0.267
"P42","Oponerse parcialmente",0.088,0.268,0.183,0.075
"P42","Apoyar parcialmente",0.293,0.316,0.136,0.243
"P42","Apoyar totalmente",0.377,0.14,0.045,0.164
"P42","No sabe",0.022,0.029,0.026,0.251
"P43","Inseguridad y narcotráfico",0.589,0.131,0.141,0.068
"P43","Altos impuestos y tarifas",0.193,0.535,0.163,0.089
"P43","Educación y estado de las escuelas",0.096,0.102,0.421,0.102
"P43","Inflación",0.04,0.133,0.2,0.461
"P43","Estado de la salud",0.033,0.04,0.052,0.251
"P43","Corrupción",0.035,0.016,0.002,0.009
"P43","Pobreza",0.007,0.012,0.009,0
"P43","Medio ambiente, incendios y contaminación",0.006,0,0,0
"P43","Falta de trabajo",0,0.029,0.004,0
"P43","No sabe",0.001,0.002,0.008,0.02
"P47","Muy buena",0.162,0.101,0.068,0.027
"P47","Buena",0.256,0.379,0.259,0.197
"P47","Ni buena ni mala",0.314,0.263,0.362,0.373
"P47","Mala",0.157,0.171,0.254,0.236
"P47","Muy mala",0.098,0.021,0.053,0.094
"P47","No sabe",0.013,0.065,0.004,0.073
"P48","Peor",0.423,0.284,0.43,0.327
"P48","Igual",0.376,0.552,0.411,0.412
"P48","Mejor",0.145,0.127,0.111,0.078
"P48","No sabe",0.056,0.037,0.048,0.183
"P49","Peor",0.319,0.235,0.496,0.335
"P49","Igual",0.348,0.464,0.226,0.218
"P49","Mejor",0.265,0.253,0.195,0.204
"P49","No sabe",0.068,0.048,0.083,0.243
"P50","El gobierno de Javier Milei",0.203,0.243,0.643,0.412
"P50","El gobierno de Alberto Fernández",0.733,0.633,0.193,0.337
"P50","Ambos",0.062,0.099,0.145,0.149
"P50","No sabe",0.002,0.025,0.019,0.102
"P51","Javier Milei",0.763,0.539,0.171,0.215
"P51","Los gobernadores",0.184,0.374,0.739,0.455
"P51","No sabe",0.053,0.087,0.09,0.33
"P52","Muy buena",0.209,0.141,0.31,0.118
"P52","Buena",0.046,0.216,0.194,0.127
"P52","Ni buena ni mala",0.039,0.074,0.209,0.177
"P52","Mala",0.137,0.152,0.145,0.098
"P52","Muy mala",0.569,0.417,0.139,0.404
"P52","No sabe",0,0,0.003,0.076
"P53","Muy buena",0.257,0.112,0.02,0.011
"P53","Buena",0.201,0.205,0.057,0.104
"P53","Ni buena ni mala",0.268,0.349,0.088,0.086
"P53","Mala",0.172,0.182,0.35,0.35
"P53","Muy mala",0.102,0.137,0.483,0.304
"P53","No sabe",0,0.015,0.002,0.145
"P54","Muy buena",0.498,0.234,0.026,0.094
"P54","Buena",0.259,0.387,0.08,0.244
"P54","Ni buena ni mala",0.131,0.161,0.117,0.143
"P54","Mala",0.06,0.079,0.323,0.16
"P54","Muy mala",0.052,0.122,0.453,0.246
"P54","No sabe",0,0.017,0.001,0.113
"P55","Muy buena",0.386,0.148,0.049,0.083
"P55","Buena",0.21,0.333,0.025,0.062
"P55","Ni buena ni mala",0.255,0.268,0.139,0.334
"P55","Mala",0.073,0.082,0.264,0.083
"P55","Muy mala",0.049,0.131,0.481,0.258
"P55","No sabe",0.027,0.038,0.042,0.18
"P56","Muy buena",0.636,0.404,0.072,0.137
"P56","Buena",0.176,0.238,0.073,0.186
"P56","Ni buena ni mala",0.075,0.173,0.142,0.185
"P56","Mala",0.052,0.061,0.235,0.087
"P56","Muy mala",0.038,0.092,0.447,0.243
"P56","No sabe",0.023,0.032,0.031,0.162
"P57","Muy buena",0.213,0.09,0.048,0.063
"P57","Buena",0.208,0.292,0.131,0.208
"P57","Ni buena ni mala",0.371,0.41,0.337,0.312
"P57","Mala",0.127,0.067,0.229,0.149
"P57","Muy mala",0.071,0.081,0.238,0.096
"P57","No sabe",0.01,0.06,0.017,0.172
"P58","Muy buena",0.431,0.176,0.018,0.063
"P58","Buena",0.246,0.343,0.082,0.056
"P58","Ni buena ni mala",0.205,0.234,0.147,0.35
"P58","Mala",0.051,0.081,0.226,0.148
"P58","Muy mala",0.044,0.124,0.493,0.22
"P58","No sabe",0.023,0.042,0.034,0.163
"P59","Muy buena",0.364,0.171,0.007,0.084
"P59","Buena",0.243,0.211,0.043,0.091
"P59","Ni buena ni mala",0.255,0.389,0.22,0.261
"P59","Mala",0.049,0.058,0.299,0.116
"P59","Muy mala",0.047,0.068,0.386,0.216
"P59","No sabe",0.042,0.103,0.045,0.232
