"var","categoria","El gobierno anterior de Omar Gutierrez","El actual gobierno de Rolo Figueroa","No sabe"
"P36","5",0.214,0.083,0.168
"P36","6",0.025,0.015,0.037
"P36","7",0.04,0.013,0.031
"P36","8",0.026,0.011,0.02
"P36","9-Pésimo",0.226,0.262,0.23
"P36","No sabe",0.055,0.089,0.108
"P37","1-Excelente",0.208,0.094,0.097
"P37","2",0.104,0.233,0.088
"P37","3",0.054,0.049,0.031
"P37","4",0.044,0.112,0.145
"P37","5",0.155,0.111,0.183
"P37","6",0.082,0.032,0.061
"P37","7",0.021,0.031,0.062
"P37","8",0.036,0.059,0.038
"P37","9-Pésimo",0.257,0.202,0.224
"P37","No sabe",0.039,0.077,0.071
"P38","1-Excelente",0.26,0.081,0.108
"P38","2",0.06,0.254,0.106
"P38","3",0.024,0.027,0.083
"P38","4",0.079,0.058,0.07
"P38","5",0.147,0.057,0.148
"P38","6",0.057,0.117,0.076
"P38","7",0.069,0.05,0.041
"P38","8",0.024,0.048,0.055
"P38","9-Pésimo",0.224,0.21,0.232
"P38","No sabe",0.056,0.098,0.081
"P39","1-Excelente",0.196,0.119,0.087
"P39","2",0.108,0.21,0.107
"P39","3",0.054,0.041,0.093
"P39","4",0.082,0.067,0.051
"P39","5",0.166,0.138,0.207
"P39","6",0.044,0.049,0.103
"P39","7",0.02,0.048,0.034
"P39","8",0.057,0.024,0.021
"P39","9-Pésimo",0.21,0.22,0.219
"P39","No sabe",0.063,0.084,0.078
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.233,0.237,0.354
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.208,0.275,0.259
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.343,0.211,0.179
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.215,0.221,0.148
"P40","No sabe",0.001,0.056,0.06
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.16,0.209,0.286
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.208,0.272,0.138
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.39,0.268,0.305
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.241,0.197,0.2
"P41","No sabe",0.001,0.054,0.071
"P42","Oponerse totalmente",0.142,0.193,0.313
"P42","Oponerse parcialmente",0.12,0.237,0.122
"P42","Apoyar parcialmente",0.298,0.251,0.281
"P42","Apoyar totalmente",0.437,0.263,0.238
"P42","No sabe",0.003,0.056,0.046
"P43","Inseguridad y narcotráfico",0.42,0.226,0.279
"P43","Altos impuestos y tarifas",0.26,0.408,0.187
"P43","Educación y estado de las escuelas",0.157,0.161,0.262
"P43","Inflación",0.062,0.141,0.149
"P43","Estado de la salud",0.036,0.047,0.056
"P43","Corrupción",0.039,0.008,0.031
"P43","Pobreza",0.016,0.004,0.001
"P43","Medio ambiente, incendios y contaminación",0.008,0,0
"P43","Falta de trabajo",0,0.005,0.031
"P43","No sabe",0.002,0,0.004
"P47","Muy buena",0.077,0.078,0.019
"P47","Buena",0.241,0.276,0.284
"P47","Ni buena ni mala",0.354,0.305,0.416
"P47","Mala",0.196,0.201,0.202
"P47","Muy mala",0.113,0.12,0.076
"P47","No sabe",0.019,0.02,0.003
"P48","Peor",0.387,0.364,0.274
"P48","Igual",0.446,0.434,0.526
"P48","Mejor",0.129,0.142,0.12
"P48","No sabe",0.038,0.06,0.08
"P49","Peor",0.348,0.338,0.258
"P49","Igual",0.294,0.457,0.376
"P49","Mejor",0.267,0.17,0.243
"P49","No sabe",0.091,0.035,0.123
"P50","El gobierno de Javier Milei",0.123,0.268,0.25
"P50","El gobierno de Alberto Fernández",0.811,0.65,0.59
"P50","Ambos",0.053,0.069,0.157
"P50","No sabe",0.013,0.013,0.003
"P51","Javier Milei",0.686,0.54,0.541
"P51","Los gobernadores",0.209,0.401,0.357
"P51","No sabe",0.105,0.059,0.102
"P52","Muy buena",0.142,0.163,0.165
"P52","Buena",0.065,0.206,0.06
"P52","Ni buena ni mala",0.03,0.066,0.108
"P52","Mala",0.15,0.111,0.164
"P52","Muy mala",0.613,0.454,0.5
"P52","No sabe",0,0,0.003
"P53","Muy buena",0.167,0.113,0.1
"P53","Buena",0.145,0.275,0.174
"P53","Ni buena ni mala",0.266,0.158,0.299
"P53","Mala",0.232,0.214,0.249
"P53","Muy mala",0.19,0.238,0.178
"P53","No sabe",0,0.002,0
"P54","Muy buena",0.333,0.244,0.265
"P54","Buena",0.362,0.386,0.248
"P54","Ni buena ni mala",0.114,0.14,0.137
"P54","Mala",0.081,0.093,0.194
"P54","Muy mala",0.11,0.137,0.156
"P54","No sabe",0,0,0
"P55","Muy buena",0.288,0.301,0.132
"P55","Buena",0.205,0.353,0.143
"P55","Ni buena ni mala",0.256,0.123,0.4
"P55","Mala",0.078,0.062,0.139
"P55","Muy mala",0.143,0.128,0.145
"P55","No sabe",0.03,0.033,0.041
"P56","Muy buena",0.574,0.417,0.33
"P56","Buena",0.148,0.322,0.174
"P56","Ni buena ni mala",0.118,0.069,0.238
"P56","Mala",0.069,0.067,0.11
"P56","Muy mala",0.091,0.114,0.127
"P56","No sabe",0,0.011,0.021
"P57","Muy buena",0.091,0.145,0.087
"P57","Buena",0.279,0.368,0.175
"P57","Ni buena ni mala",0.299,0.31,0.487
"P57","Mala",0.165,0.116,0.131
"P57","Muy mala",0.152,0.043,0.07
"P57","No sabe",0.014,0.018,0.05
"P58","Muy buena",0.327,0.347,0.142
"P58","Buena",0.319,0.305,0.242
"P58","Ni buena ni mala",0.174,0.138,0.263
"P58","Mala",0.074,0.035,0.138
"P58","Muy mala",0.106,0.164,0.161
"P58","No sabe",0,0.011,0.054
"P59","Muy buena",0.296,0.216,0.153
"P59","Buena",0.232,0.354,0.101
"P59","Ni buena ni mala",0.256,0.213,0.363
"P59","Mala",0.085,0.075,0.198
"P59","Muy mala",0.107,0.108,0.103
"P59","No sabe",0.024,0.034,0.082
