"var","categoria","Peor","Igual","Mejor","No sabe"
"P45","Igual",0.07,0.49,0.328,0.205
"P45","Mejor",0.009,0.019,0.088,0.084
"P45","No sabe",0.022,0.021,0.039,0.211
"P47","Javier Milei",0.346,0.55,0.678,0.393
"P47","Los gobernadores",0.568,0.337,0.188,0.279
"P47","No sabe",0.086,0.113,0.134,0.328
"P48","Muy buena",0.065,0.04,0.113,0.204
"P48","Buena",0.121,0.221,0.048,0.115
"P48","Ni buena ni mala",0.216,0.372,0.224,0.399
"P48","Mala",0.304,0.3,0.427,0.282
"P48","Muy mala",0.294,0.067,0.188,0
"P48","No sabe",0,0,0,0
"P49","Muy buena",0.039,0.055,0.115,0
"P49","Buena",0.035,0.236,0.029,0
"P49","Ni buena ni mala",0.164,0.225,0.253,0.181
"P49","Mala",0.378,0.328,0.234,0.543
"P49","Muy mala",0.383,0.149,0.369,0.276
"P49","No sabe",0.001,0.007,0,0
"P50","Muy buena",0.124,0.05,0,0
"P50","Buena",0.139,0.251,0.033,0.033
"P50","Ni buena ni mala",0.303,0.122,0.284,0.212
"P50","Mala",0.141,0.347,0.332,0.432
"P50","Muy mala",0.278,0.203,0.345,0.323
"P50","No sabe",0.015,0.027,0.006,0
"P51","Muy buena",0.075,0.146,0.089,0
"P51","Buena",0.048,0.372,0.182,0.038
"P51","Ni buena ni mala",0.298,0.209,0.429,0.744
"P51","Mala",0.167,0.207,0.264,0.043
"P51","Muy mala",0.309,0.052,0.018,0.078
"P51","No sabe",0.103,0.014,0.018,0.097
"P54","Muy buena",0.256,0.099,0.006,0.033
"P54","Buena",0.147,0.17,0.033,0.033
"P54","Ni buena ni mala",0.151,0.048,0.089,0.076
"P54","Mala",0.073,0.371,0.218,0.351
"P54","Muy mala",0.373,0.289,0.654,0.507
"P54","No sabe",0,0.023,0,0
"P55","Muy buena",0.04,0.127,0.081,0.021
"P55","Buena",0.101,0.423,0.215,0.138
"P55","Ni buena ni mala",0.086,0.154,0.439,0.181
"P55","Mala",0.207,0.175,0.203,0.189
"P55","Muy mala",0.561,0.121,0.062,0.471
"P55","No sabe",0.005,0,0,0
"P56","Muy buena",0.057,0.016,0.006,0
"P56","Buena",0.233,0.251,0.037,0.021
"P56","Ni buena ni mala",0.173,0.095,0.095,0.148
"P56","Mala",0.202,0.318,0.254,0.292
"P56","Muy mala",0.328,0.291,0.608,0.539
"P56","No sabe",0.007,0.029,0,0
"P57","Muy buena",0.28,0.072,0.038,0.033
"P57","Buena",0.113,0.126,0.008,0.064
"P57","Ni buena ni mala",0.106,0.089,0.073,0.232
"P57","Mala",0.132,0.418,0.227,0.216
"P57","Muy mala",0.319,0.238,0.654,0.455
"P57","No sabe",0.05,0.057,0,0
"P58","Muy buena",0.118,0.312,0.708,0.229
"P58","Buena",0.084,0.431,0.127,0.151
"P58","Ni buena ni mala",0.137,0.072,0.055,0.232
"P58","Mala",0.106,0.084,0.07,0.157
"P58","Muy mala",0.544,0.101,0.04,0.231
"P58","No sabe",0.011,0,0,0
"P59","Muy buena",0.128,0.36,0.47,0.265
"P59","Buena",0.14,0.305,0.213,0.213
"P59","Ni buena ni mala",0.042,0.176,0.233,0.148
"P59","Mala",0.12,0.034,0.033,0.212
"P59","Muy mala",0.561,0.125,0.051,0.162
"P59","No sabe",0.009,0,0,0
"P60","Muy buena",0.147,0.549,0.718,0.576
"P60","Buena",0.127,0.201,0.147,0.084
"P60","Ni buena ni mala",0.113,0.101,0.062,0.051
"P60","Mala",0.078,0.059,0.033,0.031
"P60","Muy mala",0.526,0.09,0.04,0.161
"P60","No sabe",0.009,0,0,0.097
"P61","Muy buena",0.033,0.06,0.124,0.203
"P61","Buena",0.127,0.343,0.182,0.413
"P61","Ni buena ni mala",0.334,0.389,0.641,0.124
"P61","Mala",0.193,0.143,0.053,0.087
"P61","Muy mala",0.216,0.034,0,0.045
"P61","No sabe",0.097,0.031,0,0.128
