"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.25,0.142,0.16
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.082,0.463,0.177
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.029,0.24,0.054
"P38","No sabe",0.012,0.004,0.086
"P39","Oponerse totalmente",0.722,0.156,0.492
"P39","Oponerse parcialmente",0.097,0.129,0.236
"P39","Apoyar parcialmente",0.15,0.347,0.216
"P39","Apoyar totalmente",0,0.365,0.025
"P39","No sabe",0.031,0.003,0.031
"P40","Inseguridad y narcotráfico",0.468,0.291,0.371
"P40","Altos impuestos y tarifas",0.152,0.195,0.074
"P40","Educación y estado de las escuelas",0.12,0.258,0.085
"P40","Inflación",0.134,0.079,0.04
"P40","Estado de la salud",0.092,0.139,0.241
"P40","Corrupción",0.021,0.028,0.04
"P40","Pobreza",0.002,0.001,0
"P40","Medio ambiente, incendios y contaminación",0.007,0.006,0
"P40","Falta de trabajo",0.004,0.003,0.027
"P40","No sabe",0,0,0.122
"P44","Muy buena",0.036,0.02,0.037
"P44","Buena",0.074,0.1,0.061
"P44","Ni buena ni mala",0.327,0.324,0.217
"P44","Mala",0.443,0.261,0.222
"P44","Muy mala",0.12,0.277,0.446
"P44","No sabe",0,0.018,0.017
"P45","Peor",0.8,0.693,0.788
"P45","Igual",0.161,0.244,0.15
"P45","Mejor",0.017,0.034,0
"P45","No sabe",0.022,0.029,0.062
"P46","Peor",0.796,0.465,0.649
"P46","Igual",0.125,0.302,0.222
"P46","Mejor",0.048,0.194,0.088
"P46","No sabe",0.031,0.039,0.041
"P47","Javier Milei",0.101,0.64,0.34
"P47","Los gobernadores",0.893,0.284,0.195
"P47","No sabe",0.006,0.076,0.465
"P48","Muy buena",0.169,0.028,0.042
"P48","Buena",0.218,0.095,0.123
"P48","Ni buena ni mala",0.333,0.228,0.246
"P48","Mala",0.207,0.383,0.288
"P48","Muy mala",0.073,0.266,0.301
"P48","No sabe",0,0,0
"P49","Muy buena",0.049,0.059,0.03
"P49","Buena",0.077,0.083,0.077
"P49","Ni buena ni mala",0.135,0.23,0.15
"P49","Mala",0.442,0.311,0.332
"P49","Muy mala",0.289,0.317,0.411
"P49","No sabe",0.008,0,0
"P50","Muy buena",0.196,0.025,0.098
"P50","Buena",0.228,0.12,0.088
"P50","Ni buena ni mala",0.424,0.186,0.171
"P50","Mala",0.048,0.353,0.077
"P50","Muy mala",0.079,0.31,0.523
"P50","No sabe",0.025,0.006,0.043
"P51","Muy buena",0.04,0.125,0.059
"P51","Buena",0.044,0.218,0.04
"P51","Ni buena ni mala",0.356,0.294,0.286
"P51","Mala",0.232,0.199,0.027
"P51","Muy mala",0.224,0.114,0.508
"P51","No sabe",0.104,0.05,0.08
"P54","Muy buena",0.382,0.088,0.102
"P54","Buena",0.264,0.09,0.027
"P54","Ni buena ni mala",0.17,0.092,0.095
"P54","Mala",0.048,0.258,0.095
"P54","Muy mala",0.136,0.463,0.681
"P54","No sabe",0,0.009,0
"P55","Muy buena",0.03,0.093,0.028
"P55","Buena",0.057,0.296,0.067
"P55","Ni buena ni mala",0.027,0.209,0.196
"P55","Mala",0.257,0.193,0.092
"P55","Muy mala",0.621,0.209,0.611
"P55","No sabe",0.008,0,0.006
"P56","Muy buena",0.104,0.013,0
"P56","Buena",0.268,0.213,0.014
"P56","Ni buena ni mala",0.286,0.068,0.149
"P56","Mala",0.212,0.217,0.398
"P56","Muy mala",0.124,0.48,0.408
"P56","No sabe",0.006,0.009,0.031
"P57","Muy buena",0.494,0.059,0.071
"P57","Buena",0.091,0.118,0.035
"P57","Ni buena ni mala",0.174,0.025,0.282
"P57","Mala",0.149,0.278,0.092
"P57","Muy mala",0.086,0.466,0.447
"P57","No sabe",0.006,0.054,0.073
"P58","Muy buena",0.039,0.399,0.073
"P58","Buena",0.068,0.262,0.033
"P58","Ni buena ni mala",0.081,0.086,0.31
"P58","Mala",0.172,0.063,0.08
"P58","Muy mala",0.64,0.188,0.466
"P58","No sabe",0,0.002,0.038
"P59","Muy buena",0.053,0.346,0.164
"P59","Buena",0.061,0.286,0.07
"P59","Ni buena ni mala",0.048,0.141,0.069
"P59","Mala",0.247,0.027,0.022
"P59","Muy mala",0.591,0.198,0.643
"P59","No sabe",0,0.002,0.032
"P60","Muy buena",0.061,0.526,0.131
"P60","Buena",0.045,0.213,0.075
"P60","Ni buena ni mala",0.149,0.082,0.076
"P60","Mala",0.158,0.027,0.024
"P60","Muy mala",0.587,0.15,0.634
"P60","No sabe",0,0.002,0.06
"P61","Muy buena",0.07,0.057,0.036
"P61","Buena",0.077,0.284,0.083
"P61","Ni buena ni mala",0.248,0.436,0.443
"P61","Mala",0.264,0.13,0.042
"P61","Muy mala",0.229,0.044,0.336
"P61","No sabe",0.112,0.049,0.06
