"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P59","Buena",0.027,0.232,0.437,0.125,0.453
"P59","Ni buena ni mala",0.037,0.069,0.1,0.247,0.244
"P59","Mala",0.168,0.089,0.05,0,0.157
"P59","Muy mala",0.754,0.554,0.038,0.008,0.146
"P59","No sabe",0.003,0,0.015,0,0
"P60","Muy buena",0.011,0.038,0.589,0.816,0.115
"P60","Buena",0.005,0.223,0.275,0.173,0.338
"P60","Ni buena ni mala",0.11,0.308,0.05,0.011,0.244
"P60","Mala",0.114,0.048,0.048,0,0.157
"P60","Muy mala",0.757,0.355,0.023,0,0.146
"P60","No sabe",0.003,0.028,0.015,0,0
"P61","Muy buena",0.031,0,0.076,0.128,0
"P61","Buena",0.041,0.35,0.281,0.291,0
"P61","Ni buena ni mala",0.262,0.223,0.567,0.451,0.438
"P61","Mala",0.207,0.313,0.046,0.119,0.146
"P61","Muy mala",0.314,0.086,0.015,0.011,0
"P61","No sabe",0.145,0.028,0.015,0,0.416
