"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P35","5",0.212,0.103,0.046
"P35","6",0.038,0.084,0.011
"P35","7",0.091,0.041,0.007
"P35","8",0.029,0.107,0.02
"P35","9-Pésimo",0.346,0.202,0.428
"P35","No sabe",0.012,0.06,0.047
"P36","1-Excelente",0.066,0.122,0.085
"P36","2",0.116,0.125,0.204
"P36","3",0.04,0.052,0.043
"P36","4",0.03,0.071,0.017
"P36","5",0.232,0.145,0.088
"P36","6",0.083,0.035,0.021
"P36","7",0.021,0.028,0
"P36","8",0.01,0.187,0.074
"P36","9-Pésimo",0.386,0.182,0.421
"P36","No sabe",0.016,0.053,0.047
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.111,0.691,0.422
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.202,0.251,0.152
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.406,0.003,0.209
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.278,0.054,0.138
"P37","No sabe",0.003,0.001,0.079
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.097,0.559,0.431
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.03,0.331,0.079
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.55,0.085,0.263
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.321,0.009,0.169
"P38","No sabe",0.002,0.016,0.058
"P39","Oponerse totalmente",0.106,0.634,0.407
"P39","Oponerse parcialmente",0.019,0.229,0.188
"P39","Apoyar parcialmente",0.464,0.069,0.332
"P39","Apoyar totalmente",0.407,0.037,0.073
"P39","No sabe",0.004,0.031,0
"P40","Inseguridad y narcotráfico",0.289,0.437,0.291
"P40","Altos impuestos y tarifas",0.17,0.188,0.01
"P40","Educación y estado de las escuelas",0.244,0.121,0.32
"P40","Inflación",0.082,0.104,0.082
"P40","Estado de la salud",0.19,0.095,0.092
"P40","Corrupción",0.019,0.03,0.051
"P40","Pobreza",0.002,0.001,0
"P40","Medio ambiente, incendios y contaminación",0,0.013,0
"P40","Falta de trabajo",0.004,0.011,0
"P40","No sabe",0,0,0.154
"P44","Muy buena",0.039,0.02,0
"P44","Buena",0.079,0.123,0.015
"P44","Ni buena ni mala",0.23,0.292,0.386
"P44","Mala",0.25,0.413,0.154
"P44","Muy mala",0.392,0.143,0.428
"P44","No sabe",0.01,0.009,0.017
"P45","Peor",0.7,0.783,0.673
"P45","Igual",0.235,0.192,0.174
"P45","Mejor",0.034,0.004,0.074
"P45","No sabe",0.031,0.021,0.079
"P46","Peor",0.459,0.741,0.466
"P46","Igual",0.296,0.178,0.249
"P46","Mejor",0.212,0.058,0.172
"P46","No sabe",0.033,0.023,0.113
"P48","Muy buena",0.05,0.106,0.012
"P48","Buena",0.034,0.236,0.12
"P48","Ni buena ni mala",0.2,0.32,0.271
"P48","Mala",0.408,0.255,0.222
"P48","Muy mala",0.308,0.083,0.375
"P48","No sabe",0,0,0
"P49","Muy buena",0.075,0.037,0.021
"P49","Buena",0.028,0.125,0.108
"P49","Ni buena ni mala",0.241,0.164,0.104
"P49","Mala",0.408,0.332,0.208
"P49","Muy mala",0.248,0.337,0.559
"P49","No sabe",0,0.005,0
"P50","Muy buena",0.079,0.112,0
"P50","Buena",0.03,0.28,0.074
"P50","Ni buena ni mala",0.113,0.416,0.151
"P50","Mala",0.401,0.075,0.149
"P50","Muy mala",0.372,0.097,0.58
"P50","No sabe",0.005,0.02,0.046
"P51","Muy buena",0.156,0.032,0.074
"P51","Buena",0.205,0.078,0.158
"P51","Ni buena ni mala",0.242,0.386,0.286
"P51","Mala",0.235,0.179,0.01
"P51","Muy mala",0.101,0.251,0.383
"P51","No sabe",0.061,0.074,0.089
"P54","Muy buena",0.05,0.342,0
"P54","Buena",0.031,0.264,0
"P54","Ni buena ni mala",0.01,0.216,0.124
"P54","Mala",0.307,0.036,0.21
"P54","Muy mala",0.59,0.142,0.666
"P54","No sabe",0.012,0,0
"P55","Muy buena",0.112,0.008,0.122
"P55","Buena",0.319,0.086,0.145
"P55","Ni buena ni mala",0.25,0.065,0.134
"P55","Mala",0.141,0.266,0.148
"P55","Muy mala",0.178,0.57,0.444
"P55","No sabe",0,0.005,0.007
"P56","Muy buena",0.014,0.07,0
"P56","Buena",0.07,0.379,0.012
"P56","Ni buena ni mala",0.042,0.254,0.087
"P56","Mala",0.341,0.14,0.245
"P56","Muy mala",0.521,0.153,0.617
"P56","No sabe",0.012,0.004,0.039
"P57","Muy buena",0.049,0.368,0
"P57","Buena",0.002,0.217,0.008
"P57","Ni buena ni mala",0.065,0.136,0.117
"P57","Mala",0.338,0.105,0.175
"P57","Muy mala",0.529,0.106,0.66
"P57","No sabe",0.017,0.068,0.04
"P58","Muy buena",0.501,0.043,0.082
"P58","Buena",0.261,0.09,0.172
"P58","Ni buena ni mala",0.151,0.064,0.173
"P58","Mala",0.044,0.153,0.085
"P58","Muy mala",0.043,0.647,0.44
"P58","No sabe",0,0.003,0.048
"P59","Muy buena",0.425,0.052,0.231
"P59","Buena",0.321,0.084,0.107
"P59","Ni buena ni mala",0.145,0.054,0.145
"P59","Mala",0.01,0.181,0.049
"P59","Muy mala",0.099,0.626,0.428
"P59","No sabe",0,0.003,0.04
"P60","Muy buena",0.676,0.049,0.153
"P60","Buena",0.202,0.099,0.109
"P60","Ni buena ni mala",0.014,0.166,0.184
"P60","Mala",0.009,0.124,0.052
"P60","Muy mala",0.099,0.559,0.427
"P60","No sabe",0,0.003,0.075
"P61","Muy buena",0.08,0.039,0.048
"P61","Buena",0.257,0.149,0.149
"P61","Ni buena ni mala",0.555,0.261,0.168
"P61","Mala",0.072,0.247,0.137
"P61","Muy mala",0.034,0.17,0.423
"P61","No sabe",0.002,0.134,0.075
