"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P17","Ni buena ni mala",0.35,0.355,0.388,0.205,0.25
"P17","Mala",0.08,0.072,0.206,0.139,0.036
"P17","Muy mala",0.038,0.075,0.088,0.251,0.113
"P17","No sabe",0.417,0.372,0.293,0.375,0.568
"P18","Muy buena",0.074,0.16,0.045,0.029,0.017
"P18","Buena",0.057,0.139,0.143,0,0.03
"P18","Ni buena ni mala",0.32,0.328,0.368,0.146,0.325
"P18","Mala",0.198,0.068,0.175,0.111,0.106
"P18","Muy mala",0.116,0.108,0.142,0.327,0.134
"P18","No sabe",0.235,0.197,0.127,0.387,0.388
"P19","La seguridad",0.302,0.299,0.193,0.246,0.232
"P19","El tránsito",0.053,0.067,0.048,0.011,0.02
"P19","El arreglo de las calles",0.156,0.096,0.131,0.05,0.104
"P19","El estado de las escuelas y la educación",0.039,0.04,0.047,0.025,0.057
"P19","El sistema de salud",0.111,0.116,0.042,0.135,0.086
"P19","El deporte y la cultura",0.13,0.095,0.085,0.116,0.082
"P19","La obra pública",0.069,0.03,0.055,0.06,0.066
"P19","La luminaria",0.058,0.094,0.109,0.022,0.099
"P19","No sabe",0.082,0.163,0.29,0.335,0.254
"P20","La seguridad",0.164,0.182,0.271,0.319,0.122
"P20","El tránsito",0.112,0.091,0.089,0.055,0.113
"P20","El arreglo de las calles",0.177,0.197,0.143,0.058,0.032
"P20","El estado de las escuelas y la educación",0.186,0.178,0.138,0.271,0.142
"P20","El sistema de salud",0.163,0.162,0.182,0.072,0.248
"P20","El deporte y la cultura",0.04,0.038,0.006,0.034,0.054
"P20","La obra pública",0.038,0.05,0.033,0.075,0.086
"P20","La luminaria",0.019,0.015,0.059,0.036,0.058
"P20","No sabe",0.101,0.087,0.079,0.08,0.145
"P21","Agua corriente y cloacas",0.437,0.487,0.597,0.522,0.416
"P21","Energía eléctrica",0.103,0.113,0.047,0.053,0.128
"P21","Red de gas natural",0.102,0.093,0.065,0.029,0.07
"P21","Recolección de residuos",0.126,0.177,0.13,0.237,0.081
"P21","Ninguno",0.232,0.13,0.161,0.159,0.305
"P22","Los robos",0.271,0.32,0.347,0.148,0.151
"P22","El narcotráfico",0.29,0.303,0.258,0.369,0.291
"P22","La ausencia de patrulleros y personal policial",0.15,0.135,0.209,0.209,0.149
"P22","Otro",0.154,0.143,0.112,0.237,0.24
"P22","Ninguno",0.135,0.099,0.074,0.037,0.169
"P23","Frente de Todos y el peronismo",0.623,0.089,0.075,0.249,0.217
"P23","Cambiemos",0.11,0.655,0.072,0.148,0.174
"P23","Liberales Libertarios",0.089,0.154,0.82,0.013,0.092
"P23","Izquierda",0.055,0.013,0.015,0.352,0.041
"P23","No sabe",0.123,0.089,0.018,0.238,0.476
"P25","A Alberto Fernández",0.225,0.295,0,0.049,0.426
"P25","A Sergio Massa",0.307,0.249,0.909,0,0.108
"P25","A algún candidato del peronismo",0.102,0.18,0.063,0,0.188
"P25","A algún candidato del kirchnerismo",0.366,0.276,0.028,0.951,0.278
"P26","A Alberto Fernández",0.127,0.291,0,0.022,0.089
"P26","A Sergio Massa",0.199,0.015,0,0,0.169
"P26","A algún candidato del peronismo",0.097,0.433,0.972,0,0.194
"P26","A Cristina Fernández de Kirchner",0.577,0.261,0.028,0.978,0.548
"P27","A Horacio Rodriguez Larreta",0.346,0.317,0.035,0,0.241
"P27","A Mauricio Macri",0.183,0.359,0.223,0,0.344
"P27","A Patricia Bullrich",0.057,0.231,0.375,0,0.277
"P27","A Facundo Manes",0.194,0.085,0.058,1,0.123
"P27","A Gerardo Morales",0.22,0.008,0.309,0,0.015
"P28","Seguro lo votaria",0.341,0.179,0.185,0,0.038
"P28","Quizás lo votaría",0.423,0.359,0.337,1,0.229
"P28","Nunca lo votaría",0.236,0.462,0.478,0,0.733
"P29","Muy buena",0.191,0.012,0,0,0.025
"P29","Buena",0.264,0.049,0,0.067,0.105
"P29","Ni buena ni mala",0.236,0.114,0.172,0.322,0.213
"P29","Mala",0.142,0.138,0.047,0.182,0.215
"P29","Muy mala",0.163,0.663,0.781,0.374,0.419
"P29","No sabe",0.004,0.024,0,0.055,0.023
"P30","Muy buena",0.042,0.284,0.106,0,0.033
"P30","Buena",0.043,0.278,0.191,0,0.118
"P30","Ni buena ni mala",0.14,0.206,0.317,0,0.214
"P30","Mala",0.184,0.099,0.19,0.262,0.312
"P30","Muy mala",0.573,0.132,0.196,0.716,0.293
"P30","No sabe",0.018,0.001,0,0.022,0.03
"P31","Muy buena",0.426,0.089,0.003,0.275,0.161
"P31","Buena",0.102,0.046,0.004,0.163,0.03
"P31","Ni buena ni mala",0.123,0.073,0.082,0.04,0.118
"P31","Mala",0.093,0.066,0.036,0.183,0.157
"P31","Muy mala",0.253,0.718,0.866,0.322,0.527
"P31","No sabe",0.003,0.008,0.009,0.017,0.007
"P32","Muy buena",0.173,0.3,0.114,0.135,0.107
"P32","Buena",0.097,0.3,0.169,0.014,0.196
"P32","Ni buena ni mala",0.166,0.213,0.365,0.01,0.281
"P32","Mala",0.188,0.038,0.181,0.099,0.162
"P32","Muy mala",0.367,0.131,0.162,0.72,0.22
"P32","No sabe",0.009,0.018,0.009,0.022,0.034
"P33","Muy buena",0.241,0.09,0.059,0.017,0.049
"P33","Buena",0.327,0.094,0.008,0.063,0.111
"P33","Ni buena ni mala",0.216,0.125,0.108,0.28,0.245
"P33","Mala",0.077,0.149,0.174,0.078,0.142
"P33","Muy mala",0.11,0.527,0.638,0.557,0.431
"P33","No sabe",0.029,0.015,0.013,0.005,0.022
"P34","Muy buena",0.098,0.472,0.306,0.135,0.082
"P34","Buena",0.053,0.206,0.271,0.014,0.148
"P34","Ni buena ni mala",0.075,0.112,0.295,0,0.248
"P34","Mala",0.141,0.052,0.041,0.034,0.185
"P34","Muy mala",0.592,0.138,0.078,0.785,0.302
"P34","No sabe",0.041,0.02,0.009,0.032,0.035
"P35","Muy buena",0.083,0.18,0.578,0.034,0.06
"P35","Buena",0.041,0.162,0.298,0.014,0.068
"P35","Ni buena ni mala",0.153,0.359,0.105,0,0.268
"P35","Mala",0.177,0.135,0,0.058,0.256
"P35","Muy mala",0.494,0.121,0.019,0.872,0.232
"P35","No sabe",0.052,0.043,0,0.022,0.116
