"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P33","Ni buena ni mala",0.056,0.126,0.05,0.088
"P33","Mala",0.074,0.089,0.071,0.033
"P33","Muy mala",0.26,0.293,0.634,0.73
"P33","No sabe",0.002,0.004,0.03,0.017
"P34","Muy buena",0.089,0.122,0.172,0.151
"P34","Buena",0.141,0.144,0.281,0.287
"P34","Ni buena ni mala",0.196,0.213,0.186,0.186
"P34","Mala",0.181,0.155,0.077,0.112
"P34","Muy mala",0.386,0.361,0.268,0.23
"P34","No sabe",0.007,0.005,0.016,0.034
"P35","Muy buena",0.193,0.103,0.048,0.06
"P35","Buena",0.307,0.34,0.19,0.077
"P35","Ni buena ni mala",0.257,0.203,0.158,0.095
"P35","Mala",0.079,0.179,0.139,0.132
"P35","Muy mala",0.164,0.162,0.463,0.632
"P35","No sabe",0,0.013,0.002,0.004
"P36","Muy buena",0.117,0.076,0.229,0.367
"P36","Buena",0.094,0.155,0.208,0.222
"P36","Ni buena ni mala",0.108,0.152,0.169,0.131
"P36","Mala",0.166,0.165,0.074,0.076
"P36","Muy mala",0.513,0.404,0.296,0.182
"P36","No sabe",0.002,0.048,0.024,0.022
"P37","Muy buena",0.081,0.071,0.17,0.272
"P37","Buena",0.034,0.093,0.142,0.196
"P37","Ni buena ni mala",0.213,0.182,0.279,0.267
"P37","Mala",0.094,0.148,0.112,0.085
"P37","Muy mala",0.549,0.454,0.245,0.124
"P37","No sabe",0.029,0.052,0.052,0.056
