"var","categoria","El anterior gobierno de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P47","Los gobernadores",0.678,0.938,1
"P47","No sabe",0.087,0,0
"P48","Muy buena",0.305,0.149,0.133
"P48","Buena",0.427,0.352,0.46
"P48","Ni buena ni mala",0.167,0.318,0
"P48","Mala",0.046,0.126,0
"P48","Muy mala",0.036,0.055,0.407
"P48","No sabe",0.019,0,0
"P50","Muy buena",0.162,0.225,0
"P50","Buena",0.259,0.39,0.46
"P50","Ni buena ni mala",0.144,0.138,0.133
"P50","Mala",0.344,0.227,0
"P50","Muy mala",0.072,0.02,0.407
"P50","No sabe",0.019,0,0
"P51","Muy buena",0.196,0.003,0
"P51","Buena",0.115,0.04,0
"P51","Ni buena ni mala",0.097,0.46,0.593
"P51","Mala",0.488,0.33,0
"P51","Muy mala",0.085,0.159,0.407
"P51","No sabe",0.019,0.008,0
"P54","Muy buena",0.272,0.347,0
"P54","Buena",0.247,0.062,0
"P54","Ni buena ni mala",0.086,0.132,0.134
"P54","Mala",0.322,0.302,0.518
"P54","Muy mala",0.073,0.157,0.348
"P54","No sabe",0,0,0
"P55","Muy buena",0.145,0.004,0
"P55","Buena",0.257,0.018,0
"P55","Ni buena ni mala",0.042,0,0.134
"P55","Mala",0.338,0.303,0
"P55","Muy mala",0.2,0.675,0.866
"P55","No sabe",0.018,0,0
"P56","Muy buena",0.406,0.086,0
"P56","Buena",0.052,0.122,0
"P56","Ni buena ni mala",0.16,0.455,0.652
"P56","Mala",0.262,0.239,0
"P56","Muy mala",0.12,0.098,0.348
"P56","No sabe",0,0,0
"P57","Muy buena",0.464,0.685,0
"P57","Buena",0.061,0.135,0
"P57","Ni buena ni mala",0.071,0.088,0.652
"P57","Mala",0.315,0.092,0
"P57","Muy mala",0.089,0,0.348
"P57","No sabe",0,0,0
"P58","Muy buena",0.223,0.098,0
"P58","Buena",0.049,0.017,0
"P58","Ni buena ni mala",0.06,0.002,0.134
"P58","Mala",0.259,0.131,0
"P58","Muy mala",0.409,0.752,0.866
"P58","No sabe",0,0,0
"P59","Muy buena",0.284,0,0
"P59","Buena",0.038,0,0
"P59","Ni buena ni mala",0.007,0.021,0.134
"P59","Mala",0.253,0.188,0
"P59","Muy mala",0.418,0.791,0.866
"P59","No sabe",0,0,0
"P60","Muy buena",0.204,0,0
"P60","Buena",0.108,0,0
"P60","Ni buena ni mala",0.022,0.101,0
"P60","Mala",0.327,0.203,0.518
"P60","Muy mala",0.339,0.696,0.348
"P60","No sabe",0,0,0.134
"P61","Muy buena",0.041,0,0
"P61","Buena",0.167,0.02,0
"P61","Ni buena ni mala",0.383,0.262,0.518
"P61","Mala",0.305,0.374,0
"P61","Muy mala",0.088,0.338,0.348
"P61","No sabe",0.016,0.006,0.134
