"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P56","Muy mala",0.234,0.248,0.611,0.719,0.455
"P56","No sabe",0,0,0,0.023,0
"P57","Muy buena",0.539,0.202,0.028,0,0.067
"P57","Buena",0.315,0.149,0.05,0.057,0
"P57","Ni buena ni mala",0.045,0.208,0.053,0.012,0
"P57","Mala",0.064,0.169,0.265,0.227,0.073
"P57","Muy mala",0.037,0.272,0.593,0.682,0.767
"P57","No sabe",0,0,0.011,0.022,0.093
"P58","Muy buena",0.11,0.116,0.546,0.675,0.538
"P58","Buena",0.044,0.113,0.29,0.112,0
"P58","Ni buena ni mala",0.038,0.054,0.111,0.043,0.131
"P58","Mala",0.154,0.276,0.01,0.041,0.034
"P58","Muy mala",0.654,0.441,0.039,0.107,0.204
"P58","No sabe",0,0,0.004,0.022,0.093
"P59","Muy buena",0.033,0.163,0.433,0.498,0
"P59","Buena",0.044,0.165,0.383,0.329,0.472
"P59","Ni buena ni mala",0.017,0.047,0.082,0.011,0.165
"P59","Mala",0.131,0.246,0.077,0.03,0
"P59","Muy mala",0.775,0.379,0.025,0.113,0.271
"P59","No sabe",0,0,0,0.019,0.092
"P60","Muy buena",0.06,0.212,0.519,0.742,0.472
"P60","Buena",0.061,0.155,0.244,0.073,0
"P60","Ni buena ni mala",0.057,0.082,0.189,0.054,0.107
"P60","Mala",0.13,0.255,0.032,0.03,0.058
"P60","Muy mala",0.684,0.291,0.012,0.082,0.067
"P60","No sabe",0.008,0.005,0.004,0.019,0.296
"P61","Muy buena",0.007,0.03,0.118,0.114,0
"P61","Buena",0.066,0.138,0.206,0.164,0
"P61","Ni buena ni mala",0.34,0.367,0.552,0.408,0.14
"P61","Mala",0.196,0.231,0.031,0.081,0.53
"P61","Muy mala",0.378,0.162,0.01,0.21,0
"P61","No sabe",0.013,0.072,0.083,0.023,0.33
