"var","categoria","No tengo cable ni internet","Si tuve","No tuve"
"P36","8",0.033,0.1,0.045
"P36","9-Pésimo",0.307,0.196,0.282
"P36","No sabe",0.059,0.048,0.067
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.364,0.437,0.421
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.163,0.175,0.186
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.12,0.177,0.176
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.285,0.18,0.182
"P37","No sabe",0.068,0.031,0.035
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.362,0.35,0.367
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.108,0.178,0.229
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.176,0.265,0.196
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.323,0.179,0.172
"P38","No sabe",0.031,0.028,0.036
"P39","Oponerse totalmente",0.348,0.39,0.363
"P39","Oponerse parcialmente",0.113,0.064,0.137
"P39","Apoyar parcialmente",0.207,0.319,0.267
"P39","Apoyar totalmente",0.281,0.192,0.209
"P39","No sabe",0.051,0.035,0.024
"P40","Inseguridad y narcotráfico",0.26,0.269,0.189
"P40","Altos impuestos y tarifas",0.189,0.212,0.155
"P40","Educación y estado de las escuelas",0.165,0.228,0.243
"P40","Inflación",0.295,0.156,0.218
"P40","Estado de la salud",0.014,0.089,0.095
"P40","Corrupción",0.02,0.012,0.04
"P40","Pobreza",0.012,0.026,0.011
"P40","Medio ambiente, incendios y contaminación",0,0.003,0
"P40","Falta de trabajo",0.014,0.005,0.049
"P40","No sabe",0.031,0,0
"P44","Muy buena",0.091,0.031,0.017
"P44","Buena",0.128,0.065,0.085
"P44","Ni buena ni mala",0.233,0.307,0.265
"P44","Mala",0.332,0.414,0.443
"P44","Muy mala",0.196,0.178,0.18
"P44","No sabe",0.02,0.005,0.01
"P45","Peor",0.567,0.586,0.432
"P45","Igual",0.135,0.222,0.3
"P45","Mejor",0.133,0.074,0.105
"P45","No sabe",0.165,0.118,0.163
"P46","Peor",0.473,0.6,0.498
"P46","Igual",0.242,0.249,0.216
"P46","Mejor",0.176,0.065,0.171
"P46","No sabe",0.109,0.086,0.115
"P47","Javier Milei",0.444,0.428,0.361
"P47","Los gobernadores",0.46,0.475,0.489
"P47","No sabe",0.096,0.097,0.15
"P48","Muy buena",0.207,0.081,0.102
"P48","Buena",0.128,0.172,0.276
"P48","Ni buena ni mala",0.196,0.236,0.229
"P48","Mala",0.227,0.316,0.255
"P48","Muy mala",0.222,0.193,0.138
"P48","No sabe",0.02,0.002,0
"P50","Muy buena",0.215,0.175,0.075
"P50","Buena",0.123,0.227,0.212
"P50","Ni buena ni mala",0.113,0.153,0.243
"P50","Mala",0.313,0.284,0.32
"P50","Muy mala",0.216,0.154,0.146
"P50","No sabe",0.02,0.007,0.004
"P51","Muy buena",0.258,0.073,0.085
"P51","Buena",0.028,0.191,0.166
"P51","Ni buena ni mala",0.365,0.355,0.307
"P51","Mala",0.096,0.175,0.286
"P51","Muy mala",0.224,0.159,0.098
"P51","No sabe",0.029,0.047,0.058
"P54","Muy buena",0.21,0.207,0.174
"P54","Buena",0.009,0.081,0.155
"P54","Ni buena ni mala",0.056,0.114,0.106
"P54","Mala",0.425,0.183,0.22
"P54","Muy mala",0.259,0.411,0.312
"P54","No sabe",0.041,0.004,0.033
"P55","Muy buena",0.183,0.097,0.104
"P55","Buena",0.019,0.153,0.195
"P55","Ni buena ni mala",0.112,0.157,0.171
"P55","Mala",0.352,0.18,0.155
"P55","Muy mala",0.313,0.409,0.371
"P55","No sabe",0.021,0.004,0.004
"P56","Muy buena",0.179,0.071,0.135
"P56","Buena",0.018,0.157,0.158
"P56","Ni buena ni mala",0.198,0.162,0.171
"P56","Mala",0.317,0.109,0.138
"P56","Muy mala",0.267,0.501,0.394
"P56","No sabe",0.021,0,0.004
"P57","Muy buena",0.24,0.243,0.21
"P57","Buena",0.039,0.172,0.253
"P57","Ni buena ni mala",0.104,0.058,0.049
"P57","Mala",0.304,0.108,0.187
"P57","Muy mala",0.292,0.415,0.283
"P57","No sabe",0.021,0.004,0.018
"P58","Muy buena",0.427,0.383,0.149
"P58","Buena",0.063,0.092,0.284
"P58","Ni buena ni mala",0.054,0.068,0.049
"P58","Mala",0.098,0.127,0.089
"P58","Muy mala",0.337,0.329,0.411
"P58","No sabe",0.021,0.001,0.018
"P59","Muy buena",0.353,0.24,0.151
"P59","Buena",0.124,0.259,0.177
"P59","Ni buena ni mala",0.024,0.031,0.084
"P59","Mala",0.127,0.116,0.087
"P59","Muy mala",0.351,0.354,0.487
"P59","No sabe",0.021,0,0.014
"P60","Muy buena",0.462,0.357,0.215
"P60","Buena",0.048,0.139,0.128
"P60","Ni buena ni mala",0.045,0.099,0.117
"P60","Mala",0.102,0.096,0.136
"P60","Muy mala",0.291,0.301,0.39
"P60","No sabe",0.052,0.008,0.014
"P61","Muy buena",0.194,0.03,0.012
"P61","Buena",0.086,0.134,0.154
"P61","Ni buena ni mala",0.294,0.426,0.431
"P61","Mala",0.122,0.163,0.139
"P61","Muy mala",0.247,0.205,0.192
"P61","No sabe",0.057,0.042,0.072
