"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P34","7",0.048,0.039,0.04
"P34","8",0.032,0.079,0.045
"P34","9-Pésimo",0.143,0.399,0.228
"P34","No sabe",0.016,0.051,0.116
"P35","1-Excelente",0.289,0.155,0.148
"P35","2",0.065,0.056,0.152
"P35","3",0.125,0.033,0.043
"P35","4",0.064,0.063,0.009
"P35","5",0.153,0.133,0.208
"P35","6",0.054,0.033,0.068
"P35","7",0.077,0.058,0.047
"P35","8",0.03,0.079,0.032
"P35","9-Pésimo",0.132,0.342,0.217
"P35","No sabe",0.011,0.048,0.076
"P36","1-Excelente",0.244,0.103,0.037
"P36","2",0.063,0.075,0.108
"P36","3",0.131,0.05,0.178
"P36","4",0.099,0.049,0.013
"P36","5",0.136,0.153,0.222
"P36","6",0.036,0.037,0.048
"P36","7",0.104,0.077,0.016
"P36","8",0.034,0.101,0.054
"P36","9-Pésimo",0.143,0.296,0.205
"P36","No sabe",0.01,0.059,0.119
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.801,0.245,0.344
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.099,0.201,0.221
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.016,0.248,0.129
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.029,0.297,0.168
"P37","No sabe",0.055,0.009,0.138
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.719,0.207,0.213
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.241,0.134,0.199
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.018,0.344,0.225
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.022,0.281,0.284
"P38","No sabe",0,0.034,0.079
"P39","Oponerse totalmente",0.77,0.213,0.221
"P39","Oponerse parcialmente",0.155,0.045,0.132
"P39","Apoyar parcialmente",0.052,0.372,0.431
"P39","Apoyar totalmente",0.023,0.336,0.089
"P39","No sabe",0,0.034,0.127
"P40","Inseguridad y narcotráfico",0.308,0.245,0.155
"P40","Altos impuestos y tarifas",0.212,0.175,0.251
"P40","Educación y estado de las escuelas",0.098,0.265,0.28
"P40","Inflación",0.211,0.197,0.161
"P40","Estado de la salud",0.055,0.091,0.049
"P40","Corrupción",0.003,0.023,0.04
"P40","Pobreza",0.057,0.002,0.017
"P40","Medio ambiente, incendios y contaminación",0.006,0,0
"P40","Falta de trabajo",0.05,0.002,0
"P40","No sabe",0,0,0.047
"P44","Muy buena",0.091,0.012,0.047
"P44","Buena",0.105,0.036,0.238
"P44","Ni buena ni mala",0.238,0.279,0.406
"P44","Mala",0.387,0.462,0.176
"P44","Muy mala",0.179,0.205,0.087
"P44","No sabe",0,0.006,0.046
"P45","Peor",0.721,0.522,0.309
"P45","Igual",0.108,0.235,0.4
"P45","Mejor",0.07,0.072,0.229
"P45","No sabe",0.101,0.171,0.062
"P46","Peor",0.76,0.499,0.333
"P46","Igual",0.108,0.272,0.406
"P46","Mejor",0.09,0.132,0.045
"P46","No sabe",0.042,0.097,0.216
"P47","Javier Milei",0.118,0.632,0.124
"P47","Los gobernadores",0.857,0.285,0.489
"P47","No sabe",0.025,0.083,0.387
"P48","Muy buena",0.184,0.061,0.166
"P48","Buena",0.36,0.093,0.205
"P48","Ni buena ni mala",0.289,0.178,0.306
"P48","Mala",0.097,0.413,0.14
"P48","Muy mala",0.065,0.255,0.154
"P48","No sabe",0.005,0,0.029
"P50","Muy buena",0.275,0.098,0.207
"P50","Buena",0.322,0.155,0.166
"P50","Ni buena ni mala",0.135,0.167,0.208
"P50","Mala",0.207,0.358,0.22
"P50","Muy mala",0.056,0.216,0.17
"P50","No sabe",0.005,0.006,0.029
"P51","Muy buena",0.062,0.114,0.203
"P51","Buena",0.102,0.185,0.138
"P51","Ni buena ni mala",0.305,0.367,0.352
"P51","Mala",0.359,0.111,0.109
"P51","Muy mala",0.153,0.172,0.119
"P51","No sabe",0.019,0.051,0.079
"P54","Muy buena",0.432,0.087,0.214
"P54","Buena",0.122,0.068,0.052
"P54","Ni buena ni mala",0.091,0.103,0.112
"P54","Mala",0.223,0.244,0.247
"P54","Muy mala",0.132,0.476,0.345
"P54","No sabe",0,0.022,0.03
"P55","Muy buena",0.051,0.115,0.249
"P55","Buena",0.059,0.153,0.215
"P55","Ni buena ni mala",0.018,0.212,0.168
"P55","Mala",0.312,0.165,0.183
"P55","Muy mala",0.555,0.352,0.155
"P55","No sabe",0.005,0.003,0.03
"P56","Muy buena",0.205,0.04,0.176
"P56","Buena",0.175,0.115,0.1
"P56","Ni buena ni mala",0.312,0.1,0.181
"P56","Mala",0.182,0.156,0.104
"P56","Muy mala",0.126,0.588,0.409
"P56","No sabe",0,0.001,0.03
"P57","Muy buena",0.595,0.09,0.114
"P57","Buena",0.149,0.163,0.181
"P57","Ni buena ni mala",0.114,0.035,0.097
"P57","Mala",0.105,0.192,0.155
"P57","Muy mala",0.037,0.509,0.423
"P57","No sabe",0,0.011,0.03
"P58","Muy buena",0.128,0.446,0.363
"P58","Buena",0.032,0.175,0.099
"P58","Ni buena ni mala",0.026,0.058,0.15
"P58","Mala",0.177,0.08,0.126
"P58","Muy mala",0.637,0.233,0.232
"P58","No sabe",0,0.008,0.03
"P59","Muy buena",0.075,0.318,0.285
"P59","Buena",0.008,0.322,0.193
"P59","Ni buena ni mala",0.033,0.029,0.104
"P59","Mala",0.218,0.051,0.153
"P59","Muy mala",0.666,0.275,0.235
"P59","No sabe",0,0.005,0.03
"P60","Muy buena",0.059,0.48,0.395
"P60","Buena",0.019,0.176,0.081
"P60","Ni buena ni mala",0.092,0.077,0.155
"P60","Mala",0.241,0.04,0.104
"P60","Muy mala",0.586,0.216,0.188
"P60","No sabe",0.003,0.011,0.077
"P61","Muy buena",0.014,0.09,0.02
"P61","Buena",0.074,0.145,0.171
"P61","Ni buena ni mala",0.266,0.451,0.468
"P61","Mala",0.297,0.102,0.05
"P61","Muy mala",0.331,0.159,0.182
"P61","No sabe",0.018,0.053,0.109
