"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P29","De acuerdo",0.12,0.232,0.033
"P29","Ni de acuerdo ni en desacuerdo",0.181,0.189,0.333
"P29","En desacuerdo",0.164,0.126,0.398
"P29","Muy en desacuerdo",0.256,0.052,0.096
"P29","No sabe",0.004,0.012,0.035
"P30","No estaba enterado",0.224,0.237,0.259
"P30","De acuerdo",0.434,0.475,0.281
"P30","En desacuerdo",0.292,0.185,0.333
"P30","No sabe",0.05,0.103,0.127
"P31","No tengo cable ni internet",0.085,0.191,0.254
"P31","Si tuve",0.713,0.648,0.524
"P31","No tuve",0.202,0.161,0.222
"P32","Reclamando directamente a la empresa",0.373,0.363,0.337
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.433,0.263,0.472
"P32","Nunca se pudo resolver",0.194,0.374,0.191
"P33","1-Excelente",0.115,0.146,0.044
"P33","2",0.052,0.106,0
"P33","3",0.041,0.028,0.09
"P33","4",0.085,0.071,0
"P33","5",0.109,0.067,0.233
"P33","6",0.03,0.058,0.12
"P33","7",0.012,0.043,0.14
"P33","8",0.127,0.029,0.097
"P33","9-Pésimo",0.32,0.418,0.258
"P33","No sabe",0.109,0.034,0.018
"P34","1-Excelente",0.099,0.163,0.071
"P34","2",0.054,0.066,0.022
"P34","3",0.084,0.053,0.059
"P34","4",0.105,0.075,0
"P34","5",0.021,0.081,0.286
"P34","6",0.032,0.01,0.03
"P34","7",0.021,0.014,0.156
"P34","8",0.102,0.052,0.048
"P34","9-Pésimo",0.367,0.462,0.262
"P34","No sabe",0.115,0.024,0.066
"P35","1-Excelente",0.187,0.153,0.098
"P35","2",0.05,0.042,0.062
"P35","3",0.014,0.041,0.059
"P35","4",0.078,0.071,0.134
"P35","5",0.076,0.148,0.075
"P35","6",0.003,0.066,0.061
"P35","7",0.057,0.025,0.238
"P35","8",0.087,0.05,0.156
"P35","9-Pésimo",0.333,0.38,0.1
"P35","No sabe",0.115,0.024,0.017
"P36","1-Excelente",0.105,0.117,0.048
"P36","2",0.051,0.081,0.051
"P36","3",0.107,0.03,0.024
"P36","4",0.053,0.073,0.04
"P36","5",0.08,0.126,0.278
"P36","6",0.038,0.041,0.033
"P36","7",0.034,0.058,0.162
"P36","8",0.109,0.09,0.228
"P36","9-Pésimo",0.308,0.346,0.057
"P36","No sabe",0.115,0.038,0.079
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.374,0.245,0.422
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.153,0.128,0.273
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.24,0.226,0.123
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.233,0.383,0.182
"P37","No sabe",0,0.018,0
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.34,0.216,0.31
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.075,0.093,0.314
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.296,0.252,0.26
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.283,0.373,0.116
"P38","No sabe",0.006,0.066,0
"P39","Oponerse totalmente",0.345,0.223,0.308
"P39","Oponerse parcialmente",0.064,0.035,0.041
"P39","Apoyar parcialmente",0.228,0.293,0.467
"P39","Apoyar totalmente",0.343,0.39,0.184
"P39","No sabe",0.02,0.059,0
"P40","Inseguridad y narcotráfico",0.146,0.266,0.135
"P40","Altos impuestos y tarifas",0.113,0.135,0.361
"P40","Educación y estado de las escuelas",0.409,0.259,0.134
"P40","Inflación",0.281,0.165,0.336
"P40","Estado de la salud",0.036,0.149,0
"P40","Corrupción",0.008,0.026,0.017
"P40","Pobreza",0.007,0,0
"P40","Medio ambiente, incendios y contaminación",0,0,0
"P40","Falta de trabajo",0,0,0.017
"P40","No sabe",0,0,0
"P44","Muy buena",0,0.017,0
"P44","Buena",0.068,0.038,0
"P44","Ni buena ni mala",0.372,0.193,0.649
"P44","Mala",0.486,0.451,0.316
"P44","Muy mala",0.074,0.298,0.018
"P44","No sabe",0,0.003,0.017
"P45","Peor",0.36,0.664,0.391
"P45","Igual",0.191,0.13,0.429
"P45","Mejor",0.236,0.046,0
"P45","No sabe",0.213,0.16,0.18
"P46","Peor",0.462,0.562,0.465
"P46","Igual",0.12,0.249,0.259
"P46","Mejor",0.176,0.124,0.16
"P46","No sabe",0.242,0.065,0.116
"P47","Javier Milei",0.623,0.611,0.272
"P47","Los gobernadores",0.366,0.275,0.429
"P47","No sabe",0.011,0.114,0.299
"P48","Muy buena",0.094,0.024,0.155
"P48","Buena",0.216,0.058,0.224
"P48","Ni buena ni mala",0.298,0.076,0.524
"P48","Mala",0.322,0.452,0.097
"P48","Muy mala",0.07,0.39,0
"P48","No sabe",0,0,0
"P50","Muy buena",0.037,0.124,0.128
"P50","Buena",0.199,0.135,0.301
"P50","Ni buena ni mala",0.241,0.112,0.259
"P50","Mala",0.414,0.366,0.264
"P50","Muy mala",0.109,0.252,0.048
"P50","No sabe",0,0.011,0
"P51","Muy buena",0.127,0.175,0
"P51","Buena",0.177,0.19,0.064
"P51","Ni buena ni mala",0.309,0.293,0.525
"P51","Mala",0.214,0.035,0.155
"P51","Muy mala",0.152,0.223,0.224
"P51","No sabe",0.021,0.084,0.032
"P54","Muy buena",0.152,0.076,0.077
"P54","Buena",0.108,0.052,0
"P54","Ni buena ni mala",0.041,0.165,0.057
"P54","Mala",0.311,0.209,0.603
"P54","Muy mala",0.342,0.474,0.263
"P54","No sabe",0.046,0.024,0
"P55","Muy buena",0.076,0.14,0.017
"P55","Buena",0.276,0.076,0.21
"P55","Ni buena ni mala",0.099,0.192,0.305
"P55","Mala",0.233,0.205,0.095
"P55","Muy mala",0.316,0.385,0.34
"P55","No sabe",0,0.002,0.033
"P56","Muy buena",0.04,0.054,0
"P56","Buena",0.123,0.121,0.32
"P56","Ni buena ni mala",0.032,0.14,0.091
"P56","Mala",0.213,0.147,0.193
"P56","Muy mala",0.592,0.536,0.396
"P56","No sabe",0,0.002,0
"P57","Muy buena",0.179,0.07,0.086
"P57","Buena",0.226,0.179,0.254
"P57","Ni buena ni mala",0.056,0.015,0.067
"P57","Mala",0.196,0.216,0.121
"P57","Muy mala",0.343,0.5,0.472
"P57","No sabe",0,0.02,0
"P58","Muy buena",0.44,0.457,0.146
"P58","Buena",0.299,0.096,0.185
"P58","Ni buena ni mala",0.031,0.083,0.074
"P58","Mala",0.039,0.093,0.081
"P58","Muy mala",0.191,0.26,0.481
"P58","No sabe",0,0.011,0.033
"P59","Muy buena",0.29,0.292,0.091
"P59","Buena",0.336,0.276,0.456
"P59","Ni buena ni mala",0.043,0.012,0.087
"P59","Mala",0.017,0.059,0.081
"P59","Muy mala",0.314,0.352,0.285
"P59","No sabe",0,0.009,0
"P60","Muy buena",0.462,0.473,0.182
"P60","Buena",0.149,0.133,0.372
"P60","Ni buena ni mala",0.073,0.097,0.073
"P60","Mala",0.007,0.05,0.055
"P60","Muy mala",0.309,0.229,0.285
"P60","No sabe",0,0.018,0.033
"P61","Muy buena",0.087,0.124,0.053
"P61","Buena",0.283,0.095,0.084
"P61","Ni buena ni mala",0.268,0.416,0.479
"P61","Mala",0.113,0.095,0.273
"P61","Muy mala",0.239,0.186,0.031
"P61","No sabe",0.01,0.084,0.08
