"var","categoria","En una institución pública","En una institución privada","Ambas","Solo consultorio","Institución publica o privada y consultorio"
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.088,0.071,0.048,0,0.108
"P30","No sabe",0.193,0.126,0.141,0.086,0
"P31","Nunca",0.268,0.223,0.152,0.244,0.376
"P31","Pocas veces",0.417,0.5,0.534,0.5,0.363
"P31","Muchas veces",0.254,0.232,0.259,0.203,0.202
"P31","Siempre",0.034,0.026,0.032,0.043,0.059
"P31","No sabe",0.027,0.019,0.023,0.01,0
"P32","adultos mayores sanos",0.466,0.427,0.408,0.583,0.591
"P32","Adultos jóvenes sanos",0.259,0.27,0.27,0.08,0.108
"P32","Madres de niños pequeños",0.161,0.174,0.179,0.162,0.177
"P32","No sabe",0.114,0.129,0.143,0.175,0.124
