"var","categoria","Nunca","Pocas veces","Muchas veces","Siempre","No sabe"
"P13","Si",0.447,0.337,0.277,0.294,0.362
"P13","No",0.553,0.663,0.723,0.706,0.638
"P14","Si",0.765,0.538,0.496,0.78,0.784
"P14","No",0.235,0.462,0.504,0.22,0.216
"P15","Si, a todos sus pacientes",0.398,0.486,0.586,0.523,0.442
"P15","Depende el caso del paciente",0.401,0.436,0.307,0.165,0.558
"P15","No la recomiendo",0.201,0.078,0.107,0.312,0
"P16","Dos dosis",0.367,0.102,0.097,0,0.73
"P16","Tres dosis",0.062,0.158,0.061,0.018,0
"P16","Cuatros o mas dosis",0.571,0.74,0.842,0.982,0.27
"P17","Porque ya no hay casos de COVID",0.12,0.063,0.007,0,0
"P17","Porque ha disminuido de forma significativa el contagio",0.259,0.334,0.273,0,0.551
"P17","Por los efectos secundarios",0.378,0.339,0.487,0.799,0.256
"P17","No sabe",0.243,0.264,0.233,0.201,0.193
"P18","Si",0.439,0.384,0.3,0.197,0.304
"P18","No",0.441,0.474,0.567,0.578,0.578
"P18","No sabe",0.12,0.142,0.133,0.225,0.118
"P19","Si",0.42,0.497,0.586,0.417,0.413
"P19","No",0.525,0.418,0.374,0.548,0.587
"P19","No sabe",0.055,0.085,0.04,0.035,0
"P20","Si",0.608,0.673,0.651,0.524,0.773
"P20","No",0.319,0.279,0.302,0.405,0.181
"P20","No sabe",0.073,0.048,0.047,0.071,0.046
"P21","Si",0.454,0.47,0.536,0.486,0.596
"P21","No",0.484,0.415,0.375,0.441,0.211
"P21","No sabe",0.062,0.115,0.089,0.073,0.193
"P22","Sinopharm",0.181,0.073,0.085,0.077,0.137
"P22","Sputnik",0.296,0.381,0.292,0.414,0.312
"P22","Aztra-Zeneca",0.067,0.098,0.103,0.022,0.26
"P22","Moderna",0.073,0.099,0.093,0.023,0
"P22","Pfizer",0.163,0.211,0.293,0.245,0.19
"P22","No sabe",0.22,0.138,0.134,0.219,0.101
"P23","Si",0.56,0.614,0.746,0.6,0.509
"P23","No",0.404,0.288,0.194,0.343,0.249
"P23","A veces",0.036,0.098,0.06,0.057,0.242
"P24","Si",0.588,0.65,0.744,0.473,0.764
"P24","No",0.386,0.275,0.22,0.492,0.135
"P24","No sabe",0.026,0.075,0.036,0.035,0.101
"P25","Si",0.543,0.655,0.682,0.484,0.881
"P25","No",0.414,0.261,0.223,0.516,0.027
"P25","No sabe",0.043,0.084,0.095,0,0.092
"P26","Si",0.474,0.506,0.573,0.471,0.507
"P26","No",0.482,0.461,0.391,0.436,0.493
"P26","No sabe",0.044,0.033,0.036,0.093,0
"P27","Si",0.546,0.52,0.628,0.818,0.608
"P27","No",0.422,0.429,0.348,0.182,0.3
"P27","No sabe",0.032,0.051,0.024,0,0.092
"P28","Si",0.504,0.451,0.332,0.256,0.119
"P28","No",0.389,0.423,0.507,0.691,0.635
"P28","No sabe",0.107,0.126,0.161,0.053,0.246
"P29","Si",0.584,0.74,0.834,0.756,0.11
"P29","No",0.379,0.22,0.118,0.226,0.798
"P29","No sabe",0.037,0.04,0.048,0.018,0.092
"P30","No tengo información suficiente",0.318,0.332,0.345,0,0.029
"P30","No tengo tiempo en la consulta",0.248,0.391,0.252,0.134,0
"P30","No es un tema importante en la consulta médica",0.249,0.139,0.333,0.393,0
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.115,0.02,0.037,0.473,0
"P30","No sabe",0.07,0.118,0.033,0,0.971
"P32","adultos mayores sanos",0.522,0.481,0.388,0.37,0.317
"P32","Adultos jóvenes sanos",0.163,0.294,0.215,0.254,0.139
"P32","Madres de niños pequeños",0.091,0.128,0.288,0.313,0.372
"P32","No sabe",0.224,0.097,0.109,0.063,0.172
