"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P16","Buena",0.093,0.357,0.098,0.084,0.192
"P16","Ni buena ni mala",0.263,0.197,0.255,0.252,0.279
"P16","Mala",0.269,0.038,0.218,0.093,0.032
"P16","Muy mala",0.249,0.075,0.146,0.516,0.069
"P16","No sabe",0.083,0.023,0.15,0,0.354
"P17","Muy buena",0.071,0.042,0.026,0,0.012
"P17","Buena",0.049,0.027,0.06,0,0.101
"P17","Ni buena ni mala",0.265,0.348,0.304,0.234,0.189
"P17","Mala",0.076,0.109,0.119,0.289,0.01
"P17","Muy mala",0.088,0.038,0.096,0.133,0.106
"P17","No sabe",0.451,0.436,0.395,0.344,0.582
"P18","Muy buena",0.053,0.082,0.09,0.034,0.064
"P18","Buena",0.03,0.252,0.129,0.083,0.064
"P18","Ni buena ni mala",0.283,0.426,0.283,0.244,0.216
"P18","Mala",0.169,0.037,0.183,0.422,0.078
"P18","Muy mala",0.194,0.054,0.035,0.195,0.055
"P18","No sabe",0.271,0.149,0.28,0.022,0.523
"P19","Muy buena",0.311,0.056,0.069,0.009,0.113
"P19","Buena",0.357,0.176,0.137,0.232,0.151
"P19","Ni buena ni mala",0.174,0.306,0.285,0.396,0.303
"P19","Mala",0.101,0.284,0.215,0.273,0.152
"P19","Muy mala",0.041,0.17,0.241,0.09,0.115
"P19","No sabe",0.016,0.008,0.053,0,0.166
"P20","Que continúe el intendente Julio Zamora",0.299,0.084,0.064,0.114,0.199
"P20","Que continúe Julio Zamora pero con mejoras",0.354,0.135,0.135,0.241,0.189
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.179,0.161,0.199,0.237,0.215
"P20","Que cambie el intendente Julio Zamora",0.168,0.62,0.602,0.408,0.397
"P21","Es kirchnerista",0.149,0.168,0.154,0.083,0.183
"P21","Forma parte del Frente de Todos",0.372,0.258,0.22,0.082,0.136
"P21","Es un hombre de Massa",0.158,0.196,0.167,0.027,0.067
"P21","Es un peronista independiente de centro",0.139,0.098,0.034,0.128,0.071
"P21","Es un oportunista y está donde le conviene",0.13,0.24,0.256,0.444,0.182
"P21","No sabe",0.052,0.04,0.169,0.236,0.361
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.203,0.064,0.234,0.284,0.152
"P22","Son aliados tácticos pero lo ocultan",0.116,0.139,0.215,0.249,0.151
"P22","Son adversarios políticos",0.416,0.51,0.358,0.204,0.227
"P22","No sabe",0.265,0.287,0.193,0.263,0.47
"P23","Son lo mismo, ambos son de Massa",0.211,0.352,0.404,0.098,0.158
"P23","Son aliados en el Frente de Todos pero compiten",0.391,0.241,0.245,0.407,0.16
"P23","Son enemigos porque Zamora traicionó a Massa",0.232,0.256,0.187,0.244,0.163
"P23","No sabe",0.166,0.151,0.164,0.251,0.519
"P24","La seguridad",0.18,0.279,0.23,0.109,0.249
"P24","El tránsito",0.084,0.083,0.055,0.127,0.089
"P24","El arreglo de las calles",0.137,0.102,0.149,0.419,0.037
"P24","El estado de las escuelas y la educación",0.132,0.026,0.017,0,0.086
"P24","El sistema de salud",0.163,0.082,0.053,0,0.1
"P24","El deporte y la cultura",0.132,0.093,0.155,0.094,0.094
"P24","La obra pública",0.063,0.027,0.049,0.177,0.046
"P24","La luminaria",0.031,0.089,0.105,0.039,0.095
"P24","No sabe",0.078,0.219,0.187,0.035,0.204
"P25","La seguridad",0.093,0.16,0.137,0.088,0.217
"P25","El tránsito",0.108,0.088,0.079,0.208,0.037
"P25","El arreglo de las calles",0.214,0.155,0.261,0.091,0.141
"P25","El estado de las escuelas y la educación",0.223,0.154,0.227,0.495,0.114
"P25","El sistema de salud",0.162,0.259,0.146,0,0.19
"P25","El deporte y la cultura",0.029,0.008,0.022,0.06,0.01
"P25","La obra pública",0.046,0.054,0.027,0.022,0.035
"P25","La luminaria",0.013,0.043,0.005,0,0.039
"P25","No sabe",0.112,0.079,0.096,0.036,0.217
"P26","Agua corriente y cloacas",0.39,0.482,0.399,0.374,0.383
"P26","Energía eléctrica",0.155,0.184,0.185,0.109,0.127
"P26","Red de gas natural",0.102,0.035,0.017,0.281,0.049
"P26","Recolección de residuos",0.138,0.153,0.194,0.223,0.131
"P26","Ninguno",0.215,0.146,0.205,0.013,0.31
"P27","Los robos",0.238,0.261,0.331,0.176,0.192
"P27","El narcotráfico",0.304,0.391,0.321,0.505,0.248
"P27","La ausencia de patrulleros y personal policial",0.143,0.173,0.197,0.028,0.16
"P27","Otro",0.155,0.14,0.11,0.21,0.21
"P27","Ninguno",0.16,0.035,0.041,0.081,0.19
"P34","Muy buena",0.1,0.057,0.043,0.02,0.054
"P34","Buena",0.29,0.05,0.027,0.606,0.027
"P34","Ni buena ni mala",0.313,0.04,0.073,0.016,0.171
"P34","Mala",0.128,0.096,0.089,0.028,0.185
"P34","Muy mala",0.169,0.753,0.763,0.33,0.502
"P34","No sabe",0,0.004,0.005,0,0.061
"P35","Muy buena",0.052,0.386,0.082,0.024,0.074
"P35","Buena",0.056,0.215,0.241,0.114,0.129
"P35","Ni buena ni mala",0.041,0.234,0.228,0.02,0.181
"P35","Mala",0.155,0.055,0.246,0.03,0.202
"P35","Muy mala",0.681,0.102,0.203,0.812,0.348
"P35","No sabe",0.015,0.008,0,0,0.066
"P36","Muy buena",0.575,0.062,0.038,0.195,0.096
"P36","Buena",0.091,0.054,0.011,0.207,0.017
"P36","Ni buena ni mala",0.115,0.013,0.038,0.02,0.163
"P36","Mala",0.029,0.067,0.126,0,0.172
"P36","Muy mala",0.158,0.799,0.786,0.578,0.514
"P36","No sabe",0.032,0.005,0.001,0,0.038
"P37","Muy buena",0.028,0.186,0.041,0.053,0.065
"P37","Buena",0.154,0.307,0.129,0.039,0.209
"P37","Ni buena ni mala",0.121,0.202,0.228,0.079,0.27
"P37","Mala",0.121,0.115,0.128,0.395,0.102
"P37","Muy mala",0.569,0.179,0.442,0.247,0.17
"P37","No sabe",0.007,0.011,0.032,0.187,0.184
"P38","Muy buena",0.216,0.058,0.005,0.031,0.027
"P38","Buena",0.353,0.077,0.033,0.012,0.157
"P38","Ni buena ni mala",0.251,0.061,0.122,0.059,0.214
"P38","Mala",0.053,0.134,0.209,0,0.091
"P38","Muy mala",0.124,0.668,0.631,0.898,0.359
"P38","No sabe",0.003,0.002,0,0,0.152
"P39","Muy buena",0.042,0.495,0.337,0.088,0.099
"P39","Buena",0.053,0.264,0.184,0.088,0.097
"P39","Ni buena ni mala",0.16,0.135,0.17,0.025,0.297
"P39","Mala",0.053,0.016,0.142,0.289,0.067
"P39","Muy mala",0.691,0.073,0.167,0.51,0.266
"P39","No sabe",0.001,0.017,0,0,0.174
"P40","Muy buena",0.053,0.101,0.659,0.025,0.054
"P40","Buena",0.051,0.215,0.206,0,0.056
"P40","Ni buena ni mala",0.116,0.379,0.098,0.187,0.238
"P40","Mala",0.103,0.147,0.004,0,0.175
"P40","Muy mala",0.638,0.15,0.026,0.788,0.196
"P40","No sabe",0.039,0.008,0.007,0,0.281
