"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P12","Ni buena ni mala",0.446,0.358,0.554,0.364,0.272
"P12","Mala",0.069,0.076,0.063,0.151,0.072
"P12","Muy mala",0.07,0.12,0.039,0.136,0.164
"P12","No sabe",0.244,0.356,0.286,0.302,0.433
"P13","Muy buena",0.048,0.037,0.011,0.029,0.015
"P13","Buena",0.028,0.016,0.012,0.02,0.032
"P13","Ni buena ni mala",0.419,0.368,0.527,0.365,0.278
"P13","Mala",0.052,0.053,0.063,0.131,0.036
"P13","Muy mala",0.08,0.088,0.032,0.12,0.148
"P13","No sabe",0.373,0.438,0.355,0.335,0.491
"P14","La seguridad",0.082,0.018,0.158,0.016,0.07
"P14","El tránsito",0.011,0.049,0.029,0.012,0.049
"P14","El arreglo de las calles",0.278,0.155,0.16,0.109,0.117
"P14","El estado de las escuelas y la educación",0.07,0.013,0.023,0.053,0.041
"P14","El sistema de salud",0.093,0.047,0.026,0.075,0.089
"P14","El deporte y la cultura",0.172,0.181,0.32,0.156,0.114
"P14","La obra pública",0.093,0.011,0.016,0.013,0.019
"P14","La luminaria",0.037,0.094,0.044,0.07,0.026
"P14","No sabe",0.164,0.432,0.224,0.496,0.475
"P15","La seguridad",0.461,0.585,0.489,0.434,0.428
"P15","El tránsito",0.048,0.035,0.043,0.005,0.02
"P15","El arreglo de las calles",0.2,0.127,0.154,0.147,0.167
"P15","El estado de las escuelas y la educación",0.054,0.045,0.038,0.112,0.083
"P15","El sistema de salud",0.129,0.103,0.06,0.068,0.05
"P15","El deporte y la cultura",0.017,0.001,0.096,0.044,0.031
"P15","La obra pública",0.015,0.032,0.021,0.016,0.025
"P15","La luminaria",0.012,0.015,0.019,0.036,0.008
"P15","No sabe",0.064,0.057,0.08,0.138,0.188
"P16","Agua corriente y cloacas",0.5,0.51,0.443,0.469,0.376
"P16","Energía eléctrica",0.094,0.078,0.075,0.148,0.202
"P16","Red de gas natural",0.15,0.124,0.165,0.107,0.165
"P16","Recolección de residuos",0.107,0.105,0.251,0.169,0.144
"P16","Ninguno",0.149,0.183,0.066,0.107,0.113
"P17","Los robos",0.633,0.56,0.408,0.488,0.467
"P17","El narcotráfico",0.137,0.11,0.12,0.123,0.129
"P17","La ausencia de patrulleros y personal policial",0.155,0.285,0.192,0.263,0.27
"P17","Otro",0.051,0.04,0.216,0.104,0.089
"P17","Ninguno",0.024,0.005,0.064,0.022,0.045
"P18","Muy buena",0.146,0.047,0.034,0.076,0.075
"P18","Buena",0.169,0.088,0.042,0.086,0.089
"P18","Ni buena ni mala",0.415,0.263,0.359,0.172,0.358
"P18","Mala",0.176,0.255,0.27,0.321,0.189
"P18","Muy mala",0.048,0.308,0.194,0.268,0.215
"P18","No sabe",0.046,0.039,0.101,0.077,0.074
"P19","Muy buena",0.163,0.006,0.006,0.037,0.019
"P19","Buena",0.175,0.073,0.053,0.095,0.079
"P19","Ni buena ni mala",0.395,0.274,0.563,0.184,0.358
"P19","Mala",0.151,0.232,0.119,0.309,0.155
"P19","Muy mala",0.043,0.304,0.215,0.322,0.256
"P19","No sabe",0.073,0.111,0.044,0.053,0.133
"P22","Frente de Todos y el peronismo",0.801,0.158,0.251,0.196,0.248
"P22","Cambiemos",0.131,0.629,0.057,0.114,0.089
"P22","Liberales",0.026,0.144,0.265,0.282,0.072
"P22","Izquierda",0.02,0.007,0.321,0.263,0.01
"P22","No sabe",0.022,0.062,0.106,0.145,0.581
"P24","A Alberto Fernández",0.309,0.129,0.185,0.381,0.647
"P24","A Sergio Massa",0.168,0.34,0.366,0.239,0.022
"P24","A algún candidato del peronismo",0.096,0.492,0,0.192,0.145
"P24","A algún candidato del kirchnerismo",0.427,0.039,0.449,0.188,0.186
"P25","Seguro la votaria",0.847,0.273,0.884,0.774,0.488
"P25","Quizás la votaría",0.13,0.13,0.116,0.097,0.169
"P25","Nunca la votaría",0.023,0.597,0,0.129,0.343
"P26","A Horacio Rodriguez Larreta",0.77,0.389,0.703,0.591,0.534
"P26","A Mauricio Macri",0.04,0.215,0.297,0.087,0.369
"P26","A Patricia Bullrich",0.011,0.248,0,0.317,0.08
"P26","A Facundo Manes",0.104,0.086,0,0,0
"P26","A Martín Lousteau",0.075,0.062,0,0.005,0.017
"P27","Seguro lo votaria",0.321,0.328,0.226,0.408,0
"P27","Quizás lo votaría",0.004,0.205,0.072,0.161,0.172
"P27","Nunca lo votaría",0.675,0.467,0.702,0.431,0.828
"P28","Muy buena",0.209,0.014,0.051,0.044,0.139
"P28","Buena",0.283,0.007,0.19,0.124,0.182
"P28","Ni buena ni mala",0.305,0.11,0.231,0.198,0.236
"P28","Mala",0.155,0.159,0.27,0.172,0.162
"P28","Muy mala",0.048,0.68,0.244,0.455,0.274
"P28","No sabe",0,0.03,0.014,0.007,0.007
"P29","Muy buena",0.059,0.238,0.065,0.105,0.035
"P29","Buena",0.012,0.308,0.04,0.114,0.052
"P29","Ni buena ni mala",0.097,0.206,0.104,0.151,0.226
"P29","Mala",0.181,0.12,0.233,0.231,0.244
"P29","Muy mala",0.644,0.125,0.546,0.392,0.39
"P29","No sabe",0.007,0.003,0.012,0.007,0.053
"P30","Muy buena",0.74,0.079,0.211,0.143,0.205
"P30","Buena",0.086,0.019,0.085,0.076,0.07
"P30","Ni buena ni mala",0.108,0.068,0.126,0.064,0.336
"P30","Mala",0.018,0.075,0.117,0.143,0.07
"P30","Muy mala",0.048,0.729,0.461,0.565,0.265
"P30","No sabe",0,0.03,0,0.009,0.054
"P31","Muy buena",0.122,0.355,0.054,0.154,0.11
"P31","Buena",0.047,0.268,0.076,0.108,0.116
"P31","Ni buena ni mala",0.242,0.175,0.188,0.243,0.268
"P31","Mala",0.172,0.068,0.137,0.148,0.182
"P31","Muy mala",0.4,0.1,0.527,0.294,0.188
"P31","No sabe",0.017,0.034,0.018,0.053,0.136
"P32","Muy buena",0.2,0.015,0.047,0.069,0.084
"P32","Buena",0.301,0.018,0.116,0.086,0.091
"P32","Ni buena ni mala",0.279,0.182,0.444,0.182,0.241
"P32","Mala",0.107,0.166,0.178,0.197,0.155
"P32","Muy mala",0.072,0.591,0.215,0.426,0.339
"P32","No sabe",0.041,0.028,0,0.04,0.09
"P33","Muy buena",0.109,0.398,0.065,0.172,0.099
"P33","Buena",0.017,0.195,0.05,0.168,0.099
"P33","Ni buena ni mala",0.152,0.277,0.178,0.132,0.189
"P33","Mala",0.198,0.039,0.302,0.168,0.242
"P33","Muy mala",0.513,0.091,0.405,0.351,0.306
"P33","No sabe",0.011,0,0,0.009,0.065
"P34","Muy buena",0.069,0.225,0.167,0.305,0.079
"P34","Buena",0.044,0.098,0.062,0.082,0.03
"P34","Ni buena ni mala",0.143,0.353,0.164,0.156,0.253
"P34","Mala",0.153,0.134,0.169,0.111,0.177
"P34","Muy mala",0.546,0.169,0.432,0.251,0.261
"P34","No sabe",0.045,0.021,0.006,0.095,0.2
