"var","categoria","Seguro la votaria","Quizás la votaría","Nunca la votaría"
"P21","A Gustavo Menéndez",0.507,0.414,0.111
"P21","A Karina Menéndez",0.195,0.219,0.749
"P21","A Florencia Lizaraso",0.178,0.038,0
"P21","No sabe",0.12,0.329,0.14
"P24","A Alberto Fernández",0.325,0.366,0.21
"P24","A Sergio Massa",0.202,0.381,0.156
"P24","A algún candidato del peronismo",0.061,0.209,0.61
"P24","A algún candidato del kirchnerismo",0.412,0.044,0.024
"P28","Muy buena",0.196,0.136,0.148
"P28","Buena",0.277,0.369,0.065
"P28","Ni buena ni mala",0.361,0.148,0.088
"P28","Mala",0.137,0.077,0.023
"P28","Muy mala",0.029,0.11,0.676
"P28","No sabe",0,0.16,0
"P29","Muy buena",0.054,0.023,0.486
"P29","Buena",0.015,0.016,0.017
"P29","Ni buena ni mala",0.011,0.034,0.189
"P29","Mala",0.256,0.308,0.125
"P29","Muy mala",0.644,0.619,0.183
"P29","No sabe",0.02,0,0
"P30","Muy buena",0.793,0.375,0.009
"P30","Buena",0.118,0.193,0.026
"P30","Ni buena ni mala",0.048,0.171,0.213
"P30","Mala",0.009,0.052,0.039
"P30","Muy mala",0.032,0.049,0.713
"P30","No sabe",0,0.16,0
"P31","Muy buena",0.113,0.057,0.508
"P31","Buena",0.017,0.051,0.098
"P31","Ni buena ni mala",0.147,0.215,0.206
"P31","Mala",0.231,0.161,0.01
"P31","Muy mala",0.42,0.321,0.174
"P31","No sabe",0.072,0.195,0.004
"P32","Muy buena",0.162,0.082,0.064
"P32","Buena",0.294,0.196,0.152
"P32","Ni buena ni mala",0.32,0.305,0.07
"P32","Mala",0.132,0.033,0.196
"P32","Muy mala",0.04,0.186,0.518
"P32","No sabe",0.052,0.198,0
"P33","Muy buena",0.087,0.012,0.401
"P33","Buena",0.01,0.024,0.145
"P33","Ni buena ni mala",0.076,0.327,0.119
"P33","Mala",0.236,0.274,0.109
"P33","Muy mala",0.57,0.326,0.226
"P33","No sabe",0.021,0.037,0
"P34","Muy buena",0.044,0.03,0.146
"P34","Buena",0.016,0.082,0.093
"P34","Ni buena ni mala",0.121,0.221,0.246
"P34","Mala",0.193,0.272,0.057
"P34","Muy mala",0.552,0.281,0.422
"P34","No sabe",0.074,0.114,0.036
