"var","categoria","Menos de 1 comida al día","1 comida","2 comidas","3 comidas","4 comidas","Más de 4 comidas"
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.119,0.124,0.123,0.093,0.09,0.011
"P23","Polenta o similares (de cualquier tipo)",0.086,0.102,0.057,0.034,0.019,0
"P23","Ninguno de los anteriores",0.08,0.091,0.067,0.069,0.069,0.167
"P24","Helado",0.273,0.229,0.271,0.243,0.277,0.378
"P24","Tortas, tartas dulces y masas",0.088,0.178,0.152,0.149,0.179,0.217
"P24","Ensalada de frutas",0.173,0.166,0.205,0.184,0.155,0.049
"P24","Flan, budín de pan y similares",0.159,0.12,0.097,0.164,0.114,0.067
"P24","Dulce de batata, membrillo o similares",0.074,0.099,0.073,0.082,0.04,0.04
"P24","Facturas de todo tipo",0.028,0.029,0.046,0.038,0.045,0.037
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.04,0.023,0.025,0.026,0.03,0.027
"P24","Gelatina",0.038,0.038,0.035,0.043,0.025,0.089
"P24","Panqueques, wafles y similares",0.024,0.02,0.018,0.008,0.039,0
"P24","Ninguno de los anteriores",0.103,0.098,0.078,0.063,0.096,0.096
"P25","Helado",0.112,0.098,0.119,0.118,0.134,0.166
"P25","Tortas, tartas dulces y masas",0.125,0.127,0.146,0.178,0.168,0.136
"P25","Ensalada de frutas",0.113,0.08,0.125,0.12,0.083,0.136
"P25","Flan, budín de pan y similares",0.086,0.051,0.06,0.079,0.048,0.007
"P25","Dulce de batata, membrillo o similares",0.121,0.12,0.107,0.095,0.079,0.038
"P25","Facturas de todo tipo",0.053,0.082,0.09,0.115,0.128,0.172
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.03,0.029,0.027,0.028,0.031,0.043
"P25","Gelatina",0.038,0.064,0.04,0.021,0.034,0.107
"P25","Panqueques, wafles y similares",0.014,0.011,0.004,0.021,0.019,0.048
"P25","Ninguno de los anteriores",0.308,0.338,0.282,0.225,0.276,0.147
"P26","Vegetariano",0.05,0.036,0.041,0.039,0.065,0.062
"P26","Vegano",0.068,0.043,0.026,0.037,0.021,0.019
"P26","Dieta baja en carnes rojas",0.146,0.154,0.152,0.131,0.138,0.04
"P26","Dieta baja en carbohidratos",0.077,0.092,0.099,0.083,0.111,0.025
"P26","Dieta baja en azúcares",0.145,0.123,0.121,0.134,0.12,0.122
"P26","Kosher o Alal",0.026,0.014,0.015,0.028,0.043,0.022
"P26","Ninguna restricción alimentaria",0.488,0.538,0.546,0.548,0.502,0.71
"P27","Si",0.485,0.475,0.586,0.592,0.699,0.687
"P27","Parcialmente",0.175,0.171,0.175,0.153,0.193,0.24
"P27","No",0.34,0.354,0.239,0.255,0.108,0.073
"P28","Si",0.736,0.697,0.724,0.786,0.728,0.808
"P28","Si, pero solo en algunos de ellos",0.225,0.248,0.24,0.179,0.221,0.192
"P28","No",0.039,0.055,0.036,0.035,0.051,0
"P29","Si",0.556,0.614,0.679,0.628,0.671,0.669
"P29","No",0.444,0.386,0.321,0.372,0.329,0.331
"P30","Muy de acuerdo",0.515,0.541,0.593,0.544,0.623,0.69
"P30","Parcialmente de acuerdo",0.361,0.315,0.313,0.309,0.275,0.141
"P30","No",0.124,0.144,0.094,0.147,0.102,0.169
"P31","Bajo peso",0.125,0.092,0.089,0.064,0.095,0.08
"P31","Sobrepeso",0.262,0.265,0.293,0.246,0.239,0.361
"P31","Obesidad",0.127,0.124,0.116,0.107,0.082,0.131
"P31","Normal",0.427,0.422,0.431,0.506,0.525,0.402
"P31","No sabe",0.059,0.097,0.071,0.077,0.059,0.026
"P32","Diabetes",0.127,0.1,0.096,0.066,0.105,0.135
"P32","Hipertensión",0.21,0.189,0.185,0.141,0.12,0.168
"P32","Enfermedades cardiovasculares",0.071,0.057,0.058,0.046,0.038,0.025
"P32","Celiaquía",0.152,0.059,0.049,0.098,0.081,0.053
"P32","Ninguna",0.365,0.495,0.539,0.589,0.61,0.567
"P32","No sabe",0.075,0.1,0.073,0.06,0.046,0.052
"P33","Todos los días",0.077,0.023,0.015,0.024,0.067,0.053
"P33","Entre 4 y 6 días a la semana",0.047,0.055,0.05,0.055,0.045,0.039
"P33","Entre 1 y 3 días a la semana",0.079,0.077,0.112,0.171,0.165,0.277
"P33","Raramente",0.29,0.269,0.325,0.394,0.34,0.434
"P33","Nunca",0.507,0.576,0.498,0.356,0.383,0.197
"P34","Todos los días",0.04,0.013,0.005,0.015,0.027,0.032
"P34","Entre 4 y 6 días a la semana",0.029,0.018,0.025,0.014,0.028,0.083
"P34","Entre 1 y 3 días a la semana",0.074,0.078,0.14,0.171,0.165,0.345
"P34","Raramente",0.307,0.323,0.337,0.387,0.414,0.263
"P34","Nunca",0.55,0.568,0.493,0.413,0.366,0.277
"P35","Todos los días",0.836,0.59,0.639,0.498,0.521,0.498
"P35","Entre 4 y 6 días a la semana",0.054,0.203,0.118,0.172,0.164,0.101
"P35","Entre 1 y 3 días a la semana",0.018,0.054,0.116,0.1,0.053,0.183
"P35","Raramente",0.027,0.072,0.047,0.159,0.084,0.054
"P35","Nunca",0.065,0.081,0.08,0.071,0.178,0.164
"P37","Precio",0.469,0.358,0.236,0.175,0.152,0.085
"P37","Calidad",0.129,0.266,0.165,0.142,0.169,0.117
"P37","Cantidad de sellos presentes en el producto",0.027,0.028,0.174,0.02,0.008,0.007
"P37","Precio y calidad",0.237,0.233,0.274,0.531,0.315,0.331
"P37","Precio y cantidad de sellos presentes en el producto",0.029,0.02,0.027,0.017,0.192,0.138
"P37","Calidad y cantidad de sellos presentes en el producto",0.017,0.004,0.015,0.011,0.028,0.119
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.047,0.041,0.063,0.08,0.102,0.088
"P37","Compra sin ningún tipo de consideración",0.045,0.05,0.046,0.024,0.034,0.115
"P38","Menos de 1 vez a la semana",0.286,0.227,0.17,0.149,0.173,0.098
"P38","1 vez a la semana",0.216,0.326,0.268,0.311,0.222,0.3
"P38","Entre 1 a 4 veces a la semana",0.202,0.177,0.342,0.317,0.349,0.332
"P38","Más de 4 veces a la semana",0.169,0.174,0.173,0.154,0.2,0.201
"P38","No sabe",0.127,0.096,0.047,0.069,0.056,0.069
"P39","Hipermercado/Supermercado",0.457,0.426,0.497,0.451,0.586,0.474
"P39","Almacenes",0.233,0.315,0.238,0.251,0.208,0.143
"P39","Productores locales/mercados de cercanía/Ferias",0.178,0.164,0.177,0.168,0.144,0.298
"P39","Vía pública",0.046,0.042,0.05,0.044,0.011,0.05
"P39","No sabe",0.086,0.053,0.038,0.086,0.051,0.035
