"var","categoria","Agua embotellada/mineral","Agua de la canilla filtrada","Agua de la canilla directamente","Agua de bidón","No consume agua"
"P23","Asado",0.193,0.118,0.091,0.11,0.066
"P23","Pizza",0.073,0.089,0.049,0.059,0.253
"P23","Milanesa",0.233,0.224,0.168,0.22,0.055
"P23","Pastas",0.157,0.186,0.204,0.158,0.141
"P23","Empanadas",0.038,0.036,0.038,0.043,0.028
"P23","Hamburguesa",0.013,0.022,0.02,0.027,0.017
"P23","Ensaladas (de cualquier tipo)",0.092,0.117,0.087,0.119,0.029
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.107,0.102,0.142,0.128,0.078
"P23","Polenta o similares (de cualquier tipo)",0.023,0.04,0.114,0.057,0.127
"P23","Ninguno de los anteriores",0.071,0.066,0.087,0.079,0.206
"P24","Helado",0.322,0.273,0.231,0.251,0.203
"P24","Tortas, tartas dulces y masas",0.173,0.142,0.154,0.152,0.027
"P24","Ensalada de frutas",0.176,0.18,0.162,0.159,0.106
"P24","Flan, budín de pan y similares",0.096,0.136,0.119,0.135,0.235
"P24","Dulce de batata, membrillo o similares",0.064,0.068,0.087,0.083,0.175
"P24","Facturas de todo tipo",0.02,0.032,0.05,0.036,0.01
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.023,0.029,0.028,0.018,0.035
"P24","Gelatina",0.038,0.032,0.044,0.052,0.024
"P24","Panqueques, wafles y similares",0.022,0.024,0.026,0.023,0
"P24","Ninguno de los anteriores",0.066,0.084,0.099,0.091,0.185
"P25","Helado",0.194,0.104,0.097,0.125,0.224
"P25","Tortas, tartas dulces y masas",0.163,0.172,0.126,0.139,0.026
"P25","Ensalada de frutas",0.126,0.111,0.081,0.094,0.084
"P25","Flan, budín de pan y similares",0.059,0.081,0.055,0.051,0.13
"P25","Dulce de batata, membrillo o similares",0.077,0.113,0.112,0.1,0.284
"P25","Facturas de todo tipo",0.069,0.094,0.084,0.102,0.008
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.022,0.032,0.037,0.028
"P25","Gelatina",0.046,0.029,0.05,0.06,0.038
"P25","Panqueques, wafles y similares",0.011,0.015,0.015,0.01,0
"P25","Ninguno de los anteriores",0.228,0.259,0.348,0.282,0.178
"P26","Vegetariano",0.071,0.047,0.036,0.054,0.108
"P26","Vegano",0.039,0.058,0.04,0.024,0.016
"P26","Dieta baja en carnes rojas",0.183,0.163,0.123,0.11,0.104
"P26","Dieta baja en carbohidratos",0.099,0.093,0.09,0.099,0.112
"P26","Dieta baja en azúcares",0.129,0.137,0.114,0.154,0.051
"P26","Kosher o Alal",0.022,0.027,0.019,0.018,0.012
"P26","Ninguna restricción alimentaria",0.457,0.475,0.578,0.541,0.597
"P27","Si",0.624,0.554,0.501,0.546,0.476
"P27","Parcialmente",0.148,0.146,0.211,0.225,0.151
"P27","No",0.228,0.3,0.288,0.229,0.373
"P28","Si",0.777,0.74,0.68,0.727,0.796
"P28","Si, pero solo en algunos de ellos",0.183,0.231,0.259,0.242,0.119
"P28","No",0.04,0.029,0.061,0.031,0.085
"P29","Si",0.626,0.645,0.608,0.642,0.465
"P29","No",0.374,0.355,0.392,0.358,0.535
"P30","Muy de acuerdo",0.589,0.593,0.516,0.565,0.6
"P30","Parcialmente de acuerdo",0.3,0.301,0.342,0.331,0.34
"P30","No",0.111,0.106,0.142,0.104,0.06
"P31","Bajo peso",0.103,0.096,0.096,0.066,0.274
"P31","Sobrepeso",0.315,0.265,0.263,0.297,0.053
"P31","Obesidad",0.101,0.114,0.125,0.078,0.214
"P31","Normal",0.416,0.46,0.436,0.479,0.25
"P31","No sabe",0.065,0.065,0.08,0.08,0.209
"P32","Diabetes",0.109,0.089,0.098,0.1,0.333
"P32","Hipertensión",0.201,0.16,0.179,0.218,0.053
"P32","Enfermedades cardiovasculares",0.044,0.049,0.061,0.046,0.22
"P32","Celiaquía",0.089,0.096,0.072,0.072,0.007
"P32","Ninguna",0.489,0.545,0.498,0.453,0.311
"P32","No sabe",0.068,0.061,0.092,0.111,0.076
"P33","Todos los días",0.061,0.028,0.033,0.018,0.267
"P33","Entre 4 y 6 días a la semana",0.052,0.062,0.049,0.038,0
"P33","Entre 1 y 3 días a la semana",0.135,0.12,0.08,0.153,0.092
"P33","Raramente",0.379,0.321,0.28,0.35,0.143
"P33","Nunca",0.373,0.469,0.558,0.441,0.498
"P34","Todos los días",0.044,0.007,0.013,0.008,0.203
"P34","Entre 4 y 6 días a la semana",0.047,0.022,0.018,0.024,0
"P34","Entre 1 y 3 días a la semana",0.142,0.121,0.089,0.172,0.079
"P34","Raramente",0.352,0.356,0.31,0.385,0.284
"P34","Nunca",0.415,0.494,0.57,0.411,0.434
"P35","Todos los días",0.559,0.623,0.656,0.625,0.64
"P35","Entre 4 y 6 días a la semana",0.168,0.153,0.122,0.174,0.081
"P35","Entre 1 y 3 días a la semana",0.106,0.065,0.059,0.091,0.042
"P35","Raramente",0.073,0.068,0.066,0.076,0.052
"P35","Nunca",0.094,0.091,0.097,0.034,0.185
"P36","Menos de 1 comida al día",0.18,0.17,0.212,0.125,0.525
"P36","1 comida",0.243,0.303,0.341,0.301,0.204
"P36","2 comidas",0.276,0.276,0.236,0.289,0.193
"P36","3 comidas",0.136,0.149,0.1,0.145,0.017
"P36","4 comidas",0.143,0.093,0.096,0.123,0.054
"P36","Más de 4 comidas",0.022,0.009,0.015,0.017,0.007
"P37","Precio",0.25,0.27,0.352,0.244,0.378
"P37","Calidad",0.315,0.216,0.133,0.142,0.059
"P37","Cantidad de sellos presentes en el producto",0.046,0.069,0.072,0.034,0.049
"P37","Precio y calidad",0.289,0.292,0.269,0.386,0.143
"P37","Precio y cantidad de sellos presentes en el producto",0.02,0.04,0.053,0.04,0.031
"P37","Calidad y cantidad de sellos presentes en el producto",0.025,0.013,0.011,0.015,0.02
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.039,0.071,0.048,0.104,0.054
"P37","Compra sin ningún tipo de consideración",0.016,0.029,0.062,0.035,0.266
"P38","Menos de 1 vez a la semana",0.187,0.186,0.232,0.186,0.29
"P38","1 vez a la semana",0.327,0.308,0.248,0.251,0.089
"P38","Entre 1 a 4 veces a la semana",0.245,0.264,0.265,0.281,0.115
"P38","Más de 4 veces a la semana",0.189,0.159,0.165,0.209,0.293
"P38","No sabe",0.052,0.083,0.09,0.073,0.213
"P39","Hipermercado/Supermercado",0.586,0.46,0.44,0.458,0.444
"P39","Almacenes",0.195,0.292,0.252,0.286,0.149
"P39","Productores locales/mercados de cercanía/Ferias",0.125,0.164,0.192,0.172,0.122
"P39","Vía pública",0.029,0.024,0.059,0.046,0.039
"P39","No sabe",0.065,0.06,0.057,0.038,0.246
