"var","categoria","Vegetariano","Vegano","Dieta baja en carnes rojas","Dieta baja en carbohidratos","Dieta baja en azúcares","Kosher o Alal","Ninguna restricción alimentaria"
"P10","Raramente",0.219,0.267,0.243,0.226,0.225,0.233,0.318
"P10","Nunca",0.043,0.068,0.042,0.04,0.061,0.097,0.101
"P11","Todos los días",0.354,0.315,0.281,0.286,0.305,0.211,0.242
"P11","Entre 4 y 6 días a la semana",0.181,0.164,0.185,0.161,0.165,0.258,0.174
"P11","Entre 1 y 3 días a la semana",0.202,0.181,0.291,0.252,0.252,0.291,0.258
"P11","Raramente",0.182,0.245,0.191,0.261,0.212,0.185,0.241
"P11","Nunca",0.081,0.095,0.052,0.04,0.066,0.055,0.085
"P12","Todos los días",0.174,0.172,0.088,0.054,0.065,0.03,0.043
"P12","Entre 4 y 6 días a la semana",0.237,0.154,0.132,0.088,0.092,0.08,0.089
"P12","Entre 1 y 3 días a la semana",0.285,0.238,0.377,0.327,0.341,0.325,0.308
"P12","Raramente",0.254,0.337,0.323,0.437,0.404,0.487,0.426
"P12","Nunca",0.05,0.099,0.08,0.094,0.098,0.078,0.134
"P13","Todos los días",0.306,0.321,0.263,0.143,0.212,0.266,0.28
"P13","Entre 4 y 6 días a la semana",0.309,0.279,0.219,0.187,0.228,0.198,0.248
"P13","Entre 1 y 3 días a la semana",0.211,0.212,0.334,0.352,0.326,0.325,0.278
"P13","Raramente",0.119,0.144,0.16,0.287,0.19,0.161,0.154
"P13","Nunca",0.055,0.044,0.024,0.031,0.044,0.05,0.04
"P14","Todos los días",0.213,0.227,0.127,0.076,0.112,0.155,0.103
"P14","Entre 4 y 6 días a la semana",0.256,0.28,0.197,0.177,0.22,0.324,0.235
"P14","Entre 1 y 3 días a la semana",0.31,0.244,0.419,0.396,0.39,0.378,0.404
"P14","Raramente",0.171,0.153,0.192,0.288,0.249,0.133,0.203
"P14","Nunca",0.05,0.096,0.065,0.063,0.029,0.01,0.055
"P15","Menos de un vaso al día",0.192,0.121,0.057,0.055,0.06,0.172,0.082
"P15","De 1 a 4 vasos al día",0.255,0.388,0.358,0.315,0.336,0.423,0.342
"P15","Más de 4 vasos al día",0.51,0.343,0.516,0.578,0.555,0.377,0.507
"P15","No consume agua",0.043,0.148,0.069,0.052,0.049,0.028,0.069
"P16","Agua embotellada/mineral",0.227,0.136,0.195,0.162,0.155,0.159,0.132
"P16","Agua de la canilla filtrada",0.3,0.407,0.348,0.302,0.327,0.377,0.276
"P16","Agua de la canilla directamente",0.322,0.391,0.362,0.404,0.378,0.366,0.464
"P16","Agua de bidón",0.127,0.062,0.087,0.119,0.136,0.092,0.116
"P16","No consume agua",0.024,0.004,0.008,0.013,0.004,0.006,0.012
"P17","Todos los días",0.11,0.1,0.095,0.051,0.071,0.051,0.05
"P17","Entre 4 y 6 días a la semana",0.148,0.211,0.099,0.098,0.085,0.141,0.072
"P17","Entre 1 y 3 días a la semana",0.179,0.268,0.208,0.209,0.206,0.311,0.199
"P17","Raramente",0.281,0.163,0.325,0.416,0.336,0.213,0.333
"P17","Nunca",0.282,0.258,0.273,0.226,0.302,0.284,0.346
"P18","Vino",0.237,0.251,0.274,0.286,0.303,0.184,0.207
"P18","Cerveza",0.207,0.181,0.164,0.141,0.143,0.112,0.169
"P18","Destilados (whisky, vodka, ron, etc.)",0.058,0.06,0.053,0.068,0.052,0.121,0.057
"P18","Espumantes",0.065,0.107,0.058,0.075,0.064,0.064,0.04
"P18","Otros",0.121,0.087,0.109,0.113,0.097,0.178,0.122
"P18","No consume bebidas alcohólicas",0.312,0.314,0.342,0.317,0.341,0.341,0.405
"P19","Todos los días",0.186,0.233,0.117,0.108,0.08,0.161,0.11
"P19","Entre 4 y 6 días a la semana",0.059,0.154,0.082,0.047,0.12,0.255,0.111
"P19","Entre 1 y 3 días a la semana",0.142,0.167,0.183,0.138,0.148,0.206,0.203
"P19","Raramente",0.276,0.313,0.415,0.387,0.402,0.291,0.375
"P19","Nunca",0.337,0.133,0.203,0.32,0.25,0.087,0.201
"P20","Todos los días",0.574,0.501,0.522,0.506,0.446,0.449,0.521
"P20","Entre 4 y 6 días a la semana",0.124,0.125,0.067,0.099,0.119,0.064,0.091
"P20","Entre 1 y 3 días a la semana",0.081,0.096,0.133,0.083,0.099,0.106,0.099
"P20","Raramente",0.073,0.199,0.154,0.177,0.173,0.237,0.157
"P20","Nunca",0.148,0.079,0.124,0.135,0.163,0.144,0.132
"P21","Todos los días",0.562,0.627,0.555,0.505,0.545,0.543,0.472
"P21","Entre 4 y 6 días a la semana",0.19,0.15,0.139,0.199,0.136,0.268,0.175
"P21","Entre 1 y 3 días a la semana",0.122,0.07,0.144,0.125,0.142,0.049,0.158
"P21","Raramente",0.069,0.117,0.106,0.136,0.119,0.066,0.134
"P21","Nunca",0.057,0.036,0.056,0.035,0.058,0.074,0.061
"P22","Asado",0.405,0.556,0.361,0.45,0.411,0.373,0.418
"P22","Pizza",0.099,0.099,0.092,0.064,0.107,0.16,0.085
"P22","Milanesa",0.084,0.142,0.145,0.175,0.157,0.064,0.172
"P22","Pastas",0.133,0.112,0.144,0.115,0.062,0.243,0.099
"P22","Empanadas",0.033,0.01,0.047,0.048,0.046,0.009,0.051
"P22","Hamburguesa",0.007,0,0.017,0.002,0.01,0.006,0.016
"P22","Ensaladas (de cualquier tipo)",0.11,0.016,0.074,0.074,0.087,0.055,0.039
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.077,0.013,0.069,0.05,0.068,0.061,0.072
"P22","Polenta o similares (de cualquier tipo)",0.015,0.027,0.031,0.003,0.027,0.019,0.025
"P22","Ninguno de los anteriores",0.037,0.025,0.02,0.019,0.025,0.01,0.023
"P23","Asado",0.19,0.224,0.122,0.127,0.101,0.15,0.102
"P23","Pizza",0.093,0.095,0.104,0.055,0.041,0.061,0.068
"P23","Milanesa",0.09,0.187,0.191,0.257,0.225,0.25,0.199
"P23","Pastas",0.218,0.192,0.205,0.128,0.149,0.305,0.197
"P23","Empanadas",0.042,0.052,0.039,0.059,0.042,0.048,0.032
"P23","Hamburguesa",0.02,0,0.013,0.012,0.027,0.014,0.022
"P23","Ensaladas (de cualquier tipo)",0.156,0.059,0.139,0.176,0.134,0.015,0.072
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.086,0.106,0.087,0.05,0.151,0.111,0.129
"P23","Polenta o similares (de cualquier tipo)",0.032,0.022,0.043,0.031,0.051,0.02,0.094
"P23","Ninguno de los anteriores",0.073,0.063,0.057,0.105,0.079,0.026,0.085
"P24","Helado",0.382,0.267,0.218,0.245,0.239,0.186,0.268
"P24","Tortas, tartas dulces y masas",0.118,0.19,0.139,0.143,0.079,0.184,0.178
"P24","Ensalada de frutas",0.115,0.123,0.245,0.179,0.235,0.128,0.145
"P24","Flan, budín de pan y similares",0.104,0.128,0.1,0.192,0.112,0.172,0.122
"P24","Dulce de batata, membrillo o similares",0.065,0.1,0.089,0.076,0.096,0.065,0.071
"P24","Facturas de todo tipo",0.009,0.028,0.025,0.018,0.04,0.085,0.042
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.025,0.038,0.038,0.023,0.03,0,0.024
"P24","Gelatina",0.045,0.067,0.037,0.017,0.053,0.092,0.036
"P24","Panqueques, wafles y similares",0.037,0.007,0.022,0.001,0.019,0.054,0.025
"P24","Ninguno de los anteriores",0.1,0.052,0.087,0.106,0.097,0.034,0.089
"P25","Helado",0.397,0.068,0.106,0.112,0.092,0.032,0.109
"P25","Tortas, tartas dulces y masas",0.12,0.653,0.125,0.105,0.108,0.051,0.136
"P25","Ensalada de frutas",0.09,0.045,0.215,0.123,0.137,0.03,0.063
"P25","Flan, budín de pan y similares",0.05,0.019,0.08,0.172,0.047,0.07,0.048
"P25","Dulce de batata, membrillo o similares",0.05,0.042,0.134,0.092,0.21,0.092,0.091
"P25","Facturas de todo tipo",0.041,0.016,0.054,0.062,0.052,0.68,0.094
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.007,0.016,0.039,0.019,0.028,0,0.032
"P25","Gelatina",0.02,0.017,0.041,0.038,0.068,0,0.048
"P25","Panqueques, wafles y similares",0.006,0.022,0.005,0.015,0.009,0,0.016
"P25","Ninguno de los anteriores",0.219,0.102,0.201,0.262,0.249,0.045,0.363
"P27","Si",0.704,0.487,0.426,0.547,0.565,0.545,0.554
"P27","Parcialmente",0.147,0.338,0.125,0.255,0.161,0.235,0.18
"P27","No",0.149,0.175,0.449,0.198,0.274,0.22,0.266
"P28","Si",0.736,0.57,0.709,0.679,0.692,0.727,0.75
"P28","Si, pero solo en algunos de ellos",0.168,0.343,0.235,0.27,0.275,0.265,0.213
"P28","No",0.096,0.087,0.056,0.051,0.033,0.008,0.037
"P29","Si",0.715,0.565,0.681,0.534,0.643,0.626,0.621
"P29","No",0.285,0.435,0.319,0.466,0.357,0.374,0.379
"P30","Muy de acuerdo",0.72,0.555,0.557,0.5,0.591,0.517,0.545
"P30","Parcialmente de acuerdo",0.203,0.32,0.324,0.413,0.324,0.332,0.316
"P30","No",0.077,0.125,0.119,0.087,0.085,0.151,0.139
"P31","Bajo peso",0.272,0.152,0.094,0.1,0.109,0.089,0.072
"P31","Sobrepeso",0.216,0.245,0.26,0.424,0.321,0.27,0.246
"P31","Obesidad",0.063,0.251,0.056,0.112,0.108,0.225,0.121
"P31","Normal",0.38,0.279,0.531,0.312,0.415,0.337,0.471
"P31","No sabe",0.069,0.073,0.059,0.052,0.047,0.079,0.09
"P32","Diabetes",0.174,0.18,0.116,0.116,0.258,0.081,0.043
"P32","Hipertensión",0.152,0.259,0.189,0.216,0.23,0.195,0.154
"P32","Enfermedades cardiovasculares",0.051,0.069,0.086,0.055,0.065,0.086,0.042
"P32","Celiaquía",0.088,0.099,0.086,0.077,0.107,0.135,0.07
"P32","Ninguna",0.47,0.35,0.483,0.489,0.29,0.473,0.579
"P32","No sabe",0.065,0.043,0.04,0.047,0.05,0.03,0.112
"P33","Todos los días",0.091,0.149,0.029,0.044,0.056,0.032,0.02
"P33","Entre 4 y 6 días a la semana",0.06,0.108,0.043,0.059,0.068,0.078,0.043
"P33","Entre 1 y 3 días a la semana",0.083,0.078,0.091,0.141,0.109,0.141,0.111
"P33","Raramente",0.33,0.387,0.356,0.343,0.332,0.236,0.289
"P33","Nunca",0.436,0.278,0.481,0.413,0.435,0.513,0.537
"P34","Todos los días",0.093,0.05,0.022,0.028,0.013,0.02,0.007
"P34","Entre 4 y 6 días a la semana",0.011,0.088,0.023,0.019,0.021,0.033,0.022
"P34","Entre 1 y 3 días a la semana",0.101,0.132,0.103,0.141,0.078,0.135,0.124
"P34","Raramente",0.355,0.381,0.339,0.373,0.343,0.291,0.329
"P34","Nunca",0.44,0.349,0.513,0.439,0.545,0.521,0.518
"P35","Todos los días",0.614,0.439,0.625,0.661,0.637,0.396,0.645
"P35","Entre 4 y 6 días a la semana",0.179,0.25,0.112,0.147,0.131,0.162,0.143
"P35","Entre 1 y 3 días a la semana",0.045,0.067,0.113,0.071,0.042,0.161,0.066
"P35","Raramente",0.062,0.159,0.06,0.048,0.078,0.134,0.064
"P35","Nunca",0.1,0.085,0.09,0.073,0.112,0.147,0.082
"P36","Menos de 1 comida al día",0.214,0.319,0.187,0.159,0.214,0.224,0.173
"P36","1 comida",0.252,0.333,0.325,0.312,0.297,0.208,0.313
"P36","2 comidas",0.245,0.17,0.272,0.283,0.246,0.183,0.267
"P36","3 comidas",0.112,0.116,0.113,0.114,0.131,0.162,0.129
"P36","4 comidas",0.157,0.055,0.099,0.128,0.098,0.208,0.099
"P36","Más de 4 comidas",0.02,0.007,0.004,0.004,0.014,0.015,0.019
"P37","Precio",0.293,0.22,0.243,0.171,0.248,0.341,0.353
"P37","Calidad",0.224,0.237,0.274,0.267,0.212,0.068,0.141
"P37","Cantidad de sellos presentes en el producto",0.05,0.131,0.081,0.078,0.061,0.072,0.051
"P37","Precio y calidad",0.227,0.174,0.247,0.314,0.311,0.331,0.307
"P37","Precio y cantidad de sellos presentes en el producto",0.054,0.087,0.04,0.083,0.053,0.133,0.026
"P37","Calidad y cantidad de sellos presentes en el producto",0.016,0.01,0.022,0.014,0.013,0.029,0.012
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.095,0.111,0.061,0.059,0.08,0.022,0.05
"P37","Compra sin ningún tipo de consideración",0.041,0.03,0.032,0.014,0.022,0.004,0.06
"P38","Menos de 1 vez a la semana",0.246,0.241,0.191,0.186,0.163,0.153,0.22
"P38","1 vez a la semana",0.345,0.34,0.28,0.296,0.284,0.182,0.266
"P38","Entre 1 a 4 veces a la semana",0.172,0.189,0.301,0.337,0.284,0.261,0.246
"P38","Más de 4 veces a la semana",0.143,0.145,0.166,0.139,0.162,0.383,0.18
"P38","No sabe",0.094,0.085,0.062,0.042,0.107,0.021,0.088
"P39","Hipermercado/Supermercado",0.563,0.436,0.44,0.539,0.47,0.529,0.461
"P39","Almacenes",0.157,0.358,0.252,0.24,0.258,0.241,0.264
"P39","Productores locales/mercados de cercanía/Ferias",0.178,0.148,0.195,0.145,0.184,0.152,0.166
"P39","Vía pública",0.038,0.024,0.047,0.045,0.048,0.061,0.039
"P39","No sabe",0.064,0.034,0.066,0.031,0.04,0.017,0.07
