"var","categoria","Helado","Tortas, tartas dulces y masas","Ensalada de frutas","Flan, budín de pan y similares","Dulce de batata, membrillo o similares","Facturas de todo tipo","Postres lácteos caseros o envasados de cualquier tipo","Gelatina","Panqueques, wafles y similares","Ninguno de los anteriores"
"P20","Entre 1 y 3 días a la semana",0.085,0.114,0.102,0.133,0.083,0.088,0.105,0.108,0.061,0.104
"P20","Raramente",0.125,0.143,0.191,0.192,0.155,0.199,0.146,0.197,0.068,0.157
"P20","Nunca",0.142,0.128,0.122,0.083,0.134,0.112,0.2,0.117,0.16,0.152
"P21","Todos los días",0.573,0.606,0.542,0.455,0.484,0.503,0.623,0.396,0.601,0.453
"P21","Entre 4 y 6 días a la semana",0.159,0.143,0.165,0.161,0.208,0.212,0.062,0.258,0.165,0.161
"P21","Entre 1 y 3 días a la semana",0.113,0.1,0.143,0.21,0.152,0.173,0.101,0.118,0.07,0.149
"P21","Raramente",0.084,0.121,0.108,0.151,0.102,0.07,0.165,0.167,0.058,0.152
"P21","Nunca",0.071,0.03,0.042,0.023,0.054,0.042,0.049,0.061,0.106,0.085
"P22","Asado",0.529,0.457,0.411,0.349,0.37,0.407,0.428,0.425,0.413,0.386
"P22","Pizza",0.084,0.102,0.065,0.096,0.098,0.125,0.093,0.062,0.102,0.08
"P22","Milanesa",0.162,0.163,0.222,0.166,0.133,0.121,0.175,0.126,0.165,0.158
"P22","Pastas",0.071,0.126,0.062,0.151,0.124,0.131,0.087,0.093,0.124,0.11
"P22","Empanadas",0.065,0.041,0.03,0.087,0.067,0.031,0.024,0.034,0.013,0.04
"P22","Hamburguesa",0.006,0.028,0.006,0.003,0.004,0.021,0,0.005,0,0.014
"P22","Ensaladas (de cualquier tipo)",0.031,0.018,0.12,0.048,0.058,0.056,0.093,0.079,0.054,0.055
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.047,0.038,0.059,0.073,0.08,0.078,0.073,0.064,0.011,0.088
"P22","Polenta o similares (de cualquier tipo)",0.003,0.015,0.004,0.02,0.05,0.013,0.006,0.049,0.102,0.03
"P22","Ninguno de los anteriores",0.002,0.012,0.021,0.007,0.016,0.017,0.021,0.063,0.016,0.039
"P23","Asado",0.291,0.147,0.151,0.11,0.076,0.106,0.063,0.035,0.11,0.06
"P23","Pizza",0.08,0.092,0.066,0.049,0.114,0.082,0.047,0.038,0.113,0.05
"P23","Milanesa",0.246,0.314,0.248,0.199,0.189,0.216,0.151,0.1,0.133,0.138
"P23","Pastas",0.151,0.189,0.146,0.25,0.201,0.218,0.249,0.152,0.114,0.195
"P23","Empanadas",0.024,0.048,0.049,0.078,0.045,0.051,0.041,0.053,0.038,0.018
"P23","Hamburguesa",0.011,0.021,0.025,0.024,0.009,0.035,0.003,0.002,0.026,0.02
"P23","Ensaladas (de cualquier tipo)",0.055,0.058,0.177,0.076,0.133,0.047,0.134,0.134,0.054,0.112
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.06,0.078,0.067,0.137,0.108,0.107,0.147,0.165,0.126,0.168
"P23","Polenta o similares (de cualquier tipo)",0.02,0.019,0.015,0.011,0.079,0.048,0.098,0.221,0.194,0.116
"P23","Ninguno de los anteriores",0.062,0.034,0.056,0.066,0.046,0.09,0.067,0.1,0.092,0.123
"P24","Helado",0.768,0.223,0.103,0.142,0.162,0.246,0.219,0.148,0.186,0.224
"P24","Tortas, tartas dulces y masas",0.071,0.456,0.059,0.066,0.094,0.222,0.094,0.085,0.133,0.106
"P24","Ensalada de frutas",0.041,0.093,0.652,0.071,0.161,0.104,0.094,0.148,0.123,0.151
"P24","Flan, budín de pan y similares",0.044,0.087,0.038,0.607,0.118,0.112,0.17,0.076,0.129,0.107
"P24","Dulce de batata, membrillo o similares",0.018,0.038,0.036,0.042,0.36,0.032,0.119,0.064,0.025,0.054
"P24","Facturas de todo tipo",0.008,0.016,0.031,0.008,0.008,0.161,0.004,0.033,0.086,0.04
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.005,0.013,0.024,0.026,0.03,0.011,0.204,0.018,0,0.032
"P24","Gelatina",0.012,0.024,0.017,0.006,0.024,0.023,0.043,0.337,0.011,0.041
"P24","Panqueques, wafles y similares",0.015,0.015,0.01,0,0.01,0.022,0.005,0.024,0.276,0.035
"P24","Ninguno de los anteriores",0.018,0.035,0.03,0.032,0.033,0.067,0.048,0.067,0.031,0.21
"P26","Vegetariano",0.161,0.038,0.043,0.037,0.022,0.023,0.012,0.022,0.022,0.036
"P26","Vegano",0.025,0.192,0.02,0.013,0.017,0.008,0.024,0.016,0.075,0.015
"P26","Dieta baja en carnes rojas",0.13,0.121,0.308,0.18,0.177,0.089,0.193,0.13,0.058,0.098
"P26","Dieta baja en carbohidratos",0.09,0.067,0.116,0.255,0.079,0.067,0.063,0.079,0.106,0.084
"P26","Dieta baja en azúcares",0.1,0.093,0.174,0.095,0.246,0.076,0.123,0.192,0.092,0.109
"P26","Kosher o Alal",0.006,0.007,0.006,0.024,0.018,0.168,0,0,0,0.003
"P26","Ninguna restricción alimentaria",0.488,0.482,0.333,0.396,0.441,0.569,0.585,0.561,0.647,0.655
"P27","Si",0.617,0.592,0.485,0.5,0.476,0.633,0.535,0.535,0.508,0.51
"P27","Parcialmente",0.204,0.175,0.155,0.181,0.217,0.206,0.144,0.175,0.159,0.175
"P27","No",0.179,0.233,0.36,0.319,0.307,0.161,0.321,0.29,0.333,0.315
"P28","Si",0.794,0.792,0.683,0.675,0.598,0.729,0.712,0.662,0.74,0.719
"P28","Si, pero solo en algunos de ellos",0.159,0.168,0.245,0.241,0.329,0.253,0.259,0.29,0.242,0.25
"P28","No",0.047,0.04,0.072,0.084,0.073,0.018,0.029,0.048,0.018,0.031
"P29","Si",0.604,0.684,0.727,0.642,0.566,0.64,0.62,0.688,0.538,0.574
"P29","No",0.396,0.316,0.273,0.358,0.434,0.36,0.38,0.312,0.462,0.426
"P30","Muy de acuerdo",0.533,0.652,0.638,0.558,0.479,0.578,0.545,0.592,0.602,0.508
"P30","Parcialmente de acuerdo",0.33,0.272,0.289,0.336,0.428,0.308,0.337,0.303,0.342,0.318
"P30","No",0.137,0.076,0.073,0.106,0.093,0.114,0.118,0.105,0.056,0.174
"P31","Bajo peso",0.179,0.079,0.102,0.093,0.147,0.063,0.094,0.07,0.05,0.065
"P31","Sobrepeso",0.343,0.307,0.235,0.276,0.242,0.242,0.346,0.229,0.223,0.263
"P31","Obesidad",0.076,0.113,0.15,0.123,0.094,0.12,0.092,0.107,0.203,0.12
"P31","Normal",0.352,0.431,0.486,0.483,0.44,0.478,0.438,0.455,0.478,0.45
"P31","No sabe",0.05,0.07,0.027,0.025,0.077,0.097,0.03,0.139,0.046,0.102
"P32","Diabetes",0.117,0.076,0.123,0.102,0.1,0.117,0.051,0.108,0.068,0.096
"P32","Hipertensión",0.174,0.168,0.16,0.229,0.209,0.117,0.241,0.235,0.119,0.179
"P32","Enfermedades cardiovasculares",0.032,0.04,0.083,0.093,0.084,0.034,0.093,0.049,0.011,0.047
"P32","Celiaquía",0.058,0.104,0.113,0.075,0.099,0.043,0.04,0.09,0.125,0.075
"P32","Ninguna",0.564,0.546,0.47,0.453,0.431,0.619,0.56,0.394,0.464,0.488
"P32","No sabe",0.055,0.066,0.051,0.048,0.077,0.07,0.015,0.124,0.213,0.115
"P33","Todos los días",0.081,0.044,0.049,0.049,0.043,0.024,0.029,0.04,0,0.011
"P33","Entre 4 y 6 días a la semana",0.082,0.03,0.043,0.049,0.064,0.074,0.016,0.046,0,0.05
"P33","Entre 1 y 3 días a la semana",0.136,0.188,0.12,0.107,0.101,0.176,0.108,0.03,0.044,0.054
"P33","Raramente",0.319,0.408,0.37,0.315,0.288,0.324,0.321,0.308,0.373,0.249
"P33","Nunca",0.382,0.33,0.418,0.48,0.504,0.402,0.526,0.576,0.583,0.636
"P34","Todos los días",0.068,0.01,0.019,0.029,0.017,0.008,0,0.022,0,0.004
"P34","Entre 4 y 6 días a la semana",0.055,0.042,0.01,0.018,0.014,0.034,0.051,0.028,0,0.009
"P34","Entre 1 y 3 días a la semana",0.175,0.171,0.132,0.132,0.073,0.224,0.077,0.051,0.163,0.053
"P34","Raramente",0.364,0.434,0.346,0.301,0.355,0.38,0.298,0.275,0.231,0.287
"P34","Nunca",0.338,0.343,0.493,0.52,0.541,0.354,0.574,0.624,0.606,0.647
"P35","Todos los días",0.54,0.578,0.656,0.643,0.698,0.492,0.683,0.711,0.826,0.659
"P35","Entre 4 y 6 días a la semana",0.193,0.198,0.111,0.112,0.105,0.28,0.103,0.095,0.059,0.105
"P35","Entre 1 y 3 días a la semana",0.095,0.074,0.101,0.092,0.046,0.084,0.061,0.031,0.108,0.059
"P35","Raramente",0.096,0.1,0.042,0.096,0.061,0.076,0.044,0.061,0,0.054
"P35","Nunca",0.076,0.05,0.09,0.057,0.09,0.068,0.109,0.102,0.007,0.123
"P36","Menos de 1 comida al día",0.185,0.165,0.204,0.257,0.209,0.112,0.196,0.159,0.211,0.197
"P36","1 comida",0.266,0.276,0.236,0.251,0.343,0.284,0.309,0.439,0.276,0.354
"P36","2 comidas",0.273,0.266,0.314,0.251,0.257,0.262,0.239,0.231,0.085,0.249
"P36","3 comidas",0.131,0.156,0.144,0.159,0.109,0.162,0.121,0.057,0.215,0.095
"P36","4 comidas",0.124,0.123,0.083,0.08,0.077,0.152,0.114,0.08,0.157,0.098
"P36","Más de 4 comidas",0.021,0.014,0.019,0.002,0.005,0.028,0.021,0.034,0.056,0.007
"P37","Precio",0.234,0.204,0.196,0.292,0.304,0.292,0.359,0.463,0.256,0.38
"P37","Calidad",0.26,0.221,0.249,0.2,0.179,0.119,0.104,0.115,0.104,0.164
"P37","Cantidad de sellos presentes en el producto",0.064,0.065,0.095,0.066,0.084,0.026,0.03,0.068,0.072,0.054
"P37","Precio y calidad",0.316,0.336,0.314,0.328,0.275,0.35,0.262,0.228,0.393,0.239
"P37","Precio y cantidad de sellos presentes en el producto",0.041,0.059,0.053,0.018,0.028,0.087,0.024,0.037,0,0.033
"P37","Calidad y cantidad de sellos presentes en el producto",0.032,0.013,0.01,0.038,0.01,0.012,0.004,0.002,0.01,0.01
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.028,0.078,0.066,0.036,0.058,0.074,0.079,0.07,0.096,0.057
"P37","Compra sin ningún tipo de consideración",0.025,0.024,0.017,0.022,0.062,0.04,0.138,0.017,0.069,0.063
"P38","Menos de 1 vez a la semana",0.213,0.19,0.134,0.198,0.198,0.18,0.258,0.204,0.06,0.251
"P38","1 vez a la semana",0.286,0.272,0.324,0.25,0.249,0.265,0.207,0.322,0.587,0.266
"P38","Entre 1 a 4 veces a la semana",0.226,0.292,0.319,0.35,0.282,0.318,0.295,0.222,0.202,0.204
"P38","Más de 4 veces a la semana",0.215,0.175,0.147,0.162,0.167,0.202,0.189,0.141,0.081,0.17
"P38","No sabe",0.06,0.071,0.076,0.04,0.104,0.035,0.051,0.111,0.07,0.109
"P39","Hipermercado/Supermercado",0.529,0.531,0.399,0.564,0.412,0.481,0.56,0.44,0.444,0.441
"P39","Almacenes",0.216,0.319,0.258,0.203,0.288,0.192,0.202,0.175,0.201,0.285
"P39","Productores locales/mercados de cercanía/Ferias",0.152,0.112,0.226,0.167,0.203,0.195,0.229,0.226,0.231,0.151
"P39","Vía pública",0.042,0.013,0.059,0.031,0.043,0.038,0,0.077,0.092,0.05
"P39","No sabe",0.061,0.025,0.058,0.035,0.054,0.094,0.009,0.082,0.032,0.073
