"var","categoria","Vino","Cerveza","Destilados (whisky, vodka, ron, etc.)","Espumantes","Otros","No consume bebidas alcohólicas"
"P20","Entre 4 y 6 días a la semana",0.099,0.098,0.095,0.12,0.11,0.086
"P20","Entre 1 y 3 días a la semana",0.082,0.088,0.175,0.103,0.113,0.095
"P20","Raramente",0.127,0.126,0.148,0.316,0.208,0.166
"P20","Nunca",0.109,0.097,0.143,0.1,0.161,0.156
"P21","Todos los días",0.56,0.471,0.569,0.459,0.475,0.481
"P21","Entre 4 y 6 días a la semana",0.145,0.21,0.147,0.165,0.19,0.164
"P21","Entre 1 y 3 días a la semana",0.143,0.161,0.112,0.107,0.121,0.138
"P21","Raramente",0.092,0.106,0.126,0.239,0.147,0.143
"P21","Nunca",0.06,0.052,0.046,0.03,0.067,0.074
"P22","Asado",0.472,0.415,0.52,0.457,0.406,0.352
"P22","Pizza",0.073,0.145,0.089,0.102,0.109,0.069
"P22","Milanesa",0.167,0.166,0.119,0.116,0.152,0.165
"P22","Pastas",0.099,0.113,0.081,0.159,0.131,0.111
"P22","Empanadas",0.044,0.044,0.08,0.046,0.05,0.039
"P22","Hamburguesa",0.006,0.012,0.01,0.005,0.016,0.016
"P22","Ensaladas (de cualquier tipo)",0.05,0.042,0.032,0.033,0.049,0.069
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.064,0.044,0.036,0.022,0.053,0.102
"P22","Polenta o similares (de cualquier tipo)",0.013,0.009,0.011,0.05,0.015,0.035
"P22","Ninguno de los anteriores",0.012,0.01,0.022,0.01,0.019,0.042
"P23","Asado",0.16,0.144,0.208,0.165,0.081,0.068
"P23","Pizza",0.07,0.096,0.094,0.073,0.064,0.051
"P23","Milanesa",0.256,0.219,0.19,0.158,0.197,0.164
"P23","Pastas",0.183,0.201,0.161,0.164,0.202,0.183
"P23","Empanadas",0.037,0.048,0.048,0.06,0.047,0.026
"P23","Hamburguesa",0.011,0.026,0.023,0.03,0.02,0.022
"P23","Ensaladas (de cualquier tipo)",0.11,0.064,0.102,0.083,0.085,0.116
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.08,0.102,0.076,0.144,0.13,0.158
"P23","Polenta o similares (de cualquier tipo)",0.028,0.046,0.047,0.07,0.096,0.105
"P23","Ninguno de los anteriores",0.065,0.054,0.051,0.053,0.078,0.107
"P24","Helado",0.313,0.326,0.318,0.202,0.222,0.207
"P24","Tortas, tartas dulces y masas",0.139,0.173,0.137,0.162,0.154,0.151
"P24","Ensalada de frutas",0.187,0.148,0.173,0.153,0.142,0.176
"P24","Flan, budín de pan y similares",0.129,0.114,0.162,0.133,0.162,0.105
"P24","Dulce de batata, membrillo o similares",0.087,0.062,0.043,0.064,0.056,0.095
"P24","Facturas de todo tipo",0.035,0.031,0.014,0.044,0.051,0.041
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.023,0.022,0.027,0.052,0.037,0.024
"P24","Gelatina",0.014,0.024,0.05,0.083,0.057,0.051
"P24","Panqueques, wafles y similares",0.018,0.022,0.018,0.016,0.043,0.025
"P24","Ninguno de los anteriores",0.055,0.078,0.058,0.091,0.076,0.125
"P25","Helado",0.143,0.182,0.159,0.115,0.087,0.078
"P25","Tortas, tartas dulces y masas",0.174,0.151,0.239,0.15,0.144,0.112
"P25","Ensalada de frutas",0.121,0.063,0.106,0.113,0.124,0.089
"P25","Flan, budín de pan y similares",0.064,0.048,0.088,0.115,0.082,0.053
"P25","Dulce de batata, membrillo o similares",0.122,0.097,0.124,0.142,0.058,0.111
"P25","Facturas de todo tipo",0.061,0.151,0.108,0.063,0.097,0.07
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.024,0.025,0.006,0.026,0.043,0.032
"P25","Gelatina",0.035,0.021,0.017,0.034,0.067,0.059
"P25","Panqueques, wafles y similares",0.006,0.03,0.005,0.018,0.017,0.011
"P25","Ninguno de los anteriores",0.25,0.232,0.148,0.224,0.281,0.385
"P26","Vegetariano",0.047,0.06,0.047,0.058,0.05,0.04
"P26","Vegano",0.046,0.048,0.044,0.087,0.033,0.037
"P26","Dieta baja en carnes rojas",0.163,0.143,0.13,0.155,0.134,0.132
"P26","Dieta baja en carbohidratos",0.112,0.081,0.11,0.131,0.091,0.08
"P26","Dieta baja en azúcares",0.161,0.11,0.113,0.153,0.106,0.117
"P26","Kosher o Alal",0.016,0.015,0.045,0.025,0.033,0.02
"P26","Ninguna restricción alimentaria",0.455,0.543,0.511,0.391,0.553,0.574
"P27","Si",0.629,0.598,0.551,0.412,0.502,0.486
"P27","Parcialmente",0.174,0.224,0.21,0.246,0.159,0.165
"P27","No",0.197,0.178,0.239,0.342,0.339,0.349
"P28","Si",0.728,0.698,0.775,0.673,0.763,0.709
"P28","Si, pero solo en algunos de ellos",0.209,0.25,0.188,0.316,0.212,0.251
"P28","No",0.063,0.052,0.037,0.011,0.025,0.04
"P29","Si",0.628,0.63,0.562,0.546,0.585,0.652
"P29","No",0.372,0.37,0.438,0.454,0.415,0.348
"P30","Muy de acuerdo",0.573,0.593,0.489,0.57,0.532,0.544
"P30","Parcialmente de acuerdo",0.302,0.303,0.421,0.339,0.346,0.319
"P30","No",0.125,0.104,0.09,0.091,0.122,0.137
"P31","Bajo peso",0.11,0.105,0.107,0.098,0.082,0.083
"P31","Sobrepeso",0.284,0.322,0.267,0.287,0.313,0.23
"P31","Obesidad",0.069,0.063,0.193,0.207,0.174,0.122
"P31","Normal",0.498,0.452,0.366,0.372,0.324,0.463
"P31","No sabe",0.039,0.058,0.067,0.036,0.107,0.102
"P32","Diabetes",0.113,0.095,0.104,0.112,0.08,0.096
"P32","Hipertensión",0.228,0.141,0.154,0.201,0.181,0.165
"P32","Enfermedades cardiovasculares",0.061,0.021,0.105,0.105,0.03,0.059
"P32","Celiaquía",0.06,0.078,0.063,0.187,0.131,0.07
"P32","Ninguna",0.477,0.593,0.516,0.36,0.491,0.504
"P32","No sabe",0.061,0.072,0.058,0.035,0.087,0.106
"P33","Todos los días",0.056,0.017,0.069,0.063,0.03,0.026
"P33","Entre 4 y 6 días a la semana",0.048,0.057,0.108,0.043,0.047,0.045
"P33","Entre 1 y 3 días a la semana",0.141,0.164,0.283,0.098,0.081,0.048
"P33","Raramente",0.386,0.374,0.234,0.359,0.292,0.253
"P33","Nunca",0.369,0.388,0.306,0.437,0.55,0.628
"P34","Todos los días",0.031,0.013,0.067,0.011,0.012,0.007
"P34","Entre 4 y 6 días a la semana",0.032,0.026,0.018,0.017,0.032,0.017
"P34","Entre 1 y 3 días a la semana",0.148,0.171,0.269,0.167,0.097,0.047
"P34","Raramente",0.366,0.415,0.301,0.413,0.328,0.287
"P34","Nunca",0.423,0.375,0.345,0.392,0.531,0.642
"P35","Todos los días",0.624,0.57,0.48,0.529,0.648,0.684
"P35","Entre 4 y 6 días a la semana",0.182,0.231,0.205,0.109,0.077,0.096
"P35","Entre 1 y 3 días a la semana",0.071,0.082,0.182,0.107,0.068,0.047
"P35","Raramente",0.07,0.061,0.089,0.102,0.064,0.065
"P35","Nunca",0.053,0.056,0.044,0.153,0.143,0.108
"P36","Menos de 1 comida al día",0.18,0.131,0.202,0.278,0.234,0.19
"P36","1 comida",0.257,0.316,0.197,0.303,0.319,0.352
"P36","2 comidas",0.282,0.279,0.277,0.216,0.249,0.244
"P36","3 comidas",0.145,0.114,0.222,0.117,0.101,0.11
"P36","4 comidas",0.123,0.145,0.075,0.082,0.077,0.092
"P36","Más de 4 comidas",0.013,0.015,0.027,0.004,0.02,0.012
"P37","Precio",0.255,0.232,0.186,0.394,0.324,0.356
"P37","Calidad",0.194,0.196,0.235,0.171,0.199,0.168
"P37","Cantidad de sellos presentes en el producto",0.059,0.055,0.114,0.086,0.067,0.056
"P37","Precio y calidad",0.32,0.344,0.377,0.196,0.274,0.251
"P37","Precio y cantidad de sellos presentes en el producto",0.048,0.054,0.046,0.082,0.037,0.03
"P37","Calidad y cantidad de sellos presentes en el producto",0.013,0.016,0.009,0.013,0.01,0.017
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.081,0.063,0.024,0.014,0.064,0.055
"P37","Compra sin ningún tipo de consideración",0.03,0.04,0.009,0.044,0.025,0.067
"P38","Menos de 1 vez a la semana",0.218,0.091,0.154,0.294,0.222,0.241
"P38","1 vez a la semana",0.256,0.314,0.247,0.233,0.234,0.299
"P38","Entre 1 a 4 veces a la semana",0.287,0.313,0.394,0.238,0.209,0.222
"P38","Más de 4 veces a la semana",0.179,0.216,0.135,0.185,0.207,0.144
"P38","No sabe",0.06,0.066,0.07,0.05,0.128,0.094
"P39","Hipermercado/Supermercado",0.502,0.469,0.48,0.444,0.449,0.46
"P39","Almacenes",0.248,0.299,0.174,0.248,0.221,0.273
"P39","Productores locales/mercados de cercanía/Ferias",0.173,0.15,0.256,0.233,0.163,0.158
"P39","Vía pública",0.034,0.037,0.044,0.035,0.06,0.044
"P39","No sabe",0.043,0.045,0.046,0.04,0.107,0.065
