"var","categoria","Asado","Pizza","Milanesa","Pastas","Empanadas","Hamburguesa","Ensaladas (de cualquier tipo)","Guiso (de lentejas, de arroz, locro o similares)","Polenta o similares (de cualquier tipo)","Ninguno de los anteriores"
"P23","Milanesa",0.199,0.169,0.432,0.119,0.122,0.067,0.103,0.086,0.062,0.028
"P23","Pastas",0.148,0.168,0.173,0.468,0.149,0.069,0.104,0.139,0.124,0.169
"P23","Empanadas",0.023,0.063,0.026,0.027,0.236,0.029,0.045,0.015,0.003,0.035
"P23","Hamburguesa",0.02,0.012,0.014,0.003,0.037,0.354,0.015,0.016,0.01,0.011
"P23","Ensaladas (de cualquier tipo)",0.087,0.059,0.058,0.074,0.065,0.065,0.512,0.061,0.126,0.111
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.092,0.103,0.101,0.115,0.061,0.218,0.093,0.459,0.139,0.031
"P23","Polenta o similares (de cualquier tipo)",0.062,0.083,0.046,0.048,0.05,0.064,0.037,0.109,0.489,0.067
"P23","Ninguno de los anteriores",0.073,0.055,0.07,0.077,0.078,0.103,0.053,0.067,0.027,0.475
"P24","Helado",0.312,0.247,0.284,0.224,0.217,0.175,0.173,0.194,0.103,0.05
"P24","Tortas, tartas dulces y masas",0.151,0.237,0.173,0.161,0.153,0.184,0.093,0.089,0.075,0.046
"P24","Ensalada de frutas",0.175,0.146,0.186,0.125,0.102,0.12,0.304,0.171,0.042,0.179
"P24","Flan, budín de pan y similares",0.112,0.11,0.139,0.168,0.181,0.03,0.115,0.123,0.077,0.081
"P24","Dulce de batata, membrillo o similares",0.057,0.053,0.07,0.109,0.118,0.08,0.051,0.115,0.315,0.1
"P24","Facturas de todo tipo",0.04,0.021,0.029,0.022,0.069,0.045,0.047,0.063,0.052,0.029
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.026,0.039,0.013,0.027,0.029,0.012,0.038,0.044,0.026,0.027
"P24","Gelatina",0.037,0.032,0.024,0.051,0.014,0.119,0.045,0.059,0.106,0.049
"P24","Panqueques, wafles y similares",0.026,0.049,0.013,0.011,0,0.07,0.026,0.032,0.024,0.024
"P24","Ninguno de los anteriores",0.064,0.066,0.069,0.102,0.117,0.165,0.108,0.11,0.18,0.415
"P25","Helado",0.151,0.112,0.121,0.078,0.166,0.054,0.066,0.083,0.016,0.012
"P25","Tortas, tartas dulces y masas",0.16,0.168,0.149,0.171,0.131,0.333,0.048,0.081,0.092,0.076
"P25","Ensalada de frutas",0.097,0.072,0.138,0.057,0.065,0.05,0.214,0.086,0.016,0.09
"P25","Flan, budín de pan y similares",0.053,0.069,0.066,0.089,0.12,0.014,0.055,0.069,0.056,0.02
"P25","Dulce de batata, membrillo o similares",0.096,0.118,0.09,0.124,0.156,0.036,0.114,0.126,0.234,0.076
"P25","Facturas de todo tipo",0.084,0.121,0.065,0.104,0.059,0.147,0.087,0.1,0.047,0.064
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.029,0.03,0.031,0.023,0.014,0,0.048,0.03,0.007,0.026
"P25","Gelatina",0.045,0.031,0.035,0.038,0.032,0.018,0.064,0.042,0.093,0.122
"P25","Panqueques, wafles y similares",0.013,0.015,0.014,0.016,0.004,0,0.013,0.002,0.059,0.009
"P25","Ninguno de los anteriores",0.272,0.264,0.291,0.3,0.253,0.348,0.291,0.381,0.38,0.505
"P26","Vegetariano",0.046,0.052,0.025,0.059,0.034,0.027,0.093,0.055,0.031,0.076
"P26","Vegano",0.059,0.048,0.039,0.045,0.01,0,0.012,0.009,0.05,0.047
"P26","Dieta baja en carnes rojas",0.124,0.146,0.13,0.19,0.145,0.194,0.187,0.147,0.19,0.126
"P26","Dieta baja en carbohidratos",0.101,0.067,0.103,0.1,0.097,0.012,0.124,0.07,0.014,0.078
"P26","Dieta baja en azúcares",0.125,0.151,0.125,0.074,0.126,0.106,0.197,0.129,0.145,0.137
"P26","Kosher o Alal",0.019,0.038,0.009,0.048,0.004,0.01,0.021,0.02,0.017,0.01
"P26","Ninguna restricción alimentaria",0.526,0.498,0.569,0.484,0.584,0.651,0.366,0.57,0.553,0.526
"P27","Si",0.584,0.515,0.549,0.506,0.379,0.737,0.61,0.42,0.381,0.519
"P27","Parcialmente",0.171,0.215,0.163,0.221,0.286,0.113,0.162,0.193,0.177,0.094
"P27","No",0.245,0.27,0.288,0.273,0.335,0.15,0.228,0.387,0.442,0.387
"P28","Si",0.734,0.702,0.758,0.697,0.749,0.719,0.735,0.584,0.621,0.699
"P28","Si, pero solo en algunos de ellos",0.223,0.238,0.197,0.27,0.23,0.281,0.23,0.349,0.249,0.234
"P28","No",0.043,0.06,0.045,0.033,0.021,0,0.035,0.067,0.13,0.067
"P29","Si",0.622,0.61,0.607,0.629,0.62,0.719,0.669,0.643,0.538,0.694
"P29","No",0.378,0.39,0.393,0.371,0.38,0.281,0.331,0.357,0.462,0.306
"P30","Muy de acuerdo",0.554,0.525,0.549,0.594,0.474,0.687,0.584,0.549,0.556,0.692
"P30","Parcialmente de acuerdo",0.329,0.318,0.342,0.286,0.351,0.131,0.345,0.34,0.269,0.204
"P30","No",0.117,0.157,0.109,0.12,0.175,0.182,0.071,0.111,0.175,0.104
"P31","Bajo peso",0.115,0.097,0.093,0.056,0.109,0.03,0.083,0.058,0.104,0.072
"P31","Sobrepeso",0.301,0.277,0.286,0.26,0.204,0.123,0.24,0.251,0.15,0.218
"P31","Obesidad",0.115,0.157,0.135,0.092,0.162,0.103,0.044,0.076,0.057,0.116
"P31","Normal",0.406,0.383,0.44,0.492,0.474,0.502,0.579,0.506,0.479,0.479
"P31","No sabe",0.063,0.086,0.046,0.1,0.051,0.242,0.054,0.109,0.21,0.115
"P32","Diabetes",0.104,0.11,0.078,0.079,0.125,0.114,0.132,0.09,0.1,0.123
"P32","Hipertensión",0.177,0.2,0.194,0.176,0.168,0.136,0.189,0.152,0.186,0.152
"P32","Enfermedades cardiovasculares",0.047,0.042,0.063,0.031,0.1,0.013,0.064,0.048,0.134,0.152
"P32","Celiaquía",0.081,0.119,0.082,0.056,0.084,0.037,0.078,0.07,0.047,0.138
"P32","Ninguna",0.504,0.454,0.513,0.613,0.459,0.555,0.493,0.519,0.346,0.311
"P32","No sabe",0.087,0.075,0.07,0.045,0.064,0.145,0.044,0.121,0.187,0.124
"P33","Todos los días",0.045,0.034,0.025,0.022,0.062,0.048,0.04,0.008,0.087,0.016
"P33","Entre 4 y 6 días a la semana",0.059,0.089,0.052,0.057,0.039,0,0.015,0.02,0.004,0.025
"P33","Entre 1 y 3 días a la semana",0.116,0.102,0.126,0.091,0.139,0.397,0.075,0.069,0,0.088
"P33","Raramente",0.307,0.341,0.349,0.331,0.247,0.168,0.357,0.27,0.244,0.301
"P33","Nunca",0.473,0.434,0.448,0.499,0.513,0.387,0.513,0.633,0.665,0.57
"P34","Todos los días",0.02,0.021,0.005,0.007,0.045,0,0.028,0.011,0.015,0.055
"P34","Entre 4 y 6 días a la semana",0.031,0.021,0.026,0.01,0.028,0.198,0.005,0.009,0,0
"P34","Entre 1 y 3 días a la semana",0.134,0.099,0.15,0.095,0.148,0.047,0.045,0.079,0.005,0.082
"P34","Raramente",0.346,0.394,0.374,0.347,0.34,0.169,0.278,0.258,0.295,0.224
"P34","Nunca",0.469,0.465,0.445,0.541,0.439,0.586,0.644,0.643,0.685,0.639
"P35","Todos los días",0.628,0.589,0.651,0.623,0.495,0.428,0.727,0.635,0.734,0.625
"P35","Entre 4 y 6 días a la semana",0.151,0.193,0.177,0.11,0.16,0.15,0.083,0.114,0.02,0.062
"P35","Entre 1 y 3 días a la semana",0.074,0.072,0.072,0.06,0.17,0.1,0.014,0.067,0.059,0.025
"P35","Raramente",0.069,0.078,0.042,0.084,0.101,0.009,0.042,0.106,0.056,0.092
"P35","Nunca",0.078,0.068,0.058,0.123,0.074,0.313,0.134,0.078,0.131,0.196
"P36","Menos de 1 comida al día",0.195,0.224,0.183,0.143,0.157,0.188,0.191,0.155,0.335,0.16
"P36","1 comida",0.305,0.347,0.285,0.302,0.33,0.265,0.25,0.355,0.374,0.329
"P36","2 comidas",0.263,0.211,0.288,0.249,0.258,0.488,0.234,0.306,0.185,0.155
"P36","3 comidas",0.122,0.117,0.138,0.152,0.142,0.059,0.118,0.111,0.019,0.141
"P36","4 comidas",0.098,0.098,0.101,0.131,0.086,0,0.193,0.065,0.087,0.165
"P36","Más de 4 comidas",0.017,0.003,0.005,0.023,0.027,0,0.014,0.008,0,0.05
"P37","Precio",0.298,0.421,0.274,0.228,0.325,0.331,0.233,0.268,0.549,0.276
"P37","Calidad",0.213,0.15,0.185,0.222,0.157,0.212,0.184,0.103,0.065,0.128
"P37","Cantidad de sellos presentes en el producto",0.056,0.03,0.09,0.08,0.086,0.012,0.019,0.082,0.019,0.114
"P37","Precio y calidad",0.29,0.273,0.327,0.287,0.247,0.2,0.354,0.295,0.166,0.229
"P37","Precio y cantidad de sellos presentes en el producto",0.055,0.041,0.029,0.038,0.019,0,0.055,0.02,0.057,0.024
"P37","Calidad y cantidad de sellos presentes en el producto",0.01,0.019,0.012,0.015,0.017,0.011,0.027,0.027,0,0.017
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.042,0.058,0.047,0.082,0.074,0.111,0.093,0.126,0.017,0.102
"P37","Compra sin ningún tipo de consideración",0.036,0.008,0.036,0.048,0.075,0.123,0.035,0.079,0.127,0.11
"P38","Menos de 1 vez a la semana",0.201,0.199,0.205,0.189,0.224,0.093,0.22,0.23,0.369,0.179
"P38","1 vez a la semana",0.285,0.306,0.249,0.291,0.317,0.233,0.293,0.238,0.136,0.293
"P38","Entre 1 a 4 veces a la semana",0.255,0.274,0.271,0.293,0.303,0.346,0.286,0.203,0.143,0.226
"P38","Más de 4 veces a la semana",0.186,0.154,0.207,0.159,0.088,0.082,0.151,0.213,0.148,0.06
"P38","No sabe",0.073,0.067,0.068,0.068,0.068,0.246,0.05,0.116,0.204,0.242
"P39","Hipermercado/Supermercado",0.484,0.448,0.504,0.458,0.48,0.309,0.55,0.397,0.229,0.433
"P39","Almacenes",0.245,0.318,0.235,0.296,0.265,0.313,0.186,0.284,0.42,0.178
"P39","Productores locales/mercados de cercanía/Ferias",0.166,0.135,0.184,0.147,0.166,0.327,0.22,0.19,0.125,0.18
"P39","Vía pública",0.043,0.05,0.039,0.018,0.007,0.043,0.024,0.076,0.115,0.071
"P39","No sabe",0.062,0.049,0.038,0.081,0.082,0.008,0.02,0.053,0.111,0.138
