"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P35","9-Pésimo",0.219,0.255,0.27,0.176,0.479,0.137,0.115,1,0,1
"P35","No sabe",0.012,0.027,0.075,0,0.053,0,0.054,0,0,0
"P36","1-Excelente",0.175,0.061,0.064,0.238,0.085,0.318,0,0,0.635,0
"P36","2",0.084,0.01,0.102,0.146,0.015,0,0,1,0,0
"P36","3",0.09,0.09,0.044,0.079,0.095,0,0.109,0,0,0
"P36","4",0.038,0.077,0.08,0.137,0.027,0,0,0,0,0
"P36","5",0.149,0.201,0.276,0.068,0.116,0.446,0.037,0,0.123,0
"P36","6",0.107,0,0.008,0.022,0.057,0,0,0,0.188,0
"P36","7",0.095,0.201,0.026,0.042,0.029,0,0.685,0,0.054,0
"P36","8",0.039,0.109,0.045,0.078,0.042,0.098,0,0,0,0
"P36","9-Pésimo",0.211,0.232,0.265,0.162,0.389,0.138,0.115,0,0,1
"P36","No sabe",0.012,0.019,0.09,0.028,0.145,0,0.054,0,0,0
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.547,0.415,0.184,0.464,0.647,0.216,0.316,1,0.759,0
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.159,0.212,0.273,0.129,0.03,0.136,0,0,0.187,0
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.126,0.195,0.278,0.096,0.163,0.188,0,0,0.054,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.164,0.178,0.245,0.298,0.09,0.46,0,0,0,0
"P37","No sabe",0.004,0,0.02,0.013,0.07,0,0.684,0,0,1
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.451,0.351,0.137,0.379,0.622,0.216,0.206,1,0.758,0
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.163,0.168,0.206,0.166,0.037,0.136,0.794,0,0,0
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.252,0.281,0.338,0.084,0.183,0.436,0,0,0.242,0
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.13,0.131,0.3,0.371,0.088,0.212,0,0,0,0
"P38","No sabe",0.004,0.069,0.019,0,0.07,0,0,0,0,1
"P39","Oponerse totalmente",0.506,0.317,0.163,0.35,0.63,0.259,0.89,1,0.758,0
"P39","Oponerse parcialmente",0.067,0.115,0.068,0.12,0.085,0.078,0.11,0,0,0
"P39","Apoyar parcialmente",0.214,0.354,0.48,0.186,0.159,0.342,0,0,0.242,0
"P39","Apoyar totalmente",0.205,0.144,0.269,0.34,0.088,0.109,0,0,0,0
"P39","No sabe",0.008,0.07,0.02,0.004,0.038,0.212,0,0,0,1
"P44","Muy buena",0.121,0.043,0.005,0,0,0,0,0,0,0
"P44","Buena",0.045,0.21,0.006,0.035,0.037,0,0,0,0.824,1
"P44","Ni buena ni mala",0.182,0.361,0.678,0.053,0.05,0,0.11,1,0.054,0
"P44","Mala",0.452,0.3,0.219,0.817,0.126,0.438,0.091,0,0.122,0
"P44","Muy mala",0.2,0.082,0.088,0.095,0.787,0.163,0.799,0,0,0
"P44","No sabe",0,0.004,0.004,0,0,0.399,0,0,0,0
"P45","Peor",0.844,0.341,0.502,0.356,0.776,0.563,0.89,1,0.309,0
"P45","Igual",0.128,0.49,0.168,0.154,0.082,0.399,0,0,0.691,0
"P45","Mejor",0.003,0.09,0.251,0.069,0.028,0.038,0.11,0,0,0
"P45","No sabe",0.025,0.079,0.079,0.421,0.114,0,0,0,0,1
"P46","Peor",0.833,0.298,0.326,0.597,0.937,0.273,0.89,1,0.122,0
"P46","Igual",0.066,0.526,0.33,0.181,0.063,0.385,0.11,0,0,0
"P46","Mejor",0.073,0.101,0.229,0,0,0.342,0,0,0.878,0
"P46","No sabe",0.028,0.075,0.115,0.222,0,0,0,0,0,1
"P47","Javier Milei",0.429,0.417,0.492,0.445,0.271,0.562,0,0,0.245,0
"P47","Los gobernadores",0.539,0.421,0.337,0.503,0.608,0.23,1,1,0.755,0
"P47","No sabe",0.032,0.162,0.171,0.052,0.121,0.208,0,0,0,1
"P48","Muy buena",0.138,0.14,0.123,0.037,0,0.047,0,0,0.809,0
"P48","Buena",0.195,0.152,0.13,0.294,0.145,0.055,0.099,0,0,1
"P48","Ni buena ni mala",0.154,0.336,0.34,0.079,0.095,0.184,0.733,1,0.191,0
"P48","Mala",0.349,0.211,0.29,0.363,0.185,0.507,0.05,0,0,0
"P48","Muy mala",0.164,0.161,0.117,0.227,0.557,0,0.118,0,0,0
"P48","No sabe",0,0,0,0,0.018,0.207,0,0,0,0
"P50","Muy buena",0.242,0.161,0.097,0.127,0.228,0.136,0.099,0,0.138,0
"P50","Buena",0.304,0.129,0.194,0.179,0.194,0.103,0,1,0,1
"P50","Ni buena ni mala",0.088,0.198,0.248,0.124,0.172,0.266,0.085,0,0.245,0
"P50","Mala",0.182,0.352,0.331,0.399,0.05,0.288,0.697,0,0.617,0
"P50","Muy mala",0.181,0.16,0.13,0.157,0.337,0,0.119,0,0,0
"P50","No sabe",0.003,0,0,0.014,0.019,0.207,0,0,0,0
"P51","Muy buena",0.159,0.025,0.169,0.059,0.087,0.222,0,0,0,1
"P51","Buena",0.166,0.236,0.144,0.115,0.088,0.106,0,0,0.245,0
"P51","Ni buena ni mala",0.298,0.496,0.423,0.246,0.252,0.195,0,1,0.617,0
"P51","Mala",0.163,0.171,0.062,0.309,0.147,0.223,0.831,0,0.138,0
"P51","Muy mala",0.199,0.058,0.092,0.232,0.383,0.048,0.169,0,0,0
"P51","No sabe",0.015,0.014,0.11,0.039,0.043,0.206,0,0,0,0
"P54","Muy buena",0.273,0.189,0.164,0.202,0.136,0.18,0.188,0,0.133,0
"P54","Buena",0.106,0.035,0.089,0.104,0.084,0,0,1,0,0
"P54","Ni buena ni mala",0.089,0.088,0.085,0.085,0.302,0,0,0,0.194,0
"P54","Mala",0.167,0.417,0.232,0.276,0.121,0.04,0,0,0.053,0
"P54","Muy mala",0.353,0.271,0.385,0.333,0.357,0.564,0.812,0,0.62,1
"P54","No sabe",0.012,0,0.045,0,0,0.216,0,0,0,0
"P55","Muy buena",0.142,0.129,0.109,0.126,0.045,0.126,0,0,0,0
"P55","Buena",0.143,0.162,0.153,0.098,0.082,0.249,0,0,0.248,0
"P55","Ni buena ni mala",0.074,0.16,0.334,0.119,0.04,0.144,0,0,0,0
"P55","Mala",0.174,0.307,0.262,0.215,0.014,0.132,0.139,0,0,0
"P55","Muy mala",0.464,0.242,0.138,0.442,0.801,0.135,0.861,1,0.752,1
"P55","No sabe",0.003,0,0.004,0,0.018,0.214,0,0,0,0
"P56","Muy buena",0.166,0.156,0.055,0.06,0.042,0.055,0,1,0.133,0
"P56","Buena",0.162,0.048,0.063,0.185,0.34,0.045,0.154,0,0,0
"P56","Ni buena ni mala",0.201,0.205,0.191,0.069,0.057,0.049,0.733,0,0.195,0
"P56","Mala",0.104,0.259,0.155,0.145,0.049,0.191,0,0,0.672,0
"P56","Muy mala",0.364,0.332,0.536,0.541,0.512,0.445,0.113,0,0,1
"P56","No sabe",0.003,0,0,0,0,0.215,0,0,0,0
"P57","Muy buena",0.329,0.233,0.117,0.201,0.193,0.181,0.887,1,0.133,0
"P57","Buena",0.161,0.164,0.076,0.21,0.41,0,0,0,0,0
"P57","Ni buena ni mala",0.072,0.04,0.071,0.086,0.054,0.045,0,0,0.195,0
"P57","Mala",0.151,0.114,0.269,0.162,0.014,0.1,0,0,0.672,0
"P57","Muy mala",0.284,0.436,0.467,0.341,0.292,0.459,0.113,0,0,1
"P57","No sabe",0.003,0.013,0,0,0.037,0.215,0,0,0,0
"P58","Muy buena",0.243,0.431,0.403,0.453,0.192,0.388,0,0,0.195,0
"P58","Buena",0.114,0.091,0.127,0.215,0.083,0.131,0,0,0.053,0
"P58","Ni buena ni mala",0.066,0.056,0.113,0.047,0,0,0,0,0,0
"P58","Mala",0.155,0.134,0.12,0.08,0.039,0.132,0.035,0,0,0
"P58","Muy mala",0.419,0.288,0.233,0.205,0.649,0.135,0.965,1,0.752,1
"P58","No sabe",0.003,0,0.004,0,0.037,0.214,0,0,0,0
"P59","Muy buena",0.23,0.289,0.186,0.345,0.173,0.375,0,0,0.195,0
"P59","Buena",0.171,0.254,0.369,0.174,0.075,0.144,0,0,0.053,0
"P59","Ni buena ni mala",0.008,0.071,0.091,0.025,0,0,0,0,0,0
"P59","Mala",0.094,0.177,0.133,0.095,0.039,0.132,0.035,0,0,0
"P59","Muy mala",0.497,0.209,0.221,0.361,0.676,0.135,0.965,1,0.752,1
"P59","No sabe",0,0,0,0,0.037,0.214,0,0,0,0
"P60","Muy buena",0.296,0.403,0.43,0.406,0.217,0.388,0,0,0.053,0
"P60","Buena",0.126,0.162,0.131,0.118,0,0.059,0,0,0.195,0
"P60","Ni buena ni mala",0.054,0.156,0.19,0.026,0,0.071,0,0,0,0
"P60","Mala",0.105,0.099,0.116,0.092,0.05,0.132,0.035,0,0.619,0
"P60","Muy mala",0.408,0.18,0.129,0.353,0.697,0.135,0.965,1,0.133,0
"P60","No sabe",0.011,0,0.004,0.005,0.036,0.215,0,0,0,1
"P61","Muy buena",0.031,0.092,0.09,0.063,0.015,0,0,0,0,0
"P61","Buena",0.109,0.098,0.148,0.176,0.106,0.437,0,0,0,0
"P61","Ni buena ni mala",0.445,0.46,0.469,0.182,0.529,0.081,0.035,1,1,0
"P61","Mala",0.095,0.318,0.104,0.151,0.054,0.221,0.154,0,0,0
"P61","Muy mala",0.281,0.021,0.084,0.413,0.259,0.046,0.811,0,0,0
"P61","No sabe",0.039,0.011,0.105,0.015,0.037,0.215,0,0,0,1
