"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P20","Gobierno nacional",0.597,0.511,0.053,0.032,0
"P20","Gobierno provincial",0.327,0.295,0.752,0.914,0.549
"P20","No sabe",0.076,0.194,0.195,0.054,0.451
"P21","El anterior gobierno de Arabela Carreras",0.373,0.416,0.226,0.268,0.127
"P21","El actual gobierno de Alberto Weretilneck",0.552,0.524,0.67,0.7,0.873
"P21","No sabe",0.075,0.06,0.104,0.032,0
"P22","El anterior gobierno de Alberto Fernández",0.112,0.687,0.91,1,0
"P22","El actual gobierno de Javier Milei",0.873,0.305,0.09,0,0
"P22","No sabe",0.015,0.008,0,0,0
"P23","Empleado sector publico",0.278,0.44,0.237,0.181,0.097
"P23","Empleado sector privado",0.185,0.149,0.24,0.267,0.434
"P23","Changas o trabajos eventuales",0.225,0.075,0.231,0.176,0.076
"P23","Estudiante",0.015,0,0.011,0.119,0.113
"P23","Amas de casa",0.101,0.059,0.097,0.044,0.228
"P23","Profesional o independiente",0.108,0.128,0.076,0.131,0.052
"P23","Comerciante, emprendedor o empresario",0.023,0.054,0.068,0.038,0
"P23","Trabajador informal",0.005,0.018,0,0.012,0
"P23","No tengo trabajo",0.06,0.077,0.04,0.032,0
"P24","Muy de acuerdo",0.154,0.437,0.311,0.227,0
"P24","De acuerdo",0.275,0.164,0.164,0.038,0
"P24","Ni de acuerdo ni en desacuerdo",0.331,0.173,0.291,0.266,0.382
"P24","En desacuerdo",0.118,0.128,0.13,0.225,0.113
"P24","Muy en desacuerdo",0.098,0,0.083,0.211,0.453
"P24","No sabe",0.024,0.098,0.021,0.033,0.052
"P25","Muy de acuerdo",0.036,0.306,0.068,0.252,0.377
"P25","De acuerdo",0.025,0.11,0.173,0.343,0
"P25","Ni de acuerdo ni en desacuerdo",0.031,0.168,0.334,0.192,0.435
"P25","En desacuerdo",0.619,0.349,0.33,0.039,0.188
"P25","Muy en desacuerdo",0.284,0.067,0.095,0.174,0
"P25","No sabe",0.005,0,0,0,0
"P26","Si",0.745,0.738,0.595,0.849,0.566
"P26","No",0.255,0.262,0.405,0.151,0.434
"P27","Muy de acuerdo",0.162,0.4,0.174,0.397,0.377
"P27","De acuerdo",0.084,0.105,0.309,0.206,0.245
"P27","Ni de acuerdo ni en desacuerdo",0.111,0.27,0.241,0.225,0.318
"P27","En desacuerdo",0.4,0.186,0.177,0.158,0
"P27","Muy en desacuerdo",0.24,0.039,0.096,0.014,0.06
"P27","No sabe",0.003,0,0.003,0,0
"P28","Si",0.683,0.839,0.699,0.894,0.542
"P28","No",0.317,0.161,0.301,0.106,0.458
"P29","Muy de acuerdo",0.121,0.246,0.303,0.54,0.377
"P29","De acuerdo",0.093,0.152,0.29,0.23,0.133
"P29","Ni de acuerdo ni en desacuerdo",0.164,0.133,0.246,0.207,0.249
"P29","En desacuerdo",0.403,0.344,0.065,0.012,0
"P29","Muy en desacuerdo",0.217,0.102,0.077,0.011,0.169
"P29","No sabe",0.002,0.023,0.019,0,0.072
"P30","No estaba enterado",0.211,0.363,0.205,0.235,0.475
"P30","De acuerdo",0.08,0.296,0.601,0.696,0.453
"P30","En desacuerdo",0.611,0.268,0.114,0.042,0
"P30","No sabe",0.098,0.073,0.08,0.027,0.072
"P31","No tengo cable ni internet",0.186,0.258,0.145,0.265,0.282
"P31","Si tuve",0.623,0.435,0.67,0.541,0.585
"P31","No tuve",0.191,0.307,0.185,0.194,0.133
"P32","Reclamando directamente a la empresa",0.479,0.208,0.194,0.633,0.042
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.198,0.507,0.423,0.205,0.945
"P32","Nunca se pudo resolver",0.323,0.285,0.383,0.162,0.013
"P33","1-Excelente",0.224,0.293,0.111,0.187,0
"P33","2",0.022,0.146,0.179,0.128,0.108
"P33","3",0.027,0.025,0.037,0.006,0
"P33","4",0.044,0.044,0.021,0.171,0
"P33","5",0.21,0.222,0.16,0.087,0.172
"P33","6",0.126,0.049,0.016,0.012,0
"P33","7",0.049,0.044,0.079,0.016,0
"P33","8",0.016,0.038,0.149,0.035,0.077
"P33","9-Pésimo",0.266,0.081,0.227,0.285,0.566
"P33","No sabe",0.016,0.058,0.021,0.073,0.077
"P34","1-Excelente",0.211,0.236,0.131,0.182,0
"P34","2",0.042,0.239,0.084,0.096,0
"P34","3",0.067,0.078,0.083,0.069,0.057
"P34","4",0.093,0.119,0.028,0.145,0
"P34","5",0.095,0.122,0.138,0.095,0.113
"P34","6",0.063,0.009,0.018,0.015,0.06
"P34","7",0.022,0.009,0.125,0.034,0
"P34","8",0.057,0.035,0.104,0.02,0.076
"P34","9-Pésimo",0.329,0.095,0.267,0.271,0.618
"P34","No sabe",0.021,0.058,0.022,0.073,0.076
"P35","1-Excelente",0.22,0.329,0.14,0.207,0
"P35","2",0.029,0.185,0.072,0.036,0
"P35","3",0.105,0.024,0.043,0.017,0.109
"P35","4",0.045,0.039,0.028,0.185,0
"P35","5",0.105,0.172,0.199,0.146,0.51
"P35","6",0.063,0.08,0.022,0.035,0.06
"P35","7",0.095,0.039,0.058,0.039,0
"P35","8",0.072,0.008,0.138,0.008,0.076
"P35","9-Pésimo",0.253,0.081,0.29,0.258,0.169
"P35","No sabe",0.013,0.043,0.01,0.069,0.076
"P36","1-Excelente",0.198,0.189,0.066,0.123,0.056
"P36","2",0.028,0.151,0.148,0.055,0
"P36","3",0.098,0.217,0.04,0.03,0
"P36","4",0.062,0.065,0.021,0.156,0.059
"P36","5",0.092,0.203,0.247,0.194,0.133
"P36","6",0.044,0.029,0.033,0.052,0
"P36","7",0.135,0,0.121,0.028,0.052
"P36","8",0.046,0.015,0.054,0.06,0.455
"P36","9-Pésimo",0.266,0.09,0.236,0.228,0.168
"P36","No sabe",0.031,0.041,0.034,0.074,0.077
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.91,0.524,0.114,0,0.076
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.03,0.248,0.432,0.073,0.052
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.012,0.132,0.376,0.198,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.012,0.069,0.075,0.717,0.51
"P37","No sabe",0.036,0.027,0.003,0.012,0.362
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.843,0.398,0.007,0,0.077
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.145,0.461,0.243,0.022,0.052
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.005,0.102,0.564,0.286,0.02
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.007,0,0.186,0.692,0.113
"P38","No sabe",0,0.039,0,0,0.738
"P40","Inseguridad y narcotráfico",0.337,0.193,0.188,0.24,0.057
"P40","Altos impuestos y tarifas",0.165,0.257,0.242,0.132,0.405
"P40","Educación y estado de las escuelas",0.095,0.169,0.365,0.274,0.127
"P40","Inflación",0.182,0.267,0.127,0.313,0.022
"P40","Estado de la salud",0.125,0.072,0.042,0.031,0.084
"P40","Corrupción",0.013,0.017,0.023,0.01,0.121
"P40","Pobreza",0.047,0.025,0,0,0
"P40","Medio ambiente, incendios y contaminación",0.005,0,0,0,0
"P40","Falta de trabajo",0.031,0,0.013,0,0
"P40","No sabe",0,0,0,0,0.184
"P44","Muy buena",0.093,0,0.007,0.014,0
"P44","Buena",0.067,0.151,0.101,0.037,0.184
"P44","Ni buena ni mala",0.212,0.367,0.361,0.282,0.205
"P44","Mala",0.411,0.179,0.405,0.545,0
"P44","Muy mala",0.21,0.294,0.119,0.122,0.49
"P44","No sabe",0.007,0.009,0.007,0,0.121
"P45","Peor",0.801,0.329,0.366,0.464,0.484
"P45","Igual",0.105,0.374,0.307,0.233,0.271
"P45","Mejor",0.041,0.099,0.147,0.11,0.061
"P45","No sabe",0.053,0.198,0.18,0.193,0.184
"P46","Peor",0.851,0.535,0.34,0.392,0.119
"P46","Igual",0.063,0.347,0.383,0.272,0.554
"P46","Mejor",0.069,0,0.166,0.144,0.121
"P46","No sabe",0.017,0.118,0.111,0.192,0.206
"P47","Javier Milei",0.102,0.241,0.534,0.896,0.455
"P47","Los gobernadores",0.874,0.697,0.223,0.062,0.056
"P47","No sabe",0.024,0.062,0.243,0.042,0.489
"P48","Muy buena",0.123,0.249,0.143,0.016,0
"P48","Buena",0.341,0.109,0.061,0.08,0.181
"P48","Ni buena ni mala",0.218,0.258,0.204,0.265,0.196
"P48","Mala",0.209,0.227,0.378,0.366,0.076
"P48","Muy mala",0.109,0.137,0.214,0.273,0.435
"P48","No sabe",0,0.02,0,0,0.112
"P50","Muy buena",0.271,0.24,0.104,0.043,0
"P50","Buena",0.263,0.382,0.158,0.093,0.237
"P50","Ni buena ni mala",0.14,0.07,0.212,0.177,0.134
"P50","Mala",0.271,0.133,0.322,0.409,0
"P50","Muy mala",0.055,0.155,0.194,0.274,0.517
"P50","No sabe",0,0.02,0.01,0.004,0.112
"P51","Muy buena",0.07,0.056,0.101,0.204,0.181
"P51","Buena",0.051,0.27,0.222,0.178,0.435
"P51","Ni buena ni mala",0.308,0.333,0.472,0.31,0.082
"P51","Mala",0.317,0.167,0.083,0.085,0.056
"P51","Muy mala",0.235,0.084,0.082,0.156,0.082
"P51","No sabe",0.019,0.09,0.04,0.067,0.164
"P54","Muy buena",0.379,0.264,0.053,0,0.478
"P54","Buena",0.1,0.156,0.066,0.056,0
"P54","Ni buena ni mala",0.12,0.306,0.117,0,0
"P54","Mala",0.287,0.112,0.218,0.232,0.117
"P54","Muy mala",0.108,0.162,0.525,0.69,0.287
"P54","No sabe",0.006,0,0.021,0.022,0.118
"P55","Muy buena",0.054,0.053,0.183,0.11,0.442
"P55","Buena",0.044,0.13,0.203,0.24,0
"P55","Ni buena ni mala",0.017,0.134,0.267,0.269,0.065
"P55","Mala",0.233,0.302,0.211,0.149,0.109
"P55","Muy mala",0.652,0.359,0.133,0.229,0.265
"P55","No sabe",0,0.022,0.003,0.003,0.119
"P56","Muy buena",0.177,0.176,0.028,0,0.422
"P56","Buena",0.191,0.3,0.073,0.059,0
"P56","Ni buena ni mala",0.299,0.155,0.127,0.011,0.065
"P56","Mala",0.115,0.1,0.169,0.248,0.057
"P56","Muy mala",0.218,0.269,0.603,0.678,0.338
"P56","No sabe",0,0,0,0.004,0.118
"P57","Muy buena",0.523,0.202,0.034,0,0.057
"P57","Buena",0.271,0.399,0.049,0.056,0
"P57","Ni buena ni mala",0.108,0.158,0.043,0,0
"P57","Mala",0.055,0.037,0.288,0.256,0.065
"P57","Muy mala",0.043,0.204,0.577,0.685,0.677
"P57","No sabe",0,0,0.009,0.003,0.201
"P58","Muy buena",0.108,0.072,0.425,0.749,0.422
"P58","Buena",0.042,0.213,0.229,0.135,0.021
"P58","Ni buena ni mala",0.02,0.221,0.116,0.012,0.117
"P58","Mala",0.182,0.09,0.093,0.029,0.057
"P58","Muy mala",0.648,0.404,0.134,0.072,0.182
"P58","No sabe",0,0,0.003,0.003,0.201
"P59","Muy buena",0.048,0.092,0.43,0.452,0.021
"P59","Buena",0.023,0.158,0.319,0.427,0.422
"P59","Ni buena ni mala",0.018,0.122,0.071,0.006,0.117
"P59","Mala",0.168,0.121,0.098,0.033,0.057
"P59","Muy mala",0.743,0.507,0.082,0.082,0.182
"P59","No sabe",0,0,0,0,0.201
"P60","Muy buena",0.07,0.103,0.549,0.672,0.442
"P60","Buena",0.038,0.142,0.202,0.176,0
"P60","Ni buena ni mala",0.058,0.222,0.155,0.039,0.065
"P60","Mala",0.17,0.081,0.073,0.033,0.109
"P60","Muy mala",0.657,0.439,0.018,0.08,0
"P60","No sabe",0.007,0.013,0.003,0,0.384
"P61","Muy buena",0.012,0,0.096,0.125,0
"P61","Buena",0.059,0.154,0.169,0.22,0
"P61","Ni buena ni mala",0.309,0.589,0.571,0.353,0.065
"P61","Mala",0.211,0.115,0.068,0.092,0.531
"P61","Muy mala",0.395,0.034,0.061,0.142,0.02
"P61","No sabe",0.014,0.108,0.035,0.068,0.384
