"var","categoria","No estaba enterado","De acuerdo","En desacuerdo","No sabe"
"P29","No sabe",0.009,0.008,0.008,0.032
"P31","No tengo cable ni internet",0.44,0.176,0.211,0.185
"P31","Si tuve",0.434,0.637,0.554,0.598
"P31","No tuve",0.126,0.187,0.235,0.217
"P32","Reclamando directamente a la empresa",0.299,0.27,0.551,0.39
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.232,0.421,0.291,0.181
"P32","Nunca se pudo resolver",0.469,0.309,0.158,0.429
"P33","1-Excelente",0.162,0.135,0.257,0.183
"P33","2",0.075,0.202,0.042,0.047
"P33","3",0.024,0.029,0.034,0.04
"P33","4",0.045,0.053,0.057,0.035
"P33","5",0.105,0.15,0.252,0.183
"P33","6",0.1,0.023,0.048,0.017
"P33","7",0.048,0.025,0.065,0.041
"P33","8",0.08,0.078,0.027,0.02
"P33","9-Pésimo",0.251,0.275,0.201,0.394
"P33","No sabe",0.11,0.03,0.017,0.04
"P34","1-Excelente",0.118,0.141,0.237,0.169
"P34","2",0.104,0.124,0.066,0.01
"P34","3",0.04,0.101,0.084,0.028
"P34","4",0.069,0.083,0.075,0.056
"P34","5",0.069,0.102,0.144,0.167
"P34","6",0.041,0.024,0.044,0
"P34","7",0.048,0.026,0.062,0.028
"P34","8",0.073,0.074,0.027,0.063
"P34","9-Pésimo",0.324,0.298,0.242,0.416
"P34","No sabe",0.114,0.027,0.019,0.063
"P35","1-Excelente",0.118,0.25,0.19,0.161
"P35","2",0.103,0.078,0.049,0.031
"P35","3",0.049,0.03,0.114,0.077
"P35","4",0.08,0.046,0.054,0.026
"P35","5",0.071,0.19,0.165,0.152
"P35","6",0.051,0.016,0.062,0.105
"P35","7",0.047,0.057,0.083,0.066
"P35","8",0.124,0.018,0.07,0
"P35","9-Pésimo",0.258,0.29,0.203,0.34
"P35","No sabe",0.099,0.025,0.01,0.042
"P36","1-Excelente",0.114,0.087,0.215,0.151
"P36","2",0.037,0.139,0.034,0.041
"P36","3",0.113,0.062,0.139,0.021
"P36","4",0.075,0.033,0.077,0.057
"P36","5",0.109,0.205,0.145,0.14
"P36","6",0.041,0.043,0.026,0.053
"P36","7",0.117,0.048,0.058,0.136
"P36","8",0.048,0.1,0.085,0
"P36","9-Pésimo",0.247,0.235,0.197,0.36
"P36","No sabe",0.099,0.048,0.024,0.041
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.429,0.104,0.828,0.445
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.131,0.235,0.091,0.314
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.202,0.263,0.039,0.031
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.185,0.357,0.039,0.08
"P37","No sabe",0.053,0.041,0.003,0.13
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.358,0.062,0.72,0.478
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.153,0.141,0.198,0.319
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.208,0.415,0.042,0.105
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.232,0.341,0.04,0.066
"P38","No sabe",0.049,0.041,0,0.032
"P39","Oponerse totalmente",0.335,0.077,0.779,0.494
"P39","Oponerse parcialmente",0.135,0.066,0.08,0.086
"P39","Apoyar parcialmente",0.247,0.438,0.111,0.307
"P39","Apoyar totalmente",0.211,0.377,0.03,0.078
"P39","No sabe",0.072,0.042,0,0.035
"P40","Inseguridad y narcotráfico",0.197,0.246,0.289,0.307
"P40","Altos impuestos y tarifas",0.194,0.208,0.181,0.199
"P40","Educación y estado de las escuelas",0.319,0.216,0.132,0.257
"P40","Inflación",0.168,0.215,0.22,0.093
"P40","Estado de la salud",0.043,0.068,0.095,0.133
"P40","Corrupción",0.041,0.012,0.017,0
"P40","Pobreza",0,0.035,0.021,0
"P40","Medio ambiente, incendios y contaminación",0,0,0.006,0
"P40","Falta de trabajo",0.012,0,0.039,0.011
"P40","No sabe",0.026,0,0,0
"P44","Muy buena",0.081,0.018,0.028,0.074
"P44","Buena",0.094,0.078,0.085,0.052
"P44","Ni buena ni mala",0.325,0.227,0.357,0.156
"P44","Mala",0.35,0.447,0.372,0.469
"P44","Muy mala",0.121,0.23,0.15,0.249
"P44","No sabe",0.029,0,0.008,0
"P45","Peor",0.509,0.435,0.668,0.846
"P45","Igual",0.21,0.289,0.158,0.128
"P45","Mejor",0.145,0.096,0.067,0
"P45","No sabe",0.136,0.18,0.107,0.026
"P46","Peor",0.523,0.41,0.731,0.708
"P46","Igual",0.151,0.393,0.147,0.099
"P46","Mejor",0.117,0.094,0.105,0.171
"P46","No sabe",0.209,0.103,0.017,0.022
"P47","Javier Milei",0.385,0.704,0.119,0.234
"P47","Los gobernadores",0.444,0.212,0.805,0.605
"P47","No sabe",0.171,0.084,0.076,0.161
"P48","Muy buena",0.186,0.076,0.085,0.166
"P48","Buena",0.074,0.101,0.342,0.315
"P48","Ni buena ni mala",0.34,0.168,0.24,0.131
"P48","Mala",0.252,0.375,0.196,0.301
"P48","Muy mala",0.131,0.28,0.132,0.087
"P48","No sabe",0.017,0,0.005,0
"P50","Muy buena",0.154,0.068,0.26,0.307
"P50","Buena",0.147,0.181,0.294,0.126
"P50","Ni buena ni mala",0.221,0.099,0.199,0.18
"P50","Mala",0.369,0.347,0.177,0.3
"P50","Muy mala",0.092,0.297,0.065,0.087
"P50","No sabe",0.017,0.008,0.005,0
"P51","Muy buena",0.258,0.105,0.023,0.053
"P51","Buena",0.126,0.258,0.049,0.132
"P51","Ni buena ni mala",0.433,0.294,0.367,0.288
"P51","Mala",0.094,0.152,0.245,0.355
"P51","Muy mala",0.044,0.141,0.286,0.09
"P51","No sabe",0.045,0.05,0.03,0.082
"P54","Muy buena",0.095,0.081,0.425,0.223
"P54","Buena",0.075,0.082,0.095,0.04
"P54","Ni buena ni mala",0.107,0.036,0.176,0.109
"P54","Mala",0.43,0.118,0.213,0.388
"P54","Muy mala",0.265,0.671,0.091,0.158
"P54","No sabe",0.028,0.012,0,0.082
"P55","Muy buena",0.102,0.184,0.049,0.075
"P55","Buena",0.18,0.202,0.035,0.061
"P55","Ni buena ni mala",0.114,0.236,0.077,0.128
"P55","Mala",0.375,0.098,0.156,0.509
"P55","Muy mala",0.212,0.276,0.678,0.227
"P55","No sabe",0.017,0.004,0.005,0
"P56","Muy buena",0.126,0.078,0.141,0.028
"P56","Buena",0.045,0.069,0.252,0.204
"P56","Ni buena ni mala",0.235,0.064,0.253,0.184
"P56","Mala",0.265,0.119,0.08,0.338
"P56","Muy mala",0.311,0.668,0.274,0.246
"P56","No sabe",0.018,0.002,0,0
"P57","Muy buena",0.052,0.078,0.542,0.349
"P57","Buena",0.21,0.084,0.235,0.107
"P57","Ni buena ni mala",0.155,0.007,0.085,0.011
"P57","Mala",0.288,0.17,0.057,0.178
"P57","Muy mala",0.277,0.652,0.081,0.318
"P57","No sabe",0.018,0.009,0,0.037
"P58","Muy buena",0.359,0.558,0.083,0.282
"P58","Buena",0.082,0.191,0.094,0.033
"P58","Ni buena ni mala",0.152,0.055,0.013,0.011
"P58","Mala",0.283,0.041,0.065,0.177
"P58","Muy mala",0.106,0.144,0.745,0.497
"P58","No sabe",0.018,0.011,0,0
"P59","Muy buena",0.236,0.45,0.031,0.086
"P59","Buena",0.218,0.352,0.074,0.081
"P59","Ni buena ni mala",0.072,0.027,0.022,0.091
"P59","Mala",0.243,0.031,0.08,0.272
"P59","Muy mala",0.214,0.132,0.793,0.47
"P59","No sabe",0.017,0.008,0,0
"P60","Muy buena",0.398,0.586,0.035,0.282
"P60","Buena",0.106,0.208,0.045,0
"P60","Ni buena ni mala",0.235,0.039,0.059,0.057
"P60","Mala",0.123,0.031,0.143,0.284
"P60","Muy mala",0.081,0.126,0.715,0.377
"P60","No sabe",0.057,0.01,0.003,0
"P61","Muy buena",0.154,0.047,0.012,0.024
"P61","Buena",0.269,0.134,0.033,0.06
"P61","Ni buena ni mala",0.342,0.514,0.344,0.222
"P61","Mala",0.099,0.092,0.216,0.343
"P61","Muy mala",0.053,0.159,0.379,0.27
"P61","No sabe",0.083,0.054,0.016,0.081
