"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P19","Ni buena ni mala",0.281,0.231,0.233,0.24,0.309
"P19","Mala",0.179,0.255,0.344,0.274,0
"P19","Muy mala",0.154,0.129,0.339,0.34,0
"P19","No sabe",0.005,0,0.036,0,0.149
"P20","Gobierno nacional",0.551,0.163,0.027,0.042,0.394
"P20","Gobierno provincial",0.335,0.661,0.864,0.843,0.124
"P20","No sabe",0.114,0.176,0.109,0.115,0.482
"P21","El anterior gobierno de Arabela Carreras",0.362,0.3,0.303,0.201,0
"P21","El actual gobierno de Alberto Weretilneck",0.546,0.58,0.662,0.764,1
"P21","No sabe",0.092,0.12,0.035,0.035,0
"P22","El anterior gobierno de Alberto Fernández",0.196,0.676,0.958,0.321,0.204
"P22","El actual gobierno de Javier Milei",0.79,0.31,0.042,0.679,0.796
"P22","No sabe",0.014,0.014,0,0,0
"P23","Empleado sector publico",0.321,0.316,0.205,0.12,0.06
"P23","Empleado sector privado",0.217,0.17,0.222,0.31,0.05
"P23","Changas o trabajos eventuales",0.191,0.204,0.181,0.247,0.274
"P23","Estudiante",0.013,0.016,0,0.147,0
"P23","Amas de casa",0.093,0.155,0.07,0.009,0.226
"P23","Profesional o independiente",0.114,0.061,0.148,0.086,0.056
"P23","Comerciante, emprendedor o empresario",0.028,0.018,0.114,0.035,0
"P23","Trabajador informal",0.004,0.009,0,0.012,0
"P23","No tengo trabajo",0.019,0.051,0.06,0.034,0.334
"P24","Muy de acuerdo",0.18,0.45,0.177,0.221,0.06
"P24","De acuerdo",0.256,0.125,0.221,0.028,0
"P24","Ni de acuerdo ni en desacuerdo",0.335,0.171,0.355,0.204,0.816
"P24","En desacuerdo",0.121,0.082,0.182,0.239,0
"P24","Muy en desacuerdo",0.078,0.142,0.037,0.271,0.068
"P24","No sabe",0.03,0.03,0.028,0.037,0.056
"P25","Muy de acuerdo",0.059,0.08,0.156,0.302,0
"P25","De acuerdo",0.022,0.172,0.235,0.319,0
"P25","Ni de acuerdo ni en desacuerdo",0.045,0.326,0.326,0.204,0.269
"P25","En desacuerdo",0.649,0.239,0.228,0.046,0.337
"P25","Muy en desacuerdo",0.221,0.183,0.055,0.129,0.394
"P25","No sabe",0.004,0,0,0,0
"P26","Si",0.796,0.513,0.74,0.819,0.056
"P26","No",0.204,0.487,0.26,0.181,0.944
"P27","Muy de acuerdo",0.172,0.221,0.264,0.414,0.117
"P27","De acuerdo",0.123,0.218,0.256,0.192,0.217
"P27","Ni de acuerdo ni en desacuerdo",0.121,0.3,0.336,0.168,0.279
"P27","En desacuerdo",0.393,0.192,0.075,0.183,0
"P27","Muy en desacuerdo",0.188,0.069,0.069,0.038,0.387
"P27","No sabe",0.003,0,0,0.005,0
"P28","Si",0.738,0.637,0.81,0.88,0.117
"P28","No",0.262,0.363,0.19,0.12,0.883
"P29","Muy de acuerdo",0.152,0.43,0.213,0.524,0.061
"P29","De acuerdo",0.08,0.163,0.413,0.243,0.117
"P29","Ni de acuerdo ni en desacuerdo",0.179,0.258,0.237,0.169,0.283
"P29","En desacuerdo",0.395,0.093,0.046,0.039,0.056
"P29","Muy en desacuerdo",0.187,0.038,0.075,0.015,0.483
"P29","No sabe",0.007,0.018,0.016,0.01,0
"P30","No estaba enterado",0.24,0.175,0.288,0.215,0.312
"P30","De acuerdo",0.098,0.529,0.629,0.696,0.402
"P30","En desacuerdo",0.577,0.151,0.068,0.057,0.023
"P30","No sabe",0.085,0.145,0.015,0.032,0.263
"P31","No tengo cable ni internet",0.18,0.193,0.151,0.292,0.356
"P31","Si tuve",0.623,0.597,0.639,0.531,0.471
"P31","No tuve",0.197,0.21,0.21,0.177,0.173
"P32","Reclamando directamente a la empresa",0.479,0.269,0.158,0.551,0.062
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.232,0.574,0.292,0.35,0.165
"P32","Nunca se pudo resolver",0.289,0.157,0.55,0.099,0.773
"P33","1-Excelente",0.226,0.136,0.113,0.208,0
"P33","2",0.034,0.282,0.058,0.133,0.049
"P33","3",0.035,0.028,0.026,0,0
"P33","4",0.047,0.069,0.074,0.089,0
"P33","5",0.183,0.08,0.212,0.128,0.548
"P33","6",0.114,0.02,0.034,0.004,0.023
"P33","7",0.055,0.12,0.021,0.019,0
"P33","8",0.028,0.094,0.161,0.036,0
"P33","9-Pésimo",0.255,0.125,0.301,0.312,0.265
"P33","No sabe",0.023,0.046,0,0.071,0.115
"P34","1-Excelente",0.22,0.142,0.099,0.199,0
"P34","2",0.056,0.116,0.047,0.142,0
"P34","3",0.075,0.151,0.042,0.021,0.049
"P34","4",0.06,0.062,0.099,0.09,0.334
"P34","5",0.098,0.09,0.195,0.092,0.183
"P34","6",0.059,0.009,0.03,0.007,0.053
"P34","7",0.028,0.161,0.018,0.043,0
"P34","8",0.063,0.048,0.122,0.032,0
"P34","9-Pésimo",0.314,0.181,0.337,0.303,0.266
"P34","No sabe",0.027,0.04,0.011,0.071,0.115
"P35","1-Excelente",0.206,0.229,0.065,0.208,0.334
"P35","2",0.034,0.12,0.067,0.043,0
"P35","3",0.094,0.085,0.029,0,0.049
"P35","4",0.042,0.025,0.107,0.137,0
"P35","5",0.122,0.13,0.246,0.215,0.183
"P35","6",0.078,0.013,0.011,0.036,0.053
"P35","7",0.091,0.041,0.074,0.031,0
"P35","8",0.07,0.164,0.03,0.04,0
"P35","9-Pésimo",0.246,0.168,0.371,0.218,0.266
"P35","No sabe",0.017,0.025,0,0.072,0.115
"P36","1-Excelente",0.199,0.054,0.06,0.155,0.049
"P36","2",0.039,0.193,0.076,0.07,0
"P36","3",0.103,0.081,0.063,0.027,0
"P36","4",0.058,0.05,0.069,0.115,0.053
"P36","5",0.12,0.159,0.345,0.157,0.182
"P36","6",0.049,0.079,0.016,0.011,0
"P36","7",0.091,0.168,0.039,0.024,0.336
"P36","8",0.048,0.038,0.06,0.146,0
"P36","9-Pésimo",0.26,0.13,0.266,0.212,0.265
"P36","No sabe",0.033,0.048,0.006,0.083,0.115
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.8,0.074,0,0.026,0
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.148,0.471,0.045,0.035,0.419
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.018,0.374,0.725,0.191,0.029
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.032,0.081,0.23,0.681,0.075
"P38","No sabe",0.002,0,0,0.067,0.477
"P39","Oponerse totalmente",0.808,0.064,0.028,0.022,0.419
"P39","Oponerse parcialmente",0.109,0.126,0.07,0.03,0.073
"P39","Apoyar parcialmente",0.077,0.71,0.648,0.106,0.029
"P39","Apoyar totalmente",0,0.089,0.254,0.751,0.076
"P39","No sabe",0.006,0.011,0,0.091,0.403
"P40","Inseguridad y narcotráfico",0.325,0.229,0.19,0.203,0.03
"P40","Altos impuestos y tarifas",0.192,0.238,0.23,0.171,0
"P40","Educación y estado de las escuelas",0.095,0.342,0.366,0.262,0.13
"P40","Inflación",0.216,0.146,0.114,0.287,0.076
"P40","Estado de la salud",0.114,0.013,0.073,0.033,0.159
"P40","Corrupción",0.01,0.015,0.022,0.044,0
"P40","Pobreza",0.015,0,0,0,0.416
"P40","Medio ambiente, incendios y contaminación",0.005,0,0,0,0
"P40","Falta de trabajo",0.028,0.017,0.005,0,0
"P40","No sabe",0,0,0,0,0.189
"P44","Muy buena",0.073,0.032,0.005,0.014,0
"P44","Buena",0.112,0.086,0.02,0.051,0.189
"P44","Ni buena ni mala",0.228,0.435,0.325,0.255,0.159
"P44","Mala",0.4,0.367,0.504,0.411,0.076
"P44","Muy mala",0.179,0.08,0.135,0.249,0.576
"P44","No sabe",0.008,0,0.011,0.02,0
"P45","Peor",0.71,0.385,0.442,0.463,0.518
"P45","Igual",0.16,0.228,0.32,0.264,0.154
"P45","Mejor",0.04,0.198,0.106,0.102,0.063
"P45","No sabe",0.09,0.189,0.132,0.171,0.265
"P46","Peor",0.804,0.287,0.483,0.308,0.628
"P46","Igual",0.076,0.489,0.213,0.405,0.183
"P46","Mejor",0.056,0.2,0.198,0.083,0
"P46","No sabe",0.064,0.024,0.106,0.204,0.189
"P47","Javier Milei",0.105,0.491,0.789,0.769,0.072
"P47","Los gobernadores",0.842,0.311,0.036,0.182,0.536
"P47","No sabe",0.053,0.198,0.175,0.049,0.392
"P48","Muy buena",0.117,0.249,0.006,0.078,0
"P48","Buena",0.326,0.107,0.017,0.078,0.214
"P48","Ni buena ni mala",0.206,0.244,0.274,0.154,0.655
"P48","Mala",0.26,0.243,0.478,0.281,0
"P48","Muy mala",0.088,0.157,0.225,0.391,0.131
"P48","No sabe",0.003,0,0,0.018,0
"P50","Muy buena",0.263,0.113,0.085,0.081,0.026
"P50","Buena",0.281,0.241,0.131,0.078,0.188
"P50","Ni buena ni mala",0.145,0.204,0.204,0.145,0.118
"P50","Mala",0.261,0.236,0.37,0.338,0.451
"P50","Muy mala",0.047,0.186,0.21,0.34,0.217
"P50","No sabe",0.003,0.02,0,0.018,0
"P51","Muy buena",0.051,0.101,0.192,0.156,0.26
"P51","Buena",0.093,0.155,0.195,0.269,0.026
"P51","Ni buena ni mala",0.327,0.451,0.45,0.267,0.123
"P51","Mala",0.284,0.064,0.147,0.054,0.451
"P51","Muy mala",0.219,0.146,0.01,0.172,0.086
"P51","No sabe",0.026,0.083,0.006,0.082,0.054
"P54","Muy buena",0.358,0.072,0.014,0.15,0
"P54","Buena",0.097,0.118,0,0.094,0
"P54","Ni buena ni mala",0.157,0.052,0.141,0,0.087
"P54","Mala",0.286,0.313,0.185,0.143,0.12
"P54","Muy mala",0.102,0.392,0.634,0.594,0.793
"P54","No sabe",0,0.053,0.026,0.019,0
"P55","Muy buena",0.05,0.193,0.099,0.215,0
"P55","Buena",0.062,0.191,0.173,0.228,0.026
"P55","Ni buena ni mala",0.013,0.291,0.234,0.275,0.067
"P55","Mala",0.272,0.2,0.285,0.061,0.054
"P55","Muy mala",0.6,0.12,0.203,0.202,0.853
"P55","No sabe",0.003,0.005,0.006,0.019,0
"P56","Muy buena",0.158,0.047,0.007,0.128,0
"P56","Buena",0.225,0.112,0.01,0.057,0
"P56","Ni buena ni mala",0.256,0.106,0.149,0.011,0.518
"P56","Mala",0.109,0.265,0.185,0.169,0.026
"P56","Muy mala",0.252,0.465,0.649,0.616,0.456
"P56","No sabe",0,0.005,0,0.019,0
"P57","Muy buena",0.484,0.052,0,0,0.512
"P57","Buena",0.273,0.078,0.071,0.087,0.027
"P57","Ni buena ni mala",0.099,0.056,0.058,0.021,0
"P57","Mala",0.06,0.279,0.364,0.154,0.067
"P57","Muy mala",0.084,0.514,0.507,0.719,0.309
"P57","No sabe",0,0.021,0,0.019,0.085
"P58","Muy buena",0.128,0.458,0.497,0.617,0.13
"P58","Buena",0.047,0.11,0.317,0.171,0.026
"P58","Ni buena ni mala",0.047,0.043,0.144,0.036,0.121
"P58","Mala",0.172,0.185,0.016,0.029,0
"P58","Muy mala",0.606,0.199,0.02,0.128,0.638
"P58","No sabe",0,0.005,0.006,0.019,0.085
"P59","Muy buena",0.062,0.457,0.412,0.359,0.068
"P59","Buena",0.034,0.278,0.37,0.453,0.026
"P59","Ni buena ni mala",0.019,0.058,0.113,0.005,0.121
"P59","Mala",0.172,0.114,0.039,0.06,0
"P59","Muy mala",0.713,0.093,0.066,0.104,0.7
"P59","No sabe",0,0,0,0.019,0.085
"P60","Muy buena",0.091,0.513,0.572,0.63,0.069
"P60","Buena",0.045,0.188,0.188,0.183,0
"P60","Ni buena ni mala",0.056,0.137,0.223,0.036,0.093
"P60","Mala",0.19,0.085,0.005,0.03,0.054
"P60","Muy mala",0.618,0.054,0.006,0.102,0.512
"P60","No sabe",0,0.023,0.006,0.019,0.272
"P61","Muy buena",0.007,0.099,0.147,0.079,0
"P61","Buena",0.075,0.13,0.151,0.226,0.095
"P61","Ni buena ni mala",0.359,0.481,0.596,0.33,0.128
"P61","Mala",0.224,0.08,0.082,0.117,0.054
"P61","Muy mala",0.32,0.118,0.011,0.164,0.451
"P61","No sabe",0.015,0.092,0.013,0.084,0.272
