"var","categoria","Reclamando directamente a la empresa","Reclamando en el Enacom porque la empresa nunca lo resolvió","Nunca se pudo resolver"
"P58","Muy mala",0.397,0.323,0.288
"P58","No sabe",0,0.008,0
"P59","Muy buena",0.192,0.329,0.094
"P59","Buena",0.241,0.297,0.238
"P59","Ni buena ni mala",0.017,0.047,0.023
"P59","Mala",0.11,0.093,0.086
"P59","Muy mala",0.44,0.234,0.559
"P59","No sabe",0,0,0
"P60","Muy buena",0.355,0.522,0.115
"P60","Buena",0.069,0.072,0.258
"P60","Ni buena ni mala",0.031,0.071,0.311
"P60","Mala",0.1,0.106,0.036
"P60","Muy mala",0.443,0.21,0.28
"P60","No sabe",0.002,0.019,0
"P61","Muy buena",0.009,0.03,0.027
"P61","Buena",0.204,0.088,0.087
"P61","Ni buena ni mala",0.224,0.484,0.585
"P61","Mala",0.171,0.197,0.117
"P61","Muy mala",0.332,0.177,0.177
"P61","No sabe",0.06,0.024,0.007
