"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P32","Muy buena",0.055,0.323,0.151,0.087,0.165
"P32","Buena",0.049,0.338,0.052,0.123,0.094
"P32","Ni buena ni mala",0.133,0.275,0.18,0.206,0.348
"P32","Mala",0.203,0.043,0.403,0.252,0.161
"P32","Muy mala",0.552,0.019,0.184,0.32,0.199
"P32","No sabe",0.008,0.002,0.03,0.012,0.033
"P33","Muy buena",0.255,0.017,0.199,0.053,0.051
"P33","Buena",0.249,0.099,0.185,0.067,0.156
"P33","Ni buena ni mala",0.336,0.161,0.302,0.202,0.388
"P33","Mala",0.107,0.141,0.113,0.28,0.127
"P33","Muy mala",0.052,0.579,0.181,0.398,0.234
"P33","No sabe",0.001,0.003,0.02,0,0.044
"P34","Muy buena",0.041,0.443,0.109,0.128,0.133
"P34","Buena",0.03,0.354,0.026,0.124,0.119
"P34","Ni buena ni mala",0.095,0.07,0.207,0.246,0.281
"P34","Mala",0.22,0.007,0.302,0.248,0.149
"P34","Muy mala",0.608,0.081,0.356,0.198,0.311
"P34","No sabe",0.006,0.045,0,0.056,0.007
"P35","Muy buena",0.054,0.127,0.075,0.41,0.198
"P35","Buena",0.037,0.222,0.086,0.151,0.091
"P35","Ni buena ni mala",0.098,0.328,0.241,0.19,0.184
"P35","Mala",0.158,0.136,0.17,0.093,0.146
"P35","Muy mala",0.574,0.129,0.428,0.139,0.261
"P35","No sabe",0.079,0.058,0,0.017,0.12
