"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P16","El tránsito",0.049,0.077,0.005,0,0.01
"P16","El arreglo de las calles",0.255,0.11,0.229,0.027,0.189
"P16","El estado de las escuelas y la educación",0.044,0.05,0.061,0.128,0.009
"P16","El sistema de salud",0.14,0.105,0.097,0.071,0.136
"P16","El deporte y la cultura",0.04,0.001,0.004,0,0.019
"P16","La obra pública",0.038,0.017,0.004,0,0.018
"P16","La luminaria",0.022,0.041,0.026,0.013,0.009
"P16","No sabe",0.071,0.094,0.037,0.184,0.125
"P17","Agua corriente y cloacas",0.487,0.573,0.445,0.57,0.574
"P17","Energía eléctrica",0.116,0.105,0.112,0.062,0.057
"P17","Red de gas natural",0.141,0.096,0.104,0.024,0.136
"P17","Recolección de residuos",0.106,0.146,0.273,0.155,0.128
"P17","Ninguno",0.15,0.08,0.066,0.189,0.105
"P18","Los robos",0.569,0.462,0.49,0.346,0.566
"P18","El narcotráfico",0.154,0.144,0.116,0.246,0.104
"P18","La ausencia de patrulleros y personal policial",0.179,0.247,0.224,0.136,0.239
"P18","Otro",0.079,0.114,0.132,0.111,0.065
"P18","Ninguno",0.019,0.033,0.038,0.161,0.026
"P19","Muy buena",0.141,0.037,0.036,0.188,0.057
"P19","Buena",0.201,0.091,0.018,0.082,0.061
"P19","Ni buena ni mala",0.336,0.393,0.323,0.28,0.457
"P19","Mala",0.183,0.212,0.25,0.174,0.223
"P19","Muy mala",0.087,0.217,0.242,0.239,0.087
"P19","No sabe",0.052,0.05,0.131,0.037,0.115
"P20","Muy buena",0.131,0.03,0.004,0.034,0.025
"P20","Buena",0.248,0.066,0.063,0.081,0.049
"P20","Ni buena ni mala",0.349,0.331,0.346,0.316,0.606
"P20","Mala",0.119,0.293,0.318,0.202,0.149
"P20","Muy mala",0.098,0.253,0.21,0.193,0.098
"P20","No sabe",0.055,0.027,0.059,0.174,0.073
"P21","Al candidato del Frente de Todos",0.698,0.09,0.045,0.034,0.069
"P21","Al candidato de Juntos por el Cambio",0.099,0.777,0.119,0.007,0.124
"P21","Al candidato de la Izquierda",0.063,0.006,0.118,0.265,0.069
"P21","A otro candidato",0.06,0.005,0.572,0.533,0.178
"P21","No sabe",0.08,0.122,0.146,0.161,0.56
"P22","A Gustavo Menéndez",0.436,0.888,0.678,0.667,0.176
"P22","A Karina Menéndez",0.242,0.062,0.027,0,0.18
"P22","A Florencia Lizaraso",0.157,0.026,0.052,0,0
"P22","A Raúl Otahacé",0.066,0.012,0.243,0.333,0
"P22","No sabe",0.099,0.012,0,0,0.644
"P29","Muy buena",0.254,0.014,0.05,0.224,0.059
"P29","Buena",0.299,0.071,0.008,0.028,0.138
"P29","Ni buena ni mala",0.31,0.055,0.069,0.084,0.309
"P29","Mala",0.107,0.138,0.145,0.183,0.141
"P29","Muy mala",0.03,0.716,0.726,0.474,0.316
"P29","No sabe",0,0.006,0.002,0.007,0.037
"P30","Muy buena",0.04,0.308,0.165,0.178,0.045
"P30","Buena",0.014,0.217,0.158,0.18,0.113
"P30","Ni buena ni mala",0.038,0.26,0.235,0.052,0.285
"P30","Mala",0.296,0.073,0.261,0.365,0.181
"P30","Muy mala",0.585,0.104,0.176,0.225,0.337
"P30","No sabe",0.027,0.038,0.005,0,0.039
"P31","Muy buena",0.692,0.037,0.042,0.067,0.11
"P31","Buena",0.156,0.041,0.003,0.178,0.091
"P31","Ni buena ni mala",0.088,0.054,0.045,0.043,0.337
"P31","Mala",0.032,0.049,0.192,0.339,0.091
"P31","Muy mala",0.024,0.816,0.718,0.373,0.316
"P31","No sabe",0.008,0.003,0,0,0.055
"P32","Muy buena",0.042,0.382,0.143,0.249,0.098
"P32","Buena",0.052,0.3,0.161,0.233,0.11
"P32","Ni buena ni mala",0.135,0.226,0.3,0.034,0.437
"P32","Mala",0.268,0.049,0.149,0.11,0.171
"P32","Muy mala",0.486,0.038,0.247,0.328,0.164
"P32","No sabe",0.017,0.005,0,0.046,0.02
"P33","Muy buena",0.234,0.01,0.063,0.027,0.065
"P33","Buena",0.276,0.081,0.051,0.104,0.086
"P33","Ni buena ni mala",0.331,0.173,0.171,0.153,0.423
"P33","Mala",0.107,0.158,0.211,0.243,0.151
"P33","Muy mala",0.043,0.576,0.504,0.473,0.233
"P33","No sabe",0.009,0.002,0,0,0.042
"P34","Muy buena",0.022,0.416,0.259,0.197,0.165
"P34","Buena",0.061,0.316,0.157,0.172,0.091
"P34","Ni buena ni mala",0.084,0.108,0.295,0.096,0.299
"P34","Mala",0.238,0.033,0.141,0.163,0.174
"P34","Muy mala",0.583,0.088,0.096,0.372,0.256
"P34","No sabe",0.012,0.039,0.052,0,0.015
"P35","Muy buena",0.048,0.086,0.556,0.546,0.074
"P35","Buena",0.018,0.242,0.206,0.122,0.1
"P35","Ni buena ni mala",0.134,0.31,0.132,0.069,0.298
"P35","Mala",0.137,0.163,0.041,0.073,0.228
"P35","Muy mala",0.582,0.146,0.056,0.19,0.18
"P35","No sabe",0.081,0.053,0.009,0,0.12
