"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.02,0.023,0.002,0.01,0.834,0
"PRESIDENTE_imputada","En blanco",0,0,0.007,0.01,0,0.746
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.863,0.068,0.116,0.105,0.022,0.264
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.082,0.794,0.076,0.01,0.021,0.059
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.043,0.134,0.781,0,0.09,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.003,0.001,0.016,0.885,0,0
"GOBERNADOR_imputada","En blanco",0.009,0.003,0.011,0,0.867,0.677
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.835,0.08,0.133,0.286,0.049,0.138
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.081,0.843,0.139,0.01,0.084,0.051
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.044,0.062,0.717,0.01,0.029,0.059
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.036,0.011,0.005,0.694,0,0
"INTENDENTE_imputada","En blanco",0.004,0.004,0.006,0,0.838,0.752
