"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"PRESIDENTE_imputada","En blanco",0.021,0,0,0.014,0
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"GOBERNADOR_imputada","En blanco",0,0,0,0,1
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.583,0.154,0.149,0.601,0.657
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.213,0.689,0.498,0.068,0.289
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.044,0.112,0.353,0,0
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.126,0.031,0,0.331,0
"INTENDENTE_imputada","En blanco",0.034,0.014,0,0,0.054
