"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P34","No, en absoluto",0.085,0.354,0.197,0.284,0.015,0.304
"P35","Reducir la inflación",0.444,0.399,0.392,0.627,0.262,0.491
"P35","Implementar reformas fiscales",0.128,0.041,0.147,0.302,0.048,0.074
"P35","Establecer políticas de control de precios",0.265,0.049,0.138,0.016,0.066,0.276
"P35","Reducir el gasto público",0.104,0.455,0.308,0.041,0.435,0.159
"P35","Estimular la inversión extranjera",0.03,0.052,0.01,0,0.189,0
"P35","Aumentar los subsidios a los servicios públicos",0.029,0.004,0.005,0.014,0,0
"P36","Muy positiva",0.376,0.109,0.265,0.139,0.018,0.153
"P36","Positiva",0.239,0.114,0.196,0.186,0.015,0
"P36","Neutral",0.166,0.379,0.267,0.138,0.084,0.279
"P36","Algo negativa",0.057,0.132,0.111,0.017,0.307,0.312
"P36","Negativa",0.041,0.14,0.045,0.305,0.275,0.256
"P36","No sabe",0.121,0.126,0.116,0.215,0.301,0
"P37","Muy positiva",0.614,0.136,0.384,0.547,0.099,0.384
"P37","Positiva",0.175,0.193,0.202,0.055,0.515,0.348
"P37","Neutral",0.119,0.342,0.193,0.03,0.015,0.268
"P37","Algo negativa",0.038,0.164,0.084,0.349,0,0
"P37","Negativa",0.032,0.114,0.091,0.019,0.104,0
"P37","No sabe",0.022,0.051,0.046,0,0.267,0
"P38","Muy positiva",0.442,0.097,0.208,0.063,0,0.156
"P38","Positiva",0.26,0.087,0.207,0.309,0.156,0.289
"P38","Neutral",0.187,0.388,0.257,0.076,0.498,0.294
"P38","Algo negativa",0.024,0.097,0.105,0.227,0.079,0
"P38","Negativa",0.045,0.257,0.119,0.055,0.267,0.193
"P38","No sabe",0.042,0.074,0.104,0.27,0,0.068
"P39","Muy positiva",0.548,0.324,0.449,0.235,0.072,0.571
"P39","Positiva",0.215,0.134,0.239,0.285,0.245,0.361
"P39","Neutral",0.147,0.243,0.138,0.368,0.375,0
"P39","Algo negativa",0.037,0.178,0.074,0.018,0.022,0
"P39","Negativa",0.03,0.104,0.071,0.019,0.286,0
"P39","No sabe",0.023,0.017,0.029,0.075,0,0.068
"P40","Muy positiva",0.515,0.172,0.394,0.309,0,0.135
"P40","Positiva",0.182,0.244,0.217,0.031,0.233,0.459
"P40","Neutral",0.171,0.249,0.221,0.082,0.56,0.214
"P40","Algo negativa",0.034,0.196,0.044,0.354,0,0
"P40","Negativa",0.028,0.096,0.038,0.146,0.187,0.192
"P40","No sabe",0.07,0.043,0.086,0.078,0.02,0
"P41","Lo votaría",0.736,0.074,0.338,0.262,0.49,0.283
"P41","Puede que lo vote",0.061,0.044,0.099,0.337,0,0.152
"P41","Nunca lo votaría",0.18,0.851,0.533,0.303,0.467,0.565
"P41","No sabe",0.023,0.031,0.03,0.098,0.043,0
"P42","Lo votaría",0.188,0.63,0.155,0,0.396,0.239
"P42","Puede que lo vote",0.056,0.129,0.205,0.406,0.087,0
"P42","Nunca lo votaría",0.743,0.214,0.595,0.473,0.273,0.761
"P42","No sabe",0.013,0.027,0.045,0.121,0.244,0
"P43","Lo votaría",0.07,0.242,0.444,0.287,0.052,0.239
"P43","Puede que lo vote",0.044,0.216,0.136,0.049,0.205,0
"P43","Nunca lo votaría",0.879,0.494,0.408,0.664,0.498,0.761
"P43","No sabe",0.007,0.048,0.012,0,0.245,0
"P44","Si",0.425,0.381,0.471,0.076,0.057,0.146
"P44","No",0.575,0.619,0.529,0.924,0.943,0.854
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.881,0.106,0.03,0.009,0.283,0.02
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.026,0.816,0.126,0,0.215,0
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.09,0.057,0.829,0.141,0.021,0.211
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.008,0.014,0.85,0.012,0.038
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.007,0.001,0,0.469,0
"P13_imputada","En blanco",0.002,0.006,0,0,0,0.731
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
"P17_imputada","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0
"P17_imputada","En blanco",0,0,0,0,0,1
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.614,0.077,0.152,0.518,0.841,0.91
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.075,0.714,0.279,0.041,0.105,0
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.247,0.193,0.474,0,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.016,0.012,0.061,0.441,0.054,0.09
"P20_imputada","En blanco",0.048,0.004,0.034,0,0,0
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.544,0.167,0.227,0.621,0.108,0.774
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.152,0.686,0.524,0.33,0.469,0.135
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.143,0.098,0.207,0,0.326,0
"P23_imputada","El candidato del Frente de Izquierda",0.127,0.033,0.038,0.049,0.097,0.091
"P23_imputada","En blanco",0.034,0.016,0.004,0,0,0
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.89,0.033,0.051,0.217,0.446,0.355
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.024,0.883,0.092,0.021,0.047,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.068,0.076,0.828,0,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.004,0.006,0.02,0.762,0.027,0.037
"GOBERNADOR_imputada","En blanco",0.014,0.002,0.009,0,0.48,0.608
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.873,0.073,0.073,0.306,0.05,0.305
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.045,0.864,0.165,0.135,0.244,0.049
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.037,0.046,0.748,0,0.177,0
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.037,0.011,0.013,0.559,0.048,0.037
"INTENDENTE_imputada","En blanco",0.008,0.006,0.001,0,0.481,0.609
