"var","categoria","Fernando Moreira a intendente por Unión por la Patria.","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco","No sabe"
"P39","Positiva",0.241,0.146,0.239,0.127,0.344,0.035
"P39","Neutral",0.156,0.239,0.141,0.274,0.092,0.212
"P39","Algo negativa",0.027,0.164,0.089,0.107,0,0.074
"P39","Negativa",0.025,0.118,0.07,0.007,0.278,0.026
"P39","No sabe",0.023,0.018,0.031,0.056,0.017,0.011
"P40","Muy positiva",0.531,0.177,0.408,0.125,0.232,0.218
"P40","Positiva",0.179,0.261,0.222,0.036,0.247,0.154
"P40","Neutral",0.182,0.265,0.239,0.075,0.323,0.078
"P40","Algo negativa",0.021,0.162,0.055,0.591,0,0
"P40","Negativa",0.028,0.071,0.038,0.115,0.198,0.206
"P40","No sabe",0.059,0.064,0.038,0.058,0,0.344
"P41","Lo votaría",0.723,0.063,0.41,0.34,0.416,0.259
"P41","Puede que lo vote",0.057,0.052,0.088,0.285,0.022,0.139
"P41","Nunca lo votaría",0.199,0.865,0.498,0.31,0.562,0.291
"P41","No sabe",0.021,0.02,0.004,0.065,0,0.311
"P42","Lo votaría",0.221,0.58,0.158,0.016,0.237,0.059
"P42","Puede que lo vote",0.088,0.153,0.17,0.148,0.102,0.04
"P42","Nunca lo votaría",0.675,0.245,0.65,0.753,0.46,0.63
"P42","No sabe",0.016,0.022,0.022,0.083,0.201,0.271
"P43","Lo votaría",0.094,0.314,0.365,0.204,0.107,0.249
"P43","Puede que lo vote",0.044,0.211,0.14,0.016,0.297,0.029
"P43","Nunca lo votaría",0.854,0.438,0.483,0.78,0.344,0.661
"P43","No sabe",0.008,0.037,0.012,0,0.252,0.061
"P44","Si",0.432,0.4,0.459,0.204,0.197,0.188
"P44","No",0.568,0.6,0.541,0.796,0.803,0.812
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.868,0.057,0.032,0.36,0.133,0.247
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.047,0.75,0.049,0.068,0.069,0.048
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.052,0.169,0.898,0.092,0.014,0.09
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.026,0.014,0,0.44,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.004,0.005,0.021,0.032,0.55,0.083
"PRESIDENTE","En blanco",0.002,0.002,0,0.008,0.234,0.033
"PRESIDENTE","No sabe",0.001,0.003,0,0,0,0.499
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.871,0.064,0.023,0.368,0.144,0.159
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.045,0.756,0.061,0.067,0.054,0.008
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.035,0.145,0.913,0,0,0.216
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.026,0.001,0,0.565,0,0
"GOBERNADOR","En blanco",0.013,0.009,0,0,0.802,0
"GOBERNADOR","No sabe",0.01,0.025,0.003,0,0,0.617
"CORTA_PRESIDENTE","Si",0.125,0.249,0.101,0.166,0.11,0.295
"CORTA_PRESIDENTE","No",0.875,0.751,0.899,0.834,0.89,0.705
"CORTA_GOBERNADOR","Si",0.167,0.283,0.069,0.041,0.107,0.301
"CORTA_GOBERNADOR","No",0.833,0.717,0.931,0.959,0.893,0.699
"CORTA_INTENDENTE","Si",0.175,0.255,0.121,0.454,0.184,0.441
"CORTA_INTENDENTE","No",0.825,0.745,0.879,0.546,0.816,0.559
