"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P35","Reducir la inflación",0.359,0.499,0.479,0.829,0.05,0.578,0.289
"P35","Implementar reformas fiscales",0.06,0.063,0.091,0.13,0,0,0.327
"P35","Establecer políticas de control de precios",0.422,0.045,0.128,0.041,0.173,0.178,0.126
"P35","Reducir el gasto público",0.116,0.362,0.275,0,0.777,0.244,0.129
"P35","Estimular la inversión extranjera",0.043,0.031,0.015,0,0,0,0
"P35","Aumentar los subsidios a los servicios públicos",0,0,0.012,0,0,0,0.129
"P36","Muy positiva",0.41,0.069,0.227,0,0,0,0.121
"P36","Positiva",0.209,0.223,0.187,0.083,0.02,0,0
"P36","Neutral",0.232,0.331,0.338,0.033,0.186,0.195,0.527
"P36","Algo negativa",0.063,0.147,0.071,0.039,0.771,0.299,0
"P36","Negativa",0.029,0.066,0.013,0,0.023,0.506,0.075
"P36","No sabe",0.057,0.164,0.164,0.845,0,0,0.277
"P37","Muy positiva",0.573,0.1,0.229,0.946,0.111,0,0.046
"P37","Positiva",0.185,0.261,0.137,0.017,0.848,0.191,0.645
"P37","Neutral",0.174,0.301,0.307,0,0.019,0.809,0.162
"P37","Algo negativa",0.012,0.167,0.121,0,0,0,0
"P37","Negativa",0,0.126,0.136,0.037,0.022,0,0
"P37","No sabe",0.056,0.045,0.07,0,0,0,0.147
"P38","Muy positiva",0.503,0.076,0.182,0.077,0,0,0.147
"P38","Positiva",0.208,0.081,0.036,0.042,0.185,0.185,0.543
"P38","Neutral",0.166,0.323,0.338,0,0.815,0.288,0.155
"P38","Algo negativa",0.027,0.152,0.179,0,0,0,0
"P38","Negativa",0.056,0.237,0.057,0,0,0.527,0.075
"P38","No sabe",0.04,0.131,0.208,0.881,0,0,0.08
"P39","Muy positiva",0.618,0.197,0.462,0.122,0.15,0.52,0.079
"P39","Positiva",0.114,0.15,0.175,0.839,0.022,0.48,0.334
"P39","Neutral",0.128,0.211,0.218,0,0.788,0,0.281
"P39","Algo negativa",0.033,0.336,0.022,0,0.04,0,0.079
"P39","Negativa",0.055,0.087,0.111,0.039,0,0,0.148
"P39","No sabe",0.052,0.019,0.012,0,0,0,0.079
"P40","Muy positiva",0.51,0.155,0.216,0.917,0,0.188,0.205
"P40","Positiva",0.145,0.172,0.223,0.043,0.193,0.288,0.195
"P40","Neutral",0.136,0.223,0.262,0.04,0.807,0,0.282
"P40","Algo negativa",0.1,0.321,0.004,0,0,0,0
"P40","Negativa",0.059,0.091,0.095,0,0,0.524,0.149
"P40","No sabe",0.05,0.038,0.2,0,0,0,0.169
"P41","Lo votaría",0.676,0.05,0.118,0.863,0.904,0,0.2
"P41","Puede que lo vote",0.092,0.046,0.056,0.043,0,0.188,0.15
"P41","Nunca lo votaría",0.205,0.82,0.725,0.075,0.055,0.812,0.282
"P41","No sabe",0.027,0.084,0.101,0.019,0.041,0,0.368
"P42","Lo votaría",0.103,0.652,0.253,0,0.816,0,0.149
"P42","Puede que lo vote",0.064,0.198,0.291,0.876,0,0,0.2
"P42","Nunca lo votaría",0.826,0.13,0.355,0.124,0.143,1,0.403
"P42","No sabe",0.007,0.02,0.101,0,0.041,0,0.248
"P43","Lo votaría",0.112,0.09,0.706,0,0,0,0
"P43","Puede que lo vote",0.05,0.364,0.182,0.04,0,0,0.077
"P43","Nunca lo votaría",0.838,0.516,0.096,0.96,0.958,1,0.674
"P43","No sabe",0,0.03,0.016,0,0.042,0,0.249
"P44","Si",0.452,0.439,0.395,0.056,0,0.476,0.48
"P44","No",0.548,0.561,0.605,0.944,1,0.524,0.52
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0,0
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0,0
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0,0
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0,0
"PRESIDENTE","En blanco",0,0,0,0,0,1,0
"PRESIDENTE","No sabe",0,0,0,0,0,0,1
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.61,0.071,0.151,0.53,0.534,0.781,0.056
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.06,0.66,0.283,0.019,0.071,0,0
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.226,0.183,0.476,0,0,0,0
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.016,0.005,0.059,0.451,0.056,0.09,0
"GOBERNADOR","En blanco",0.049,0.005,0.027,0,0,0,0
"GOBERNADOR","No sabe",0.039,0.076,0.004,0,0.339,0.129,0.944
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.49,0.166,0.221,0.636,0.112,0.331,0.042
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.131,0.664,0.522,0.314,0.112,0.135,0.156
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.078,0.095,0.159,0,0.338,0,0
"INTENDENTE","El candidato del Frente de Izquierda",0.128,0.032,0.039,0.05,0.1,0.091,0
"INTENDENTE","En blanco",0.034,0.017,0.004,0,0,0,0
"INTENDENTE","No sabe",0.139,0.026,0.055,0,0.338,0.443,0.802
"CORTA_PRESIDENTE","Si",0.461,0.393,0.555,0.335,0.976,0.597,0.09
"CORTA_PRESIDENTE","No",0.539,0.607,0.445,0.665,0.024,0.403,0.91
"CORTA_GOBERNADOR","Si",0.55,0.619,0.543,0.553,0.133,0.915,0.222
"CORTA_GOBERNADOR","No",0.45,0.381,0.457,0.447,0.867,0.085,0.778
"CORTA_INTENDENTE","Si",0.639,0.558,0.624,0.929,0.558,0.915,0.662
"CORTA_INTENDENTE","No",0.361,0.442,0.376,0.071,0.442,0.085,0.338
