"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P27","Para nada seguro",0.051,0.031,0.029,0,0.183
"P28","Tiene Decidido que va a ir a votar.",0.926,0.92,0.906,0.815,0.761
"P28","Tiene dudas sobre si va a ir a  votar",0.064,0.058,0.043,0.145,0.198
"P28","Tiene Decidido que no va a ir a votar",0.01,0.022,0.051,0.04,0.041
"P29","No estaba enterado del tema",0.174,0.132,0.203,0.308,0.041
"P29","Un tema de la vida privada de él",0.15,0.041,0.123,0.177,0.107
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.448,0.178,0.336,0.298,0.309
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.127,0.256,0.145,0.036,0.474
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.07,0.388,0.187,0.162,0.048
"P29","No sabe",0.031,0.005,0.006,0.019,0.021
"P30","Si",0.72,0.832,0.756,0.936,0.569
"P30","No",0.28,0.168,0.244,0.064,0.431
"P31","Sergio Massa",0.694,0.124,0.465,0.187,0.269
"P31","Patria Bullrich",0.159,0.486,0.145,0.025,0.197
"P31","Javier Milei",0.046,0.249,0.262,0.254,0.1
"P31","Myriam Bregman",0.087,0.031,0.076,0.344,0.08
"P31","Juan Schiaretti",0.014,0.11,0.052,0.19,0.354
"P32","Ha aumentado significativamente",0.196,0.036,0.098,0,0.299
"P32","Ha aumentado ligeramente",0.175,0.141,0.256,0.246,0.029
"P32","Se mantiene igual",0.314,0.203,0.251,0.323,0.271
"P32","Ha disminuido ligeramente",0.156,0.29,0.12,0.011,0.29
"P32","Ha disminuido significativamente",0.159,0.33,0.275,0.42,0.111
"P33","No, ninguna dificultad",0.444,0.175,0.274,0.349,0.399
"P33","Alguna dificultad ocasional",0.319,0.289,0.314,0.318,0.265
"P33","Sí, dificultades frecuentes",0.237,0.536,0.412,0.333,0.336
"P34","Sí, absolutamente",0.628,0.306,0.457,0.601,0.62
"P34","Sí, en cierta medida",0.295,0.363,0.317,0.198,0.296
"P34","No, en absoluto",0.077,0.331,0.226,0.201,0.084
"P35","Reducir la inflación",0.462,0.376,0.384,0.62,0.284
"P35","Implementar reformas fiscales",0.131,0.027,0.169,0.215,0.058
"P35","Establecer políticas de control de precios",0.236,0.094,0.13,0.024,0.238
"P35","Reducir el gasto público",0.112,0.457,0.297,0.116,0.24
"P35","Estimular la inversión extranjera",0.028,0.046,0.014,0.014,0.18
"P35","Aumentar los subsidios a los servicios públicos",0.031,0,0.006,0.011,0
"P36","Muy positiva",0.388,0.098,0.28,0.124,0.032
"P36","Positiva",0.23,0.141,0.187,0.152,0.035
"P36","Neutral",0.148,0.4,0.257,0.177,0.117
"P36","Algo negativa",0.069,0.119,0.113,0.14,0.135
"P36","Negativa",0.042,0.127,0.047,0.248,0.309
"P36","No sabe",0.123,0.115,0.116,0.159,0.372
"P37","Muy positiva",0.596,0.142,0.413,0.514,0.264
"P37","Positiva",0.213,0.191,0.18,0.067,0.281
"P37","Neutral",0.1,0.349,0.202,0.009,0.044
"P37","Algo negativa",0.038,0.175,0.062,0.295,0.015
"P37","Negativa",0.039,0.099,0.097,0.017,0.08
"P37","No sabe",0.014,0.044,0.046,0.098,0.316
"P38","Muy positiva",0.447,0.094,0.204,0.06,0.113
"P38","Positiva",0.263,0.082,0.221,0.328,0.135
"P38","Neutral",0.185,0.404,0.253,0.049,0.335
"P38","Algo negativa",0.022,0.123,0.075,0.196,0.124
"P38","Negativa",0.046,0.228,0.137,0.055,0.277
"P38","No sabe",0.037,0.069,0.11,0.312,0.016
"P39","Muy positiva",0.557,0.323,0.44,0.335,0.14
"P39","Positiva",0.224,0.155,0.212,0.276,0.279
"P39","Neutral",0.143,0.259,0.128,0.316,0.241
"P39","Algo negativa",0.031,0.153,0.099,0,0.04
"P39","Negativa",0.031,0.088,0.085,0.008,0.283
"P39","No sabe",0.014,0.022,0.036,0.065,0.017
"P40","Muy positiva",0.52,0.161,0.414,0.285,0.044
"P40","Positiva",0.183,0.275,0.182,0.075,0.27
"P40","Neutral",0.167,0.272,0.216,0.04,0.442
"P40","Algo negativa",0.034,0.179,0.047,0.305,0
"P40","Negativa",0.031,0.072,0.053,0.134,0.227
"P40","No sabe",0.065,0.041,0.088,0.161,0.017
"P41","Lo votaría",0.777,0.044,0.362,0.226,0.338
"P41","Puede que lo vote",0.053,0.034,0.11,0.352,0.114
"P41","Nunca lo votaría",0.152,0.883,0.498,0.347,0.521
"P41","No sabe",0.018,0.039,0.03,0.075,0.027
"P42","Lo votaría",0.234,0.587,0.122,0.019,0.161
"P42","Puede que lo vote",0.054,0.168,0.172,0.293,0.104
"P42","Nunca lo votaría",0.7,0.218,0.659,0.588,0.469
"P42","No sabe",0.012,0.027,0.047,0.1,0.266
"P43","Lo votaría",0.067,0.291,0.394,0.371,0.109
"P43","Puede que lo vote",0.055,0.186,0.136,0,0.296
"P43","Nunca lo votaría",0.868,0.477,0.46,0.629,0.372
"P43","No sabe",0.01,0.046,0.01,0,0.223
"P44","Si",0.444,0.332,0.478,0.263,0.128
"P44","No",0.556,0.668,0.522,0.737,0.872
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.854,0.121,0.059,0.035,0.128
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.045,0.791,0.126,0.007,0.026
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.086,0.084,0.81,0.14,0.123
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.001,0,0.818,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.001,0.005,0,0.501
"P13_imputada","En blanco",0.006,0.002,0,0,0.222
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.603,0.073,0.298,0.102,0.602
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.076,0.687,0.232,0.079,0.053
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.123,0.222,0.47,0.331,0.345
"P17_imputada","Los candidatos a presidente de la Izquierda",0.075,0.006,0,0.431,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.102,0.012,0,0.043,0
"P17_imputada","En blanco",0.021,0,0,0.014,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"P20_imputada","En blanco",0,0,0,0,1
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.583,0.154,0.149,0.601,0.657
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.213,0.689,0.498,0.068,0.289
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.044,0.112,0.353,0,0
"P23_imputada","El candidato del Frente de Izquierda",0.126,0.031,0,0.331,0
"P23_imputada","En blanco",0.034,0.014,0,0,0.054
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.885,0.035,0.095,0.049,0.201
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.022,0.858,0.069,0.045,0.017
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.037,0.099,0.836,0.17,0.091
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.017,0.003,0,0.705,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.031,0.005,0,0.021,0.484
"PRESIDENTE_imputada","En blanco",0.008,0,0,0.01,0.207
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.878,0.072,0.052,0.297,0.19
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.062,0.857,0.149,0.039,0.103
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.013,0.055,0.799,0,0
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.038,0.011,0,0.664,0
"INTENDENTE_imputada","En blanco",0.009,0.005,0,0,0.707
