"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P27","Totalmente seguro.",0.711,0.697,0.63,0.447,0.331,0.654
"P27","Bastante seguro",0.154,0.158,0.262,0.016,0.589,0
"P27","Algo seguro",0.101,0.133,0.063,0.504,0,0.346
"P27","Para nada seguro",0.034,0.012,0.045,0.033,0.08,0
"P28","Tiene Decidido que va a ir a votar.",0.957,0.907,0.935,0.58,0.95,0.643
"P28","Tiene dudas sobre si va a ir a  votar",0.041,0.012,0.065,0.42,0.05,0.357
"P28","Tiene Decidido que no va a ir a votar",0.002,0.081,0,0,0,0
"P29","No estaba enterado del tema",0.27,0.103,0.313,0.018,0.552,0
"P29","Un tema de la vida privada de él",0.26,0.014,0.046,0.551,0.046,0
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.335,0.246,0.199,0.338,0.153,0.504
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.086,0.312,0.206,0.032,0.025,0
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.034,0.319,0.229,0.061,0.224,0.496
"P29","No sabe",0.015,0.006,0.007,0,0,0
"P30","Si",0.743,0.831,0.894,0.758,0.418,0.17
"P30","No",0.257,0.169,0.106,0.242,0.582,0.83
"P31","Sergio Massa",0.732,0.152,0.233,0.055,0.749,0
"P31","Patria Bullrich",0.068,0.61,0.242,0.087,0.079,0.252
"P31","Javier Milei",0.064,0.015,0.447,0,0.099,0.576
"P31","Myriam Bregman",0.094,0.037,0.043,0.858,0.043,0.172
"P31","Juan Schiaretti",0.042,0.186,0.035,0,0.03,0
"P32","Ha aumentado significativamente",0.19,0.015,0.08,0,0.68,0
"P32","Ha aumentado ligeramente",0.139,0.136,0.093,0.156,0.063,0
"P32","Se mantiene igual",0.337,0.221,0.205,0.055,0.153,0.729
"P32","Ha disminuido ligeramente",0.121,0.286,0.262,0,0.048,0
"P32","Ha disminuido significativamente",0.213,0.342,0.36,0.789,0.056,0.271
"P33","No, ninguna dificultad",0.547,0.091,0.178,0.08,0.756,0.58
"P33","Alguna dificultad ocasional",0.234,0.3,0.335,0.112,0.221,0
"P33","Sí, dificultades frecuentes",0.219,0.609,0.487,0.808,0.023,0.42
"P34","Sí, absolutamente",0.671,0.246,0.268,0.81,0.901,0.76
"P34","Sí, en cierta medida",0.186,0.42,0.625,0.118,0.066,0
"P34","No, en absoluto",0.143,0.334,0.107,0.072,0.033,0.24
"P35","Reducir la inflación",0.359,0.49,0.481,0.799,0.078,0.578
"P35","Implementar reformas fiscales",0.063,0.069,0.089,0.161,0,0
"P35","Establecer políticas de control de precios",0.42,0.044,0.131,0.04,0.168,0.178
"P35","Reducir el gasto público",0.115,0.361,0.272,0,0.754,0.244
"P35","Estimular la inversión extranjera",0.043,0.031,0.015,0,0,0
"P35","Aumentar los subsidios a los servicios públicos",0,0.005,0.012,0,0,0
"P36","Muy positiva",0.408,0.067,0.224,0,0.03,0
"P36","Positiva",0.207,0.219,0.185,0.08,0.019,0
"P36","Neutral",0.236,0.339,0.335,0.065,0.181,0.195
"P36","Algo negativa",0.063,0.144,0.07,0.038,0.748,0.299
"P36","Negativa",0.029,0.065,0.017,0,0.022,0.506
"P36","No sabe",0.057,0.166,0.169,0.817,0,0
"P37","Muy positiva",0.57,0.098,0.228,0.916,0.108,0
"P37","Positiva",0.187,0.269,0.143,0.016,0.853,0.191
"P37","Neutral",0.176,0.295,0.304,0.032,0.018,0.809
"P37","Algo negativa",0.012,0.164,0.12,0,0,0
"P37","Negativa",0,0.123,0.135,0.036,0.021,0
"P37","No sabe",0.055,0.051,0.07,0,0,0
"P38","Muy positiva",0.498,0.081,0.181,0.075,0,0
"P38","Positiva",0.208,0.093,0.04,0.04,0.213,0.185
"P38","Neutral",0.165,0.316,0.339,0.032,0.787,0.288
"P38","Algo negativa",0.027,0.15,0.177,0,0,0
"P38","Negativa",0.059,0.232,0.056,0,0,0.527
"P38","No sabe",0.043,0.128,0.207,0.853,0,0
"P39","Muy positiva",0.612,0.193,0.463,0.118,0.145,0.52
"P39","Positiva",0.119,0.152,0.174,0.812,0.055,0.48
"P39","Neutral",0.126,0.216,0.22,0,0.761,0
"P39","Algo negativa",0.033,0.329,0.021,0.032,0.039,0
"P39","Negativa",0.054,0.091,0.11,0.038,0,0
"P39","No sabe",0.056,0.019,0.012,0,0,0
"P40","Muy positiva",0.511,0.152,0.218,0.887,0,0.188
"P40","Positiva",0.143,0.174,0.225,0.042,0.187,0.288
"P40","Neutral",0.134,0.227,0.26,0.071,0.779,0
"P40","Algo negativa",0.099,0.314,0.005,0,0,0
"P40","Negativa",0.059,0.096,0.094,0,0,0.524
"P40","No sabe",0.054,0.037,0.198,0,0.034,0
"P41","Lo votaría",0.671,0.055,0.117,0.835,0.873,0
"P41","Puede que lo vote",0.095,0.045,0.06,0.042,0,0.188
"P41","Nunca lo votaría",0.203,0.812,0.719,0.105,0.053,0.812
"P41","No sabe",0.031,0.088,0.104,0.018,0.074,0
"P42","Lo votaría",0.102,0.645,0.251,0,0.788,0
"P42","Puede que lo vote",0.063,0.199,0.288,0.88,0,0
"P42","Nunca lo votaría",0.823,0.136,0.357,0.12,0.138,1
"P42","No sabe",0.012,0.02,0.104,0,0.074,0
"P43","Lo votaría",0.111,0.088,0.701,0,0,0
"P43","Puede que lo vote",0.05,0.356,0.181,0.071,0,0
"P43","Nunca lo votaría",0.835,0.527,0.099,0.929,0.925,1
"P43","No sabe",0.004,0.029,0.019,0,0.075,0
"P44","Si",0.45,0.442,0.396,0.054,0.037,0.476
"P44","No",0.55,0.558,0.604,0.946,0.963,0.524
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.589,0.244,0.097,0.018,0.537,0.063
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.102,0.584,0.391,0,0.37,0
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.297,0.129,0.47,0.332,0.047,0.449
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.015,0.038,0.65,0.024,0.085
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.017,0.004,0,0.022,0
"P13_imputada","En blanco",0.007,0.011,0,0,0,0.403
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.614,0.077,0.152,0.518,0.841,0.91
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.075,0.714,0.279,0.041,0.105,0
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.247,0.193,0.474,0,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.016,0.012,0.061,0.441,0.054,0.09
"P20_imputada","En blanco",0.048,0.004,0.034,0,0,0
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.544,0.167,0.227,0.621,0.108,0.774
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.152,0.686,0.524,0.33,0.469,0.135
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.143,0.098,0.207,0,0.326,0
"P23_imputada","El candidato del Frente de Izquierda",0.127,0.033,0.038,0.049,0.097,0.091
"P23_imputada","En blanco",0.034,0.016,0.004,0,0,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0
"PRESIDENTE_imputada","En blanco",0,0,0,0,0,1
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.614,0.077,0.152,0.518,0.841,0.91
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.075,0.714,0.279,0.041,0.105,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.247,0.193,0.474,0,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.016,0.012,0.061,0.441,0.054,0.09
"GOBERNADOR_imputada","En blanco",0.048,0.004,0.034,0,0,0
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.544,0.167,0.227,0.621,0.108,0.774
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.152,0.686,0.524,0.33,0.469,0.135
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.143,0.098,0.207,0,0.326,0
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.127,0.033,0.038,0.049,0.097,0.091
"INTENDENTE_imputada","En blanco",0.034,0.016,0.004,0,0,0
