"var","categoria","Fernando Moreira a intendente por Unión por la Patria.","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco"
"P39","Negativa",0.026,0.112,0.067,0.007,0.278
"P39","No sabe",0.024,0.017,0.03,0.056,0.017
"P40","Muy positiva",0.527,0.179,0.39,0.125,0.232
"P40","Positiva",0.174,0.254,0.226,0.036,0.247
"P40","Neutral",0.175,0.259,0.23,0.075,0.323
"P40","Algo negativa",0.02,0.153,0.053,0.591,0
"P40","Negativa",0.03,0.092,0.036,0.115,0.198
"P40","No sabe",0.074,0.063,0.065,0.058,0
"P41","Lo votaría",0.72,0.068,0.391,0.34,0.416
"P41","Puede que lo vote",0.056,0.055,0.099,0.285,0.022
"P41","Nunca lo votaría",0.192,0.855,0.477,0.31,0.562
"P41","No sabe",0.032,0.022,0.033,0.065,0
"P42","Lo votaría",0.217,0.563,0.152,0.016,0.237
"P42","Puede que lo vote",0.085,0.153,0.162,0.148,0.102
"P42","Nunca lo votaría",0.682,0.259,0.635,0.753,0.46
"P42","No sabe",0.016,0.025,0.051,0.083,0.201
"P43","Lo votaría",0.09,0.307,0.378,0.204,0.107
"P43","Puede que lo vote",0.045,0.204,0.133,0.016,0.297
"P43","Nunca lo votaría",0.856,0.447,0.478,0.78,0.344
"P43","No sabe",0.009,0.042,0.011,0,0.252
"P44","Si",0.422,0.402,0.433,0.204,0.197
"P44","No",0.578,0.598,0.567,0.796,0.803
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.821,0.107,0.07,0.348,0.058
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.053,0.75,0.067,0.071,0.041
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.098,0.137,0.858,0.038,0.071
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.001,0.001,0.543,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.002,0.004,0.002,0,0.55
"P13_imputada","En blanco",0.003,0.001,0.002,0,0.28
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.534,0.112,0.319,0.598,0.644
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.16,0.49,0.212,0.151,0.3
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.183,0.316,0.378,0.149,0.056
"P17_imputada","Los candidatos a presidente de la Izquierda",0.092,0.037,0,0.035,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.043,0.091,0.057,0
"P17_imputada","En blanco",0.018,0.002,0,0.01,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.581,0.159,0.099,0.607,0.655
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.154,0.514,0.254,0.151,0.262
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.121,0.302,0.647,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.091,0.008,0,0.242,0
"P20_imputada","En blanco",0.053,0.017,0,0,0.083
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",1,0,0,0,0
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0,1,0,0,0
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0,0,1,0,0
"P23_imputada","El candidato del Frente de Izquierda",0,0,0,1,0
"P23_imputada","En blanco",0,0,0,0,1
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.866,0.059,0.06,0.358,0.133
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.047,0.745,0.047,0.072,0.069
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.052,0.158,0.873,0.092,0.014
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.025,0.015,0,0.438,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.022,0.02,0.032,0.55
"PRESIDENTE_imputada","En blanco",0.007,0.001,0,0.008,0.234
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.877,0.083,0.021,0.366,0.144
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.047,0.762,0.059,0.072,0.054
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.037,0.141,0.92,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.026,0.005,0,0.562,0
"GOBERNADOR_imputada","En blanco",0.013,0.009,0,0,0.802
