"var","categoria","Sergio Massa a presidente por Unión por la Patria","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P32","No",0.567,0.622,0.621,0.709,0.856,0.767,0.798
"CORTA_PRESIDENTE","Si",0.183,0.161,0.14,0.333,0.333,0.083,0.359
"CORTA_PRESIDENTE","No",0.817,0.839,0.86,0.667,0.667,0.917,0.641
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.876,0.033,0.046,0.097,0.171,0.07,0.212
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.034,0.851,0.113,0,0.024,0.014,0.097
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.062,0.088,0.804,0,0,0,0.015
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.003,0.01,0.013,0.62,0.271,0,0
"GOBERNADOR","En blanco",0.007,0.005,0.001,0.283,0.491,0.767,0
"GOBERNADOR","No sabe",0.018,0.013,0.023,0,0.043,0.149,0.676
"CORTA_GOBERNADOR","Si",0.213,0.204,0.212,0.429,0.837,0.333,0.332
"CORTA_GOBERNADOR","No",0.787,0.796,0.788,0.571,0.163,0.667,0.668
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria",0.756,0.086,0.061,0.126,0.229,0.069,0.03
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.072,0.796,0.123,0,0.064,0,0.02
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.017,0.033,0.712,0.064,0,0,0.088
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.083,0.046,0.051,0.085,0.281,0.428,0.153
"INTENDENTE","El candidato a intendente de la Izquierda",0.035,0.006,0.006,0.453,0.005,0,0.007
"INTENDENTE","En blanco",0.02,0.003,0,0.068,0.17,0.352,0.029
"INTENDENTE","No sabe",0.017,0.03,0.047,0.204,0.251,0.151,0.673
"CORTA_INTENDENTE","Si",0.264,0.197,0.284,0.474,0.585,0.329,0.225
"CORTA_INTENDENTE","No",0.736,0.803,0.716,0.526,0.415,0.671,0.775
