"var","categoria","Patricia Bullrich por Juntos por el Cambio","Cristina Fernández de Kirchner por el Frente de Todos","No sabe"
"P14","Puede que lo vote",0.334,0.035,0.17
"P14","Nunca lo votaría",0.168,0.874,0.622
"P14","No sabe",0.071,0.072,0.169
"P15","Lo votaría",0.046,0.254,0.049
"P15","Puede que lo vote",0.098,0.387,0.153
"P15","Nunca lo votaría",0.84,0.279,0.672
"P15","No sabe",0.016,0.08,0.126
"P16","Lo votaría",0.015,0.233,0.023
"P16","Puede que lo vote",0.023,0.443,0.156
"P16","Nunca lo votaría",0.953,0.236,0.695
"P16","No sabe",0.009,0.088,0.126
"P17","La votaría",0.018,0.757,0.021
"P17","Puede que la vote",0.017,0.142,0.076
"P17","Nunca la votaría",0.96,0.063,0.771
"P17","No sabe",0.005,0.038,0.132
"P18","Lo votaría",0.221,0.102,0.069
"P18","Puede que lo vote",0.393,0.078,0.287
"P18","Nunca lo votaría",0.332,0.803,0.51
"P18","No sabe",0.054,0.017,0.134
"P19","Lo votaría",0.073,0.024,0.15
"P19","Puede que lo vote",0.376,0.157,0.173
"P19","Nunca lo votaría",0.478,0.688,0.476
"P19","No sabe",0.073,0.131,0.201
"P20","La votaría",0.547,0.01,0.058
"P20","Puede que la vote",0.294,0.042,0.176
"P20","Nunca la votaría",0.114,0.892,0.641
"P20","No sabe",0.045,0.056,0.125
"P21","Lo votaría",0.308,0.026,0.281
"P21","Puede que lo vote",0.278,0.046,0.093
"P21","Nunca lo votaría",0.353,0.87,0.501
"P21","No sabe",0.061,0.058,0.125
"P22","La votaría",0.216,0.011,0.085
"P22","Puede que la vote",0.376,0.033,0.183
"P22","Nunca la votaría",0.321,0.915,0.586
"P22","No sabe",0.087,0.041,0.146
"P23","Lo votaría",0.046,0.36,0.039
"P23","Puede que lo vote",0.084,0.283,0.094
"P23","Nunca lo votaría",0.813,0.248,0.664
"P23","No sabe",0.057,0.109,0.203
"P24","Lo votaría",0.057,0.064,0.027
"P24","Puede que lo vote",0.277,0.085,0.126
"P24","Nunca lo votaría",0.571,0.726,0.51
"P24","No sabe",0.095,0.125,0.337
"P25","Mauricio Macri por Juntos por el Cambio",0.273,0.005,0.029
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.134,0.01,0.168
"P25","Patricia Bullrich por Juntos por el Cambio",0.331,0.008,0.01
"P25","Facundo Manes por Juntos por el Cambio",0.026,0.022,0.149
"P25","Alberto Fernández por el Frente de Todos",0.006,0.079,0.014
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.014,0.796,0.057
"P25","Javier Milei por los liberales libertarios",0.165,0.014,0.249
"P25","Nicolás del Caño por la izquierda",0.001,0.018,0.031
"P25","Otros candidatos",0.017,0.025,0.147
"P25","Aún no lo tengo decidido",0.033,0.023,0.146
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.187,0.013,0.138
"P26","Patricia Bullrich por Juntos por el Cambio",0.49,0.01,0.043
"P26","Facundo Manes por Juntos por el Cambio",0.086,0.021,0.137
"P26","Wado de Pedro por el Frente de Todos",0.003,0.405,0.081
"P26","Sergio Massa por el Frente de Todos",0.015,0.402,0.087
"P26","Javier Milei por los liberales libertarios",0.156,0.026,0.258
"P26","Nicolás del Caño por la izquierda",0.026,0.022,0.044
"P26","Otros candidatos",0.009,0.035,0.064
"P26","Aún no lo tengo decidido",0.028,0.066,0.148
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.022,0.879,0.096
"P27","Mauricio Macri por Juntos por el Cambio",0.562,0.011,0.057
"P27","Javier Milei por los liberales libertarios",0.252,0.017,0.313
"P27","Nicolás del Caño por la izquierda",0.005,0.019,0.063
"P27","Otro candidato",0.092,0.029,0.206
"P27","Aún no lo tengo decidido",0.067,0.045,0.265
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.463,0.109,0.155
"P29","Wado de Pedro por el Frente de Todos",0.078,0.651,0.04
"P29","Javier Milei por los liberales libertarios",0.291,0.045,0.293
"P29","Nicolás del Caño por la izquierda",0.001,0.031,0.042
"P29","Otro candidato",0.087,0.078,0.19
"P29","Aún no lo tengo decidido",0.08,0.086,0.28
"P31","Sergio Massa por el Frente de Todos",0.053,0.67,0.123
"P31","Patricia Bullrich por Juntos por el Cambio",0.644,0.035,0.036
"P31","Javier Milei por los liberales libertarios",0.224,0.024,0.322
"P31","Nicolás del Caño por la izquierda",0.008,0.046,0.075
"P31","Otro candidato",0.036,0.109,0.232
"P31","Aún no lo tengo decidido",0.035,0.116,0.212
"P33","Sergio Massa por el Frente de Todos",0.06,0.614,0.107
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.504,0.071,0.181
"P33","Javier Milei por los liberales libertarios",0.296,0.044,0.291
"P33","Nicolás del Caño por la izquierda",0.004,0.042,0.061
"P33","Otro candidato",0.086,0.132,0.178
"P33","Aún no lo tengo decidido",0.05,0.097,0.182
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.072,0.863,0.067
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.478,0.028,0.16
"P35","Javier Milei por los liberales libertarios",0.319,0.029,0.291
"P35","Nicolás del Caño por la izquierda",0.001,0.018,0.047
"P35","Otro candidato",0.087,0.024,0.217
"P35","Aún no lo tengo decidido",0.043,0.038,0.218
"P36","Sergio Massa por el Frente de Todos",0.036,0.721,0.115
"P36","Mauricio Macri por Juntos por el Cambio",0.573,0.022,0.085
"P36","Javier Milei por los liberales libertarios",0.265,0.027,0.314
"P36","Nicolás del Caño por la izquierda",0.003,0.039,0.066
"P36","Otro candidato",0.082,0.12,0.227
"P36","Aún no lo tengo decidido",0.041,0.071,0.193
"P37","Wado de Pedro por el Frente de Todos",0.018,0.749,0.062
"P37","Mauricio Macri por Juntos por el Cambio",0.586,0.012,0.082
"P37","Javier Milei por los liberales libertarios",0.248,0.035,0.291
"P37","Nicolás del Caño por la izquierda",0.012,0.034,0.068
"P37","Otro candidato",0.095,0.079,0.261
"P37","Aún no lo tengo decidido",0.041,0.091,0.236
"P38","Wado de Pedro por el Frente de Todos",0.022,0.727,0.07
"P38","Patricia Bullrich por Juntos por el Cambio",0.676,0.013,0.056
"P38","Javier Milei por los liberales libertarios",0.219,0.028,0.302
"P38","Nicolás del Caño por la izquierda",0.001,0.035,0.052
"P38","Otro candidato",0.042,0.097,0.28
"P38","Aún no lo tengo decidido",0.04,0.1,0.24
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.021,0.861,0.076
"P39","Patricia Bullrich por Juntos por el Cambio",0.677,0.012,0.051
"P39","Javier Milei por los liberales libertarios",0.223,0.025,0.325
"P39","Nicolás del Caño por la izquierda",0.001,0.021,0.059
"P39","Otro candidato",0.037,0.039,0.246
"P39","Aún no lo tengo decidido",0.041,0.042,0.243
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.094,0.828,0.074
"P40","Mauricio Macri por Juntos por el Cambio",0.75,0.151,0.152
"P40","No sabe",0.156,0.021,0.774
"P41","Wado de Pedro por el Frente de Todos",0.032,0.821,0.075
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.743,0.046,0.269
"P41","No sabe",0.225,0.133,0.656
"P42","Sergio Massa por el Frente de Todos",0.042,0.796,0.135
"P42","Patricia Bullrich por Juntos por el Cambio",0.892,0.038,0.125
"P42","No sabe",0.066,0.166,0.74
"P43","Sergio Massa por el Frente de Todos",0.034,0.819,0.156
"P43","Mauricio Macri por Juntos por el Cambio",0.847,0.04,0.17
"P43","No sabe",0.119,0.141,0.674
"P44","Sergio Massa por el Frente de Todos",0.051,0.805,0.115
"P44","Javier Milei por los liberales libertarios",0.616,0.059,0.316
"P44","No sabe",0.333,0.136,0.569
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.274,0.381,0.174
"P45","Javier Milei por los liberales libertarios",0.493,0.058,0.31
"P45","No sabe",0.233,0.561,0.516
"P46","Patricia Bullrich por Juntos por el Cambio",0.856,0.057,0.065
"P46","Wado de Pedro por el Frente de Todos",0.064,0.717,0.1
"P46","No sabe",0.08,0.226,0.835
"P48","Muy buena",0.116,0.106,0.002
"P48","Buena",0.014,0.436,0.012
"P48","Ni buena ni mala",0.014,0.28,0.279
"P48","Mala",0.062,0.125,0.155
"P48","Muy mala",0.792,0.042,0.502
"P48","No sabe",0.002,0.011,0.05
"P49","Muy buena",0.017,0.134,0.019
"P49","Buena",0.015,0.347,0.045
"P49","Ni buena ni mala",0.015,0.331,0.271
"P49","Mala",0.106,0.119,0.103
"P49","Muy mala",0.843,0.068,0.51
"P49","No sabe",0.004,0.001,0.052
"P50","Muy buena",0.028,0.66,0.054
"P50","Buena",0.009,0.17,0.042
"P50","Ni buena ni mala",0.01,0.11,0.175
"P50","Mala",0.04,0.025,0.106
"P50","Muy mala",0.912,0.034,0.588
"P50","No sabe",0.001,0.001,0.035
"P51","Muy buena",0.29,0.126,0.026
"P51","Buena",0.289,0.049,0.057
"P51","Ni buena ni mala",0.2,0.03,0.218
"P51","Mala",0.062,0.198,0.191
"P51","Muy mala",0.158,0.579,0.469
"P51","No sabe",0.001,0.018,0.039
"P52","Muy buena",0.267,0.028,0.123
"P52","Buena",0.276,0.034,0.143
"P52","Ni buena ni mala",0.25,0.107,0.24
"P52","Mala",0.087,0.211,0.152
"P52","Muy mala",0.113,0.594,0.295
"P52","No sabe",0.007,0.026,0.047
"P53","Muy buena",0.026,0.172,0.079
"P53","Buena",0.062,0.326,0.085
"P53","Ni buena ni mala",0.094,0.244,0.191
"P53","Mala",0.152,0.129,0.115
"P53","Muy mala",0.662,0.107,0.498
"P53","No sabe",0.004,0.022,0.032
"P54","Muy buena",0.444,0.061,0.045
"P54","Buena",0.305,0.059,0.059
"P54","Ni buena ni mala",0.118,0.091,0.275
"P54","Mala",0.046,0.12,0.176
"P54","Muy mala",0.084,0.652,0.37
"P54","No sabe",0.003,0.017,0.075
"P55","Muy buena",0.241,0.025,0.225
"P55","Buena",0.24,0.034,0.063
"P55","Ni buena ni mala",0.319,0.095,0.281
"P55","Mala",0.108,0.149,0.135
"P55","Muy mala",0.08,0.678,0.242
"P55","No sabe",0.012,0.019,0.054
"P56","Muy buena",0.299,0.009,0.102
"P56","Buena",0.326,0.025,0.107
"P56","Ni buena ni mala",0.193,0.05,0.241
"P56","Mala",0.099,0.197,0.165
"P56","Muy mala",0.075,0.713,0.332
"P56","No sabe",0.008,0.006,0.053
"P57","Muy buena",0.047,0.365,0.039
"P57","Buena",0.039,0.238,0.082
"P57","Ni buena ni mala",0.142,0.183,0.232
"P57","Mala",0.195,0.102,0.178
"P57","Muy mala",0.532,0.077,0.32
"P57","No sabe",0.045,0.035,0.149
"P58","Muy buena",0.072,0.084,0.11
"P58","Buena",0.178,0.158,0.177
"P58","Ni buena ni mala",0.355,0.356,0.295
"P58","Mala",0.171,0.163,0.08
"P58","Muy mala",0.217,0.164,0.187
"P58","No sabe",0.007,0.075,0.151
"P59","Muy buena",0.066,0.015,0.055
"P59","Buena",0.221,0.032,0.104
"P59","Ni buena ni mala",0.35,0.222,0.344
"P59","Mala",0.123,0.162,0.067
"P59","Muy mala",0.155,0.488,0.202
"P59","No sabe",0.085,0.081,0.228
"P60","Siempre",0.269,0.308,0.249
"P60","Casi siempre",0.376,0.405,0.342
"P60","Casi nunca",0.267,0.216,0.27
"P60","Nunca, pero esta es una excepción",0.088,0.071,0.139
"P61","Si",0.499,0.589,0.542
"P61","No",0.501,0.411,0.458
